  0:   53| [45] [――――――]
 61: 1044| [45] [部屋の扉がひしゃげ、炎が部屋に入り込んでくる。]
 62: 1049| [45] [爆発物に引火でもしたのか、火勢は遥かに増していた。]
 63: 1065| [47] [悠里]
 64: 1068| [45] [「う、うわ……」]
 65: 1079| [45] [息をするのも辛いほどの、凄絶な熱だった。]
 66: 1084| [45] [フロア全体にかげろうが立ち、目の前の光景を歪めている。]
 67: 1089| [45] [それを見て悠里は――先ほどまで、死の覚悟を決めていたはずの悠里は、]
 68: 1094| [45] [恐怖していた。]
 69: 1110| [47] [悠里]
 70: 1113| [45] [「い、嫌だ……」]
 71: 1121| [47] [悠里]
 72: 1124| [45] [「嫌だ嫌だ嫌だ……死にたくない……死にたくないよぅ……！」]
 73: 1129| [45] [ひとりでにそんな声があふれ出す。]
 74: 1134| [45] [間近に迫った死の恐怖は、生半可な覚悟など、粉々に吹き飛ばしていた。]
 75: 1139| [45] [熱波が暴風のように吹き荒れる。]
 76: 1144| [45] [煙が部屋に充満する。]
 77: 1167| [47] [悠里]
 78: 1170| [45] [「ごほっ！　ごほっ！」]
 79: 1175| [45] [激しく咳き込み、眼にも涙が浮かんできた。]
 80: 1180| [45] [だが――その時、どこかで声が聞こえた。]
 81: 1200| [47] [？？]
 82: 1203| [45] [「消火ホースの用意を！」]
 83: 1211| [47] [？？]
 84: 1214| [45] [「了解っ！」]
 85: 1234| [47] [悠里]
 86: 1235| [45] [（！？）]
 87: 1240| [45] [女の声だった。]
 88: 1248| [47] [？？]
 89: 1251| [45] [「とっ――ちょっと隊長、どいて！」]
 90: 1259| [47] [？？]
 91: 1262| [45] [「放水開始！」]
 92: 1270| [47] [？？]
 93: 1273| [45] [「了解！　放水行きますッ！！」]
 94: 1278| [45] [会話の内容から、消防士か何かのように思える。]
 95: 1283| [45] [悠里が顔を上げた時、部屋の外で水音が聞こえた。]
 96: 1294| [45] [外で消火をしているのだ。]
 97: 1299| [45] [吹き荒れていた熱波が、急速に沈静化していく。]
 98: 1304| [47] [悠里]
 99: 1305| [45] [（ま、間違いない……消防士さんだ！）]
100: 1313| [47] [悠里]
101: 1316| [45] [「だ、誰か……」]
102: 1324| [47] [悠里]
103: 1327| [45] [「た……助けて……！」]
104: 1332| [45] [それに呼応するように、声が返って来る。]
105: 1340| [47] [？？]
106: 1343| [45] [「あの部屋……誰かいる！？」]
107: 1348| [45] [駆け寄ってくる誰かに、悠里はもう一度声を上げた。]
108: 1356| [47] [悠里]
109: 1359| [45] [「誰か……た……助けて……」]
110: 1364| [45] [そしてその足音の主が、部屋に飛び込んできた。]
111: 1398| [47] [？？]
112: 1401| [45] [「大丈夫か！！」]
113: 1406| [45] [悠里は必死で手を差し伸べる。]
114: 1411| [45] [だが、その声の主と目が合った途端――]
115: 1440| [47] [悠里]
116: 1443| [45] [「――っ！？」]
117: 1448| [45] [悠里は驚愕して、息を呑んだ。]
118: 1537| [45] [そこにいたのは、つい先ほど悠里を襲ったあの男だった。]
119: 1542| [47] [悠里]
120: 1543| [45] [（どうして！？　どうしてあの人がわたしを助けにきたの！？）]
121: 1548| [45] [状況がわからず、激しく混乱した。]
122: 1586| [45] [男もなぜか顔を引きつらせ、立ちすくんでいる。]
123: 1591| [45] [その間にも炎が悠里に迫る。]
124: 1596| [45] [やがて男は弾かれるように――]
125: 1628| [45] [悠里を助けるため、部屋の中へ飛び込んできた。]
