  0:   59| [45] [――夏彦は、洵の記憶を読み進めた。]
151: 1918| [45] [「お前は洵さんの事を、何もわかっちゃいない……！」]
152: 1926| [47] [夏彦]
153: 1929| [45] [「洵さんは、ヒーローになりたかったんだ！」]
154: 1937| [47] [夏彦]
155: 1940| [45] [「悪い奴をやっつけるんじゃない、人を救うヒーローに！」]
156: 1948| [47] [夏彦]
157: 1951| [45] [「……洵さんがどれだけ自分を責めてきたか、お前にはわからないのか？」]
158: 1959| [47] [夏彦]
159: 1962| [45] [「友達を救えなかった事が、どれだけ洵さんの心の傷になってきたか」]
160: 1970| [47] [夏彦]
161: 1973| [45] [「その傷に耐えて、自分の弱さと向き合って、それを乗り越えて……」]
162: 1981| [47] [夏彦]
163: 1984| [45] [「そして洵さんは、強くなったんだ！」]
164: 1989| [45] [その言葉に、彼女の表情がわずかに歪む。]
165: 2015| [47] [被験体Ｎ]
166: 2018| [45] [「……わかってるさ、そのくらい」]
167: 2026| [47] [被験体Ｎ]
168: 2029| [45] [「あたしは洵だから。洵はあたしだから」]
169: 2037| [47] [夏彦]
170: 2040| [45] [「だったらどうして、洵さんの傷を抉るような事を言う！？」]
171: 2048| [47] [夏彦]
172: 2051| [45] [「洵さんの心が、まともじゃなくなっていた事くらいわかるだろ！？」]
173: 2059| [47] [夏彦]
174: 2062| [45] [「そして、それが――お前のせいだっていう事も！」]
175: 2123| [47] [被験体Ｎ]
176: 2126| [45] [「……っ！」]
177: 2152| [47] [被験体Ｎ]
178: 2155| [45] [「へぇ……記憶改竄のせいだけじゃなくて、洵にあたしが取り憑いていたとでも？」]
179: 2163| [47] [夏彦]
180: 2166| [45] [「取り憑いていたってのとは、少し違う……」]
181: 2174| [47] [夏彦]
182: 2177| [45] [「だけどお前は洵さんに、ＢＣを使った」]
183: 2185| [47] [夏彦]
184: 2188| [45] [「ＢＣは、言葉や記憶だけじゃなくて、『想い』を人に伝える」]
185: 2196| [47] [夏彦]
186: 2199| [45] [「言葉にならない事も、思い描けないような記憶も――そしてお前の、膨大な悪意も」]
187: 2207| [47] [夏彦]
188: 2210| [45] [「それは情報エネルギーとして、洵さんの頭の中に残ってしまった……」]
189: 2218| [47] [夏彦]
190: 2221| [45] [「それを受け取った洵さんは、普通の洵さんじゃなくなってたんだ」]
191: 2247| [47] [被験体Ｎ]
192: 2250| [45] [「……ふん、ロマンチックなオハナシだね」]
193: 2258| [47] [被験体Ｎ]
194: 2261| [45] [「『死者の想いが生者に残る』って？」]
195: 2269| [47] [夏彦]
196: 2272| [45] [「あぁ……ここにお前がこうして存在している事が、ぼくと会話できているという事がその証拠だ」]
197: 2280| [47] [夏彦]
198: 2283| [45] [「あの凪沙って子が、洵さんの心に残り続けているように……」]
199: 2309| [47] [被験体Ｎ]
200: 2312| [45] [「……その名前を出すんじゃない」]
201: 2317| [45] [被験体Ｎが、夏彦を鋭く睨みつける。]
202: 2343| [47] [被験体Ｎ]
203: 2346| [45] [「ムカつくんだよ、あいつ」]
204: 2354| [47] [被験体Ｎ]
205: 2357| [45] [「死んで９年も経つのに、洵の心にずっと残りやがってさ……！」]
206: 2365| [47] [夏彦]
207: 2368| [45] [「……お前も、洵さんの心に残りたかったのか？」]
208: 2394| [47] [被験体Ｎ]
209: 2397| [45] [「当たり前だろ？」]
210: 2405| [47] [被験体Ｎ]
211: 2408| [45] [「誰かと心を繋いで、その人の中に想いを残したい……それがあたしら、コミュニケーターなんだから」]
212: 2416| [47] [夏彦]
213: 2419| [45] [「……そうか。そうだよな、でも……」]
214: 2427| [47] [夏彦]
215: 2430| [45] [「お前が洵さんの心に残っている限り、洵さんは洵さんじゃなくなっちゃうんだ」]
216: 2438| [47] [夏彦]
217: 2441| [45] [「……お前は、消えなきゃならないんだよ」]
218: 2446| [45] [夏彦が言うと、被験体Ｎは諦めたように笑った。]
219: 2472| [47] [被験体Ｎ]
220: 2475| [45] [「……はっ、結局はあたしを消すわけだ。一殺多生の精神でもって」]
221: 2483| [47] [夏彦]
222: 2486| [45] [「そんなかっこいいもんじゃない……個人的な動機だ」]
223: 2512| [47] [被験体Ｎ]
224: 2515| [45] [「そりゃなお、タチが悪いね。快楽殺人者と一緒だよ」]
225: 2523| [47] [被験体Ｎ]
226: 2526| [45] [「いや、ヒーローってのは案外そんなものなのかもね？」]
227: 2531| [45] [夏彦はもう、彼女の言葉を聞くのが辛かった。]
228: 2536| [45] [頭の片隅で、悠里の声が響く。]
229: 2604| [47] [悠里]
230: 2607| [45] [《……ひこりん、もう……》]
231: 2612| [47] [悠里]
232: 2615| [45] [《この子を、消してあげて》]
233: 2620| [47] [悠里]
234: 2623| [45] [《この子が洵さんの移し身なら、こんな言葉を望んで言ってるわけじゃない……》]
235: 2628| [47] [夏彦]
236: 2629| [45] [（ああ……わかってる）]
237: 2634| [45] [被験体Ｎは、自分のやった事を後悔して、消えるのを望んでいるのだろう。]
238: 2639| [45] [それで夏彦に憎まれ口を叩き、自分を消すことを促しているのだ。]
239: 2702| [45] [――そうだとでも思わなければ、やりきれなかった。]
240: 2710| [47] [夏彦]
241: 2713| [45] [「……お前を殺すよ、被験体Ｎ」]
242: 2718| [45] [その言葉に、彼女が微笑む。]
243: 2744| [47] [被験体Ｎ]
244: 2747| [45] [「やるなら早くやりなよ、ヒーロー」]
245: 2773| [47] [被験体Ｎ]
246: 2776| [45] [「そんでせいぜい長生きして、罪の意識に苦しみな」]
247: 2784| [47] [夏彦]
248: 2787| [45] [「あぁ……生きている限り、ずっとな」]
249: 2874| [45] [最後まで彼女の憎まれ口を聞きながら、夏彦は――]
250: 2879| [45] [洵の心から、被験体Ｎを消した。]
