  0:  151| [45] [――２０３０年９月１３日。]
 41:  723| [45] [「お疲れ様。サリュもホットミルク飲むか？」]
 42:  731| [47] [サリュ]
 43:  734| [45] [「いや、冷たいまま頂く」]
 44:  773| [45] [サリュはそう言って、夏彦から牛乳パックを奪った。]
 45:  778| [45] [それをごきゅごきゅと飲んでから、おもむろに夏彦に言う。]
 46:  804| [47] [サリュ]
 47:  807| [45] [「美味。それでは夏彦、家を出て行って」]
 48:  815| [47] [夏彦]
 49:  818| [45] [「……え！？」]
 50:  823| [45] [一瞬、何を言われているのかわからなかった。]
 51:  828| [45] [夏彦はうろたえつつ、問いを返す。]
 52:  836| [47] [夏彦]
 53:  839| [45] [「ちょ、ちょっと待ってくれ！　なんで急に出て行けなんて！？　っていうかここ、ぼくの家だぞ！？」]
 54:  865| [47] [サリュ]
 55:  868| [45] [「『汗をかいた』と言ったでしょう。私はお風呂に入りたい」]
 56:  876| [47] [サリュ]
 57:  879| [45] [「入浴するにあたっては、夏彦の存在が邪魔」]
 58:  887| [47] [夏彦]
 59:  890| [45] [「はぁ！？　なんで邪魔！？」]
 60:  898| [47] [サリュ]
 61:  901| [45] [「天川博士が言っていた。『みだりに夏彦に裸身等を見せては、絶対に駄目』だと」]
 62:  909| [47] [サリュ]
 63:  912| [45] [「故に家の中に夏彦がいると、安堵できない。覗かれる可能性も否めない」]
 64:  920| [47] [夏彦]
 65:  923| [45] [「覗かないよ！　ぼくがそんな事する奴だと思うのか！？」]
 66:  931| [47] [サリュ]
 67:  934| [45] [「信用できない。私は他人の心情を想像するのが苦手だから」]
 68:  942| [47] [夏彦]
 69:  945| [45] [「そう言う問題じゃないだろー！？」]
 70:  972| [47] [サリュ]
 71:  975| [45] [「とにかく夏彦は、粛々と出て行くべき」]
 72: 1048| [47] [夏彦]
 73: 1051| [45] [「お、おい！　ちょっとサリュ！？」]
 74: 1056| [45] [サリュは夏彦の腕を掴み、ぐいぐいと引っ張って行き――]
 75: 1177| [47] [夏彦]
 76: 1180| [45] [「うわっ！」]
 77: 1185| [45] [玄関先から、外に押し出した。]
 78: 1211| [47] [サリュ]
 79: 1214| [45] [「１時間ほど経過したら、家に入って良い。では」]
 80: 1255| [45] [サリュがそう言って、玄関のドアを閉める。]
 81: 1260| [45] [夏彦は閉ざされたドアを見つめ、呆然としていた。]
 82: 1274| [47] [夏彦]
 83: 1277| [45] [「……いやいやいやいや。さすがにそれはナシだろサリュ」]
 84: 1285| [47] [夏彦]
 85: 1288| [45] [「確かに気持ちはわからないでもないけど、サリュが風呂入るたびに、ぼくが外に出なきゃならないなんて……」]
 86: 1296| [47] [夏彦]
 87: 1299| [45] [「そんなの、いくらなんでも理不尽だ！　話つけてやる！」]
 88: 1310| [45] [憤りを胸に、夏彦は扉を開ける。]
 89: 1317| [45] [するとそこには――]
 90: 1349| [47] [夏彦]
 91: 1352| [45] [「あ……」]
 92: 1357| [45] [サリュの姿があった。]
 93: 1365| [47] [サリュ]
 94: 1368| [45] [「そら見た事か。やはり信用できない」]
 95: 1376| [47] [夏彦]
 96: 1379| [45] [「な、なんで玄関先にいるんだよ！　風呂入ったんじゃなかったのか！？」]
 97: 1405| [47] [サリュ]
 98: 1408| [45] [「夏彦が戻ってこないか、警戒していた。そして結果は予想通り」]
 99: 1416| [47] [サリュ]
100: 1419| [45] [「夏彦はどうあっても、私の入浴を覗きたい模様。それは私としても非常に困る」]
101: 1427| [47] [夏彦]
102: 1430| [45] [「困るのはぼくだよ！　誤解だ誤解！」]
103: 1438| [47] [サリュ]
104: 1441| [45] [「問答無用。天川博士はこうも言っていた」]
105: 1449| [47] [サリュ]
106: 1452| [45] [「『夏彦も思春期だから、間違いがないとは言いきれないわ。身の危険を感じたら、腕力で以って制圧しなさい』と」]
107: 1460| [47] [サリュ]
108: 1463| [45] [「私は安穏たる入浴の実現のために、この言いつけを実行する」]
109: 1471| [47] [夏彦]
110: 1474| [45] [「待て待て待て！　腕力で制圧って――」]
111: 1487| [45] [そう言いかけた夏彦の後ろに、サリュが素早く回り込む。]
112: 1492| [45] [そして、次の瞬間――]
113: 1530| [47] [夏彦]
114: 1533| [45] [「ッ！？」]
115: 1598| [45] [後頭部に衝撃を感じ、夏彦の意識は遠のいていった……。]
116: 1619| [45] [――]
117: 1624| [45] [――――]
118: 1629| [45] [――――――意識は、果てのない闇の中にあった。]
119: 1634| [47] [？？]
120: 1635| [45] [（ここは……？）]
121: 1640| [45] [わからない。脳裏にはただ虚無だけがある。]
122: 1645| [47] [？？]
123: 1646| [45] [（何だ……？　どうしてこんな事に――）]
124: 1651| [45] [必死でその原因を探ると、やがて誰のものとも知れない声が、意識の片隅で囁いた。]
125: 1661| [47] [？？]
126: 1664| [45] [「……少々、やりすぎた」]
127: 1672| [47] [？？]
128: 1675| [45] [「夏彦、あの、無事……？」]
129: 1749| [47] [夏彦]
130: 1752| [45] [「ッ！？」]
131: 1757| [45] [夏彦ははっとして、跳ね起きた。]
132: 1762| [45] [たちどころに五感も記憶も戻ってきたが、少し前の記憶だけがすっぽりと抜け落ちている。]
133: 1770| [47] [夏彦]
134: 1773| [45] [「あ、れ……？　確かぼく、ミルクを飲もうと思って、冷蔵庫を開けて……？」]
135: 1797| [45] [そう呟く夏彦を、サリュが心配げに覗き込む。]
136: 1805| [47] [サリュ]
137: 1808| [45] [「……ごめん。私が後頭部への打撃によって、夏彦を気絶させた。入浴を覗かれまいと」]
138: 1816| [47] [夏彦]
139: 1819| [45] [「サリュが、ぼくを気絶させた？　冗談だろ、そんな細腕で」]
140: 1824| [45] [それに夏彦は、サリュの入浴を覗こうなど思った事はない。故にサリュが自分を気絶させる理由もない。]
141: 1829| [45] [大方ソファで、居眠りでもしたのだろう。夏彦はそう思いながら、サリュに尋ねる。]
142: 1837| [47] [夏彦]
143: 1840| [45] [「――で、入浴がどうとか言ってたな。サリュ、もう風呂入った？」]
144: 1848| [47] [サリュ]
145: 1851| [45] [「……諸般の事情により、まだ入っていない」]
146: 1859| [47] [夏彦]
147: 1862| [45] [「ん？　えーっと、ひょっとして……ぼくがリビングにいるから、入りづらいとか？」]
148: 1888| [47] [サリュ]
149: 1891| [45] [「そ、そう。とても入りづらい。私はどうすべき？」]
150: 1899| [47] [夏彦]
151: 1902| [45] [「そうか、ごめんな。ぼく、自分の部屋にこもってるから、上がったら言ってくれ」]
152: 1928| [47] [サリュ]
153: 1931| [45] [「覗かない？」]
154: 1939| [47] [夏彦]
155: 1942| [45] [「覗かないって。心配なら、扉にしんばり棒でもかましておいてくれればいいから」]
156: 1947| [45] [なんとなく、素直にそう言っておくべきという予感がした。]
157: 1952| [45] [するとサリュは夏彦の言葉に、ほっとしたように呟く。]
158: 1978| [47] [サリュ]
159: 1981| [45] [「……ありがとう夏彦。私は自分を恥じる」]
160: 1989| [47] [夏彦]
161: 1992| [45] [「ん？　なんだよ急に」]
162: 2018| [47] [サリュ]
163: 2021| [45] [「１つ学んだ。むやみに不信感を持たず、他人の判断を仰ぐ事も重要」]
164: 2029| [47] [サリュ]
165: 2032| [45] [「そうしなければ、共同生活は営めない」]
166: 2040| [47] [夏彦]
167: 2043| [45] [「はは、大げさだな……でもまぁ、頼みたい事があったら、気軽に言ってくれよ」]
168: 2051| [47] [夏彦]
169: 2054| [45] [「曲がりなりにも、一つ屋根の下で暮らすんだ。なるべくいい関係を保ちたいしさ」]
170: 2062| [47] [サリュ]
171: 2065| [45] [「ん」]
172: 2070| [45] [サリュはそう言って、素直にうなずく。]
173: 2130| [45] [そうして２人はそれぞれ、風呂場と自室に向かった。]
174: 2192| [45] [――それから小１時間後。]
175: 2197| [45] [自室でくつろぎながらも、ましろの事を気にかけていた夏彦に、ドア越しに声がかけられた。]
176: 2205| [47] [サリュ]
177: 2208| [45] [「夏彦、入浴が終わった」]
178: 2216| [47] [夏彦]
179: 2219| [45] [「あ、はいはい。それじゃぼくも風呂に入るかな」]
180: 2288| [45] [夏彦はそう答え、着替えを持って部屋を出た。]
181: 2345| [45] [リビングに行くと、もうサリュの姿はなかった。]
182: 2350| [45] [どうやら自分の部屋に戻ったらしい。]
183: 2358| [47] [夏彦]
184: 2361| [45] [「なんか警戒されてるような……覗かないって言うのに」]
185: 2366| [45] [そう呟く夏彦の鼻が、優しい香りをとらえた。]
186: 2371| [45] [ふと見ると、リビングのテーブルに、ホットミルクの入ったカップが置いてある。]
187: 2376| [45] [その傍らには、サリュによるものと思しき、書置きが置いてあった。]
188: 2381| [45] [書かれていたのは、ただ一言――]
189: 2389| [47] [夏彦]
190: 2392| [45] [「『これはお詫びの印』……？　って、なんのお詫びだ？」]
191: 2397| [45] [よくわからないが、そう言えば飲もうと思っていたホットミルクを、飲み損ねていた事に気づいた。]
192: 2402| [45] [恐らく夏彦のために、サリュが用意してくれたのだろう。]
193: 2407| [45] [夏彦はカップを手に取り、そっと口を寄せる。]
194: 2415| [47] [夏彦]
195: 2418| [45] [「熱っ……！　熱すぎだよ、サリュ」]
196: 2423| [45] [夏彦は苦笑し、カップを見つめる。]
197: 2428| [45] [言葉とは裏腹に、胸にはミルクの温かさが、じんわりと染み入っていた……。]
198: 2668| [45] [――彼の記憶を遡るうちに――]
199: 2673| [45] [やがて夏彦の脳の片隅から、ある情報エネルギーの塊が立ち上ってきた。]
200: 2678| [45] [そしてそのエネルギーは、形となり……]
201: 2683| [45] [夏彦も自覚していない、無意識下の情報として、そこに顕現した。]
