  0:  107| [45] [――最愛の父を失った後、恵那は――]
 42:  567| [45] [「失礼します」]
 43:  572| [45] [ドアの向こうには、男が２人いた。]
 44:  577| [45] [恵那の姿を見止め、声をかけてくる。]
 45:  582| [47] [黒田]
 46:  585| [45] [「おぉ、お前が例の新人の子か」]
 47:  590| [47] [恵那]
 48:  593| [45] [「本日より配属された、椿山恵那と申します。宜しくお願いします」]
 49:  665| [47] [黒田]
 50:  668| [45] [「コミュニケーター管理課第一室長の黒田だ」]
 51:  678| [47] [比嘉]
 52:  681| [45] [「同じく管理官の比嘉」]
 53:  691| [47] [黒田]
 54:  694| [45] [「まぁ楽にしてくれ。うちは『ＢＣ警察』なんて揶揄される部署だが、無論本物の警察じゃない。そんなに格式ばらなくていい」]
 55:  699| [47] [恵那]
 56:  702| [45] [「は、恐れ入ります」]
 57:  707| [45] [そう言いつつも姿勢を崩さない恵那に、黒田と名乗った男は苦笑して言う。]
 58:  712| [47] [黒田]
 59:  715| [45] [「――まぁいいさ、仕事の話をしようか」]
 60:  720| [47] [黒田]
 61:  723| [45] [「聞いてるとは思うが、うちはＢＣに関する様々な行政活動を担っている部署でな」]
 62:  728| [47] [黒田]
 63:  731| [45] [「職域はコミュニケーターの保護・管理・監視から、ＢＣ関連の犯罪摘発まで、かなり手広くやっている」]
 64:  736| [47] [黒田]
 65:  739| [45] [「人員は文科省はもちろん、厚労省や察庁、公安などから出向した者で構成される」]
 66:  744| [47] [黒田]
 67:  747| [45] [「まぁよく言えばエキスパート集団、悪く言えば寄せ集め部隊さ」]
 68:  752| [47] [黒田]
 69:  755| [45] [「なにしろ年々コミュニケーターを取り巻く状況は緊迫化し、文科省だけでは対応できなくなってな」]
 70:  760| [47] [黒田]
 71:  763| [45] [「お前の親父さんがいた頃に比べると、大幅に組織も強化されたってわけさ」]
 72:  768| [47] [恵那]
 73:  771| [45] [「え……黒田室長は、父をご存知なのですか？」]
 74:  781| [47] [黒田]
 75:  784| [45] [「俺が若い頃、お世話になった上司だよ。あの人からは色んな事を教わったんだ」]
 76:  789| [47] [黒田]
 77:  792| [45] [「当時は椿山室長と俺を含めても、１０人しかいない小さな部署だったが、いまじゃすっかり大所帯さ」]
 78:  797| [47] [恵那]
 79:  800| [45] [「そうなんですか……！」]
 80:  805| [45] [役人としての父を知る者に出会い、恵那は嬉しくなった。]
 81:  810| [47] [黒田]
 82:  813| [45] [「さて椿山室長の娘さんよ、お前はどんな管理官になりたい？」]
 83:  818| [47] [恵那]
 84:  821| [45] [「父のような……命を賭してでもコミュニケーターを護る、そんな管理官になりたいです」]
 85:  826| [47] [黒田]
 86:  829| [45] [「……そうか」]
 87:  834| [45] [恵那が言うと、黒田は寂しげに笑った。]
 88:  839| [47] [黒田]
 89:  842| [45] [「お前には、親父さんのようにはなってほしくないな」]
 90:  847| [47] [恵那]
 91:  850| [45] [「え？」]
 92:  855| [47] [黒田]
 93:  858| [45] [「親父さんの足跡を追いたくなる気持ちはわかるが、お前はまだコミュニケーターの危険性をわかっちゃいない」]
 94:  863| [47] [黒田]
 95:  866| [45] [「そんな事じゃ、親父さんと同じ運命をたどっちまうぞ」]
 96:  871| [47] [恵那]
 97:  874| [45] [「……！？」]
 98:  879| [45] [語意を図りかねる恵那を、黒田は見据えた。]
 99:  884| [47] [黒田]
100:  887| [45] [「その事を俺たちに知らしめたのが、他でもない、椿山室長が保護を担当していたコミュニケーターだ」]
101:  892| [47] [黒田]
102:  895| [45] [「ＢＣ研究の被験体として、超心研に迎え入れられた女、通称『コミュニケーターＡ』」]
103:  900| [47] [黒田]
104:  903| [45] [「彼女は普通のコミュニケーターと違ってな、『センシズシンパシー』という極めて危険な能力を持っていたんだよ」]
105:  908| [47] [恵那]
106:  911| [45] [「センシズシンパシー……ですか？」]
107:  916| [45] [大学で超心理学を専攻した恵那も、聞いた事がない能力だった。]
108:  921| [47] [黒田]
109:  924| [45] [「知らないのも当然だ。国を挙げて隠している事だからな」]
110:  929| [47] [黒田]
111:  932| [45] [「これはＢＣの中でも、ずば抜けて危険な能力でな。我々がコミュニケーターの管理を厳しく行う理由に直結してるのさ」]
112:  975| [45] [――黒田はその能力について、恵那に説明した。]
113:  980| [45] [感覚同調。記憶操作。記憶消去。]
114:  985| [45] [そしてその果てに起きる、コミュニケーターの精神崩壊現象。]
115:  990| [45] [センシズシンパシーを繰り返す事で、コミュニケーターの自我は潰れ――]
116:  995| [45] [同時に悪意の塊となり、周囲に呪いに満ちた思念を撒き散らすのだと……。]
117: 1000| [45] [しかしそれは恵那にとっても、信じがたい話だった。]
118: 1044| [47] [恵那]
119: 1047| [45] [「……本当なのですか、その話？」]
120: 1052| [47] [黒田]
121: 1055| [45] [「嘘ついても始まらねぇだろう」]
122: 1060| [47] [黒田]
123: 1063| [45] [「ともかくコミュニケーターＡは、その生涯の中で幾度となくセンシズシンパシ―を使い、結果として悪意の塊になった」]
124: 1068| [47] [恵那]
125: 1071| [45] [「なぜ……！？　Ａはなんのために、そんな危険な能力を多用したのですか！？」]
126: 1076| [47] [恵那]
127: 1079| [45] [「そんなもの使う理由がないでしょう！？　父や超心研の研究員たちは、それを止めなかったのですか！？」]
128: 1084| [47] [黒田]
129: 1085| [45] [「……」]
130: 1090| [45] [答えない黒田を見て、恵那の胸に嫌な予感がよぎる。]
131: 1095| [47] [恵那]
132: 1098| [45] [「……まさか、超心研の研究員たちがＢＣ研究のために……彼女にセンシズシンパシーの使用を強いていたのでは……！」]
133: 1103| [47] [黒田]
134: 1106| [45] [「違う」]
135: 1111| [45] [恵那の言葉を、黒田は強く遮った。]
136: 1121| [47] [黒田]
137: 1124| [45] [「そういう風に誤解している奴が、うちの組織の内外にもいるが……真相は全く違うんだ」]
138: 1129| [47] [黒田]
139: 1132| [45] [「超心研は当時、コミュニケーターＡの治療をしようと全力を挙げたんだ」]
140: 1137| [47] [黒田]
141: 1140| [45] [「それに彼女が悪意の塊になったのは、日本に来てからの事じゃない」]
142: 1145| [47] [黒田]
143: 1148| [45] [「故郷フランスにいる時に、すでにその兆候が出てたんだよ」]
144: 1153| [47] [恵那]
145: 1156| [45] [「え……！？」]
146: 1175| [45] [目を見開く恵那に、黒田は古い雑誌を投げてよこした。]
147: 1219| [47] [恵那]
148: 1222| [45] [「これは……『アンドレジーの魔女狩り事件』の記事！？」]
149: 1227| [47] [黒田]
150: 1230| [45] [「さすが、よく知ってるな」]
151: 1235| [47] [恵那]
152: 1238| [45] [「学生時代に、自分で資料を探りましたから……」]
153: 1243| [45] [――恵那は大学で超心理学を専攻する中で、ＢＣの歴史について、かなり深い知識を蓄えていた。]
154: 1248| [45] [その中で、この事件についても、詳細を知ったのだ。]
155: 1253| [45] [２０１４年２月にフランスのアンドレジーで発生した、現代の魔女狩り事件……。]
156: 1258| [45] [被害者は、アリス・アンフラメという、当時１８歳の少女だった。]
157: 1263| [45] [彼女は幼少時から、様々な能力を発現し、それゆえ周囲の人間に疎まれていた。実の両親も含めて。]
158: 1268| [45] [にも関わらず彼女の両親は、アリスの能力を金儲けに使ったのだ。]
159: 1273| [45] [新興宗教団体を立ち上げ、アリスを『神の子』と呼び、テレパシーを『神託』などと言って信者から金を巻き上げる、要は詐欺行為だ。]
160: 1278| [45] [騙された人間からは恨みを買い、両親からは愛されず、しかも金儲けの道具に使われる日々……。]
161: 1283| [45] [その中で彼女の精神は、どれほど磨り減っていっただろう。]
162: 1288| [45] [さらに歳月が過ぎ、彼女が１６歳になった頃。新たな異変が起きた。]
163: 1293| [45] [教団の詐欺行為を糾弾しようとした弁護士らが、相次いで記憶を失い自失状態に陥るという、不可解な現象が起きたのだ。]
164: 1298| [45] [地元の警察は、教団関係者が薬品などを用いて、弁護士らに記憶障害を起こさせていると目したが……]
165: 1303| [45] [弁護士らの身体から薬物反応は出ず、捜査は進展しなかった。]
166: 1308| [45] [――だがそんな教団の裏も、ついに明かされる日が来た。]
167: 1313| [45] [遺伝子を検査する事で、『ＢＣ適性度』を知る方法が、ある科学者によって確立されたからだ。]
168: 1318| [45] [市井の人間にも、コミュニケーターの存在が認識され始めた。]
169: 1323| [45] [やがて教団の違法行為について探っていた者たちは思った。]
170: 1328| [45] [『アリスは神の子などではなく、コミュニケーターなんじゃないのか？』と。]
171: 1333| [45] [それを確かめるため、アリスの遺伝子検査を行うと――誰も見た事がない結果が現れた。]
172: 1338| [45] [『ＩＧＦ２Ｒ遺伝子異常　タイプＳ』]
173: 1343| [45] [アリスは世界で最初に確認された、適性度Ｓのコミュニケーターだったのだ。]
174: 1348| [45] [詐欺の被害者も、信者たちも、その結果に激怒した。]
175: 1353| [45] [『神の子だと思われていた少女は、遺伝子変異を起こした、ただの人間だった』]
176: 1358| [45] [『アリスは壊れた遺伝子から発現する異様な能力を用いて、人々を騙していた、薄汚い詐欺師だ』]
177: 1363| [45] [『彼女の力は、断じて神の力などではない』]
178: 1368| [45] [『むしろ悪魔によってもたらされたもの――魔女の力だ』]
179: 1373| [45] [信心深い人々は、その妄想に取り憑かれた。]
180: 1378| [45] [騙された怒りが募り、コミュニケーターに対する恐れと相まって、やがてそれらの悪意が臨界に達した時――人々は暴徒と化した。]
181: 1383| [45] [アリスたち一家の住家であり、教団の教会でもあった建物が、焼き討ちにあったのだ。]
182: 1388| [45] [アリスの両親は火災により焼死したが、アリス自身は炎上する教会から、からくも逃げた。]
183: 1393| [45] [そして翌朝、地元の消防隊が彼女を保護した時……]
184: 1398| [45] [そこには異様な光景が拡がっていた。]
185: 1403| [45] [アリスを襲おうとした暴徒たちが、みな意識を失い、彼女の周囲に倒れていたのだ。]
186: 1446| [45] [……そしてアリスはその後、消息を絶った。]
187: 1452| [45] [これが『アンドレジーの魔女狩り事件』の顛末。]
188: 1457| [45] [対コミュニケーターテロの歴史の、最初の１ページだった。]
189: 1462| [45] [あらかじめ恵那も知っていた事件ではあったが――黒田から聞いた話と繋ぎ合わせると、新たな真実が浮かび上がってくる。]
190: 1467| [47] [恵那]
191: 1468| [45] [（この記事には書いてないけど……ひょっとしてアリスは、センシズシンパシーを使えた……！？）]
192: 1473| [47] [恵那]
193: 1474| [45] [（じゃあ弁護士らが相次いで記憶を失ったというのは、アリスの記憶操作によるものなの？）]
194: 1479| [47] [恵那]
195: 1480| [45] [（暴徒たちが気絶したのも、彼女がその能力で、身を護ろうとした結果……！？）]
196: 1524| [45] [だが、それより大事な事があった。]
197: 1529| [45] [恵那は震える声で、黒田に尋ねる。]
198: 1534| [47] [恵那]
199: 1537| [45] [「ど……どうして私に、この記事を見せたのですか……？」]
200: 1542| [47] [恵那]
201: 1545| [45] [「父の話が、なぜこの記事と繋がるのですか？」]
202: 1555| [47] [黒田]
203: 1558| [45] [「決まってるだろう。お前の親父さんが、生前保護したコミュニケーターというのが――」]
204: 1563| [47] [黒田]
205: 1566| [45] [「そのアリス・アンフラメ。後の『コミュニケーターＡ』だったからさ」]
206: 1571| [47] [恵那]
207: 1574| [45] [「ッ！！」]
208: 1579| [45] [愕然とする恵那に、黒田が続ける。]
209: 1584| [47] [黒田]
210: 1587| [45] [「魔女狩り事件の後、世界中でコミュニケーターの差別・迫害が頻発した」]
211: 1592| [47] [黒田]
212: 1595| [45] [「だが当時の鹿鳴市と超心研は、その流れに逆行し、コミュニケーターの保護を進めたんだ」]
213: 1600| [47] [黒田]
214: 1603| [45] [「差別を受けたコミュニケーターに、鹿鳴市への移住を勧め、ＢＣ研究の被験体になる代わりに生活を全面支援する……」]
215: 1608| [47] [黒田]
216: 1611| [45] [「平穏に暮らしたいコミュニケーターと、ＢＣ研究を進めたい超心研の、利害が一致したのさ」]
217: 1616| [47] [黒田]
218: 1619| [45] [「そして奇しくも超心研に最初に迎えられ、椿山室長が保護を担当したのが、他でもないコミュニケーターＡだったんだ」]
219: 1624| [47] [恵那]
220: 1627| [45] [「そんな……！　そんな事って……！」]
221: 1632| [47] [黒田]
222: 1635| [45] [「またも信じられないようだな。じゃあこれを読んでみろ」]
223: 1684| [45] [黒田は恵那に、プリントアウトした紙束を渡して言う。]
224: 1689| [47] [黒田]
225: 1692| [45] [「椿山室長が記した、Ａの保護観察日記だ」]
226: 1697| [47] [黒田]
227: 1700| [45] [「彼の使用していた官製ＰＣに残っていた。正式な報告日誌ではなく、単なる個人的な記録のようだが……」]
228: 1705| [47] [黒田]
229: 1708| [45] [「当時この街で何が起きたかを知るには、極めて重要な資料だ」]
230: 1719| [45] [恵那は言われるままに、父の日記を読む。]
231: 1724| [45] [それはどんな資料にもなかった記録。]
232: 1729| [45] [罪の時代を乗り越え生き延びたアリスの、『その後の日々』が記されていた。]
233: 1824| [85] [　]
234: 1827| [45] [【４月５日】]
235: 1831| [85] [　]
236: 1834| [45] [――本日から、鹿鳴市と超心研が外部から迎え入れた第１号コミュニケーターの保護観察を開始した。]
237: 1841| [85] [　]
238: 1844| [45] [担当管理官は私。]
239: 1848| [85] [　]
240: 1851| [45] [文科省内で、教育及び発達心理学畑を歩いてきた]
241: 1854| [45] [経歴を買われたのだろう。]
242: 1858| [85] [　%N　%N]
243: 1861| [45] [そして補佐管理官として黒田くん。]
244: 1864| [45] [警察庁から出向してきた好青年だ。]
245: 1868| [85] [　]
246: 1873| [45] [彼は逮捕術や日拳など格技の達人で、]
247: 1876| [45] [私のボディーガード役も兼任しているらしい。]
248: 1880| [85] [　%N　%N]
249: 1883| [45] [しかしボディガードとは……]
250: 1886| [45] [上は相当、今回の保護対象者について警戒しているらしい。]
251: 1890| [85] [　]
252: 1893| [45] [無理もない。]
253: 1897| [85] [　]
254: 1900| [45] [私が担当する事になったコミュニケーターは、あのアリス・アンフラメだからだ。]
255: 1907| [85] [　%N　%N]
256: 1910| [45] [だが実際に会ってみれば、]
257: 1913| [45] [アリスは１８歳という年相応の、あどけなさの残る少女だった。]
258: 1917| [45] [もっとも故郷で酷い迫害にあったためか、]
259: 1920| [45] [いつも怯えた目をしている。]
260: 1924| [45] [日本に来たばかりで、]
261: 1927| [45] [環境に順応できていないというのも一因となっているのだろう。]
262: 1931| [85] [　]
263: 1934| [45] [我々が彼女を護らねばならない。]
264: 1938| [85] [　%N　%N]
265: 1941| [45] [なおアリスには過去を隠すための意図もあり、]
266: 1944| [45] [超心研の研究員によって、『コミュニケーターＡ』という識別名が振られた。]
267: 1951| [45] [しかしあまりにも無味乾燥な名前ではないか？]
268: 1954| [45] [彼女は実験動物じゃないんだぞ。]
269: 1958| [85] [　]
270: 1961| [45] [せめてこの日記の中だけは、彼女を『アリス』と呼ぶ事にする。]
271: 1964| [45] [名前は大事だからな。]
272: 1974| [85] [　]
273: 1977| [45] [【４月７日】]
274: 1981| [85] [　]
275: 1984| [45] [――アリスの担当研究員が決まった。]
276: 1988| [45] [研究チームのリーダーとなったのは、安曇。]
277: 1991| [45] [私の学生時代からの親友でもあり、非常に信頼のおける男だ。]
278: 1995| [45] [あいつならば安心して、アリスを任せる事ができる。]
279: 1999| [85] [　]
280: 2002| [45] [もっともまだアリスは、怯えてばかりだが……]
281: 2005| [45] [じっくり時間をかけて、心を開いていこう。]
282: 2015| [85] [　]
283: 2018| [45] [【５月５日】]
284: 2022| [85] [　]
285: 2025| [45] [アリスが日本に来て、早１ヶ月が過ぎた。]
286: 2028| [45] [怯えてばかりいた彼女も、少しずつ環境に慣れてきたようだ。]
287: 2032| [85] [　]
288: 2035| [45] [最初は一切コミュニケーションが成立しなかったが、]
289: 2038| [45] [徐々に私たちと、意思を通わせようとするそぶりが見えてきた。]
290: 2042| [85] [　%N　%N]
291: 2045| [45] [私も黒田くんも安曇も、アリスに対して、心の底から優しく接している。]
292: 2052| [45] [だがアリスはどちらかといえば、安曇に最も心を開いているようだ。]
293: 2055| [45] [若干妬ける。]
294: 2059| [85] [　]
295: 2062| [45] [まぁ私には妻がいるし、恵那もいるし、別に悔しくはないさ。]
296: 2066| [45] [（もっとも黒田くんは独身なので、本気で悔しがっていた。]
297: 2069| [45] [哀れなり）]
298: 2079| [85] [　]
299: 2082| [45] [【５月１３日】]
300: 2086| [85] [　]
301: 2089| [45] [実験漬けの日々の中、]
302: 2092| [45] [私たちはあれこれと、日本の事をアリスに教えている。]
303: 2096| [85] [　]
304: 2099| [45] [その甲斐もあって、今日アリスが１つ日本語を覚えた。]
305: 2102| [45] [『こにちわ』という、たどたどしい挨拶。]
306: 2106| [85] [　]
307: 2109| [45] [だがそれを聞いた時、恵那が初めて喋った時のような感動を覚えた。]
308: 2113| [85] [　%N　%N]
309: 2116| [45] [私たちは嬉しくなって、アリスの故郷の言葉で口々に答えた。]
310: 2120| [85] [　%N]
311: 2123| [45] [『ボンジュール』『ボンソワール』『サリュ』]
312: 2126| [45] [『メルシー』『セシボン』『トレビアン』など、思いつく限り。]
313: 2130| [85] [　]
314: 2133| [45] [後半は関係ないな。それに発音もメチャクチャだっただろう。]
315: 2137| [45] [我々のヘタクソなフランス語を聞いて、]
316: 2140| [45] [アリスは少しだけ微笑んでくれたのだ。]
317: 2150| [85] [　]
318: 2153| [45] [【５月２７日】]
319: 2157| [85] [　]
320: 2160| [45] [超心研には我々のチームだけではなく、別の研究チームもある。]
321: 2164| [45] [それぞれ個別にコミュニケーターを担当し、]
322: 2167| [45] [各種能力開発や実験を行っているのだ。]
323: 2171| [85] [　%N]
324: 2174| [45] [今日は別のチームとの情報交換を行った。]
325: 2178| [45] [コミュニケーターＳこと天川瞬氏と、天川美夜子研究員のチームは、]
326: 2181| [45] [早くもいくつかの成果を見せている。]
327: 2185| [85] [　%N　%N]
328: 2188| [45] [我々は心理学方面からアプローチしているが、]
329: 2191| [45] [向こうは物理学的な手法によって、ＢＣという能力を解き明かそうとしているようだ。]
330: 2198| [85] [　]
331: 2201| [45] [さすが我が国きっての高適性度コミュニケーターと、若き天才物理学者の夫婦だな。]
332: 2208| [45] [とりわけ天川美夜子研究員は身重だというのに、舌鋒鋭く様々な意見を挙げ、実にいい刺激になった。]
333: 2221| [85] [　]
334: 2224| [45] [【６月２２日】]
335: 2228| [85] [　]
336: 2231| [45] [今日は大事件が起きた。]
337: 2234| [45] [天川美夜子研究員が急に産気づき、病院に運ばれたのだ。]
338: 2238| [85] [　]
339: 2241| [45] [超心研に残った我々もやきもきしたが、無事出産できたらしい。]
340: 2245| [45] [いつも飄々としている天川瞬氏も、我が子の誕生に際し、滂沱の涙を流したそうな。]
341: 2252| [85] [　]
342: 2255| [45] [アリスも状況を理解すると、満面の笑みを浮かべていた。]
343: 2259| [45] [新たな命が生まれる事のめでたさは、万国共通なのだ。]
344: 2269| [85] [　]
345: 2272| [45] [【６月２９日】]
346: 2276| [85] [　]
347: 2279| [45] [……黒田くんは今時珍しい、喫煙者らしい。]
348: 2282| [45] [私がそれを認識していなかったのは、配慮不足だった。]
349: 2286| [85] [　]
350: 2289| [45] [黒田くんが喫煙所で煙草を吸おうとした時、]
351: 2292| [45] [たまたまそこを通りがかったアリスが……]
352: 2295| [45] [ライターの火を見たとたん、突然泣き出したのだ。]
353: 2299| [85] [　%N　%N]
354: 2302| [45] [家が焼き討ちにあった時の記憶を思い出したのだろう。]
355: 2305| [45] [黒田くんは悪くないが、今後は厳重注意せねばならない。]
356: 2309| [85] [　]
357: 2312| [45] [なお彼女が落ち着くまで、安曇は彼女の髪をずっと撫でていた。]
358: 2315| [45] [泣く子をあやすように――]
359: 2325| [85] [　]
360: 2328| [45] [【７月２日】]
361: 2332| [85] [　]
362: 2335| [45] [それにしても近頃、安曇がアリスに向けるまなざしは、研究者としてのそれではない気がする。]
363: 2342| [85] [　]
364: 2345| [45] [親愛の情がこもった視線。]
365: 2348| [45] [それは親子のようでもあり、恋人のようでもあり……。]
366: 2351| [45] [アリスも安曇の事を、憎からず思っているようだ。]
367: 2355| [85] [　%N　%N]
368: 2358| [45] [安曇もこの年齢まで浮いた話一つなく、研究一筋で生きていたが、]
369: 2361| [45] [ようやく春が来たのかもしれない。]
370: 2365| [85] [　]
371: 2368| [45] [……などと考えるのは、邪推だろうか？]
372: 2372| [85] [　]
373: 2375| [45] [いずれにせよ２人の未来に、幸多からん事を祈るばかりである。]
374: 2385| [85] [　]
375: 2388| [45] [【７月５日】]
376: 2392| [85] [　]
377: 2395| [45] [問題が発生した。]
378: 2399| [85] [　]
379: 2402| [45] [鹿鳴市がコミュニケーターを誘致している事について、異を唱える市民団体が現れたのだ。]
380: 2409| [85] [　]
381: 2412| [45] [我々はむろん気にも留めないが、問題はアリスの反応だ。]
382: 2416| [85] [　%N　%N]
383: 2419| [45] [昨日などは超心研の前で、市民団体がデモ活動を行っていた。]
384: 2423| [85] [　]
385: 2427| [45] [拡声器を用いて、シュプレヒコールを叫ぶという、]
386: 2430| [45] [古典的な抗議運動。]
387: 2434| [85] [　]
388: 2437| [45] [彼らは彼らの正義を信じて、己の意見を主張しているのだろう。]
389: 2441| [85] [　%N　%N]
390: 2444| [45] [だがそれを聞いた時のアリスの怯えようと言ったら、ただ事ではなかった。]
391: 2451| [85] [　]
392: 2454| [45] [彼女は耳を塞ぎ、泣き叫び、うずくまって震えていた。]
393: 2457| [45] [まるで子供のように……。]
394: 2461| [85] [　]
395: 2464| [45] [鎮静剤を打って眠らせるまで、彼女のパニック状態は続いた。]
396: 2468| [85] [　%N　%N]
397: 2471| [45] [恐らく故郷で遭遇した、焼き討ち事件の事を思い出したのだろう。]
398: 2475| [85] [　]
399: 2478| [45] [その恐怖の記憶から逃れるために、ようやくたどりついたこの安息の地で――]
400: 2485| [85] [　]
401: 2488| [45] [彼女はまたしても、迫害を受けてしまったのだ。]
402: 2498| [85] [　]
403: 2501| [45] [【７月１１日】]
404: 2505| [85] [　]
405: 2508| [45] [またしても市民団体が、]
406: 2511| [45] [今度は直接施設内に乗り込んできて抗議をしてきた。]
407: 2515| [85] [　]
408: 2518| [45] [警備員につまみ出してもらったが……不愉快だ。]
409: 2528| [85] [　]
410: 2531| [45] [【７月１５日】]
411: 2535| [85] [　]
412: 2538| [45] [今日はフリージャーナリストと名乗る輩が、取材にやってきた。]
413: 2541| [45] [『アンドレジーの魔女狩り事件』のその後を追っているらしい。]
414: 2545| [85] [　]
415: 2548| [45] [あのような連中が来るたびに、アリスはひどく怯える。]
416: 2551| [45] [くそ、彼女の過去を暴き立てて、何が楽しいんだ……！？]
417: 2555| [85] [　]
418: 2558| [45] [何が報道の自由だ、社会正義だ。]
419: 2568| [85] [　]
420: 2571| [45] [【７月３０日】]
421: 2575| [85] [　]
422: 2578| [45] [……ここのところ、アリスの様子がおかしい。]
423: 2582| [85] [　]
424: 2585| [45] [以前のようにパニックを起こす事はないが、]
425: 2588| [45] [どこか反応が薄くなっている。]
426: 2592| [85] [　%N　%N]
427: 2595| [45] [その目は、時々何も見ていないように虚ろになる。]
428: 2598| [45] [その耳には、安曇の声さえ届かない時がある。]
429: 2602| [85] [　]
430: 2605| [45] [どうしてこんな事になってしまったのか……？]
431: 2608| [45] [我々は必死で原因を探っているが、まったく手がかりがつかめない。]
432: 2612| [85] [　%N　%N]
433: 2615| [45] [コミュニケーターもＢＣという能力自体も、あらゆる意味で未知の部分が多い。]
434: 2622| [45] [しかし途方に暮れている場合ではない。]
435: 2626| [85] [　]
436: 2629| [45] [わからないものを、わからないものとして放置するわけにはいかない。]
437: 2636| [85] [　]
438: 2639| [45] [我々が『超心理学』の歴史を作るのだ。アリスと共に。]
439: 2649| [85] [　]
440: 2652| [45] [【８月１１日】]
441: 2656| [85] [　]
442: 2659| [45] [アリスの心の病状は、悪化の一途を辿っている。]
443: 2662| [45] [通常の精神的疾患とは、全く異質なものだ。]
444: 2666| [85] [　]
445: 2669| [45] [例の事件によって]
446: 2672| [45] [ＡＳＤもしくはＰＴＳＤを発症しているかと思っていたのだが、]
447: 2675| [45] [それらとは明らかに違う。]
448: 2679| [85] [　%N　%N]
449: 2682| [45] [まず彼女の自我は、非常に脆弱なものとなっている。]
450: 2685| [45] [自分が誰なのかという認識を、しばしば見失う。]
451: 2689| [85] [　]
452: 2692| [45] [その一方で、全く別人のパーソナリティを、]
453: 2695| [45] [あたかも自分のものとして語る事もある。]
454: 2699| [85] [　%N　%N]
455: 2702| [45] [乖離性同一性障害や統合失調症に似た部分もあるが、]
456: 2705| [45] [それらとは根本的に異なるのだ。]
457: 2709| [85] [　]
458: 2712| [45] [文字通り、『自分を失う』状態。]
459: 2716| [85] [　]
460: 2720| [45] [我々は便宜上、これを『Ｎ化（Ｎｏｂｏｄｙ化）現象』と名づけた。]
461: 2724| [85] [　%N　%N]
462: 2727| [45] [Ｎ化現象の原因はまだわかっていない。]
463: 2731| [85] [　]
464: 2734| [45] [コミュニケーターならば誰でも普遍的に抱えうる疾患なのか、]
