  0:  136| [55] [√After Chapter 2]
103: 1160| [45] [But before Ukita could continue his ranting and raving--]
104: 1240| [47] [Yuuri]
105: 1243| [45] ["P-please stop!"]
106: 1248| [45] [a tearful voice echoed around them.]
107: 1339| [47] [Ukita]
108: 1342| [45] ["--!?"]
109: 1350| [47] [Watase]
110: 1353| [45] ["Y-Yuuri!?"]
111: 1361| [47] [Yuuri]
112: 1364| [45] ["D-don't panic...! People d-died there, right...?"]
113: 1372| [47] [Yuuri]
114: 1375| [45] ["If something like that happens again...!"]
115: 1380| [45] [It was the first time Watase had ever seen a look like that on Yuuri's face.]
116: 1385| [45] [It was still strained with fear, but there was a clear, fierce will in her eyes--]
117: 1390| [45] [Rationality returned to Ukita's eyes as soon as he heard her.]
118: 1416| [47] [Ukita]
119: 1419| [45] ["Ah... s-sorry..."]
120: 1427| [47] [Ukita]
121: 1430| [45] ["To think I of all people... would lose my composure like that.."]
122: 1438| [47] [Watase]
123: 1441| [45] ["... It's only natural."]
124: 1467| [47] [Kazami]
125: 1470| [45] ["By the way, were those researchers perchance acquaintances of yours, Mr. Ukita?"]
126: 1496| [47] [Ukita]
127: 1499| [45] ["No... to be honest, I don't know them."]
128: 1507| [47] [Watase]
129: 1510| [45] ["Huh?"]
130: 1536| [47] [Ukita]
131: 1539| [45] ["I-it's not my fault! The odds of ever seeing someone who doesn't work in your area are particularly low in this facility."]
132: 1544| [45] [There was something about Ukita's explanation that didn't sit right with Watase.]
133: 1549| [47] [Watase]
134: 1550| [45] [(If he didn't know them, then what was he getting so worked up for?)]
135: 1555| [45] [But Ena suddenly cut in.]
136: 1581| [47] [Ena]
137: 1584| [45] ["But still... why were they killed...?"]
138: 1610| [47] [Ukita]
139: 1613| [45] ["M-mmm... perhaps they were trying to steal AD?"]
140: 1621| [47] [Watase]
141: 1624| [45] ["No, I doubt that. There was still AD in that room, after all."]
142: 1632| [47] [Watase]
143: 1635| [45] ["The bigger question is why the killer had a gun. At least, it is to me..."]
144: 1661| [47] [Ena]
145: 1664| [45] ["Good point..."]
146: 1669| [45] [Ukita's eyes suddenly widened in shock at that moment.]
147: 1695| [47] [Ukita]
148: 1698| [45] ["Everyone, it would be best to be careful... the killer might still be in this facility."]
149: 1706| [47] [Watase]
150: 1709| [45] ["What!?"]
151: 1717| [47] [Ukita]
152: 1720| [45] ["If those three were killed after the lockdown began--"]
153: 1728| [47] [Ukita]
154: 1731| [45] ["Then naturally, that means the killer is also trapped in this facility, just like we are...!"]
155: 1739| [47] [Watase]
156: 1742| [45] ["!"]
157: 1768| [47] [Ukita]
158: 1771| [45] ["If someone with a gun is lurking around LABO... then it's not just fire and radiation we have to worry about."]
159: 1797| [47] [Ena]
160: 1800| [45] ["Wh-what the hell are you talking about!?"]
161: 1808| [47] [Ena]
162: 1811| [45] ["You're not saying that you suspect my students, are you!?"]
163: 1837| [47] [Ukita]
164: 1840| [45] ["No, that wasn't what I was getting at! There's no way children could do something so heartless, right!?"]
165: 1912| [47] [Ukita]
166: 1915| [45] ["But there might be someone dangerous still in the facility..."]
167: 1923| [47] [Ukita]
168: 1926| [45] ["So all I'm saying is that it might be best not to move around carelessly, even if we're here to search."]
169: 1952| [47] [Ena]
170: 1955| [45] ["Huh!? Quit acting like a spoiled brat!"]
171: 1963| [47] [Ena]
172: 1966| [45] ["That's all the more reason why we have to find my students quickly--"]
173: 1971| [45] [Watase frantically cut in just as it looked like another argument was about to start.]
174: 1987| [47] [Watase]
175: 1990| [45] ["Hold on a second, Mr. Ukita!"]
176: 2016| [47] [Ukita]
177: 2019| [45] ["Wh-what is it?"]
178: 2027| [47] [Watase]
179: 2030| [45] ["It's far too soon to assume the killer is trapped with us!"]
180: 2038| [47] [Watase]
181: 2041| [45] ["The killer should also be afraid of the fires and radiation, so why would they ever go out of their way to kill a rescue worker!?"]
182: 2067| [47] [Ena]
183: 2070| [45] ["Yes, Captain Kasasagi is right!"]
184: 2096| [47] [Ukita]
185: 2099| [45] ["Mmph..."]
186: 2104| [45] [Ukita shut his mouth at Watase and Ena's combined assault, with Kazami soon backing them up.]
187: 2116| [47] [Watase]
188: 2119| [45] ["Calm down, Teach! What Mr. Ukita's saying isn't really wrong, is it!?"]
189: 2145| [47] [Ena]
190: 2148| [45] ["What was that...? Are you two idiots!?"]
191: 2156| [47] [Watase]
192: 2159| [45] ["'Idiots'!?"]
193: 2167| [47] [Ena]
194: 2170| [45] ["Isn't it clearly way too early to assume that the killer is trapped here with us?"]
195: 2178| [47] [Ena]
196: 2181| [45] ["Even the killer should be afraid of the radiation and fires, so what reason would they have had to go out of their way to kill a rescue worker?"]
197: 2189| [47] [Watase]
198: 2192| [45] ["Mmph... that's certainly true..."]
199: 2197| [45] [Watase found himself shutting up at Ena's logic, with Kazami soon backing her up.]
200: 2225| [47] [Kazami]
201: 2228| [45] ["Yes... and what's more, the AD Dojima had was destroyed."]
202: 2254| [47] [Kazami]
203: 2257| [45] ["If Dojima had been killed after the lockdown started, the killer would have never broken it."]
204: 2265| [47] [Kazami]
205: 2268| [45] ["Those three were probably killed before the lockdown."]
206: 2294| [47] [Kazami]
207: 2297| [45] ["I don't know what the culprit's goal was... but if my theory is correct, then they should have had plenty of time after the murder to escape."]
208: 2302| [45] [Kazami's tone was calm, but her eyes were wavering.]
209: 2307| [45] [She too was grieving, and yet here she was, desperately reprimanding Ukita and Ena.]
210: 2333| [47] [Ukita]
211: 2336| [45] ["B-but... I'm just worrying about your safety as a member of this facility..."]
212: 2344| [47] [Kazami]
213: 2347| [45] ["Like I was saying, the killer's already escaped. We should go with that--"]
214: 2352| [45] [But before Kazami could say any more,]
215: 2364| [45] [a beep suddenly echoed through the hallway.]
