  0:   64| [45] [――そうしてラボの真実を知った、あの夜から――]
 77:  658| [45] [「なのでＰＤＡを用意し、私の友人にそこに届けてもらった」]
 78:  666| [47] [宇喜多]
 79:  669| [45] [「なに？　なんでわざわざそんな回りくどい事を……」]
 80:  677| [47] [宇喜多]
 81:  680| [45] [「どのみち直接会わないなら、先ほどの電話で、そのまま話せばよかったじゃないか？」]
 82:  685| [47] [？？]
 83:  688| [45] [「おや、知らないのかね？　鹿鳴市において、あらゆる電話は――」]
 84:  693| [47] [？？]
 85:  696| [45] [「盗聴されているという事を」]
 86:  719| [47] [宇喜多]
 87:  722| [45] [「なっ！」]
 88:  727| [45] [宇喜多は息を呑んだ。]
 89:  732| [45] [確かにそんな噂を聞いた事はあるものの、たちの悪いジョークだと思っていたのに――]
 90:  737| [47] [？？]
 91:  740| [45] [「市内で取り交わされる膨大な通話音声。それは鹿鳴市が用意した、音声分析システムにかけられる」]
 92:  745| [47] [？？]
 93:  748| [45] [「そして不穏なキーワードが含まれている音声があったら、自動でピックアップし、保安課に通知されるんだ」]
 94:  753| [47] [？？]
 95:  756| [45] [「そう、例えば――『あなた方は鹿鳴市の事を許せますか？』などという発言などはね」]
 96:  764| [47] [宇喜多]
 97:  767| [45] [「で、では、この会話も盗聴されて……？」]
 98:  772| [47] [？？]
 99:  775| [45] [「いや、このＰＤＡは中継局を挟まず、直接通信するデジタル無線機だ」]
100:  780| [47] [？？]
101:  783| [45] [「信号は暗号化されているし、盗聴される心配はない」]
102:  791| [47] [宇喜多]
103:  794| [45] [「……っ」]
104:  799| [45] [話しているうちに、宇喜多の背筋は冷えてきた。]
105:  804| [45] [盗聴の件にも驚愕したが、この通話の相手の用意周到さが、不気味に思えてきたのだ。]
106:  809| [47] [？？]
107:  812| [45] [「ともかく安心してくれたまえ。このＰＤＡでなら、思うさま我々のしたい話ができる」]
108:  820| [47] [宇喜多]
109:  823| [45] [「い、いや、その前に……聞かせてくれ」]
110:  831| [47] [宇喜多]
111:  834| [45] [「君はいったい何者なんだ？」]
112:  839| [47] [？？]
113:  842| [45] [「私か。私は――」]
114:  847| [45] [宇喜多の問いに、男は答えた。]
115:  852| [47] [？？]
116:  855| [45] [「『Ｑ』と言えば、おわかりいただけるかな？」]
117:  863| [47] [宇喜多]
118:  866| [45] [「Ｑ！？　あのコミュニケーターを眼の敵にしている、テロリスト集団の事か！？」]
119:  871| [47] [Ｑ]
120:  874| [45] [「いや。我々はテロリストなどではない」]
121:  879| [47] [Ｑ]
122:  882| [45] [「それについては、きちんと話させてもらうつもりだが――その前に、私は君に提案したい」]
123:  887| [47] [Ｑ]
124:  890| [45] [「君はもう承知しているかと思うが、君が相手にしようとしているものは個人で戦うには巨大過ぎる」]
125:  895| [47] [Ｑ]
126:  898| [45] [「そこでどうだろう？　君の目的のために、我々を利用してみては」]
127:  906| [47] [宇喜多]
128:  909| [45] [「ば、馬鹿な！　僕の目的は、ラボに囚われているコミュニケーターを救う事だ！」]
129:  917| [47] [宇喜多]
130:  920| [45] [「コミュニケーターを憎んでいるあんた方の手を借りるわけには――」]
131:  925| [47] [Ｑ]
132:  928| [45] [「いや。我々が憎んでいるのはコミュニケーターなどではない」]
133:  936| [47] [宇喜多]
134:  939| [45] [「え、なんだと……？」]
135:  944| [47] [Ｑ]
136:  947| [45] [「我々は確かにコミュニケーターを嫌っている。だが我々が最も憎んでいるのは、鹿鳴市だ」]
137:  955| [47] [宇喜多]
138:  958| [45] [「なぜ、鹿鳴市を？」]
139:  963| [47] [Ｑ]
140:  966| [45] [「Ｑはかつて、テロ組織ではなかった。単なる善意の市民団体だったのだ」]
141:  971| [47] [Ｑ]
142:  974| [45] [「その頃我々は、世に訴えかけた。『人に心を読まれたくない、そう思うのは当然の権利のはずだ』と」]
143:  979| [47] [Ｑ]
144:  982| [45] [「だがそれがまずかったらしい。そこに目をつけた鹿鳴市の連中が、我々をテロ組織に仕立て上げたのだよ」]
145: 1033| [45] [――宇喜多はＱがテロリスト集団になった、その契機を聞かされた。]
146: 1038| [45] [２０１４年９月１６日、『Ａ』というコミュニケーターによって、鹿鳴市同時多発火災が引き起こされたこと。]
147: 1043| [45] [だがその事実は隠蔽され、事件は全てＱのせいにされてしまったこと。]
148: 1048| [45] [その後、Ａはラボに幽閉され――１年後、ラボの中で没したこと。]
149: 1053| [45] [その話を聞き終えた時、宇喜多の中で全ての情報が１つに繋がった。]
150: 1058| [47] [宇喜多]
151: 1059| [45] [（そうか……だからラボは、Ａと同等の力を持つ強力なコミュニケーターを、ラボの地下に幽閉して……！）]
152: 1064| [45] [Ａと同格のコミュニケーターを被験体にできれば、ラボの研究は大幅に飛躍するだろう。]
153: 1069| [45] [故にこれまでラボは、多大な成果を上げる事ができたのだ。]
154: 1111| [47] [宇喜多]
155: 1114| [45] [「……つまり鹿鳴市同時多発火災の真犯人は、コミュニケーターＡと、その悪意に感染した１５人の男女という事か……」]
156: 1119| [47] [Ｑ]
157: 1122| [45] [「ああ。そしてこの１５人は、我々とはなんの関係もない。たまたま街に居合わせた、一般人たちだ」]
158: 1127| [47] [Ｑ]
159: 1130| [45] [「だが事件の真相は、鹿鳴市によって隠蔽された。すると事件のつじつまが合わなくなる」]
160: 1135| [47] [Ｑ]
161: 1138| [45] [「『無関係な男女１５名が、偶然同じ夜に放火事件を起こした』――そんな荒唐無稽な話、誰も信じるわけがない」]
162: 1143| [47] [Ｑ]
163: 1146| [45] [「そこで鹿鳴市の連中は、つじつまを合わせるため、スケープゴートを用意する事にした。それが我々の団体だった」]
164: 1151| [47] [Ｑ]
165: 1154| [45] [「我々は『コミュニケーターを憎むあまりに、街中に火を放った過激派』というレッテルを貼られ――」]
166: 1159| [47] [Ｑ]
167: 1162| [45] [「１５名の真犯人と一緒くたに、同時多発火災の犯人という事にされた」]
168: 1167| [47] [Ｑ]
169: 1170| [45] [「そして我々は投獄された。そこから出てきた頃には、我々の団体は消滅していた。元のメンバーも散り散りになった」]
170: 1175| [47] [Ｑ]
171: 1178| [45] [「後から無実を訴えても、誰も信じてくれない。このまま我々の声は、消えて行くかと思われたが……我々は諦めなかった」]
172: 1183| [47] [Ｑ]
173: 1186| [45] [「数年後、散り散りになったメンバーを集め、現在の組織を再結成したのだ」]
174: 1191| [47] [Ｑ]
175: 1194| [45] [「鹿鳴市が我々をテロ組織だというのなら、その嘘を真実に変えてやろうと思った」]
176: 1199| [47] [Ｑ]
177: 1202| [45] [「そのためには、我々は手段を選ばない……！　たとえ、武器を取る事になろうともだ」]
178: 1210| [47] [宇喜多]
179: 1213| [45] [「なぜそこまでして？　自分たちの無実を証明するためか？」]
180: 1218| [47] [Ｑ]
181: 1221| [45] [「それだけではない、断じて違う。我らはこの社会を護るために、この道を選んだのだ」]
182: 1229| [47] [宇喜多]
183: 1232| [45] [「この社会のため……だと？」]
184: 1237| [47] [Ｑ]
185: 1240| [45] [「……鹿鳴市同時多発火災の真相から鑑みても、ＢＣという能力は極めて危険なものだ」]
186: 1245| [47] [Ｑ]
187: 1248| [45] [「本来、人類が扱うには、あまりにもリスクの大きな力なのだよ」]
188: 1271| [47] [宇喜多]
189: 1274| [45] [「っ……！」]
190: 1279| [45] [宇喜多は息を呑む。]
191: 1284| [45] [それは奇しくも、かつて宇喜多が尊敬していた女性が口にした言葉だった。]
192: 1289| [47] [Ｑ]
193: 1292| [45] [「君ももうわかるだろう？　ＢＣは決して、世に知られているほど安全なものではないと」]
194: 1300| [47] [宇喜多]
195: 1303| [45] [「あ、ああ……」]
196: 1308| [47] [Ｑ]
197: 1311| [45] [「だが真実の姿は一般人には知られることなく、良い面だけが強調されている」]
198: 1316| [47] [Ｑ]
199: 1319| [45] [「たとえ問題が生じても、秘密裏に処理され、隠蔽され、あるいは偽りに塗り固められた形で公表される」]
200: 1324| [47] [Ｑ]
201: 1327| [45] [「我々が真に許せないのは、そこなのだ……！」]
202: 1332| [47] [Ｑ]
203: 1335| [45] [「一部の人間が社会の動向を左右し、その裏で個人の尊厳は踏みにじられ、そして顧みられる事さえない」]
204: 1340| [47] [Ｑ]
205: 1343| [45] [「それが当たり前だというのなら、社会の仕組みだと言うのなら――」]
206: 1348| [47] [Ｑ]
207: 1351| [45] [「その仕組みから外れてでも、異を唱えねばならないのではないか？」]
208: 1356| [47] [Ｑ]
209: 1359| [45] [「身をもって、この欺瞞に満ちた社会に、厳然たる問いを突きつけなければならないのではないか！？」]
210: 1364| [45] [男の一言一言が、宇喜多の心を打つ。]
211: 1369| [45] [それは被験体の存在を知って以来、宇喜多がずっと思ってきた事だったからだ。]
212: 1374| [47] [Ｑ]
213: 1377| [45] [「……改めて尋ねよう。君は何をしたい？」]
214: 1382| [47] [Ｑ]
215: 1385| [45] [「答えてくれたまえ、君が何をするべきなのかを」]
216: 1390| [45] [宇喜多はまるで誘われるように、その問いに答えていた。]
217: 1398| [47] [宇喜多]
218: 1401| [45] [「僕は……救いたい」]
219: 1409| [47] [宇喜多]
220: 1412| [45] [「どんな手段を使っても、ラボに囚われている被験体を救いたい」]
221: 1420| [47] [宇喜多]
222: 1423| [45] [「断じてあんな研究など、続けさせるわけにはいかないんだ……！」]
223: 1428| [45] [それは宇喜多の、心の底からの言葉だった。]
224: 1433| [45] [Ｑの男も、待ちかねたように答える。]
225: 1438| [47] [Ｑ]
226: 1441| [45] [「……そう。そして我々はラボと鹿鳴市の欺瞞を暴きたい」]
227: 1446| [47] [Ｑ]
228: 1449| [45] [「どうだね？　利害が一致していると思わないかね？」]
229: 1457| [47] [宇喜多]
230: 1460| [45] [「それは、確かにそうかもしれないが……」]
231: 1465| [47] [Ｑ]
232: 1468| [45] [「我々は君の道具だ。必要なものは全てこちらで用意しよう」]
233: 1473| [47] [Ｑ]
234: 1476| [45] [「あとは、君に実行の意思があるかどうか――それだけだ」]
235: 1481| [45] [実行の意思はある。宇喜多はＱに向かって言った。]
236: 1489| [47] [宇喜多]
237: 1492| [45] [「わかった。君たちの協力を受け入れよう」]
238: 1500| [47] [宇喜多]
239: 1503| [45] [「だがこれだけは約束してくれ。被験体を救い出した後、絶対に危害を加えないと」]
240: 1508| [47] [Ｑ]
241: 1511| [45] [「約束しよう。我々は当然の権利を主張できる世の中に戻したい。それが目的なのだから」]
242: 1516| [45] [こうして宇喜多は、Ｑに入ることを決めた。]
243: 1569| [45] [――それから宇喜多は、計画に必要な情報を得るため、ラボ内を暗躍した。]
244: 1574| [45] [時には上級研究員のＰＣに、ハッキングを仕掛ける事もあった。]
245: 1579| [45] [かなり綱渡りの行動だが、警戒に警戒を重ね、時間をかけ、少しずつ情報を収集していく。]
246: 1638| [47] [宇喜多]
247: 1639| [45] [（……この文書によると、被験体は１人じゃないらしい……！）]
248: 1644| [47] [宇喜多]
249: 1645| [45] [（被験体Ｎと、被験体Ｙ、被験体ＹⅡという子もいるのか）]
250: 1650| [47] [宇喜多]
251: 1651| [45] [（ラボ内で生まれた被験体もいれば、どこかから拉致された子も……）]
252: 1662| [47] [宇喜多]
253: 1663| [45] [（しかもその内１人は、すでに『破棄』されたって……死んでしまったって事か……！）]
254: 1668| [47] [宇喜多]
255: 1669| [45] [（許せない……残り２名の被験体は、必ず救ってやる……！）]
256: 1722| [47] [宇喜多]
257: 1723| [45] [（『ケースＮ』……どうやらこれは、被験体の脱走を阻止するコードのようだな）]
258: 1728| [47] [宇喜多]
259: 1729| [45] [（その仕様は２０２１年以降、より厳しく修正されたのか……どうやってこれをかいくぐる？）]
260: 1782| [47] [宇喜多]
261: 1783| [45] [（これだ……この防災システムの穴をつく事ができれば……！）]
262: 1788| [47] [宇喜多]
263: 1789| [45] [（だが、それは僕１人では――……）]
264: 1840| [45] [――やがて情報が充実すると共に、計画の骨子が見えてきた。]
265: 1845| [45] [宇喜多は約１年の歳月と、命を賭けて練ったその計画を、Ｑに報告した。]
266: 1898| [47] [宇喜多]
267: 1901| [45] [「――つまり、施設内で人為的な事故を起こし、その隙に被験体を救出するという計画だ」]
268: 1906| [47] [Ｑ]
269: 1909| [45] [「素晴しい！　それなら厳重な警備を乗り越えられそうだな」]
270: 1917| [47] [宇喜多]
271: 1920| [45] [「だがむろんこの計画は、僕１人では成し得ない。消防官か何かの協力が不可欠だ」]
272: 1925| [47] [Ｑ]
273: 1928| [45] [「わかった。では同志の勧誘は、我々に任せておきたまえ」]
274: 1936| [47] [宇喜多]
275: 1939| [45] [「いや、可能性のありそうな人間をピックアップしてくれるだけでいい。仲間は自分で選びたい」]
276: 1944| [47] [Ｑ]
277: 1947| [45] [「……それは我々の事を、まだ完全には信用していないという事かね？」]
278: 1955| [47] [宇喜多]
279: 1958| [45] [「当然じゃないか。僕はあんたの顔も名前も知らないんだぞ」]
280: 1963| [47] [Ｑ]
281: 1966| [45] [「確かにな……いいだろう。では早急に、こちらで調査を進めておこう」]
282: 1971| [47] [Ｑ]
283: 1974| [45] [「なお言うまでもないが、同志候補と接触する時は、盗聴に注意してくれたまえ」]
284: 1979| [47] [Ｑ]
285: 1982| [45] [「例のデジタル無線をもう１つ用意するので、それを使うんだ」]
286: 1987| [45] [その点は宇喜多も、彼の言う通りにした。]
287: 2040| [45] [それから１週間後の夕方――。]
288: 2045| [45] [宇喜多が仕事から帰ると、自宅の郵便受けにＰＤＡが差し込まれていた。]
289: 2050| [45] [連絡用のデジタル無線だろう。]
290: 2061| [45] [データフォルダを開いてみると、『同志候補』のデータが入っていた。]
291: 2066| [47] [宇喜多]
292: 2067| [45] [（ほう、特別高度救助隊『シリウス』隊長・笠鷺渡瀬か……）]
293: 2072| [45] [その資料には、彼の住所・電話番号から、生い立ちまでもが詳細に書かれている。]
294: 2077| [45] [そして驚くべき事に、彼を説得するために必要なポイントさえも。]
295: 2085| [47] [宇喜多]
296: 2088| [45] [「しかしこれ……どうやって調べたんだ……？」]
297: 2094| [47] [宇喜多]
298: 2095| [45] [（いったい何者なんだ？　Ｑを名乗るあの男は）]
299: 2100| [45] [態度を見る限り、Ｑのメンバーだという事は嘘ではないだろう。]
300: 2105| [45] [だが常にこちらの心中を見透かしたように喋る彼に、宇喜多は薄気味悪さを感じるようになっていた。]
301: 2110| [47] [宇喜多]
302: 2111| [45] [（頼りにはなるが、決して心を許していい相手ではない気がする……）]
303: 2116| [45] [だからこそ宇喜多は、真の意味で仲間と呼べる者を、自分で選びたかったのだ。]
304: 2127| [45] [宇喜多は深呼吸をし、それから自分のＰＤＡに、渡瀬の電話番号を打ち込んだ。]
305: 2157| [47] [宇喜多]
306: 2160| [45] [「笠鷺渡瀬さんだね？」]
307: 2168| [47] [渡瀬]
308: 2171| [45] [「えっと……どちらさんですか？」]
309: 2179| [47] [宇喜多]
310: 2182| [45] [「名乗るほどの者じゃない。実は君にぜひ教えたい事があってね」]
311: 2187| [45] [そしてＱが用意した資料に従い、宇喜多は静かに語り出した。]
312: 2192| [45] [仲間を誘う言葉を……。]
