  0:   79| [45] [Ｎエリアに上がると、プロキオンの警告音が鳴った。]
258: 4594| [45] [暴れられるよりは、気を失っててもらった方がいい。]
259: 4599| [47] [渡瀬]
260: 4600| [45] [（皆のところに戻らなければ……）]
261: 4611| [45] [渡瀬はそう思い、少女を抱えて歩き出した。]
262: 4705| [47] [渡瀬]
263: 4706| [45] [（――これで万事、問題ない……！）]
264: 4800| [47] [渡瀬]
265: 4801| [45] [（被験体は２人とも確保できた。あとはラボから脱出すれば、任務は全て完了……）]
266: 4890| [45] [だが、そこまで考えたとき――]
267: 4895| [45] [奇妙な思考が、頭に湧いてきた。]
268: 4982| [47] [渡瀬]
269: 4983| [45] [（……『任務は全て完了』だと……？）]
270: 4988| [47] [渡瀬]
271: 4989| [45] [（被験体を２人連れ出す事ができて、メデタシメデタシか？）]
272: 4994| [45] [その思考はまるで幻聴のように、渡瀬の脳内で響いた。]
273: 4999| [45] [渡瀬ではない、別の何者かの声のように――]
274: 5093| [47] [渡瀬]
275: 5096| [45] [「え……？」]
276: 5101| [45] [虚ろな声を上げる渡瀬の脳内で、またも声が響く。]
277: 5106| [47] [渡瀬]
278: 5107| [45] [（……なぁ、忘れたのかよ？）]
279: 5112| [47] [渡瀬]
280: 5113| [45] [（１６年前の火災の原因を作ったのは、ラボの研究員なんかじゃなくて……）]
281: 5118| [47] [渡瀬]
282: 5119| [45] [（『コミュニケーター』なんだぞ？）]
283: 5142| [47] [渡瀬]
284: 5145| [45] [「……！」]
285: 5150| [45] [渡瀬は自分の思考に、愕然とした。]
286: 5155| [45] [だがおぞましい考えが次々に湧いて、渡瀬の心中を染めていく。]
287: 5209| [47] [渡瀬]
288: 5210| [45] [（……１６年前の事件は、被験体Ａのせいで起きた）]
289: 5288| [47] [渡瀬]
290: 5289| [45] [（ならば俺が助けようとしているこの『被験体』こそが、俺の家族の仇じゃないか……？）]
291: 5294| [47] [渡瀬]
292: 5295| [45] [（被験体Ａと同様の、人の精神を汚染する怪物たちじゃないか）]
293: 5300| [47] [渡瀬]
294: 5301| [45] [（さっきの幹部研究員たちも、一瞬であんな風になっちまったんだ）]
295: 5306| [47] [渡瀬]
296: 5307| [45] [（そんな奴らを、俺はどうしたいんだ……？）]
297: 5326| [47] [渡瀬]
298: 5329| [45] [「き、決まってる……俺はこの子たちを、連れ出しに来たんだ！」]
299: 5334| [45] [己の思考に抗うかのように、渡瀬は声を張り上げた。]
300: 5342| [47] [渡瀬]
301: 5345| [45] [「たとえ家族の仇であろうと、そのために俺はここまで……！」]
302: 5350| [47] [渡瀬]
303: 5351| [45] [（いいや、自分の心の声に耳を傾けてみろ）]
304: 5356| [47] [渡瀬]
305: 5357| [45] [（俺がしたい事は、そんな事じゃないだろう？）]
306: 5362| [47] [渡瀬]
307: 5363| [45] [（本当は、俺は――）]
308: 5368| [47] [渡瀬]
309: 5369| [45] [（コミュニケーターを、家族の仇を――）]
310: 5374| [47] [渡瀬]
311: 5375| [45] [（殺したいんじゃないのか？）]
312: 5412| [47] [渡瀬]
313: 5415| [45] [「ッ！！」]
314: 5420| [47] [渡瀬]
315: 5421| [45] [（ここまで宇喜多さんたちの意向に従ってきたが……）]
316: 5426| [47] [渡瀬]
317: 5427| [45] [（それが本当に、俺の望んでいた事なのか？）]
318: 5432| [47] [渡瀬]
319: 5433| [45] [（思い出せ、あの火災の夜を。全てを失った夜の事を……！）]
320: 5446| [45] [徐々に精神が歪んでいく。]
321: 5451| [45] [意識が憎悪に染まっていく。]
322: 5456| [45] [腕に抱えている少女に対し、強烈な殺意が湧いてくる――！]
323: 5464| [47] [渡瀬]
324: 5467| [45] [「だ、だが……ここでこの少女を殺して何になる！？」]
325: 5475| [47] [渡瀬]
326: 5478| [45] [「それじゃ任務を果たせない！　宇喜多さんや、堂島たちを裏切る事になるじゃないか！」]
327: 5483| [47] [渡瀬]
328: 5484| [45] [（任務か……まぁそうだな）]
329: 5489| [47] [渡瀬]
330: 5490| [45] [（ここまでかけて準備したんだから、被験体を連れて脱出しないと、何をしに来たのかわからないよな）]
331: 5495| [47] [渡瀬]
332: 5496| [45] [（だが、なぁ、どうだ……？）]
333: 5501| [47] [渡瀬]
334: 5502| [45] [（被験体以外のコミュニケーターだったら、殺してもいいんじゃないのか？）]
335: 5525| [47] [渡瀬]
336: 5528| [45] [「な……！」]
337: 5533| [47] [渡瀬]
338: 5534| [45] [（レスキュー隊が、人を殺すなんて、さすがに抵抗があるか？）]
339: 5539| [47] [渡瀬]
340: 5540| [45] [（だがコミュニケーターは人間じゃない。怪物だ）]
341: 5545| [47] [渡瀬]
342: 5546| [45] [（人の頭を覗き込み、心を侵食する怪物。それがコミュニケーターだ）]
343: 5551| [47] [渡瀬]
344: 5552| [45] [（そいつらを放置したら、また多くの命が奪われる事になるかもしれないんだぞ？）]
345: 5557| [47] [渡瀬]
346: 5558| [45] [（よく考えろ……コミュニケーターを殺さなければ、復讐を果たしたとは言えないはずだ）]
347: 5563| [47] [渡瀬]
348: 5564| [45] [（亘の無念は晴れないはずだ！）]
349: 5594| [47] [渡瀬]
350: 5597| [45] [「――ッ！！！」]
351: 5602| [45] [その心の声を聞いた時――]
352: 5607| [45] [渡瀬の心の迷いは、すぅっと消えた。]
353: 5615| [47] [渡瀬]
354: 5618| [45] [「そうだ……俺は今まで、何をごまかしていたんだ」]
355: 5626| [47] [渡瀬]
356: 5629| [45] [「コミュニケーターを殺さなきゃ、なんの復讐にもならん……！」]
357: 5634| [45] [では被験体以外に、殺すべきコミュニケーターはいるだろうか。]
358: 5647| [47] [渡瀬]
359: 5648| [45] [（――そうだ。確か今この施設の中に、被験体以外にもコミュニケーターがいる）]
360: 5756| [47] [渡瀬]
361: 5757| [45] [（あの鹿鳴学園の学生たち……俺たちの計画について嗅ぎまわっていた奴らが……！）]
362: 5762| [47] [渡瀬]
363: 5763| [45] [（あいつらで復讐を果たしてから、ゆっくり脱出するべきじゃないか……）]
364: 5853| [45] [渡瀬がそう思い、連絡通路を抜けた時、]
365: 5858| [45] [どこか遠くで、声が聞こえた。]
366: 5866| [47] [？？]
367: 5869| [45] [「行こう、ましろ！」]
368: 5877| [47] [？？]
369: 5880| [45] [「……うん！」]
370: 5885| [45] [はっとして振り返ると、廊下のずっと向こうに――]
371: 5976| [45] [あの学生たちの背中が見えた。]
372: 5981| [47] [渡瀬]
373: 5982| [45] [（ああ……なんだ）]
374: 5987| [47] [渡瀬]
375: 5988| [45] [（ちょうどいいところに、いるじゃないか）]
376: 5999| [45] [渡瀬は少女を放り捨てた。]
377: 6005| [45] [そして銃を握り締め、学生たちの方に歩み寄る。]
378: 6087| [45] [学生たちの背中が遠ざかっていく。]
379: 6099| [45] [渡瀬は彼らに、銃の狙いを定め――]
380: 6104| [45] [引き金を、引いた。]
381: 6185| [47] [？？]
382: 6188| [45] [「熱ッ……！」]
383: 6238| [45] [少女の悲鳴と共に、鮮血が舞う。]
384: 6246| [47] [ましろ]
385: 6249| [45] [「えッ！？　なに、これ……ッ！」]
386: 6257| [47] [ましろ]
387: 6260| [45] [「あ、嫌……熱い、痛いよ、夏彦……！」]
388: 6268| [47] [夏彦]
389: 6271| [45] [「大丈夫かましろ！？　いま手当てを――」]
390: 6276| [45] [そうわめく学生たちに、渡瀬は言った。]
391: 6284| [47] [渡瀬]
392: 6287| [45] [「……動いている的には、意外とちゃんと当たらないもんだな」]
393: 6385| [47] [夏彦]
394: 6388| [45] [「お……お前は！？」]
395: 6396| [47] [渡瀬]
396: 6399| [45] [「また会ったな、コミュニケーター」]
397: 6418| [45] [――そこで渡瀬の記憶は、途絶えていた。]
