  0:   64| [45] [――鹿鳴市に着いた初日は、サリュはホテルに宿泊した。]
363: 5203| [45] [そしてテロリストと、廃工場で対決した。]
364: 5253| [45] [一度は敗北を喫したサリュたちだったが、気絶から目覚めると、３人で話した。]
365: 5258| [45] [夏彦はテロを阻止しに、ラボに向かうと言う。]
366: 5263| [45] [ならばサリュも、そしてましろも、それに同行すると決めた。]
367: 5359| [47] [夏彦]
368: 5362| [45] [「あぁもう……どうしてそんなに２人とも、わからず屋なんだ……！」]
369: 5370| [47] [ましろ]
370: 5373| [45] [「夏彦に言われたくないよ。３人とも考えが一緒なだけだよ」]
371: 5378| [47] [サリュ]
372: 5381| [45] [「全く同感」]
373: 5419| [45] [そう言って３人は笑い合う。]
374: 5424| [45] [やがて話はまとまった。]
375: 5450| [47] [夏彦]
376: 5453| [45] [「……それじゃいいかい、２人とも」]
377: 5458| [47] [サリュ]
378: 5461| [45] [「了解」]
379: 5487| [47] [ましろ]
380: 5490| [45] [「ん、いつでも行けるよ」]
381: 5516| [47] [夏彦]
382: 5519| [45] [「行こう、この街を護りに……！」]
383: 5524| [45] [サリュはうなずき、駆け出した。]
384: 5529| [45] [この街で巡り合えた、大切な２人の友達と共に。]
385: 5657| [45] [――ラボに続く高架道路を、サリュたちは歩く。]
386: 5663| [45] [長い道のりを、励ましあいながら、３人は進んでいた。]
387: 5714| [45] [行く手の夜空には、夏の大三角形が輝く。]
388: 5720| [45] [輝く３つの光は、サリュたちの姿を象徴しているかのようで――。]
389: 5726| [47] [サリュ]
390: 5727| [45] [（いや……私はまだその星の中には、入れてはいないのかもしれない）]
391: 5733| [45] [夏彦たちの心の中には、もう１人の友達が住んでいる。]
392: 5739| [45] [９年前に死んでしまった、琴乃悠里という少女が。]
393: 5745| [45] [その少女の事を考えると、なぜかサリュの胸にも、切なさと懐かしさが去来した。]
394: 5751| [47] [サリュ]
395: 5752| [45] [（……今となってはもう遅いけど、その子の事ももっと知りたかった）]
396: 5758| [47] [サリュ]
397: 5759| [45] [（夏彦の事もましろの事も、知れば知るほど親愛の情が高まったから）]
398: 5765| [47] [サリュ]
399: 5766| [45] [（この事件が終わったら、２人に聞いてみよう）]
400: 5772| [45] [もう会うことのできない友達の想い出を――。]
401: 6006| [45] [――そうしてサリュの心の中で、夏彦・ましろ、そして悠里への想いが、より大きくなると共に――]
402: 6011| [45] [新たな記憶が、心の中から湧き上がってきた……。]
