  0:   65| [45] [――そして最愛の父を失った後、恵那は――]
 81:  682| [47] [黒田]
 82:  685| [45] [「その事を俺たちに知らしめたのが、他でもない、椿山室長が保護を担当していたコミュニケーターだ」]
 83:  690| [47] [黒田]
 84:  693| [45] [「ＢＣ研究の被験体として、超心研に迎え入れられた女、通称『コミュニケーターＡ』」]
 85:  698| [47] [黒田]
 86:  701| [45] [「彼女は普通のコミュニケーターと違ってな、『センシズシンパシー』という極めて危険な能力を持っていたんだよ」]
 87:  706| [47] [恵那]
 88:  709| [45] [「センシズシンパシー……ですか？」]
 89:  714| [45] [大学で超心理学を専攻した恵那も、聞いた事がない能力だった。]
 90:  719| [47] [黒田]
 91:  722| [45] [「知らないのも当然だ。国を挙げて隠している事だからな」]
 92:  727| [47] [黒田]
 93:  730| [45] [「これはＢＣの中でも、ずば抜けて危険な能力でな。我々がコミュニケーターの管理を厳しく行う理由に直結してるのさ」]
 94:  773| [45] [――黒田はその能力について、恵那に説明した。]
 95:  778| [45] [感覚同調。記憶操作。記憶消去。]
 96:  783| [45] [そしてその果てに起きる、コミュニケーターの精神崩壊現象。]
 97:  788| [45] [センシズシンパシーを繰り返す事で、コミュニケーターの自我は潰れ――]
 98:  793| [45] [同時に悪意の塊となり、周囲に呪いに満ちた思念を撒き散らすのだと……。]
 99:  798| [45] [しかしそれは恵那にとっても、信じがたい話だった。]
100:  842| [47] [恵那]
101:  845| [45] [「……本当なのですか、その話？」]
102:  850| [47] [黒田]
103:  853| [45] [「嘘ついても始まらねぇだろう」]
104:  858| [47] [黒田]
105:  861| [45] [「ともかくコミュニケーターＡは、その生涯の中で幾度となくセンシズシンパシ―を使い、結果として悪意の塊になった」]
106:  866| [47] [恵那]
107:  869| [45] [「なぜ……！？　Ａはなんのために、そんな危険な能力を多用したのですか！？」]
108:  874| [47] [恵那]
109:  877| [45] [「そんなもの使う理由がないでしょう！？　父や超心研の研究員たちは、それを止めなかったのですか！？」]
110:  882| [47] [黒田]
111:  883| [45] [「……」]
112:  888| [45] [答えない黒田を見て、恵那の胸に嫌な予感がよぎる。]
113:  893| [47] [恵那]
114:  896| [45] [「……まさか、超心研の研究員たちがＢＣ研究のために……彼女にセンシズシンパシーの使用を強いていたのでは……！」]
115:  901| [47] [黒田]
116:  904| [45] [「違う」]
117:  909| [45] [恵那の言葉を、黒田は強く遮った。]
118:  919| [47] [黒田]
119:  922| [45] [「そういう風に誤解している奴が、うちの組織の内外にもいるが……真相は全く違うんだ」]
120:  927| [47] [黒田]
121:  930| [45] [「超心研は当時、コミュニケーターＡの治療をしようと全力を挙げたんだ」]
122:  935| [47] [黒田]
123:  938| [45] [「それに彼女が悪意の塊になったのは、日本に来てからの事じゃない」]
124:  943| [47] [黒田]
125:  946| [45] [「故郷フランスにいる時に、すでにその兆候が出てたんだよ」]
126:  951| [47] [恵那]
127:  954| [45] [「え……！？」]
128:  973| [45] [目を見開く恵那に、黒田は古い雑誌を投げてよこした。]
129: 1017| [47] [恵那]
130: 1020| [45] [「これは……『アンドレジーの魔女狩り事件』の記事！？」]
131: 1025| [47] [黒田]
132: 1028| [45] [「さすが、よく知ってるな」]
133: 1033| [47] [恵那]
134: 1036| [45] [「学生時代に、自分で資料を探りましたから……」]
135: 1041| [45] [――恵那は大学で超心理学を専攻する中で、ＢＣの歴史について、かなり深い知識を蓄えていた。]
136: 1046| [45] [その中で、この事件についても、詳細を知ったのだ。]
137: 1051| [45] [２０１４年２月にフランスのアンドレジーで発生した、現代の魔女狩り事件……。]
138: 1056| [45] [被害者は、アリス・アンフラメという、当時１８歳の少女だった。]
139: 1061| [45] [彼女は幼少時から、様々な能力を発現し、それゆえ周囲の人間に疎まれていた。実の両親も含めて。]
140: 1066| [45] [にも関わらず彼女の両親は、アリスの能力を金儲けに使ったのだ。]
141: 1071| [45] [新興宗教団体を立ち上げ、アリスを『神の子』と呼び、テレパシーを『神託』などと言って信者から金を巻き上げる、要は詐欺行為だ。]
142: 1076| [45] [騙された人間からは恨みを買い、両親からは愛されず、しかも金儲けの道具に使われる日々……。]
143: 1081| [45] [その中で彼女の精神は、どれほど磨り減っていっただろう。]
144: 1086| [45] [さらに歳月が過ぎ、彼女が１６歳になった頃。新たな異変が起きた。]
145: 1091| [45] [教団の詐欺行為を糾弾しようとした弁護士らが、相次いで記憶を失い自失状態に陥るという、不可解な現象が起きたのだ。]
146: 1096| [45] [地元の警察は、教団関係者が薬品などを用いて、弁護士らに記憶障害を起こさせていると目したが……]
147: 1101| [45] [弁護士らの身体から薬物反応は出ず、捜査は進展しなかった。]
148: 1106| [45] [――だがそんな教団の裏も、ついに明かされる日が来た。]
149: 1111| [45] [遺伝子を検査する事で、『ＢＣ適性度』を知る方法が、ある科学者によって確立されたからだ。]
150: 1116| [45] [市井の人間にも、コミュニケーターの存在が認識され始めた。]
151: 1121| [45] [やがて教団の違法行為について探っていた者たちは思った。]
152: 1126| [45] [『アリスは神の子などではなく、コミュニケーターなんじゃないのか？』と。]
153: 1131| [45] [それを確かめるため、アリスの遺伝子検査を行うと――誰も見た事がない結果が現れた。]
154: 1136| [45] [『ＩＧＦ２Ｒ遺伝子異常　タイプＳ』]
155: 1141| [45] [アリスは世界で最初に確認された、適性度Ｓのコミュニケーターだったのだ。]
156: 1146| [45] [詐欺の被害者も、信者たちも、その結果に激怒した。]
157: 1151| [45] [『神の子だと思われていた少女は、遺伝子変異を起こした、ただの人間だった』]
158: 1156| [45] [『アリスは壊れた遺伝子から発現する異様な能力を用いて、人々を騙していた、薄汚い詐欺師だ』]
159: 1161| [45] [『彼女の力は、断じて神の力などではない』]
160: 1166| [45] [『むしろ悪魔によってもたらされたもの――魔女の力だ』]
161: 1171| [45] [信心深い人々は、その妄想に取り憑かれた。]
162: 1176| [45] [騙された怒りが募り、コミュニケーターに対する恐れと相まって、やがてそれらの悪意が臨界に達した時――人々は暴徒と化した。]
163: 1181| [45] [アリスたち一家の住家であり、教団の教会でもあった建物が、焼き討ちにあったのだ。]
164: 1186| [45] [アリスの両親は火災により焼死したが、アリス自身は炎上する教会から、からくも逃げた。]
165: 1191| [45] [そして翌朝、地元の消防隊が彼女を保護した時……]
166: 1196| [45] [そこには異様な光景が拡がっていた。]
167: 1201| [45] [アリスを襲おうとした暴徒たちが、みな意識を失い、彼女の周囲に倒れていたのだ。]
168: 1244| [45] [……そしてアリスはその後、消息を絶った。]
169: 1250| [45] [これが『アンドレジーの魔女狩り事件』の顛末。]
170: 1255| [45] [対コミュニケーターテロの歴史の、最初の１ページだった。]
171: 1260| [45] [あらかじめ恵那も知っていた事件ではあったが――黒田から聞いた話と繋ぎ合わせると、新たな真実が浮かび上がってくる。]
172: 1265| [47] [恵那]
173: 1266| [45] [（この記事には書いてないけど……ひょっとしてアリスは、センシズシンパシーを使えた……！？）]
174: 1271| [47] [恵那]
175: 1272| [45] [（じゃあ弁護士らが相次いで記憶を失ったというのは、アリスの記憶操作によるものなの？）]
176: 1277| [47] [恵那]
177: 1278| [45] [（暴徒たちが気絶したのも、彼女がその能力で、身を護ろうとした結果……！？）]
178: 1322| [45] [だが、それより大事な事があった。]
179: 1327| [45] [恵那は震える声で、黒田に尋ねる。]
180: 1332| [47] [恵那]
181: 1335| [45] [「ど……どうして私に、この記事を見せたのですか……？」]
182: 1340| [47] [恵那]
183: 1343| [45] [「父の話が、なぜこの記事と繋がるのですか？」]
184: 1353| [47] [黒田]
185: 1356| [45] [「決まってるだろう。お前の親父さんが、生前保護したコミュニケーターというのが――」]
186: 1361| [47] [黒田]
187: 1364| [45] [「そのアリス・アンフラメ。後の『コミュニケーターＡ』だったからさ」]
188: 1369| [47] [恵那]
189: 1372| [45] [「ッ！！」]
190: 1377| [45] [愕然とする恵那に、黒田が続ける。]
191: 1382| [47] [黒田]
192: 1385| [45] [「魔女狩り事件の後、世界中でコミュニケーターの差別・迫害が頻発した」]
193: 1390| [47] [黒田]
194: 1393| [45] [「だが当時の鹿鳴市と超心研は、その流れに逆行し、コミュニケーターの保護を進めたんだ」]
195: 1398| [47] [黒田]
196: 1401| [45] [「差別を受けたコミュニケーターに、鹿鳴市への移住を勧め、ＢＣ研究の被験体になる代わりに生活を全面支援する……」]
197: 1406| [47] [黒田]
198: 1409| [45] [「平穏に暮らしたいコミュニケーターと、ＢＣ研究を進めたい超心研の、利害が一致したのさ」]
199: 1414| [47] [黒田]
200: 1417| [45] [「そして奇しくも超心研に最初に迎えられ、椿山室長が保護を担当したのが、他でもないコミュニケーターＡだったんだ」]
201: 1422| [47] [恵那]
202: 1425| [45] [「そんな……！　そんな事って……！」]
203: 1430| [47] [黒田]
204: 1433| [45] [「またも信じられないようだな。じゃあこれを読んでみろ」]
205: 1482| [45] [黒田は恵那に、プリントアウトした紙束を渡して言う。]
206: 1487| [47] [黒田]
207: 1490| [45] [「椿山室長が記した、Ａの保護観察日記だ」]
208: 1495| [47] [黒田]
209: 1498| [45] [「彼の使用していた官製ＰＣに残っていた。正式な報告日誌ではなく、単なる個人的な記録のようだが……」]
210: 1503| [47] [黒田]
211: 1506| [45] [「当時この街で何が起きたかを知るには、極めて重要な資料だ」]
212: 1517| [45] [恵那は言われるままに、父の日記を読む。]
213: 1522| [45] [それはどんな資料にもなかった記録。]
214: 1527| [45] [罪の時代を乗り越え生き延びたアリスの、『その後の日々』が記されていた。]
215: 1622| [85] [　]
216: 1625| [45] [【４月５日】]
217: 1629| [85] [　]
218: 1632| [45] [――本日から、鹿鳴市と超心研が外部から迎え入れた第１号コミュニケーターの保護観察を開始した。]
219: 1639| [85] [　]
220: 1642| [45] [担当管理官は私。]
221: 1646| [85] [　]
222: 1649| [45] [文科省内で、教育及び発達心理学畑を歩いてきた]
223: 1652| [45] [経歴を買われたのだろう。]
224: 1656| [85] [　%N　%N]
225: 1659| [45] [そして補佐管理官として黒田くん。]
226: 1662| [45] [警察庁から出向してきた好青年だ。]
227: 1666| [85] [　]
228: 1671| [45] [彼は逮捕術や日拳など格技の達人で、]
229: 1674| [45] [私のボディーガード役も兼任しているらしい。]
230: 1678| [85] [　%N　%N]
231: 1681| [45] [しかしボディガードとは……]
232: 1684| [45] [上は相当、今回の保護対象者について警戒しているらしい。]
233: 1688| [85] [　]
234: 1691| [45] [無理もない。]
235: 1695| [85] [　]
236: 1698| [45] [私が担当する事になったコミュニケーターは、あのアリス・アンフラメだからだ。]
237: 1705| [85] [　%N　%N]
238: 1708| [45] [だが実際に会ってみれば、]
239: 1711| [45] [アリスは１８歳という年相応の、あどけなさの残る少女だった。]
240: 1715| [45] [もっとも故郷で酷い迫害にあったためか、]
241: 1718| [45] [いつも怯えた目をしている。]
242: 1722| [45] [日本に来たばかりで、]
243: 1725| [45] [環境に順応できていないというのも一因となっているのだろう。]
244: 1729| [85] [　]
245: 1732| [45] [我々が彼女を護らねばならない。]
246: 1736| [85] [　%N　%N]
247: 1739| [45] [なおアリスには過去を隠すための意図もあり、]
248: 1742| [45] [超心研の研究員によって、『コミュニケーターＡ』という識別名が振られた。]
249: 1749| [45] [しかしあまりにも無味乾燥な名前ではないか？]
250: 1752| [45] [彼女は実験動物じゃないんだぞ。]
251: 1756| [85] [　]
252: 1759| [45] [せめてこの日記の中だけは、彼女を『アリス』と呼ぶ事にする。]
253: 1762| [45] [名前は大事だからな。]
254: 1772| [85] [　]
255: 1775| [45] [【４月７日】]
256: 1779| [85] [　]
257: 1782| [45] [――アリスの担当研究員が決まった。]
258: 1786| [45] [研究チームのリーダーとなったのは、安曇。]
259: 1789| [45] [私の学生時代からの親友でもあり、非常に信頼のおける男だ。]
260: 1793| [45] [あいつならば安心して、アリスを任せる事ができる。]
261: 1797| [85] [　]
262: 1800| [45] [もっともまだアリスは、怯えてばかりだが……]
263: 1803| [45] [じっくり時間をかけて、心を開いていこう。]
264: 1813| [85] [　]
265: 1816| [45] [【５月５日】]
266: 1820| [85] [　]
267: 1823| [45] [アリスが日本に来て、早１ヶ月が過ぎた。]
268: 1826| [45] [怯えてばかりいた彼女も、少しずつ環境に慣れてきたようだ。]
269: 1830| [85] [　]
270: 1833| [45] [最初は一切コミュニケーションが成立しなかったが、]
271: 1836| [45] [徐々に私たちと、意思を通わせようとするそぶりが見えてきた。]
272: 1840| [85] [　%N　%N]
273: 1843| [45] [私も黒田くんも安曇も、アリスに対して、心の底から優しく接している。]
274: 1850| [45] [だがアリスはどちらかといえば、安曇に最も心を開いているようだ。]
275: 1853| [45] [若干妬ける。]
276: 1857| [85] [　]
277: 1860| [45] [まぁ私には妻がいるし、恵那もいるし、別に悔しくはないさ。]
278: 1864| [45] [（もっとも黒田くんは独身なので、本気で悔しがっていた。]
279: 1867| [45] [哀れなり）]
280: 1877| [85] [　]
281: 1880| [45] [【５月１３日】]
282: 1884| [85] [　]
283: 1887| [45] [実験漬けの日々の中、]
284: 1890| [45] [私たちはあれこれと、日本の事をアリスに教えている。]
285: 1894| [85] [　]
286: 1897| [45] [その甲斐もあって、今日アリスが１つ日本語を覚えた。]
287: 1900| [45] [『こにちわ』という、たどたどしい挨拶。]
288: 1904| [85] [　]
289: 1907| [45] [だがそれを聞いた時、恵那が初めて喋った時のような感動を覚えた。]
290: 1911| [85] [　%N　%N]
291: 1914| [45] [私たちは嬉しくなって、アリスの故郷の言葉で口々に答えた。]
292: 1918| [85] [　%N]
293: 1921| [45] [『ボンジュール』『ボンソワール』『サリュ』]
294: 1924| [45] [『メルシー』『セシボン』『トレビアン』など、思いつく限り。]
295: 1928| [85] [　]
296: 1931| [45] [後半は関係ないな。それに発音もメチャクチャだっただろう。]
297: 1935| [45] [我々のヘタクソなフランス語を聞いて、]
298: 1938| [45] [アリスは少しだけ微笑んでくれたのだ。]
299: 1948| [85] [　]
300: 1951| [45] [【５月２７日】]
301: 1955| [85] [　]
302: 1958| [45] [超心研には我々のチームだけではなく、別の研究チームもある。]
303: 1962| [45] [それぞれ個別にコミュニケーターを担当し、]
304: 1965| [45] [各種能力開発や実験を行っているのだ。]
305: 1969| [85] [　%N]
306: 1972| [45] [今日は別のチームとの情報交換を行った。]
307: 1976| [45] [コミュニケーターＳこと天川瞬氏と、天川美夜子研究員のチームは、]
308: 1979| [45] [早くもいくつかの成果を見せている。]
309: 1983| [85] [　%N　%N]
310: 1986| [45] [我々は心理学方面からアプローチしているが、]
311: 1989| [45] [向こうは物理学的な手法によって、ＢＣという能力を解き明かそうとしているようだ。]
312: 1996| [85] [　]
313: 1999| [45] [さすが我が国きっての高適性度コミュニケーターと、若き天才物理学者の夫婦だな。]
314: 2006| [45] [とりわけ天川美夜子研究員は身重だというのに、舌鋒鋭く様々な意見を挙げ、実にいい刺激になった。]
315: 2019| [85] [　]
316: 2022| [45] [【６月２２日】]
317: 2026| [85] [　]
318: 2029| [45] [今日は大事件が起きた。]
319: 2032| [45] [天川美夜子研究員が急に産気づき、病院に運ばれたのだ。]
320: 2036| [85] [　]
321: 2039| [45] [超心研に残った我々もやきもきしたが、無事出産できたらしい。]
322: 2043| [45] [いつも飄々としている天川瞬氏も、我が子の誕生に際し、滂沱の涙を流したそうな。]
323: 2050| [85] [　]
324: 2053| [45] [アリスも状況を理解すると、満面の笑みを浮かべていた。]
325: 2057| [45] [新たな命が生まれる事のめでたさは、万国共通なのだ。]
326: 2067| [85] [　]
327: 2070| [45] [【６月２９日】]
328: 2074| [85] [　]
329: 2077| [45] [……黒田くんは今時珍しい、喫煙者らしい。]
330: 2080| [45] [私がそれを認識していなかったのは、配慮不足だった。]
331: 2084| [85] [　]
332: 2087| [45] [黒田くんが喫煙所で煙草を吸おうとした時、]
333: 2090| [45] [たまたまそこを通りがかったアリスが……]
334: 2093| [45] [ライターの火を見たとたん、突然泣き出したのだ。]
335: 2097| [85] [　%N　%N]
336: 2100| [45] [家が焼き討ちにあった時の記憶を思い出したのだろう。]
337: 2103| [45] [黒田くんは悪くないが、今後は厳重注意せねばならない。]
338: 2107| [85] [　]
339: 2110| [45] [なお彼女が落ち着くまで、安曇は彼女の髪をずっと撫でていた。]
340: 2113| [45] [泣く子をあやすように――]
341: 2123| [85] [　]
342: 2126| [45] [【７月２日】]
343: 2130| [85] [　]
344: 2133| [45] [それにしても近頃、安曇がアリスに向けるまなざしは、研究者としてのそれではない気がする。]
345: 2140| [85] [　]
346: 2143| [45] [親愛の情がこもった視線。]
347: 2146| [45] [それは親子のようでもあり、恋人のようでもあり……。]
348: 2149| [45] [アリスも安曇の事を、憎からず思っているようだ。]
349: 2153| [85] [　%N　%N]
350: 2156| [45] [安曇もこの年齢まで浮いた話一つなく、研究一筋で生きていたが、]
351: 2159| [45] [ようやく春が来たのかもしれない。]
352: 2163| [85] [　]
353: 2166| [45] [……などと考えるのは、邪推だろうか？]
354: 2170| [85] [　]
355: 2173| [45] [いずれにせよ２人の未来に、幸多からん事を祈るばかりである。]
356: 2183| [85] [　]
357: 2186| [45] [【７月５日】]
358: 2190| [85] [　]
359: 2193| [45] [問題が発生した。]
360: 2197| [85] [　]
361: 2200| [45] [鹿鳴市がコミュニケーターを誘致している事について、異を唱える市民団体が現れたのだ。]
362: 2207| [85] [　]
363: 2210| [45] [我々はむろん気にも留めないが、問題はアリスの反応だ。]
364: 2214| [85] [　%N　%N]
365: 2217| [45] [昨日などは超心研の前で、市民団体がデモ活動を行っていた。]
366: 2221| [85] [　]
367: 2225| [45] [拡声器を用いて、シュプレヒコールを叫ぶという、]
368: 2228| [45] [古典的な抗議運動。]
369: 2232| [85] [　]
370: 2235| [45] [彼らは彼らの正義を信じて、己の意見を主張しているのだろう。]
371: 2239| [85] [　%N　%N]
372: 2242| [45] [だがそれを聞いた時のアリスの怯えようと言ったら、ただ事ではなかった。]
373: 2249| [85] [　]
374: 2252| [45] [彼女は耳を塞ぎ、泣き叫び、うずくまって震えていた。]
375: 2255| [45] [まるで子供のように……。]
376: 2259| [85] [　]
377: 2262| [45] [鎮静剤を打って眠らせるまで、彼女のパニック状態は続いた。]
378: 2266| [85] [　%N　%N]
379: 2269| [45] [恐らく故郷で遭遇した、焼き討ち事件の事を思い出したのだろう。]
380: 2273| [85] [　]
381: 2276| [45] [その恐怖の記憶から逃れるために、ようやくたどりついたこの安息の地で――]
382: 2283| [85] [　]
383: 2286| [45] [彼女はまたしても、迫害を受けてしまったのだ。]
384: 2296| [85] [　]
385: 2299| [45] [【７月１１日】]
386: 2303| [85] [　]
387: 2306| [45] [またしても市民団体が、]
388: 2309| [45] [今度は直接施設内に乗り込んできて抗議をしてきた。]
389: 2313| [85] [　]
390: 2316| [45] [警備員につまみ出してもらったが……不愉快だ。]
391: 2326| [85] [　]
392: 2329| [45] [【７月１５日】]
393: 2333| [85] [　]
394: 2336| [45] [今日はフリージャーナリストと名乗る輩が、取材にやってきた。]
395: 2339| [45] [『アンドレジーの魔女狩り事件』のその後を追っているらしい。]
396: 2343| [85] [　]
397: 2346| [45] [あのような連中が来るたびに、アリスはひどく怯える。]
398: 2349| [45] [くそ、彼女の過去を暴き立てて、何が楽しいんだ……！？]
399: 2353| [85] [　]
400: 2356| [45] [何が報道の自由だ、社会正義だ。]
401: 2366| [85] [　]
402: 2369| [45] [【７月３０日】]
403: 2373| [85] [　]
404: 2376| [45] [……ここのところ、アリスの様子がおかしい。]
405: 2380| [85] [　]
406: 2383| [45] [以前のようにパニックを起こす事はないが、]
407: 2386| [45] [どこか反応が薄くなっている。]
408: 2390| [85] [　%N　%N]
409: 2393| [45] [その目は、時々何も見ていないように虚ろになる。]
410: 2396| [45] [その耳には、安曇の声さえ届かない時がある。]
411: 2400| [85] [　]
412: 2403| [45] [どうしてこんな事になってしまったのか……？]
413: 2406| [45] [我々は必死で原因を探っているが、まったく手がかりがつかめない。]
414: 2410| [85] [　%N　%N]
415: 2413| [45] [コミュニケーターもＢＣという能力自体も、あらゆる意味で未知の部分が多い。]
416: 2420| [45] [しかし途方に暮れている場合ではない。]
417: 2424| [85] [　]
418: 2427| [45] [わからないものを、わからないものとして放置するわけにはいかない。]
419: 2434| [85] [　]
420: 2437| [45] [我々が『超心理学』の歴史を作るのだ。アリスと共に。]
421: 2447| [85] [　]
422: 2450| [45] [【８月１１日】]
423: 2454| [85] [　]
424: 2457| [45] [アリスの心の病状は、悪化の一途を辿っている。]
425: 2460| [45] [通常の精神的疾患とは、全く異質なものだ。]
426: 2464| [85] [　]
427: 2467| [45] [例の事件によって]
428: 2470| [45] [ＡＳＤもしくはＰＴＳＤを発症しているかと思っていたのだが、]
429: 2473| [45] [それらとは明らかに違う。]
430: 2477| [85] [　%N　%N]
431: 2480| [45] [まず彼女の自我は、非常に脆弱なものとなっている。]
432: 2483| [45] [自分が誰なのかという認識を、しばしば見失う。]
433: 2487| [85] [　]
434: 2490| [45] [その一方で、全く別人のパーソナリティを、]
435: 2493| [45] [あたかも自分のものとして語る事もある。]
436: 2497| [85] [　%N　%N]
437: 2500| [45] [乖離性同一性障害や統合失調症に似た部分もあるが、]
438: 2503| [45] [それらとは根本的に異なるのだ。]
439: 2507| [85] [　]
440: 2510| [45] [文字通り、『自分を失う』状態。]
441: 2514| [85] [　]
442: 2518| [45] [我々は便宜上、これを『Ｎ化（Ｎｏｂｏｄｙ化）現象』と名づけた。]
443: 2522| [85] [　%N　%N]
444: 2525| [45] [Ｎ化現象の原因はまだわかっていない。]
445: 2529| [85] [　]
446: 2532| [45] [コミュニケーターならば誰でも普遍的に抱えうる疾患なのか、]
447: 2535| [45] [あるいはＢＣの過剰使用等によるものなのか……。]
448: 2539| [85] [　]
449: 2542| [45] [アリスの状態も心配だが、安曇の心労も目を覆うばかりだ。]
450: 2546| [45] [安曇はなんとしても、アリスのＮ化を治療しようと望んでいるが……。]
451: 2552| [45] [私もできるかぎり、力を尽くそう。]
452: 2562| [85] [　]
453: 2565| [45] [【８月１６日】]
454: 2569| [85] [　]
455: 2572| [45] [アリスの件について、育児休暇中の天川夫妻に助言を求めに行った。]
456: 2575| [45] [だが彼らにとっても、原因や解決策の見当はつかないらしい。]
457: 2579| [85] [　]
458: 2582| [45] [その帰りに、市民団体の連中と出くわした。]
459: 2585| [45] [黒田くんが彼らに殴りかかろうとするのを、私は必死で止めた。]
460: 2589| [85] [　]
461: 2592| [45] [そんな事をしても、アリスの心が回復するわけじゃないのだ……。]
462: 2602| [85] [　]
463: 2605| [45] [【９月８日】]
464: 2609| [85] [　]
465: 2612| [45] [――アリスの抱える問題は、さらに深刻化した。]
466: 2616| [85] [　]
467: 2619| [45] [テレパシーを、無差別に、かつ継続的に使い続けるという、]
468: 2622| [45] [奇妙な行動に出たのだ。]
469: 2626| [85] [　%N　%N]
470: 2629| [45] [彼女が発信するテレパシーの内容は形容しがたいが、]
