  0:   60| [45] [――レスキュー隊員たちに、団地から救助された後――]
 34:  536| [45] [彼女は瓦礫で頭を打ち、脳内出血によって、眠るように命を落としたのだ。]
 35:  541| [45] [２０１４年に発生した同時多発火災に比べれば、それは小さな悲劇かもしれない。]
 36:  546| [45] [だが洵はその日、かけがえのないものを失ったのだ。]
 37:  600| [45] [――２日後、凪沙の葬儀が行われた。]
 38:  605| [45] [洵は火傷を負った体を引きずるように、彼女の葬儀に出た。]
 39:  663| [45] [僧侶の読経の声が、小さな葬儀場に響く。]
 40:  675| [47] [僧侶]
 41:  678| [45] [「――不生不滅　不垢不浄　不増不減　是故空中」]
 42:  689| [47] [僧侶]
 43:  692| [45] [「無色　無受想行識　無眼耳鼻舌身意　無色声香味触法――……」]
 44:  697| [45] [その声を聞きながら、洵は呆然としていた。]
 45:  769| [47] [洵]
 46:  770| [45] [（凪沙が……死んじゃったなんて……）]
 47:  775| [47] [洵]
 48:  776| [45] [（…………涙も、出ないや……）]
 49:  792| [45] [凪沙が死んだ事が、洵にはまだ信じられなかった。]
 50:  797| [47] [洵]
 51:  798| [45] [（あたしがもっと強ければ……凪沙は死なずにすんだのかな……）]
 52:  803| [47] [洵]
 53:  804| [45] [（レスキュー隊が来る前に、あの子を助けられたのかな……？）]
 54:  809| [45] [無力感と後悔が、洵の心を苛む。]
 55:  819| [45] [風見も虚ろな目で、凪沙の棺を見つめている。]
 56:  824| [45] [彼女の顔からは、全ての表情が抜け落ちていた。]
 57:  832| [47] [風見]
 58:  835| [45] [「凪沙……」]
 59:  840| [45] [かすかな呼び声に、凪沙は答えない。]
 60:  845| [45] [洵は胸が引き裂かれる気持ちで、風見を見ていた。]
 61:  894| [45] [――風見は洵以上に、最愛の妹の死を受け入れられなかったらしい。]
 62:  899| [45] [それからしばらくの後、風見は――]
 63:  904| [45] [心の平衡を、失ってしまった。]
 64:  958| [45] [病院から退院した後の、ある日。]
 65:  994| [45] [学校の帰り道に、洵は虚ろな目をして歩く風見に遭遇した。]
 66: 1002| [47] [洵]
 67: 1005| [45] [「あ……風見ちゃん、どこにいくの？」]
 68: 1059| [47] [風見]
 69: 1062| [45] [「あら、洵ちゃん……凪沙、見なかった？」]
 70: 1070| [47] [洵]
 71: 1073| [45] [「――え？」]
 72: 1099| [47] [風見]
 73: 1102| [45] [「あの子、なかなか帰ってこないの」]
 74: 1110| [47] [風見]
 75: 1113| [45] [「まったく、どこに行ってしまったのかしら？」]
 76: 1136| [47] [洵]
 77: 1139| [45] [「――……！」]
 78: 1144| [45] [まるで凪沙が生きているかのように話す風見を見て、洵は息を呑んだ。]
 79: 1152| [47] [洵]
 80: 1155| [45] [「か、風見ちゃん……凪沙は、もう……」]
 81: 1181| [47] [風見]
 82: 1184| [45] [「もし見かけたら、電話してね。もうすぐごはんのじかんだから」]
 83: 1222| [45] [洵の言葉も聞かず、風見は歩き去っていってしまった。]
 84: 1270| [45] [それからたびたび、同じような事が起きた。]
 85: 1337| [45] [凪沙がよく遊んでいた公園を、風見がいつまでも徘徊していたり……。]
 86: 1342| [45] [風見は凪沙の死を、まるで受け入れられていないのだ。]
 87: 1391| [47] [洵]
 88: 1392| [45] [（どうしよう……このままじゃ、風見ちゃんがダメになっちゃう……！）]
 89: 1397| [45] [だがどうしていいのかわからないまま、日々は無情にも過ぎて行った。]
 90: 1456| [45] [――そして、２週間が過ぎた頃――]
 91: 1461| [45] [洵は辛い気持ちを抑えながら、公園に向かった。]
 92: 1543| [47] [洵]
 93: 1544| [45] [（教えて、凪沙……あたし、いったいどうしたらいいの……？）]
 94: 1549| [45] [洵は天国の凪沙に問いかける。]
 95: 1668| [45] [その時、公園の端に佇んでいる風見の姿を見つけた。]
 96: 1746| [45] [洵の姿を見つけ、危うい足取りで歩み寄って来る。]
 97: 1781| [47] [風見]
 98: 1784| [45] [「あら、洵ちゃん……凪沙、見なかった？」]
 99: 1810| [47] [風見]
100: 1813| [45] [「あの子、なかなか帰ってこないの。まったくどこに行ってしまったのかしら？」]
101: 1818| [45] [風見は先日と、全く同じ言葉を繰り返した。]
102: 1826| [47] [洵]
103: 1829| [45] [「か、風見ちゃん……！」]
104: 1834| [45] [風見の心が、ぼろぼろになっていることがわかった。]
105: 1839| [45] [彼女の時間は、凪沙が死んだ瞬間、止まってしまったのだ。]
106: 1865| [47] [風見]
107: 1868| [45] [「早く……あの子を見つけてあげないと……」]
108: 1888| [45] [そう言って、風見がまた歩み去ろうとする。]
109: 1893| [45] [だが、洵は――]
110: 1898| [45] [その背に声をかけた。]
111: 1906| [47] [洵]
112: 1909| [45] [「もういい！　もういいんだよ風見ちゃん！」]
113: 1943| [47] [風見]
114: 1946| [45] [「え……？」]
115: 1954| [47] [洵]
116: 1957| [45] [「探しても無駄なんだよ……！　どんなに探したって、凪沙はもういないの！」]
117: 1980| [45] [その言葉に、風見の表情が凍りつく。]
118: 1988| [47] [風見]
119: 1991| [45] [「な……何を言ってるの……？」]
120: 1999| [47] [洵]
121: 2002| [45] [「死んじゃったんだよ、凪沙は！　あのときの爆発事故で、頭を打って！」]
122: 2056| [47] [風見]
123: 2059| [45] [「嘘よ……あの子は、絶対にどこかで――」]
124: 2067| [47] [洵]
125: 2070| [45] [「嘘じゃない！」]
126: 2078| [47] [洵]
127: 2081| [45] [「風見ちゃんも、お葬式に出たじゃない！　あたしと一緒に、凪沙にお別れしたじゃない！」]
128: 2086| [45] [そう叫んだ時、洵の目に、ぼろぼろと涙があふれ出した。]
129: 2094| [47] [洵]
130: 2097| [45] [「……わかってよ、風見ちゃん……！」]
131: 2105| [47] [洵]
132: 2108| [45] [「風見ちゃんがわかってくれないと、凪沙も安心して天国にいけないよ……！」]
133: 2113| [45] [そう口にする事で、洵もようやく認める事ができた。]
134: 2167| [45] [――凪沙は死んだのだ。]
135: 2172| [45] [あの心優しい娘には、もう２度と会う事ができない。]
136: 2177| [45] [自分たちは凪沙のいない世界に、残された者たちだ。]
137: 2182| [45] [その事に気付いた洵の涙は、止めどなく流れる。]
138: 2197| [45] [そして彼女の涙を見て――]
139: 2223| [47] [風見]
140: 2226| [45] [「そう……」]
141: 2234| [47] [風見]
142: 2237| [45] [「あの子は……死んだのね……」]
143: 2242| [45] [風見もようやく、現実に気付いてくれた。]
144: 2268| [47] [風見]
145: 2271| [45] [「……とうとう、１人になっちゃったわ……」]
146: 2279| [47] [洵]
147: 2282| [45] [「……１人じゃないよ。凪沙もきっと、天国から見守ってくれるよ」]
148: 2308| [47] [風見]
149: 2311| [45] [「いいえ、１人よ……」]
150: 2319| [47] [風見]
151: 2322| [45] [「……ずっと２人きりで暮らしてきた、たった１人の妹なんですもの」]
152: 2348| [47] [風見]
153: 2351| [45] [「凪沙がいないと、私は……」]
154: 2356| [45] [洵の言葉は届かなかった。]
155: 2361| [45] [洵は必死で考える。どうすれば風見の心を動かせるのか。どうすれば彼女を支えられるのか――]
156: 2366| [45] [やがて出た答え――それに気付いた時、洵の涙が止まった。]
157: 2374| [47] [洵]
158: 2377| [45] [「――風見ちゃん」]
159: 2382| [45] [洵は風見に、その言葉を告げる。]
160: 2390| [47] [洵]
161: 2393| [45] [「風見ちゃんを１人にはさせないよ」]
162: 2401| [47] [洵]
163: 2404| [45] [「あたしが凪沙の代わりに――風見ちゃんの、妹になるから」]
164: 2430| [47] [風見]
165: 2433| [45] [「え……？」]
166: 2441| [47] [洵]
167: 2444| [45] [「凪沙とは全然違う、かわいくない子だけど……あたし、お姉ちゃんの妹になるから……」]
168: 2452| [47] [洵]
169: 2455| [45] [「だから……」]
170: 2481| [47] [風見]
171: 2484| [45] [「洵ちゃん……あなた……」]
172: 2489| [45] [凪沙の代わりになんかなれない事は、洵もわかっていた。]
173: 2494| [45] [だが、風見はその言葉を聞き――]
174: 2546| [45] [洵をそっと抱きしめて、言ったのだ。]
175: 2573| [47] [風見]
176: 2576| [45] [「……ありがとう」]
177: 2631| [45] [――その日から、洵は風見の妹代わりとなった。]
178: 2636| [45] [洵は凪沙亡き後も、たびたび風見の家に遊びに行った。]
179: 2641| [45] [時にはお泊りもし、夜通し話す事もあった。]
180: 2646| [45] [少しはその甲斐もあったのだろうか。]
181: 2651| [45] [風見は少しずつ、以前の穏やかさを取り戻していったのだ。]
182: 2708| [45] [やがて風見は花屋を辞め、消防学校に入った。]
183: 2713| [45] [恐らく凪沙の死をきっかけに、人命を救う仕事に就きたいと思ったのだろう。]
184: 2718| [45] [洵は反対したが、風見は決して意見を変えなかった。]
185: 2723| [45] [やがては洵も折れ、応援する側に回った。]
186: 2728| [45] [そうして風見は消防士になり、さらに努力を重ね、レスキュー隊員になったのだ。]
187: 2777| [45] [――辛い記憶も、悲しい想い出も、歳月は少しずつ薄れさせてくれる。]
188: 2782| [45] [すっかり立ち直り、鹿鳴市消防局初の女性レスキュー隊員となった風見を、洵は心から尊敬していた。]
189: 2787| [47] [洵]
190: 2788| [45] [（お姉ちゃんは強いな……あたしももっと強くなんなきゃ）]
191: 2793| [45] [洵が風見を支え、風見は洵の規範となり、共に影響を与えながら、彼女たちは成長していく。]
192: 2798| [45] [そしてそれから何年も過ぎた、ある日の事……。]
193: 2867| [45] [休日に２人で出かけた街中で、風見が洵に尋ねてきた。]
194: 2875| [47] [風見]
195: 2878| [45] [「洵、あなた高校卒業したらどうするの？」]
196: 2886| [47] [洵]
197: 2889| [45] [「んー、実はさ～……」]
198: 2897| [47] [洵]
199: 2900| [45] [「あたしも消防学校に入って、お姉ちゃんと同じシリウス目指そうかと思ってるんだけど」]
200: 2926| [47] [風見]
201: 2929| [45] [「なんですって……！？」]
202: 2934| [45] [洵がおっかなびっくり言うと、予想通り風見は険しい顔をした。]
203: 2960| [47] [風見]
204: 2963| [45] [「駄目よ、あなたじゃ危ないわ！　命がけの仕事なのよ！」]
205: 2971| [47] [風見]
206: 2974| [45] [「お給料は安いし仕事はきついし、出場かかるたびに地獄に飛び込んで――」]
207: 2982| [47] [洵]
208: 2985| [45] [「わ、わかってるよそんなこと」]
209: 2993| [47] [洵]
210: 2996| [45] [「でもお姉ちゃんだって、あたしがあんなに反対したのに、消防学校に入ったじゃない？」]
211: 3022| [47] [風見]
212: 3025| [45] [「何年前の話をしているの？　それとこれとは話が別です」]
213: 3033| [47] [洵]
214: 3036| [45] [「別じゃないもん！　同じだもん！」]
215: 3062| [47] [風見]
216: 3065| [45] [「洵、どうして……？」]
217: 3091| [47] [風見]
218: 3094| [45] [「もしあなたまで失うことになったら、私は……！」]
219: 3099| [45] [風見の心配が伝わってくる。]
220: 3150| [45] [でも洵は絶対に譲ることができなかった。]
221: 3155| [45] [街中でサイレンを聞くたびに、怪我をして帰って来た風見を見るたびに、洵はいつも胸が潰れそうな思いをしてきたのだ。]
222: 3163| [47] [洵]
223: 3166| [45] [「お姉ちゃん、あたしも同じ思いなんだよ」]
224: 3174| [47] [洵]
225: 3177| [45] [「あたしだって、お姉ちゃんのこと放っておけないんだから」]
226: 3203| [47] [風見]
227: 3206| [45] [「洵……」]
228: 3293| [47] [洵]
229: 3296| [45] [「……凪沙の代わりになるってのは、お姉ちゃんに甘えるためじゃないよ」]
230: 3304| [47] [洵]
231: 3307| [45] [「凪沙の代わりに、お姉ちゃんを護るってのも、あたしの務めだと思うんだ」]
232: 3333| [47] [風見]
233: 3336| [45] [「そう……そうなのね……」]
234: 3362| [47] [風見]
235: 3365| [45] [「……そうまで言ってくれるなら、もう止めたりはしないわ」]
236: 3370| [45] [そう言いつつも風見はやはり、少し怒っているようだった。]
237: 3396| [47] [風見]
238: 3399| [45] [「……でも約束してね。仕事に就いても、命は極力大事にするって」]
239: 3407| [47] [洵]
240: 3410| [45] [「もちろんだよ。お姉ちゃんも絶対、命は大事にしてね？」]
241: 3436| [47] [風見]
242: 3439| [45] [「ええ……あなたのためにも、ね」]
243: 3444| [45] [２人はそう言って、笑みを交わした。]
244: 3455| [47] [洵]
245: 3458| [45] [「それにさ、あたしずっとレスキュー隊に憧れてたんだ」]
246: 3466| [47] [洵]
247: 3469| [45] [「……あたしの命を救ってくれたのは、レスキュー隊の人だったから」]
248: 3495| [47] [風見]
249: 3498| [45] [「そう……あなたがそう言うなら、私はもう何も言わないわ」]
250: 3503| [45] [そう言いつつも風見はやはり、少し怒っているようだった。]
251: 3508| [45] [洵は甘えたように言う。]
252: 3516| [47] [洵]
253: 3519| [45] [「ねぇ、お姉ちゃん」]
254: 3545| [47] [風見]
255: 3548| [45] [「なに？」]
256: 3556| [47] [洵]
257: 3559| [45] [「お姉ちゃんのピンチには、あたしが助けてあげるからね」]
258: 3585| [47] [風見]
259: 3588| [45] [「ありがとう。じゃああなたが危なくなったときは、必ず私が助けてあげる」]
260: 3596| [47] [洵]
261: 3599| [45] [「うん！」]
262: 3604| [45] [その言葉さえあれば、洵はどこまでも頑張れるような気がした。]
