  0:   53| [45] [――それはもうずいぶん遠く、そして懐かしい記憶――]
 96: 1097| [45] [「……ねぇ悠里、もう５時半だよ。きっと話し合いがおわるころだよ」]
 97: 1105| [47] [夏彦]
 98: 1108| [45] [「そろそろ、いえにかえってみようか」]
 99: 1116| [47] [悠里]
100: 1119| [45] [「えっ……で、でも……」]
101: 1145| [47] [夏彦]
102: 1148| [45] [「だいじょうぶ、こわくないよ。ぼくがついてるから」]
103: 1156| [47] [悠里]
104: 1159| [45] [「う……うんっ！」]
105: 1164| [45] [悠里は勇気を出して、そう答える。]
106: 1187| [45] [そして彼と手をつなぎ、家に向けて歩き出した。]
107: 1206| [45] [――あれからもう、１０年が過ぎた。]
108: 1211| [45] [今でも悠里は、彼の腕時計を見るたびに、この日の事を思い出す。]
109: 1216| [45] [夏彦は父を亡くし、本当は寂しいだろうに、悠里を勇気付けてくれた。]
110: 1221| [45] [その優しさがなにより嬉しくて――]
111: 1279| [45] [……悠里が夏彦を好きになったのは、恐らくこの時からだったろう。]
112: 1284| [45] [遠い日の想い出は、今も悠里の心の奥に、大切にしまいこまれている……。]
