  0:   51| [55] [√After Chapter 6]
 73:  905| [86] [Auditory Hallucination]
 74:  906| [86] [{...?}]
 75:  921| [85] [{Why are you going this far...?}]
 76:  922| [86] [Auditory Hallucination]
 77:  923| [86] [{Why are you going this far...?}]
 78:  951| [45] [This was the second time he'd been asked that today.]
 79: 1025| [47] [Yuuri]
 80: 1028| [45] ["--Why are you going this far to save my life?"]
 81: 1033| [45] [Watase fondly remembered that question.]
 82: 1038| [45] [It was from a time where the group had worked together to find a way to survive--%Na time before they were overtaken by discord.]
 83: 1043| [45] [Watase quietly muttered the answer he hadn't given back then.]
 84: 1080| [47] [Watase]
 85: 1083| [45] ["... Wanting to save people's been the one constant for me this whole time."]
 86: 1091| [47] [Watase]
 87: 1094| [45] ["It was all because you told me to save Yuuri way back when this all began."]
 88: 1099| [45] [Without any memories of the past, these few hours he'd spent here in LABO were Watase's entire life.]
 89: 1104| [45] [And the few memories he had recovered had been of LABO too.]
 90: 1109| [45] [This dark underground facility was the only world he knew.]
 91: 1114| [45] [Maybe he could have made a different choice if he were living peacefully.]
 92: 1119| [45] [But Watase had awoken in this facility consumed by radiation.]
 93: 1124| [45] [All while bearing the burden of his role as a rescue squad captain.]
 94: 1132| [47] [Watase]
 95: 1135| [45] ["So... all I want to do is fulfill my role."]
 96: 1143| [47] [Watase]
 97: 1146| [45] ["I hated feeling so powerless, surrounded by nothing but fire, explosions, and smoke."]
 98: 1154| [47] [Watase]
 99: 1157| [45] ["When we didn't have enough AD, I went running straight into gas and a contaminated zone."]
100: 1165| [47] [Watase]
101: 1168| [45] ["When someone fell into a hole, I grabbed their hand and pulled them out."]
102: 1176| [47] [Watase]
103: 1179| [45] ["I protected Yuuri with my body when the debris threatened to crush her..."]
104: 1187| [47] [Watase]
105: 1190| [45] ["This whole time, all I've ever thought about is how to save everyone."]
106: 1245| [85] [{...}]
107: 1246| [86] [Auditory Hallucination]
108: 1247| [86] [{...}]
109: 1275| [45] [The voice went quiet.]
110: 1280| [45] [It wasn't surprising. There was no one out there who could understand Watase's feelings.]
111: 1285| [45] [He was an entity who'd suddenly been born into this hellish environment without any memories.]
112: 1290| [45] [He didn't know who he was-- only that he was a spirit bestowed with the sole duty of "saving lives"--]
113: 1295| [45] [That was him. That was Watase Kasasagi.]
114: 1300| [45] [The wounds he'd gained in the process of fulfilling that duty suddenly began hurting.]
115: 1400| [45] [His burnt left hand.]
116: 1579| [45] [His cracked ribs.]
117: 1639| [45] [The cut on the back of his head.]
118: 1698| [45] [His throat felt like it was on fire from thirst and all the vomiting he'd done, and his body was as heavy as lead from all the exhaustion he'd built up.]
119: 1703| [45] [And yet he did not stop.]
120: 1708| [45] [For his will was the only thing he could rely on now that he didn't even trust himself.]
121: 1716| [47] [Watase]
122: 1719| [45] ["... I'll be damned if I let the others die because of my actions."]
123: 1727| [47] [Watase]
124: 1730| [45] ["And the same goes for letting anyone die because I did nothing."]
125: 1738| [47] [Watase]
126: 1741| [45] ["If putting out the reactor fires will save everyone, then I'll do it."]
127: 1749| [47] [Watase]
128: 1752| [45] ["Even if..."]
129: 1757| [45] [--Even if I lose my life as a result.]
130: 1762| [45] [Perhaps the auditory hallucination had figured what he was thinking, as it spoke up in a faint voice.]
131: 1819| [85] [{.. Watase... you...}]
132: 1820| [86] [Auditory Hallucination]
133: 1821| [86] [{.. Watase... you...}]
134: 1852| [47] [Watase]
135: 1855| [45] ["You get it now? If you do, then shut up."]
136: 1863| [47] [Watase]
137: 1866| [45] ["... If you keep talking, I might lose my resolve."]
138: 1871| [45] [Watase muttered that and broke off into a run.]
139: 1876| [45] [He headed for Area N, home of the burning reactor--]
140: 1985| [45] [Watase's Procyon started beeping louder than he'd ever heard it before when he opened the connecting passageway gate to Area N.]
141: 1990| [45] [The Procyon's display was giving off a reading far greater than he'd ever seen before.]
142: 1996| [47] [Watase]
143: 1999| [45] ["'12210 mSv'...!"]
144: 2005| [47] [Watase]
145: 2008| [45] ["'12110 mSv'...!"]
146: 2014| [47] [Watase]
147: 2017| [45] ["'12010 mSv'...!"]
148: 2022| [45] [He was then assaulted by an intense headache and severe nausea.]
149: 2027| [45] [His skin was numb, and his vision grew blurry.]
150: 2035| [47] [Watase]
151: 2038| [45] ["... Tch."]
152: 2082| [45] [Watase turned his Procyon off, then kept on walking.]
153: 2125| [47] [Watase]
154: 2126| [45] [(The nuclear reactor's right behind this gate...!)]
155: 2131| [45] [A melted down reactor, raging hellfire, and extremely lethal doses of radiation--]
156: 2136| [45] [Watase shuddered as he imagined that hell on Earth waiting for him right up ahead.]
157: 2141| [45] [But...]
158: 2188| [47] [Watase]
159: 2191| [45] ["... I'm ready."]
160: 2196| [45] [Watase kept himself from shaking, then pulled a hose out from the nearby fire hydrant.]
161: 2201| [45] [He held it with his left hand, with the security card in the right.]
162: 2206| [47] [Watase]
163: 2207| [45] [(Extinguishing preparations all set. Let's roll.)]
164: 2212| [45] [Though genuine danger lay just up ahead, Watase did not falter.]
165: 2217| [45] [Endless courage was coarsing through him.]
166: 2222| [45] [He suddenly broke out into a smile.]
167: 2227| [47] [Watase]
168: 2228| [45] [(Looks like I finally became... a true rescue worker.)]
169: 2233| [45] [He then took the card in his hand--]
170: 2347| [45] [And opened the gate.]
