  0:   65| [45] [――それは風見がシリウスに入り、約半年が過ぎた、ある日の事――]
 84:  967| [45] [「な、なに？」]
 85:  972| [47] [風見]
 86:  975| [45] [「私の、いまの発言、聞こえました？」]
 87: 1001| [47] [渡瀬]
 88: 1004| [45] [「し、知らん！　俺は何も聞いてないぞ！」]
 89: 1009| [47] [風見]
 90: 1012| [45] [「聞いてましたね！？」]
 91: 1020| [47] [渡瀬]
 92: 1023| [45] [「聞いてないって！」]
 93: 1028| [47] [風見]
 94: 1031| [45] [「ち、違うんです！　ちょっと盛り上がってしまっただけなんです！」]
 95: 1057| [47] [渡瀬]
 96: 1060| [45] [「って待ておい！　お前はちょっと盛り上がると、訓練中に告白するのかよ！？」]
 97: 1065| [47] [風見]
 98: 1068| [45] [「あああやっぱり聞いてたんじゃないですか！　忘れてください！」]
 99: 1094| [47] [渡瀬]
100: 1097| [45] [「どうしたいんだよお前は！」]
101: 1181| [45] [大人の男女とは思えない騒ぎ声が、辺りに響く。]
102: 1187| [45] [空には清々しい、秋の風が吹いていた。]
