  0:   65| [45] [堂島の遺体を発見した後も、風見たちは捜索を続行した。]
 68:  941| [45] [「も、守部洵隊員、隊長の指揮下に入ります！」]
 69:  967| [47] [渡瀬]
 70:  970| [45] [「よろしい！」]
 71:  975| [45] [そこで渡瀬はにっと笑い、風見の肩を叩いた。]
 72: 1001| [47] [渡瀬]
 73: 1004| [45] [「……なんてな。まぁ形だけのもんだ。基本的には今までどおりで頼む」]
 74: 1009| [45] [緊張をほぐすために、あえて砕けた口調で言っているのだろう。]
 75: 1014| [45] [だがその心遣いが嬉しかった。]
 76: 1019| [47] [風見]
 77: 1022| [45] [「い、え……お願いします」]
 78: 1027| [45] [風見の声に呼応するかのように、洵もぽつりと呟く。]
 79: 1053| [47] [洵]
 80: 1056| [45] [「そうだね……いつまでも落ち込んではいられないよ」]
 81: 1064| [47] [洵]
 82: 1067| [45] [「火は消えた。カードも見つかった。だからもう第６エリアまで、あたしたちを遮るものはない」]
 83: 1093| [47] [渡瀬]
 84: 1096| [45] [「そうだ、その意気さ！」]
 85: 1101| [45] [渡瀬は満足げに微笑む。]
 86: 1106| [45] [風見は彼の肩に、そっと手を触れ――]
 87: 1111| [47] [風見]
 88: 1114| [45] [「……ありがとうございます、隊長」]
 89: 1119| [45] [そう言って、微笑みを返した。]
 90: 1226| [45] [それから風見たちは、第５エリア、第６エリアと捜索を進めた。]
 91: 1287| [45] [途中、ファクトリーで天井が崩れ、渡瀬とユウリが下敷きになるというアクシデントがあったが――]
 92: 1293| [45] [渡瀬のとっさの判断と、鍛え上げられた肉体のおかげで、ユウリは事なきを得た。]
 93: 1298| [47] [風見]
 94: 1299| [45] [（よかった……本当に、よかった）]
 95: 1353| [45] [そして脱出口と思しき搬出リフトの扉を開く方法も、渡瀬が発見した。]
 96: 1364| [45] [それに従い、クレーンで扉を開く。]
 97: 1369| [45] [まだ要救助者たちを全て見つけられたわけではないが――]
 98: 1375| [47] [風見]
 99: 1376| [45] [（少なくともこの６人は、全員無事生き残る事ができた……）]
100: 1381| [45] [その事を風見は、渡瀬に心から感謝した。]
101: 1491| [45] [彼に歩み寄り、そっと囁く。]
102: 1496| [47] [風見]
103: 1499| [45] [「隊長……」]
104: 1507| [47] [渡瀬]
105: 1510| [45] [「ん、なんだ？」]
106: 1515| [47] [風見]
107: 1518| [45] [「……嬉しいです、私」]
108: 1523| [47] [風見]
109: 1526| [45] [「隊長が元に戻ってくれたみたいで……」]
110: 1552| [47] [渡瀬]
111: 1555| [45] [「いつものオレにか？」]
112: 1560| [47] [風見]
113: 1563| [45] [「いいえ、違います。もっと前の……私が入隊した頃のあなたに、戻ったような気がして」]
114: 1589| [47] [渡瀬]
115: 1592| [45] [「ん……？　お前が入隊した頃と、最近のオレはまた違うのか？」]
116: 1597| [47] [風見]
117: 1600| [45] [「あ、いえ、そんなに違うというわけではないのですが……近頃は少し、無口になられたようでしたので」]
118: 1626| [47] [渡瀬]
119: 1629| [45] [「じゃあ何か、オレって男は――」]
120: 1637| [47] [渡瀬]
121: 1640| [45] [「『今のオレ』と『普段の俺』と『お前が入隊した頃の俺』と、３種類いるって事になるのか」]
122: 1645| [47] [風見]
123: 1648| [45] [「そういう事になりますね」]
124: 1674| [47] [渡瀬]
125: 1677| [45] [「ははっ、何かはっきりしない奴だな？　どれが本当のオレなんだろうな」]
126: 1682| [47] [風見]
127: 1685| [45] [「どれもきっと、本当の隊長なんですよ」]
128: 1690| [47] [風見]
129: 1693| [45] [「優しいあなたも、一生懸命なあなたも、冷静で理知的なあなたも」]
130: 1719| [47] [渡瀬]
131: 1722| [45] [「そうか、そうかもしれないな」]
132: 1748| [47] [渡瀬]
133: 1751| [45] [「じゃあ質問を変えよう。どれが一番、好ましいオレかな？」]
134: 1756| [47] [風見]
135: 1759| [45] [「それは――……」]
136: 1764| [45] [風見はその答えを飲み込んだ。]
137: 1769| [45] [今まで渡瀬と一緒に過ごしてきて、今日という日を共に生きて、そして風見は悟ったのだ。]
138: 1774| [45] [人は日々変わっていく。渡瀬も出会った時から見て、少しずつ変わっている。]
139: 1779| [45] [だけどその変化も含めて。移り行く現在と過去と未来を全て含めて――]
140: 1784| [47] [風見]
141: 1785| [45] [（……私はこの人が好きなんだわ）]
142: 1790| [47] [風見]
143: 1791| [45] [（無力で勇気ある渡瀬も、冷静で有能な渡瀬も、優しくて穏やかな渡瀬も……全て含めて好きなんだ）]
144: 1796| [45] [風見の胸に、温かいものが満ちる。]
145: 1801| [45] [だがそれはいま言うべき事ではない。だから風見は微笑んで答える。]
146: 1806| [47] [風見]
147: 1809| [45] [「……今は、今のあなたが好きです」]
148: 1835| [47] [渡瀬]
149: 1838| [45] [「えっ？」]
150: 1843| [47] [風見]
151: 1846| [45] [「いつだってそうですよ。私は『今』のあなたが好きなんです」]
152: 1872| [47] [渡瀬]
153: 1875| [45] [「っ……」]
154: 1898| [45] [そう告げると渡瀬は、照れ臭そうに笑った。]
155: 1903| [45] [それは長い付き合いで初めて見る、少年のような表情だった。]
156: 2123| [45] [――記憶を遡っていくうちに――]
157: 2128| [45] [風見の心の中で、渡瀬への想いが、より大きくなっていった。]
158: 2133| [45] [そしてそれと共に、やがて……]
159: 2138| [45] [風見自身が、恥ずかしくて思い出したくない記憶が１つ、心の奥底から湧き上がってきた。]
