  0:   61| [45] [――それから数時間。悠里は病室でおとなしくしていた。]
 83:  710| [45] [「あの……おしえてください」]
 84:  718| [47] [悠里]
 85:  721| [45] [「わたしたちに、なにがおきたんですか？」]
 86:  726| [45] [博士はしばらく黙り込んだ後、観念したように語りだした。]
 87:  752| [47] [美夜子]
 88:  755| [45] [「……悠里ちゃん。あなたと夏彦は、今回の事故の影響で、遺伝子が変異してしまったの」]
 89:  763| [47] [悠里]
 90:  766| [45] [「いでんし？」]
 91:  792| [47] [美夜子]
 92:  795| [45] [「あなたの体を構成する――そう、設計図のようなもの」]
 93:  803| [47] [美夜子]
 94:  806| [45] [「その中のＩＧＦ２Ｒ遺伝子という、ＢＣの使用に関する遺伝子が、施設内に蔓延した粒子により破壊・再構築されて――」]
 95:  814| [47] [美夜子]
 96:  817| [45] [「ＢＣの『適性度』が、ＣからＳまで上がったのよ」]
 97:  843| [47] [美夜子]
 98:  846| [45] [「通常なら生涯変わる事のないはずの適性度が」]
 99:  854| [47] [悠里]
100:  857| [45] [「……？」]
101:  862| [45] [博士の言っている事は、あまり理解できなかった。]
102:  867| [45] [きょとんとしている悠里に、博士が続ける。]
103:  893| [47] [美夜子]
104:  896| [45] [「昼間、ＢＣが使えるかどうかのテストをしたでしょう？」]
105:  904| [47] [悠里]
106:  907| [45] [「は、はい」]
107:  933| [47] [美夜子]
108:  936| [45] [「訓練を要さず、テレパシーとエンパシーを使えるようになった……あの結果に全てが現れていたわ」]
109:  944| [47] [美夜子]
110:  947| [45] [「あなたは世界でもトップクラスのコミュニケーターになってしまったのよ」]
111:  955| [47] [悠里]
112:  958| [45] [「え……！？」]
113:  984| [47] [美夜子]
114:  987| [45] [「これは前例のない出来事なの」]
115:  995| [47] [美夜子]
116:  998| [45] [「なのにあなただけではなく、夏彦も同様に、適性度Ｓに変異してしまった」]
117: 1006| [47] [美夜子]
118: 1009| [45] [「能力もそれにともない、急上昇してる」]
119: 1035| [47] [美夜子]
120: 1038| [45] [「今のところ、私しか認識していないようだけど……夏彦もあの火災の時、テレパシーを使っていたものね」]
121: 1046| [47] [悠里]
122: 1049| [45] [「は、はい……」]
123: 1075| [47] [美夜子]
124: 1078| [45] [「でもその結果……あなたたちは、ラボに目をつけられてしまった」]
125: 1104| [47] [美夜子]
126: 1107| [45] [「悠里ちゃんも、夏彦も、ラボ内に幽閉される……」]
127: 1115| [47] [悠里]
128: 1118| [45] [「ゆうへい？」]
129: 1144| [47] [美夜子]
130: 1147| [45] [「閉じ込められて、ＢＣ研究の被験体にさせられるのよ」]
131: 1155| [47] [美夜子]
132: 1158| [45] [「ラボは原子力研究所ではなくて、本当はＢＣの研究所なの」]
133: 1166| [47] [美夜子]
134: 1169| [45] [「私もそこで原子力の研究ではなく、ＢＣの研究をずっとやってきたのよ。組織の中心人物の１人として……」]
135: 1195| [47] [美夜子]
136: 1198| [45] [「なのに、まさか……息子と息子の友達を、幽閉させる事になるなんて……！」]
137: 1206| [47] [悠里]
138: 1209| [45] [「……！」]
139: 1214| [45] [博士が語った言葉を、悠里は全て理解したわけではない。]
140: 1219| [45] [だがそれでもわかる事がある。]
141: 1288| [45] [ラボ内で炎に追い詰められた時、夏彦のテレパシーを聞いたような気がしたが――あれは気のせいではなかった。]
142: 1304| [45] [夏彦も悠里と同様、優れたコミュニケーターとして生まれ変わったのだ。]
143: 1309| [45] [そしてそのせいで、これからずっと閉じ込められて暮らすのだという事も。]
144: 1317| [47] [悠里]
145: 1320| [45] [「やめてもらうことは、できないんですか……？」]
146: 1346| [47] [美夜子]
147: 1349| [45] [「……ごめんなさい」]
148: 1357| [47] [美夜子]
149: 1360| [45] [「きっと理解できないとは思うけど、そうせざるを得ない理由もあるの」]
150: 1368| [47] [美夜子]
151: 1371| [45] [「あなたたちが得てしまった能力が、危険なのは確かだから……！」]
152: 1376| [45] [天川博士が辛そうに答える。]
153: 1381| [45] [もしそれが避けられないというのなら――]
154: 1389| [47] [悠里]
155: 1392| [45] [「あの……はかせ」]
156: 1418| [47] [美夜子]
157: 1421| [45] [「え？」]
158: 1429| [47] [悠里]
159: 1432| [45] [「とじこめられるのって、２人もひつようなんでしょうか？」]
160: 1458| [47] [美夜子]
161: 1461| [45] [「……どういう意味？」]
162: 1468| [45] [怪訝な顔をする博士に、悠里は自分の考えを述べた。]
163: 1476| [47] [悠里]
164: 1479| [45] [「わたしが、おとなしくラボにいくかわりに……」]
165: 1487| [47] [悠里]
166: 1490| [45] [「ひこりんだけでも、自由にしてもらうっていうのは……？」]
167: 1557| [47] [美夜子]
168: 1560| [45] [「！！」]
169: 1568| [47] [美夜子]
170: 1571| [45] [「……可能かもしれない」]
171: 1597| [47] [美夜子]
172: 1600| [45] [「幸い夏彦は、まだ目を覚ましていない。事情を知らないうちなら、なんとか……」]
173: 1626| [47] [美夜子]
174: 1629| [45] [「だけど、悠里ちゃんはそれでいいの？」]
175: 1637| [47] [悠里]
176: 1640| [45] [「いいんです」]
177: 1648| [47] [悠里]
178: 1651| [45] [「ひこりんは、わたしをたすけてくれたから」]
179: 1659| [47] [悠里]
180: 1662| [45] [「だからこんどは、わたしのばんです」]
181: 1667| [45] [それは悠里が、己の運命を決めた瞬間だった。]
182: 1720| [45] [――２日後、ラボに移送された悠里は、そこで天川博士に告げられた。]
183: 1795| [47] [美夜子]
184: 1798| [45] [「……夏彦には、あなたがあの火災で死んだと伝えたわ」]
185: 1806| [47] [悠里]
186: 1809| [45] [「そうですか……」]
187: 1835| [47] [美夜子]
188: 1838| [45] [「以後、夏彦は特別監視対象として、ラボ及び政府機関の監視下に置かれる事になったわ」]
189: 1846| [47] [美夜子]
190: 1849| [45] [「ラボ内に幽閉されたあなたと、社会の中で生きる夏彦――」]
191: 1857| [47] [美夜子]
192: 1860| [45] [「その２人のコミュニケーターの、比較データを取る名目で、なんとかそれを認めさせる事ができたの」]
193: 1886| [47] [美夜子]
194: 1889| [45] [「もっとも夏彦が、一定以上の能力レベルに達したら、ただちにここに移送されるけれど……」]
195: 1894| [45] [それは悠里にとって、望ましい事だったが――]
196: 1899| [47] [悠里]
197: 1900| [45] [（でも、ひこりんは……おそとがすきだから）]
198: 1905| [47] [悠里]
199: 1906| [45] [（ともだちもたくさんいるから……とじこめられたら、かわいそうだよ）]
200: 1911| [45] [そう思う悠里に、博士が言う。]
201: 1937| [47] [美夜子]
202: 1940| [45] [「……悠里ちゃん、あなたがもし望むのなら、やっぱり夏彦も一緒に……」]
203: 1948| [47] [悠里]
204: 1951| [45] [「いいえ、いいんです」]
205: 1956| [45] [悠里は博士に微笑みかける。]
206: 1964| [47] [悠里]
207: 1967| [45] [「……でも、そのかわり、ひとつだけおねがいが……」]
208: 1993| [47] [美夜子]
209: 1996| [45] [「……なに？」]
210: 2004| [47] [悠里]
211: 2007| [45] [「ほんのたまにでいいから……いちねんにいちどとかでもいいから、ひこりんにあわせてください」]
212: 2015| [47] [悠里]
213: 2018| [45] [「それだけでわたしは、じゅうぶんです」]
214: 2041| [47] [美夜子]
215: 2042| [45] [「…………」]
216: 2068| [47] [美夜子]
217: 2071| [45] [「……約束するわ」]
218: 2076| [45] [博士の言葉が、周囲の空気を静かに震わせた。]
219: 2106| [45] [――その記憶に、夏彦は言葉を失っていた。]
220: 2111| [47] [夏彦]
221: 2112| [45] [（お、おい……なんなんだよこれは……！）]
222: 2117| [45] [それは彼が考えもしなかった事実だった。]
223: 2122| [47] [夏彦]
224: 2123| [45] [（ラボはぼくらを被験体として、幽閉しようとしていたのか！？）]
225: 2128| [47] [夏彦]
226: 2129| [45] [（悠里だけじゃなくて、ぼくも！）]
227: 2134| [47] [夏彦]
228: 2135| [45] [（そして悠里は、ぼくの身代わりになって……！）]
229: 2140| [45] [自身の感覚は消えているはずなのに、心臓が早鐘のように鳴っている錯覚がする。]
230: 2145| [47] [夏彦]
231: 2146| [45] [（そ、それじゃ……）]
232: 2151| [47] [夏彦]
233: 2152| [45] [（悠里はこのあと、どうなったんだ！？）]
234: 2157| [45] [そう思う夏彦の眼前に、以後の日々の情景が浮かんできた。]
