  0:   65| [45] [――それは約１週間前の事――]
 98:  649| [45] [防災研究のためには、重要な研究対象になるはずだ。]
 99:  654| [45] [なのにこの事故については、全国の消防組織から、半ば無視されているのだ。]
100:  659| [45] [まるで腫れ物に触るように――。]
101:  664| [47] [風見]
102:  665| [45] [（……それに、当時の資料が不足しているというのも気になるわ）]
103:  670| [47] [風見]
104:  671| [45] [（もしかしてこれって本当は、資料が不足してるんじゃなくて――）]
105:  676| [47] [風見]
106:  677| [45] [（資料が隠されているんじゃ？）]
107:  682| [45] [なぜそんな事が起こるのか――そう考えると、ふと想起された記憶があった。]
108:  687| [47] [風見]
109:  688| [45] [（そう言えば昔、凪沙が言っていたわ……）]
110:  773| [47] [凪沙]
111:  776| [45] [「――お姉ちゃん、この団地ってさ……」]
112:  784| [47] [凪沙]
113:  787| [45] [「コミュニケーターが集められた、特別な団地なのかもしれないね」]
114:  792| [47] [風見]
115:  795| [45] [「あら、どうしてそう思うの？」]
116:  821| [47] [凪沙]
117:  824| [45] [「おとなりのおばさんが、言ってたの。『うちの子がコミュニケーターだから、この団地に入れた』って」]
118:  832| [47] [凪沙]
119:  835| [45] [「『コミュニケーターがいるお家は、ちゅうせんがゆうりになる』って」]
120:  840| [47] [風見]
121:  843| [45] [「あ……なるほど」]
122:  848| [45] [そう聞いて、風見もその意味を理解した。]
123:  853| [45] [この団地は建物こそ古いが、部屋数は多い上、家賃はタダ同然だ。]
124:  858| [45] [そんな人気物件に、風見たちは抽選なしで入居できた。]
125:  863| [45] [風見たちに両親がいないため、優遇されたのだと思っていたのだが――]
126:  868| [45] [どうやらコミュニケーターであるが故に、優遇されたという事らしい。]
127:  873| [45] [鹿鳴市ならではの話だった。]
128:  964| [45] [――つまりあの団地には、コミュニケーターが多数入居していた可能性が高い。]
129:  969| [45] [そんな重要物件で起きた事故。仮にその原因が、団地管理者の過失などによるものだとしたら――]
130:  974| [47] [風見]
131:  975| [45] [（事故原因を隠蔽する事も、あり得る……？）]
132:  980| [45] [やや突飛な想像にも思えたが、その可能性は０ではないだろう。]
133:  985| [47] [風見]
134:  988| [45] [「鹿鳴市営団地……私も自ら、あの事故について調べるべきかしら……」]
135:  993| [45] [そう呟いた時、風見に声がかけられた。]
136: 1019| [47] [渡瀬]
137: 1022| [45] [「おい橘、なにぼさっとしてる」]
138: 1048| [47] [渡瀬]
139: 1051| [45] [「昨日頼んだ書類、できてるのか？」]
140: 1056| [47] [風見]
141: 1059| [45] [「あ……は、はい。できてます」]
142: 1085| [47] [渡瀬]
143: 1088| [45] [「そうか。じゃあ俺の机に置いとけ」]
144: 1093| [45] [渡瀬はそう言って、踵を返す。]
145: 1098| [47] [風見]
146: 1101| [45] [「あ、隊長、どこへ？」]
147: 1127| [47] [渡瀬]
148: 1130| [45] [「定時だ。帰る」]
149: 1181| [45] [ぶっきらぼうな言葉を残し、彼は署内に入って行った。]
150: 1186| [47] [風見]
151: 1187| [45] [「……」]
152: 1192| [45] [風見は彼の背を、暗い気持ちで見つめていた。]
153: 1197| [45] [渡瀬は１年ほど前から、人が変わったように冷たくなった。]
154: 1202| [45] [さらにここ数日は、張り詰めたような雰囲気を漂わせている。]
155: 1207| [45] [何か悩みでもあるのだと思い、風見は何度も相談に乗ろうとしたが――]
156: 1212| [45] [そのたびに、拒絶された。]
157: 1217| [47] [風見]
158: 1218| [45] [（……どうして渡瀬は、何も言ってくれないのかしら）]
159: 1223| [45] [風見にはわからない事ばかりだ。]
160: 1228| [45] [渡瀬の考えも、９年前の事故の原因も。]
161: 1233| [45] [自分がどうしたいのかも、なぜこんなにも過去の事故にこだわってしまうのかも。]
162: 1238| [45] [だがそのどれにも、どことなく不吉な暗雲が立ち込めている気がした……。]
