  0:   64| [45] [――凪沙の死から、約２年後――]
153: 1488| [45] [渡瀬はふぅと息をつき、そして風見の肩をポンと叩く。]
154: 1496| [47] [渡瀬]
155: 1499| [45] [「……だが、ま、心情は理解できるよ」]
156: 1505| [47] [風見]
157: 1508| [45] [「え……？」]
158: 1540| [47] [渡瀬]
159: 1543| [45] [「妹さんの事を、気にしてるんだろ」]
160: 1548| [47] [風見]
161: 1551| [45] [「っっっ……」]
162: 1556| [45] [風見はその言葉に、目を見開いた。]
163: 1561| [47] [風見]
164: 1564| [45] [「た、隊長、もしかして……私の事、覚えてて下さったんですか？」]
165: 1590| [47] [渡瀬]
166: 1593| [45] [「ん、あぁ……」]
167: 1619| [47] [渡瀬]
168: 1622| [45] [「忘れるわけないさ……あんなに弱ってる女、見たことなかったからな」]
169: 1627| [47] [風見]
170: 1630| [45] [「……！」]
171: 1638| [47] [渡瀬]
172: 1641| [45] [「触れてほしくないんだろうと思って、今まで言い出さなかったが……」]
173: 1646| [47] [風見]
174: 1649| [45] [「い、いえ、申し訳ございません！」]
175: 1654| [45] [風見は深々と頭を下げた。]
176: 1659| [47] [風見]
177: 1662| [45] [「私も、ずっとあの時のお礼を言いたかったんです……！」]
178: 1667| [47] [風見]
179: 1670| [45] [「妹の贈り物を届けてくださって、ありがとうございました！」]
180: 1696| [47] [渡瀬]
181: 1699| [45] [「いや、いいさ」]
182: 1707| [47] [渡瀬]
183: 1710| [45] [「堂島にも言っておいてやってくれ。あの子を背負ったのはあいつだからな」]
184: 1715| [47] [風見]
185: 1718| [45] [「は、はい！」]
186: 1769| [45] [もう１度頭を下げる風見に、渡瀬は苦笑して言う。]
187: 1795| [47] [渡瀬]
188: 1798| [45] [「……でも、まぁどんな過去があろうと、自己犠牲的行動は危険だ」]
189: 1806| [47] [渡瀬]
190: 1809| [45] [「これからはなるべく、その熱情は抑えて行動しろ。常に冷静沈着にだ」]
191: 1814| [47] [風見]
192: 1817| [45] [「は、了解しました！」]
193: 1843| [47] [渡瀬]
194: 1846| [45] [「よろしい！　ではすぐ医務室に行って、火傷の手当てをしろ！」]
195: 1930| [45] [そう言われた瞬間、風見は思わず言ってしまった。]
196: 1935| [47] [風見]
197: 1938| [45] [「でしたらあの、手当てして下さいませんか？」]
198: 1964| [47] [渡瀬]
199: 1967| [45] [「なにっ！？」]
200: 1972| [47] [風見]
201: 1975| [45] [「火傷をしたのが顔となると、自分では手当てしにくいです」]
202: 2001| [47] [渡瀬]
203: 2004| [45] [「それはそうかもしれんが……いやしかしお前、男に顔いじられると、嫌じゃないか？」]
204: 2009| [47] [風見]
205: 2012| [45] [「隊長なら安心です」]
206: 2038| [47] [渡瀬]
207: 2041| [45] [「何が？」]
208: 2046| [47] [風見]
209: 2049| [45] [「優しく手当てしてくれそうですから」]
210: 2075| [47] [渡瀬]
211: 2078| [45] [「？？？　なに言ってんだお前……橘って時々、わけわからんこと言うよな」]
212: 2083| [47] [風見]
213: 2086| [45] [「……私もわけがわかりません。隊長の前だとこうなる時があるのです」]
214: 2112| [47] [渡瀬]
215: 2115| [45] [「そ、そうか……ますますもってよくわからん」]
216: 2141| [47] [渡瀬]
217: 2144| [45] [「まぁいい、火傷痕でも残ったら事だ。そんなに言うなら手当てしてやる」]
218: 2149| [47] [風見]
219: 2152| [45] [「ありがとうございます、隊長！」]
220: 2157| [45] [風見は渡瀬と共に、いそいそと医務室に向かった。]
221: 2165| [47] [風見]
222: 2168| [45] [「はい、失礼します！」]
223: 2173| [45] [風見は踵を返し、歩き出した。]
224: 2178| [45] [叱られたというのに、心はどこか晴れやかだった。]
225: 2233| [45] [それからの風見は、渡瀬の言う通り、努めて冷静に行動するようになった。]
226: 2238| [45] [もともとレスキューと言う仕事は、どれほど能力があろうと、冷静でなければ務まらない。]
227: 2243| [45] [その冷静さを手に入れた事で、渡瀬たちも風見を仲間と認め――]
228: 2248| [45] [彼女は名実共に、シリウスの一員となれたのだった。]
229: 2456| [45] [――記憶を遡っていくうちに――]
230: 2461| [45] [風見の心の中で、渡瀬への想いが、より大きくなっていった。]
231: 2466| [45] [そしてそれと共に、やがて……]
232: 2471| [45] [風見自身が、恥ずかしくて思い出したくない記憶が１つ、心の奥底から湧き上がってきた。]
