  0:   81| [45] [――病院跡で、渡瀬に真実を語った男の名は、宇喜多佳司と言った。]
160: 1875| [45] [「ずいぶんセキュリティが厳しいんだな……」]
161: 1922| [47] [宇喜多]
162: 1925| [45] [「あぁ。さらに被験体をＺｅｒｏエリアから連れ出す事ができても、Ｎエリアから出た時点で……」]
163: 2021| [47] [宇喜多]
164: 2024| [45] [「被験体脱走阻止コード、『ケースＮ』が発令される」]
165: 2032| [47] [渡瀬]
166: 2035| [45] [「ケースＮ？」]
167: 2082| [47] [宇喜多]
168: 2085| [45] [「施設内に無数にあるセキュリティゲートが、全て閉鎖・ロックされるのさ」]
169: 2093| [47] [宇喜多]
170: 2096| [45] [「さらに地下と地上を繋ぐ部分に、破壊不可能な隔壁が降り、絶対に誰も外に出る事ができなくなるんだ」]
171: 2104| [47] [宇喜多]
172: 2107| [45] [「しかもケースＮが発令されたら、警備員も職員も異変を察知する」]
173: 2115| [47] [宇喜多]
174: 2118| [45] [「施設内に残った職員は、逃げた被験体を必死で探すだろうし……施設外の警備員は施設外を固め、脱出を阻止するだろう」]
175: 2180| [47] [渡瀬]
176: 2183| [45] [「そいつは難物だ……じゃあケースＮの発令自体を阻止する事はできないのか？」]
177: 2209| [47] [宇喜多]
178: 2212| [45] [「不可能だ」]
179: 2220| [47] [宇喜多]
180: 2223| [45] [「ケースＮの発令システムは、ラボ内を統括管理するスパコン『ＢｒａｉｎＣｅｌｌ』によって行われるのだが――」]
181: 2231| [47] [宇喜多]
182: 2234| [45] [「このスパコンは３つの制御システムが、相互に機能を補完している。その全てを同時にダウンさせるのは無理だよ」]
183: 2242| [47] [渡瀬]
184: 2245| [45] [「……念入りな事だな」]
185: 2271| [47] [宇喜多]
186: 2274| [45] [「あぁ。もっとも正規の手続きを行えば、第５エリアまでは連れ出す事ができるらしいのだが……」]
187: 2282| [47] [渡瀬]
188: 2285| [45] [「第５エリア？　なぜそこだけは大丈夫なんだ？」]
189: 2293| [47] [宇喜多]
190: 2296| [45] [「第５エリアには、被験体の検査や各種実験を行う部屋があるのさ」]
191: 2304| [47] [宇喜多]
192: 2307| [45] [「故にそこだけは例外的に、被験体の出入りが可能なんだが――」]
193: 2333| [47] [宇喜多]
194: 2336| [45] [「しかし仮に第５エリアまで連れ出しても、エレベーターや非常階段に近づけば、やはりケースＮは発令されるらしい」]
195: 2344| [47] [渡瀬]
196: 2347| [45] [「つまり俺たちがラボに入る事ができても、被験体と共に外に出るのは不可能だって事か……？」]
197: 2373| [47] [宇喜多]
198: 2376| [45] [「あぁ。だがそれでも、僕らはやらなければならない。不可能を可能にしなければならないんだ」]
199: 2381| [45] [渡瀬はその言葉にうなずいた。]
200: 2386| [45] [問題点は、大きく分けて３つ。]
201: 2391| [45] [１つめは、『セキュリティカードと網膜認証の二重のチェックを乗り越え、Ｚｅｒｏエリアに降りる方法』。]
202: 2396| [45] [２つめは、『施設内の職員に見つからず、被験体を連れ去る方法』。]
203: 2401| [45] [３つめは、『ケースＮが発令した上でも、被験体と共に、施設外に脱出する方法』だ。]
204: 2427| [47] [宇喜多]
205: 2430| [45] [「では１つめの問題。Ｚｅｒｏエリアに降りる方法だが……」]
206: 2456| [47] [宇喜多]
207: 2459| [45] [「これは計画実行当日に、幹部研究員を気絶させるなりして連れて行き、網膜認証を行うしかないだろう」]
208: 2485| [47] [宇喜多]
209: 2488| [45] [「そうすればカードも手に入る。正規の手続きを装い、Ｚｅｒｏエリアに降りる事ができるはずだ」]
210: 2496| [47] [渡瀬]
211: 2499| [45] [「多少胸が痛むが……止むを得ないな」]
212: 2504| [45] [渡瀬は宇喜多の提案を呑んだ。]
213: 2530| [47] [宇喜多]
214: 2533| [45] [「では次の問題。施設内の警備員の対処法についてだが――」]
215: 2541| [47] [宇喜多]
216: 2544| [45] [「これはケースＮの発令を、逆手に取る事にする」]
217: 2552| [47] [渡瀬]
218: 2555| [45] [「……？　どういう意味だ？」]
219: 2581| [47] [宇喜多]
220: 2584| [45] [「若干複雑だが、聞いてくれ。流れはこんな感じだ」]
221: 2589| [45] [宇喜多はそう前置きして、話し始めた。]
222: 2615| [47] [宇喜多]
223: 2618| [45] [「まずラボ内には、ＷＸ粒子増幅器という機械があるんだ。それは制御の方法を間違えると、暴走する」]
224: 2626| [47] [宇喜多]
225: 2629| [45] [「すると自動的に、『ＢｒａｉｎＣｅｌｌ』が増幅器の暴走を止める処理を行うのだが――」]
226: 2655| [47] [宇喜多]
227: 2658| [45] [「この停止処理には時間がかかる。意図的に暴走させた場合、１２時間程度かな」]
228: 2666| [47] [宇喜多]
229: 2669| [45] [「そして、ＷＸ粒子増幅器の暴走と同時に、ケースＮが発令された場合……」]
230: 2677| [47] [宇喜多]
231: 2680| [45] [「暴走が終了するまでは、ケースＮを解除する事は不可能になる。閉ざされた隔壁を開ける事は、絶対に不可能になるんだ」]
232: 2688| [47] [渡瀬]
233: 2691| [45] [「なんだって？　なんで隔壁が開かなくなるんだ？」]
234: 2717| [47] [宇喜多]
235: 2720| [45] [「ＷＸ粒子増幅器というのは、要するにＢＣの効果を増進する素粒子を撒き散らす機械なんだよ」]
236: 2746| [47] [宇喜多]
237: 2749| [45] [「そんなものが暴走している時に、被験体が脱走したらどうなる？」]
238: 2775| [47] [宇喜多]
239: 2778| [45] [「ＢＣを使って、外の人間に助けを求めかねん。下手すれば街中の人間が、被験体のテレパシーを受け取る可能性もある」]
240: 2786| [47] [渡瀬]
241: 2789| [45] [「なるほど……隔壁が開かなくなる理由はわかった。これもまた隠蔽工作の一環か」]
242: 2797| [47] [渡瀬]
243: 2800| [45] [「だが、それがどう警備員の対処法に繋がるんだ？」]
244: 2826| [47] [宇喜多]
245: 2829| [45] [「うむ、それを踏まえた上で、我々がすべき事を説明するとだ……」]
246: 2837| [47] [宇喜多]
247: 2840| [45] [「まず施設内で火災を起こし、職員と警備員を外に避難させる。この時点では、まだ被験体の救出は行わない」]
248: 2848| [47] [宇喜多]
249: 2851| [45] [「だが全ての職員・警備員が避難した後、ＷＸ粒子増幅器を暴走させ、ケースＮを発令させれば――」]
250: 2877| [47] [宇喜多]
251: 2880| [45] [「施設の中には、誰も入れなくなる」]
252: 2888| [47] [渡瀬]
253: 2891| [45] [「そこまではいいアイディアだ。だがそれじゃ俺たちも外に出られなくなるだろう？」]
254: 2917| [47] [宇喜多]
255: 2920| [45] [「いいや。隔壁が閉鎖されても、１つだけ外に脱出できる場所があるんだよ」]
256: 2928| [47] [渡瀬]
257: 2931| [45] [「なに！？　それはどこだ！？」]
258: 2957| [47] [宇喜多]
259: 2960| [45] [「ＷＸ粒子増幅器の、冷却水用のパイプさ」]
260: 2971| [45] [宇喜多はそう言って、またＰＤＡを操作した。]
261: 3018| [45] [すると画面に、ＷＸ粒子増幅器のマニュアルが表示された。]
262: 3090| [47] [宇喜多]
263: 3093| [45] [「ＷＸ粒子増幅器を冷却するための水は、鹿鳴湖から取っているんだ」]
264: 3101| [47] [宇喜多]
265: 3104| [45] [「冷却水用の取水・排水パイプは、直径１ｍ。なんとか人が通れる大きさだ」]
266: 3112| [47] [宇喜多]
267: 3115| [45] [「パイプ内は高温の水が、高速で循環しているが――」]
268: 3132| [47] [宇喜多]
269: 3135| [45] [「冷却水の『濾過機構』を破壊すれば、自動的に水流が止まる仕組みになっている」]
270: 3143| [47] [渡瀬]
271: 3146| [45] [「いや待て。取水パイプに穴を開けたら、ラボ全体が水没するんじゃないか？」]
272: 3151| [45] [渡瀬は図面を指差して言った。]
273: 3168| [47] [渡瀬]
274: 3171| [45] [「この図を見ると『取水パイプ』は、鹿鳴湖の水位より下に位置してる」]
275: 3179| [47] [渡瀬]
276: 3182| [45] [「もし取水パイプに穴を開けてしまったら、水流が止まっていても、一気に水が溢れ出して……ラボは水没しちまうぞ」]
277: 3199| [47] [宇喜多]
278: 3202| [45] [「そう、だから排水パイプに穴を開けるのさ」]
279: 3219| [47] [宇喜多]
280: 3222| [45] [「排水パイプには、パイプ内に巨大なポンプがある。それが通行の邪魔をするわけだが――」]
281: 3249| [47] [宇喜多]
282: 3252| [45] [「これを君に、破壊して欲しいんだよ」]
283: 3257| [45] [宇喜多はにやりと笑って、そう言った。]
284: 3265| [47] [渡瀬]
285: 3268| [45] [「破壊……だと？　どうやって？」]
286: 3294| [47] [宇喜多]
287: 3297| [45] [「まずポンプを破壊するにあたって、邪魔なのはパイプ内の水だ」]
288: 3305| [47] [宇喜多]
289: 3308| [45] [「だがこれは水流を止めた上で、パイプの下部に穴を開けてしまえば――」]
290: 3316| [47] [渡瀬]
291: 3319| [45] [「……あ、そうか！　脱水できるな！」]
292: 3327| [47] [宇喜多]
293: 3330| [45] [「そうだろう？」]
294: 3348| [45] [排水パイプの出口は、鹿鳴湖の水位の上にある。]
295: 3353| [45] [取水パイプとは違って、こちらに穴を開けても、溢れ出す水の量はたかが知れている。]
296: 3361| [47] [宇喜多]
297: 3364| [45] [「で、水を抜いた後、ポンプをどうやって破壊するかだが――」]
298: 3391| [47] [宇喜多]
299: 3394| [45] [「ここは君からのアイディアを募りたい」]
300: 3402| [47] [宇喜多]
301: 3405| [45] [「レスキューの特殊装備の中に、ポンプを破壊できるようなものはないか？」]
302: 3413| [47] [渡瀬]
303: 3416| [45] [「うーむ、ポンプを破壊できる特殊装備か……」]
304: 3421| [45] [渡瀬はしばし考え、すぐに答えを出した。]
305: 3429| [47] [渡瀬]
306: 3432| [45] [「……そうだな、削岩機を使えばいいだろう」]
307: 3458| [47] [宇喜多]
308: 3461| [45] [「削岩機？」]
309: 3469| [47] [渡瀬]
310: 3472| [45] [「岩盤をぶち破る道具さ。崩れた瓦礫の向こうの人を助ける時とかに使うんだ」]
311: 3480| [47] [渡瀬]
312: 3483| [45] [「これなら火災に乗じて地下に持ち込んでも、さほど怪しまれないだろう」]
313: 3509| [47] [宇喜多]
314: 3512| [45] [「うむ、良さそうだな……！　だがそれでポンプを破壊するとして、どのくらい時間がかかりそうだ？」]
315: 3520| [47] [渡瀬]
316: 3523| [45] [「まぁ、ぶっ続けで作業して……ざっと３時間ってところだろうな」]
317: 3531| [47] [渡瀬]
318: 3534| [45] [「だが、ケースＮが発令されたら、隔壁は１２時間ほど閉まりっぱなしになるんだろ？」]
319: 3542| [47] [渡瀬]
320: 3545| [45] [「だったら多少時間がかかっても、何の問題もない」]
321: 3571| [47] [宇喜多]
322: 3574| [45] [「……！」]
323: 3582| [47] [渡瀬]
324: 3585| [45] [「俺たちは隔壁が閉まった後で、じっくりポンプを破壊して……そして被験体と一緒に、鹿鳴湖まで逃げればいい」]
325: 3593| [47] [渡瀬]
326: 3596| [45] [「マヌケなラボの職員たちは、建物の外でひたすら隔壁が開くのを待つ。そして隔壁が開いた頃には――」]
327: 3604| [47] [渡瀬]
328: 3607| [45] [「もう施設内には誰もいない。もぬけの殻ってワケさ」]
329: 3634| [47] [宇喜多]
330: 3637| [45] [「素晴しい！　完璧な計画だ！」]
331: 3642| [45] [宇喜多が力強い笑みを浮かべる。]
332: 3647| [45] [渡瀬は満足して、宇喜多に笑みを返した。]
333: 3655| [47] [渡瀬]
334: 3658| [45] [「よし、じゃあこの線でいこう！　これから忙しくなるぞ！」]
335: 3684| [47] [宇喜多]
336: 3687| [45] [「あぁ！　計画の実現のために、準備しなきゃいかん事が山ほどある！」]
337: 3695| [47] [渡瀬]
338: 3698| [45] [「そもそも大前提として、施設内で火災を起こす方法も考えなきゃならんしな」]
339: 3706| [47] [宇喜多]
340: 3709| [45] [「そっちは僕がＱのメンバーに連絡して、燃焼剤入りの爆弾などを入手してもらおう」]
341: 3717| [47] [渡瀬]
342: 3720| [45] [「すまねぇ、助かるぜ」]
343: 3725| [45] [そうして渡瀬たちの計画は、大きく動き始めた。]
344: 3778| [45] [――宇喜多はＱのメンバーに連絡を取り、計画のあらましを語った。]
345: 3783| [45] [するとＱからは、即座に回答があった。]
346: 3788| [45] [『良い計画だ。我々もその計画に同意し、可能な限り支援する』]
347: 3793| [45] [その回答が来てからは、渡瀬と宇喜多は、市の内外にいるＱのメンバーたちと協力して、計画を進める事になった。]
348: 3798| [45] [まず火災を起こす方法については、次のような回答が来た。]
349: 3803| [45] [『我々が燃焼剤入りの時限爆弾を１００個用意する。それをラボ内に設置し、同時に爆発させろ』]
350: 3876| [47] [渡瀬]
351: 3879| [45] [「ありがたい事だ。問題は設置する方法についてだが……」]
352: 3905| [47] [宇喜多]
353: 3908| [45] [「難しいな。その辺に爆弾が落ちてたら、すぐ騒ぎになるだろう」]
354: 3916| [47] [渡瀬]
355: 3919| [45] [「では他の物に偽装して持ちこむのはどうだ？　一見爆弾だとわからないようなものに」]
356: 3927| [47] [渡瀬]
357: 3930| [45] [「例えば、そう……消火器とか」]
358: 3956| [47] [宇喜多]
359: 3959| [45] [「消火器？」]
360: 4013| [47] [渡瀬]
361: 4016| [45] [「うちの隊はラボの防災指導を行っている」]
362: 4024| [47] [渡瀬]
363: 4027| [45] [「で、２年に１度、古くなった消火器を一斉に入れ替える機会があるんだよ」]
364: 4035| [47] [渡瀬]
365: 4038| [45] [「その時に、爆弾を仕込んだ消火器と入れ替えれば――」]
366: 4046| [47] [宇喜多]
367: 4049| [45] [「なるほど！　あっという間にラボの全域に、爆弾を設置できるな！」]
368: 4082| [47] [宇喜多]
369: 4085| [45] [「しかも消火器なら、誰かが中身を覗きこんだりする心配もない！　偽装にはもってこいだ！」]
370: 4093| [47] [渡瀬]
371: 4096| [45] [「よし、じゃあこれでいこう」]
372: 4104| [47] [渡瀬]
373: 4107| [45] [「次の消火器入れ替えは、来年の９月だ。その日を境に、ラボは消火器の形をした爆弾だらけになるぜ」]
374: 4160| [45] [――他にもＱからは、様々な司令が来た。]
375: 4165| [45] [『我々の意向としては、鹿鳴市の悪事の象徴たるラボを、物理的に破壊したい』]
376: 4170| [45] [『そうしてこそ、我々の無念を、世に知らしめる事ができる』]
377: 4175| [45] [『ラボの建屋そのものを吹き飛ばす、強力な時限爆弾を用意するので、それを施設内に仕掛けてくれ』]
378: 4248| [47] [渡瀬]
379: 4251| [45] [「うーむ、『強力な時限爆弾』とやらを仕掛けるのは簡単だが……巻き込まれて死ぬ人が出るのは避けたいな」]
380: 4277| [47] [宇喜多]
381: 4280| [45] [「だが爆破する事には、大きなメリットもあるぞ」]
382: 4306| [47] [宇喜多]
383: 4309| [45] [「施設全体を吹き飛ばすほどの爆発を起こせば、外で待機しているラボの連中は、被験体も僕らも死んだものと思うだろう？」]
384: 4317| [47] [渡瀬]
385: 4320| [45] [「なるほど、追手の目を欺けるな……だが１つだけ重要な問題がある」]
386: 4328| [47] [渡瀬]
387: 4331| [45] [「確かＺｅｒｏエリアに降りるためには、幹部研究員２名を気絶させて連れて行かなきゃならないんだよな」]
388: 4339| [47] [渡瀬]
389: 4342| [45] [「この２人はどうしたって、ケースＮ発令後も施設内に残るハメになる。すると爆発に巻き込まれちまうぞ」]
390: 4368| [47] [宇喜多]
391: 4371| [45] [「そうだったな……」]
392: 4379| [47] [渡瀬]
393: 4382| [45] [「かといって脱出時に連れて行くのは、リスクが大きいのでやりたくない。タイトな脱出計画だからな」]
394: 4408| [47] [宇喜多]
395: 4411| [45] [「……よし、じゃあこうしよう」]
396: 4437| [47] [宇喜多]
397: 4440| [45] [「『強力な時限爆弾』の爆発時刻を、隔壁が開く１分後にするんだ」]
398: 4448| [47] [宇喜多]
399: 4451| [45] [「そうすればその２名も、ギリギリ逃げる事ができる」]
400: 4459| [47] [渡瀬]
401: 4462| [45] [「隔壁が開く時間を、前もって知る事ができるのか？」]
402: 4488| [47] [宇喜多]
403: 4491| [45] [「『ＢｒａｉｎＣｅｌｌ』のモニターには、隔壁開放予想時刻が表示されるんだ」]
404: 4499| [47] [宇喜多]
405: 4502| [45] [「それを確認し、爆弾の爆破時刻を、開放時刻の１分後にセットするんだよ」]
406: 4528| [47] [宇喜多]
407: 4531| [45] [「……正直、苦肉の策だが」]
408: 4539| [47] [渡瀬]
409: 4542| [45] [「それは仕方がないさ。『人を殺さず、テロを成し遂げる』なんて無茶な事をやろうとしてるんだ」]
410: 4568| [47] [宇喜多]
411: 4571| [45] [「しかし考えてしまうな……僕らは甘いのだろうか？」]
412: 4579| [47] [渡瀬]
413: 4582| [45] [「いや、正しいさ。人を殺してしまったら、俺たちもラボの連中と同じ、人間のクズに堕ちちまうからな」]
414: 4608| [47] [宇喜多]
415: 4611| [45] [「……あぁ、そうだな！」]
416: 4673| [45] [――かくして計画は大詰めを迎えていた。]
417: 4678| [45] [そしてＱから送られてきた、第３の指示は――]
418: 4683| [45] [『決行者が２人だけでは心もとない。我々としては、あと２名ほど増やしたい』]
419: 4688| [45] [『同志笠鷺の同僚である、堂島誠二氏・桧山和樹氏を、新たに同志に迎えて欲しい』]
420: 4693| [45] [というものだった。]
421: 4698| [45] [だが自分だけならともかく、同僚までこのテロ計画に巻き込んでいいものだろうか？]
422: 4703| [47] [渡瀬]
423: 4704| [45] [（……あの２人も俺と同じ境遇だ。堂島はあの火災で恋人を失い、桧山は弟を失ったという）]
424: 4709| [47] [渡瀬]
425: 4710| [45] [（だからあいつらも、真実を知れば俺と同じく、鹿鳴市の蛮行に激怒するはずだが……！）]
426: 4763| [45] [――結局渡瀬は迷いの果てに、堂島と桧山に声をかけた。]
427: 4835| [47] [宇喜多]
428: 4838| [45] [「……で、どうだったんだね、君の同僚たちの反応は？」]
429: 4846| [47] [渡瀬]
430: 4849| [45] [「俺と全く同じだったよ……怒りに震え、Ｑに入る事を承諾した」]
431: 4875| [47] [宇喜多]
432: 4878| [45] [「そうか……ならば必要なピースは、これで全て揃ったな」]
433: 4883| [45] [かくして渡瀬たちの計画は、完璧なものとなった。]
434: 4888| [45] [消火器に燃焼剤入りの爆弾を仕込み、人工的に火災を起こす。]
435: 4893| [45] [そしてＷＸ粒子増幅器を暴走させ、被験体を救出し、ケースＮを発令させる。]
436: 4898| [45] [隔壁が閉まったら、施設内に強力な時限爆弾を仕掛け、冷却水の排水パイプから脱出する。]
437: 4903| [45] [そしてその爆弾が爆発すれば――渡瀬たちの犯行の痕跡も、被験体の生死も、全ては爆炎の中に消える。]
438: 4911| [47] [渡瀬]
439: 4914| [45] [「……あとは、実行するだけか」]
440: 4940| [47] [宇喜多]
