  0:   71| [45] [――そしてまた時が流れ、１年ほどが過ぎた頃……。]
163: 2662| [47] [風見]
164: 2665| [45] [「理由はわかりませんが、『避難モード』が終わったようです……」]
165: 2673| [47] [風見]
166: 2676| [45] [「今まで開放されていたゲートも、全部ロックされたかと」]
167: 2684| [47] [洵]
168: 2687| [45] [「じゃ、じゃあ……！」]
169: 2713| [47] [風見]
170: 2716| [45] [「ええ。我々は、この棟に閉じ込められてしまったようです……！」]
171: 2721| [45] [風見の言葉に、洵の体は震えた。]
172: 2729| [47] [洵]
173: 2732| [45] [「と、閉じ込められたって……！　ど、どうすれば！？」]
174: 2758| [47] [風見]
175: 2761| [45] [「どうすれば？　決まってます」]
176: 2769| [47] [風見]
177: 2772| [45] [「捜索を続行しましょう。要救助者も閉じ込められた可能性が高いですから」]
178: 2795| [47] [洵]
179: 2798| [45] [「……！」]
180: 2824| [47] [風見]
181: 2827| [45] [「しかる後に、脱出口の確保。いやその前に、セキュリティカードの捜索ですね」]
182: 2835| [47] [風見]
183: 2838| [45] [「やる事は多いですよ。立ち止まっている暇はありません」]
184: 2846| [47] [洵]
185: 2849| [45] [「そ、そうだけど……」]
186: 2857| [47] [洵]
187: 2860| [45] [「どうしてそんなに落ち着いてられるの……！？」]
188: 2868| [47] [洵]
189: 2871| [45] [「防護服がない状態で、原子力研究所の地下に閉じ込められたんだよ！？」]
190: 2897| [47] [風見]
191: 2900| [45] [「慌てても事態は好転しませんからね。どんな状況でも、冷静に、やるべき事をやらなければ」]
192: 2926| [47] [風見]
193: 2929| [45] [「それに……私が慌ててたら、あなたも怖いでしょう？」]
194: 2952| [47] [洵]
195: 2955| [45] [「――っ」]
196: 2960| [45] [見透かされて息を呑む洵に、風見が意地悪そうに言う。]
197: 2986| [47] [風見]
198: 2989| [45] [「あなたはまだ新米ですからね？　私がベテランの矜持を見せないと、チームが破綻します」]
199: 2997| [47] [洵]
200: 3000| [45] [「そ、そんな！　子供扱いしないでよ！　別に怖がってなんかないし！」]
201: 3026| [47] [風見]
202: 3029| [45] [「ホントですか？」]
203: 3037| [47] [洵]
204: 3040| [45] [「当ったり前だよ、あたしだってシリウスだもん！」]
205: 3045| [45] [洵のその言葉に、風見が微笑む。]
206: 3071| [47] [風見]
207: 3074| [45] [「……うん、その元気があれば大丈夫そうですね」]
208: 3100| [47] [風見]
209: 3103| [45] [「まぁ、もし何かあっても――私があなたを護りますから、安心しなさい」]
210: 3111| [47] [洵]
211: 3114| [45] [「……それはこっちのセリフだよ」]
212: 3122| [47] [洵]
213: 3125| [45] [「２人で力合わせて、要救助者助けて……そして必ず、一緒に生きて出ようね」]
214: 3152| [45] [洵と風見は、がっしりと握手する。]
215: 3163| [45] [そして力強く歩き出した。]
216: 3214| [45] [――それから洵たちは、レベル２のセキュリティカードを２枚見つけた。]
217: 3219| [45] [それを使い、施設内の消火をしながら、脱出口と要救助者を探す。]
218: 3224| [45] [だがそのどちらも見つからないまま、第２エリア、第１エリアの捜索を終えようとした時――]
219: 3279| [47] [洵]
220: 3282| [45] [「……あ！　あれは――」]
221: 3315| [47] [風見]
222: 3318| [45] [「まさか、隊長！？」]
223: 3323| [45] [第１エリアの廊下で、倒れている渡瀬と再会した。]
224: 3328| [45] [３人のレスキュー隊員の奮闘が始まる……。]
225: 3358| [45] [――と、その時ふと――]
226: 3363| [45] [どこかで、花の香りが漂った。]
227: 3368| [47] [夏彦]
228: 3369| [45] [（花の香り……！）]
229: 3374| [47] [夏彦]
230: 3375| [45] [（ここから先の記憶が、歪められているんだ！）]
231: 3399| [47] [悠里]
232: 3402| [45] [《その記憶を修復すれば、洵さんも元に戻るはずだよ！》]
233: 3407| [47] [夏彦]
234: 3408| [45] [（あぁ！）]
235: 3451| [45] [夏彦はそう答え、再び記憶検索を行った。]
236: 3456| [45] [追加する条件は――『花の香りのする記憶』。]
