  0:  129| [45] [――それは、遠い日の想い出。]
208: 2762| [47] [？？]
209: 2765| [45] [「あのな、子供たちよ、別に俺は怪物でもバケモンでも宇宙人でもない。どこにでもいる普通のレスキュー隊員だ」]
210: 2773| [47] [夏彦]
211: 2776| [45] [「でも、目つきがこわいし……」]
212: 2802| [47] [？？]
213: 2805| [45] [「ほっとけ、生まれつきだ。というか目つき関係ないだろ」]
214: 2831| [47] [？？]
215: 2834| [45] [「とにかくな、怪物なんてものはいない。あんまり人をそんなもん呼ばわりするんじゃないぞ」]
216: 2842| [47] [悠里]
217: 2845| [45] [「はい」]
218: 2853| [47] [夏彦]
219: 2856| [45] [「……はぁい」]
220: 2895| [45] [男はやれやれと首を振り、そしてグラウンドの方に去っていった。]
221: 2900| [45] [取り残された夏彦たちは、ふぅと息をつく。]
222: 2946| [47] [夏彦]
223: 2949| [45] [「……怪物なんていないだって。あの人、鹿鳴市の七不思議しらないんだね」]
224: 2957| [47] [悠里]
225: 2960| [45] [「そうだね。教えてあげた方がいいかなぁ？」]
226: 2968| [47] [夏彦]
227: 2971| [45] [「やめとこう、なんかあの人こわいし」]
228: 2979| [47] [夏彦]
229: 2982| [45] [「それよりさ、他にかいぶつがいそうなところって、どこかな？」]
230: 3008| [47] [悠里]
231: 3011| [45] [「えっと、そのかいぶつはもともとコミュニケーターなんだから……ＢＣに関係するところにいるのかな……？」]
232: 3019| [47] [夏彦]
233: 3022| [45] [「ＢＣに関係するところといえば――」]
234: 3030| [45] [夏彦がまた地図を取り出す。すると悠里は、その地図の一点を指差して言った。]
235: 3056| [47] [悠里]
236: 3059| [45] [「ここだよ！　超心研！」]
237: 3067| [47] [夏彦]
238: 3070| [45] [「あっ、あのＢＣのけんきゅうじょか！　そこは怪しいな！」]
239: 3078| [47] [悠里]
240: 3081| [45] [「行ってみようひこりん！」]
241: 3142| [45] [夏彦たちは連れ立って、消防署を飛び出した。]
242: 3207| [45] [しかし、超心研は休みだった。]
243: 3233| [47] [悠里]
244: 3236| [45] [「うーん、入れないね……べつの日に来ようか？」]
245: 3244| [47] [夏彦]
246: 3247| [45] [「そうだなぁ、ここが怪しいってことはわかったわけだし、今日はこれで充分かも」]
247: 3273| [47] [夏彦]
248: 3276| [45] [「また別の日に、ましろとかも連れて来よう」]
249: 3302| [47] [悠里]
250: 3305| [45] [「うんっ！」]
251: 3344| [45] [夏彦と悠里は、そう言って歩き出す。]
252: 3352| [45] [するとそこに、声をかけられた。]
253: 3360| [47] [？？]
254: 3363| [45] [「あの、もし……？」]
255: 3371| [47] [夏彦]
256: 3374| [45] [「えっ？」]
257: 3421| [45] [振り返るとそこに、見知らぬお姉さんが立っていた。]
258: 3429| [47] [夏彦]
259: 3432| [45] [「お姉ちゃん、なにかよう？」]
260: 3459| [47] [お姉さん]
261: 3462| [45] [「あなたたち、この辺で小さな女の子見なかったかしら？　私の妹なの」]
262: 3470| [47] [お姉さん]
263: 3473| [45] [「さっきまで一緒にいたんだけど、はぐれてしまって……」]
264: 3481| [47] [お姉さん]
265: 3484| [45] [「ちょうどあなたたちと同じくらいの年の、髪の長い、可愛い女の子なんだけど……」]
266: 3492| [47] [夏彦]
267: 3495| [45] [「女の子？　病院で会ったお姉ちゃんかな？」]
268: 3521| [47] [悠里]
269: 3524| [45] [「でもあのお姉さん、わたしたちよりけっこう年上だったよ？」]
270: 3532| [47] [夏彦]
271: 3535| [45] [「うーん、じゃあわかんないね……知ってる女の子、いまみんないなかに帰っちゃってるし」]
272: 3561| [47] [お姉さん]
273: 3564| [45] [「そう……じゃあ、もし見かけたら教えてね」]
274: 3597| [45] [お姉さんはふらふらと歩き出す。見ているこっちが心配になるような、危うい足取りだ。]
275: 3611| [47] [夏彦]
276: 3614| [45] [「……うーん、なんか心配だな」]
277: 3640| [47] [悠里]
278: 3643| [45] [「ひこりん、わたしたちもその女の子、探してあげない？」]
279: 3651| [47] [夏彦]
280: 3654| [45] [「そうだね。かいめい作戦も大事だけど、人だすけも大事だし」]
281: 3718| [45] [夏彦たちはそう言って、さっそく駆け出した。]
282: 3774| [45] [手がかりもなく、２人で闇雲に駆け回る。]
283: 3779| [45] [ヒントは『自分たちと同じくらいの年齢の、髪の長い女の子』というだけ。]
284: 3876| [45] [来年、夏彦とましろが入学する予定の学校にも来てみた。]
285: 3881| [45] [だがそこにも、それらしい少女の姿はない。]
286: 3976| [45] [やがて日が暮れてきた。]
287: 3981| [45] [それでも夏彦たちは、諦めずに探す。]
288: 4038| [45] [そして、その果てに訪れた公園で――]
289: 4043| [45] [ついに２人は、それらしい女の子を見つけた。]
290: 4075| [47] [髪の長い子]
291: 4078| [45] [「お姉ちゃーん、どこにいるの～……」]
292: 4104| [47] [髪の長い子]
293: 4107| [45] [「暗くなってきちゃったよぅ……こわいよぅ……」]
294: 4135| [47] [悠里]
295: 4138| [45] [「あっ！　ひこりん、あの子じゃない？」]
296: 4146| [47] [夏彦]
297: 4149| [45] [「やった！　きっとまちがいないよ！」]
298: 4175| [47] [悠里]
299: 4178| [45] [「あ……でもあのお姉さんに、どうやって伝えよう？」]
300: 4186| [47] [夏彦]
301: 4189| [45] [「び、ＢＣで？」]
302: 4215| [47] [悠里]
303: 4218| [45] [「えっ、わたしテレパシー、まだ使えないよ？」]
304: 4226| [47] [夏彦]
305: 4229| [45] [「ぼくも……どうしようかな……」]
306: 4288| [45] [そうこう話しているうち、公園の入り口に、見知った人影が見えた。]
307: 4314| [47] [夏彦]
308: 4317| [45] [「あっ！　あのお姉さんだ！」]
309: 4325| [47] [悠里]
310: 4328| [45] [「ちょうどよかった、行こうひこりん！」]
311: 4333| [45] [夏彦たちはうなずき合い、それからお姉さんに向けて駆け出す。]
312: 4361| [47] [夏彦]
313: 4364| [45] [「お姉さーん！」]
314: 4390| [47] [お姉さん]
315: 4393| [45] [「あ、あなたたち！？」]
316: 4401| [47] [悠里]
317: 4404| [45] [「探してた女の子、みつかりましたっ！　ほら、あそこに！」]
318: 4430| [47] [お姉さん]
319: 4433| [45] [「あ……な、凪沙！」]
320: 4472| [45] [お姉さんはそう言うや否や、女の子に向けて駆け出した。]
321: 4477| [45] [女の子もお姉さんに気づき、声を上げる。]
322: 4545| [47] [凪沙]
323: 4548| [45] [「あ、お姉ちゃん！」]
324: 4574| [47] [お姉さん]
325: 4577| [45] [「凪沙、心配かけて！　どこ行ってたの！」]
326: 4603| [47] [凪沙]
327: 4606| [45] [「ごめんなさい～……ヘリコプターが飛んでたから、それを追いかけてたら、はぐれちゃったの……」]
328: 4614| [47] [お姉さん]
329: 4617| [45] [「もうっ！　これからは私に何も言わず、いなくなっちゃだめよ？」]
330: 4625| [47] [凪沙]
331: 4628| [45] [「はぁい……」]
332: 4633| [45] [姉妹はそう言って、ぎゅっと抱き合う。]
333: 4638| [45] [夏彦たちはそれを、微笑んで見つめていた。]
334: 4692| [47] [夏彦]
335: 4695| [45] [「うんうん、これにていっけんらくちゃくだ」]
336: 4703| [47] [悠里]
337: 4706| [45] [「そうだね、ホントによかったね～」]
338: 4714| [47] [夏彦]
339: 4717| [45] [「さーて、暗くなってきたし、ぼくらもそろそろ帰るか」]
340: 4743| [47] [悠里]
341: 4746| [45] [「え、お姉さんたちに何もいわなくていいの？」]
342: 4754| [47] [夏彦]
343: 4757| [45] [「いい事をしたあとは、何もいわずに去るんだよ。その方がかっこいいんだよ」]
344: 4783| [47] [悠里]
345: 4786| [45] [「そ、そうなの？　じゃあそうしよう」]
346: 4811| [45] [夏彦たちはそう言って、その場をそっと去っていった。]
347: 4912| [45] [家に着く頃には、あたりはすっかり暗くなっていた。]
348: 4917| [45] [星明りの下、夏彦たちは手を繋いで歩く。]
349: 4943| [47] [夏彦]
350: 4946| [45] [「――悠里、今日はいい日だったね。作戦もすすんだし、人だすけもしたし」]
351: 4954| [47] [悠里]
352: 4957| [45] [「そうだねっ。２人っきりのかいめい作戦も、これはこれでたのしかったね」]
353: 4965| [47] [夏彦]
354: 4968| [45] [「明日もかいめい作戦、がんばろう！」]
355: 4994| [47] [悠里]
356: 4997| [45] [「うんっ！」]
357: 5002| [45] [悠里はそう言って、にっこりと微笑む。]
358: 5007| [45] [その陰りのない笑顔を見て、夏彦もなんだか嬉しくなり、彼女に笑みを返した。]
359: 5031| [45] [――夏休みは、まだまだ終わらない。明日も明後日も、夏彦たちの冒険は続く。]
360: 5036| [45] [その１つ１つが大切な想い出として、彼の心に刻まれていくのだ。]
361: 5041| [45] [いつも傍らにいる、彼女の笑顔と共に……。]
362: 5236| [45] [――彼の記憶を遡るうちに――]
363: 5241| [45] [やがて夏彦の脳の片隅から、ある情報エネルギーの塊が立ち上ってきた。]
364: 5246| [45] [そしてそのエネルギーは、形となり……]
365: 5251| [45] [夏彦も自覚していない、無意識下の情報として、そこに顕現した。]
