  0:   71| [45] [――それから数日が過ぎ、ラボへの潜入捜査を翌日に控えた日曜日――]
 76:  677| [85] [　学校内にいたら、通用口のところまで来てください！》]
 77:  678| [86] [ましろ]
 78:  679| [86] [《こちらは鳥羽ましろです！　学校内にいたら、通用口のところまで来てください！》]
 79:  722| [47] [恵那]
 80:  725| [45] [「え……鳥羽さん！？」]
 81:  761| [45] [生徒たちは誰もいないと思っていたので、恵那は驚いた。]
 82:  766| [47] [恵那]
 83:  767| [45] [（なにかしら、緊急事態って……）]
 84:  772| [45] [恵那は訝しく思いつつも、通用口に向かった。]
 85:  816| [45] [――通用口にはましろと、それから夏彦とサリュがいた。]
 86:  821| [45] [ＢＣルームに移動して詳しい話を聞くと、彼女たちは恵那に意外な事を言った。]
 87:  826| [45] [『この街に、Ｑの連中が侵入している』]
 88:  831| [45] [『そして夏彦たちも、それに少しばかり巻き込まれている』と……。]
 89:  941| [47] [恵那]
 90:  944| [45] [「……そう、そんな事が……」]
 91:  952| [47] [ましろ]
 92:  955| [45] [「先生、信じてくれますか！？」]
 93:  960| [47] [恵那]
 94:  963| [45] [「ええ。生徒の言う事ですもの、信じるわよ」]
 95:  968| [45] [信じないわけがなかった。]
 96:  973| [45] [近頃市内で、Ｑによる破壊活動が行われている事は、恵那もすでに耳にしている。]
 97:  978| [45] [比嘉も以前、言っていた。]
 98: 1032| [47] [比嘉]
 99: 1035| [45] [「――政令指定機密都市で、Ｑがテロを起こした例はほとんどないが……」]
100: 1040| [47] [比嘉]
101: 1043| [45] [「結成直後から、奴らが機密都市を狙い続けてきたのは確かだ」]
102: 1048| [47] [比嘉]
103: 1051| [45] [「そして９年前の春にこの鹿鳴市で、１度だけ小規模な破壊活動を行った」]
104: 1056| [47] [比嘉]
105: 1059| [45] [「それからこの市のセキュリティは跳ね上がり、都市ゲートや監視カメラの設置も行われたんだ」]
106: 1107| [45] [それでもＱの連中は、再びこの街にやってきたらしい。]
107: 1112| [45] [ただコミュニケーターを憎む一心で。]
108: 1117| [45] [ラボの禍々しさともまた違う、もう１つの悪意の形がそこにあった。]
109: 1122| [47] [恵那]
110: 1123| [45] [（私の生徒たちが、そんなものに巻き込まれるなんて……！）]
111: 1128| [47] [恵那]
112: 1131| [45] [「……あなたたちはこの事件に関わるべきじゃないと思うわ」]
113: 1187| [47] [夏彦]
114: 1190| [45] [「そんな……！　なんでですか！？」]
115: 1195| [45] [夏彦たちは、恵那の言葉を受け入れはしなかった。]
116: 1200| [45] [何も知らないが故に湧き出してくる、純粋な正義感に従っているのだろう。]
117: 1205| [45] [それが眩しく見えると共に、ひどく彼らが心配になった。]
118: 1210| [47] [恵那]
119: 1213| [45] [「……そうね、それじゃ納得してもらうためにも……特別授業をしてあげましょうか」]
120: 1218| [45] [そして恵那は語り始めた。]
121: 1223| [45] [夏彦たちに贈る、最後の授業を――]
