  0:   65| [45] [――それはつい、１週間ほど前の記憶。]
 45:  567| [45] [以前、本で調べた症例を、ましろは思い返した。]
 46:  572| [45] [シャルル・ボネ症候群――脳の情報伝達異常によって起こる現象の総称。]
 47:  577| [45] [精神的に正常であるにも関わらず、幻覚が見えるなどの症状を発する。]
 48:  582| [45] [原因は脳の物理的損傷などに由来する事が多い。]
 49:  587| [45] [夏彦はラボの火災に遭遇した時、恐らく大量の一酸化炭素を吸ったのだろう。]
 50:  592| [47] [ましろ]
 51:  593| [45] [（……それで脳にダメージを負って、幻覚を見るようになったんだ）]
 52:  598| [45] [ましろはそう推察していた。]
 53:  607| [45] [――だがその一点を除けば、夏彦は全く正常だった。]
 54:  612| [45] [真実に触れさえしなければ、穏やかな日々は続いていく。]
 55:  706| [47] [ましろ]
 56:  709| [45] [「さぁそれじゃあ皆さん、手を合わせて――」]
 57:  717| [47] [２人]
 58:  720| [45] [「いただきま～す」]
 59:  725| [45] [そうして今日も、いつもの朝が始まった。]
 60:  730| [45] [ましろは夏彦に対し、密かにエンパシーを使う。]
 61:  735| [45] [すると夏彦の脳内で、悠里の声が響いた。]
 62:  740| [47] [悠里]
 63:  743| [45] [《う～ん、おいし～。さすがましろんだよー》]
 64:  769| [47] [夏彦]
 65:  772| [45] [「あぁ、よくあんな短時間でこれほどのものを作れるもんだ」]
 66:  777| [45] [不思議な事にエンパシーを使うと、夏彦の中にいる悠里の声も聞こえるのだ。]
 67:  782| [45] [ましろは夏彦に笑って見せる。]
 68:  787| [47] [ましろ]
 69:  790| [45] [「はは、慣れだよ慣れ。もう半年も作ってるんだもん」]
 70:  903| [47] [ましろ]
 71:  904| [45] [（……うん、慣れだよ。長年の慣れ……）]
 72:  909| [45] [――これほどの能力を身につけるまでには、５年かかった。]
 73:  914| [45] [今ではましろは、能力レベル５相当の力を有している。]
 74:  919| [45] [過剰に集中するまでもなく、聴覚を完全に保ったまま、自然とエンパシーを使える。]
 75:  924| [45] [恐らく国内でも、自分ほどの力を持つコミュニケーターは多くはないだろう。]
 76:  929| [45] [適性度Ｂに過ぎないましろが、そこまでの力を手に入れられたのは――]
 77:  934| [45] [恐らく、意思の力だ。]
 78:  939| [45] [夏彦の心を『知りたい』と思う、強烈な意思。]
 79:  944| [45] [それが彼女に、適性を超えた能力を与えたのだ。]
 80: 1037| [45] [エンパシーを使う事で、いつでも夏彦の世界の一端に触れる事ができる。]
 81: 1042| [47] [悠里]
 82: 1045| [45] [《あれ？　ひこりん、ごはんがすすんでないね。おなかでも痛いの？》]
 83: 1071| [47] [夏彦]
 84: 1074| [45] [「あ、いや大丈夫。じっくり味わって食べていただけさ」]
 85: 1079| [47] [悠里]
 86: 1082| [45] [《そう？　よかったぁ》]
 87: 1090| [47] [夏彦]
 88: 1093| [45] [「……ぼくはこう見えて、体は頑丈なんだ。食欲はいつも旺盛だよ」]
 89: 1098| [45] [夏彦はそう答え、パンをほおばる。]
 90: 1103| [47] [ましろ]
 91: 1106| [45] [「おっ、いい食べっぷりだねぇ夏彦、こっちも腕の振るい甲斐があるよ」]
 92: 1111| [45] [会話は問題なく成立していた。]
 93: 1116| [45] [今でも悠里は、この家の中でのみ、確かに存在しているのだ。]
 94: 1121| [45] [たとえそれが、幾多の嘘の上に成り立つ、脆い幻想だとしても――。]
 95: 1166| [45] [――むろん夏彦の心を覗くという事には、耐え難いほどの抵抗があった。]
 96: 1171| [45] [だがその罪悪感を振り切ってでも、ましろは夏彦に話を合わせる事を選んだ。]
 97: 1176| [45] [そうしなければ、一緒にはいられないから。]
 98: 1181| [45] [９年前、己に誓った事。]
 99: 1186| [45] [『夏彦が元に戻るまで、見守り続ける事』]
100: 1191| [45] [ましろはその誓いを、今も変わらず果たしていたのだ。]
101: 1262| [45] [夏彦が抱える問題は、幻視や幻聴だけではない。]
102: 1267| [45] [より深刻なのは、パニック障害の方だった。]
103: 1272| [45] [ふとしたきっかけで、夏彦が悠里の死に気づきかけたりすると――]
104: 1277| [45] [激しい頭痛や動悸などの症状が現れ、ひどいときは記憶の混濁や、現実の無視といった現象までもが起こる。]
105: 1282| [45] [その事については、病院関係者を除けば、ましろと天川博士しか知らない。]
106: 1287| [47] [ましろ]
107: 1288| [45] [（……少しずつでも、快方に向かえばいいんだけど……）]
108: 1293| [45] [この種の症状の治療には『家族療法』――つまり家族が患者の精神状態に合わせ、献身的にサポートする事が有効だと言われている。]
109: 1298| [47] [ましろ]
110: 1299| [45] [（……私が博士の代わりに、その役割を担わなきゃ……）]
111: 1304| [45] [それは家を空けがちな、天川博士からの願いでもあった。]
112: 1415| [45] [――何も知らない夏彦は、申し訳なさそうにましろに言う。]
113: 1423| [47] [夏彦]
114: 1426| [45] [「それにしても……いつも悪いな、ましろ」]
115: 1431| [47] [ましろ]
116: 1434| [45] [「なーに言ってんの。夏彦のお母さんからお礼も頂いているし、バイトみたいなもんだよ」]
117: 1439| [47] [ましろ]
118: 1442| [45] [「それにあんたのためじゃーない。どっちかって言えば悠里のためだよ。ね、悠里？」]
119: 1465| [45] [ましろはそう言いつつ、密かに思う。]
120: 1516| [47] [ましろ]
121: 1517| [45] [（悠里のため、か……）]
122: 1522| [45] [確かに親友を失った事は、ましろにとっても今なお深い傷になっている。]
123: 1527| [45] [夏彦にエンパシーを使う事で、死んだ悠里と会話できるのは、正直に言えば嬉しい事だ。]
124: 1532| [45] [だがむろん、それだけではない。]
125: 1537| [47] [ましろ]
126: 1538| [45] [（じゃあなんのために私、９年間もこんなこと……）]
127: 1623| [45] [――いや、本当の理由はおぼろげにわかっている。]
128: 1628| [45] [だけどそれを認めてしまっては、悠里の想い出を裏切る気がして――……]
129: 1633| [45] [だからましろは、そのことについては考えない。]
130: 1638| [45] [夏彦に対しても、当たり障りのない会話だけをする。]
131: 1643| [47] [ましろ]
132: 1646| [45] [「……夏彦、美味しい？」]
133: 1672| [47] [夏彦]
134: 1675| [45] [「ん？　あぁ、美味しいよ」]
135: 1680| [47] [ましろ]
136: 1683| [45] [「そ、よかった」]
137: 1688| [45] [ほんの何気ない、二言三言の会話。]
138: 1693| [45] [それだけで今のましろには、充分だった……。]
139: 1701| [45] [本当の理由は、ましろ自身にもよくわからない。]
140: 1706| [45] [贖罪や後悔の一言では、うまく説明はできない。]
141: 1711| [47] [ましろ]
142: 1712| [45] [（……うぅん、私はただ……）]
143: 1717| [47] [ましろ]
144: 1718| [45] [（夏彦に元に戻ってもらいたいだけなんだ）]
145: 1723| [47] [ましろ]
146: 1724| [45] [（私にできる事は、これくらいしかないから……）]
147: 1729| [45] [そう自分に言い聞かせながら、ましろは夏彦を見つめる。]
148: 1734| [45] [死んだ少女の幻影を見続け、決して自分を顧みる事のない彼を――。]
149: 1941| [45] [――それらの記憶の一部は、本当にあった事ではなかったかもしれない。]
150: 1946| [45] [夏彦の覚えている出来事が真実なのか……]
151: 1951| [45] [いま見たましろの記憶こそが真実なのか……]
152: 1956| [45] [今となっては確認する術はない。]
153: 1961| [45] [ただましろの心の中で、夏彦への想いが強くなると共に――]
154: 1966| [45] [彼女が自ら封じていた記憶が、新たに１つ浮かび上がってきた……。]
