  0:   47| [55] [√After Chapter 5]
107: 1495| [45] [(I've felt this before...!)]
108: 1500| [45] [He headed for the stairwell as he pondered when that was.]
109: 1543| [45] [As he descended the rope, he slowly began to realize it.]
110: 1548| [47] [Watase]
111: 1549| [45] [(It was fairly recently, wasn't it...?)]
112: 1554| [47] [Watase]
113: 1555| [45] [(No... a bit earlier than that...!)]
114: 1560| [45] [He searched for the truth behind his fear, and then--]
115: 1604| [45] [--he finally remembered just as he'd descended the rope.]
116: 1609| [47] [Watase]
117: 1610| [45] [(!!)]
118: 1615| [45] [It was when he'd entered the contaminated zone to look for Yuuri after she'd run off.]
119: 1695| [47] [Yuuri]
120: 1698| [45] ["Why did you do something so horrible to me back then...!?"]
121: 1757| [45] [He remembered her saying that.]
122: 1762| [47] [Watase]
123: 1763| [45] [(That's right, now that I think about it--)]
124: 1768| [47] [Watase]
125: 1769| [45] [(Yuuri said something strange back then!)]
126: 1774| [45] [He'd felt that same strange sense of dread back then for some reason.]
127: 1779| [45] [Why had he forgotten about it until now?]
128: 1784| [45] [Shocked, Watase watched as the Yuuri in his memory spoke.]
129: 1864| [47] [Yuuri]
130: 1867| [45] ["Do you really not remember...?"]
131: 1893| [47] [Yuuri]
132: 1896| [45] ["A minute later and I would have died..."]
133: 1922| [47] [Yuuri]
134: 1925| [45] ["I was really scared... when I found myself trapped all alone in that sea of flames..."]
135: 1933| [47] [Watase]
136: 1936| [45] ["Y-Yuuri... what are you talking about...?"]
137: 1962| [47] [Yuuri]
138: 1965| [45] ["If you don't know, then I don't know either..."]
139: 1973| [47] [Yuuri]
140: 1976| [45] ["I don't know what to believe anymore...!"]
141: 1984| [47] [Watase]
142: 1987| [45] ["..."]
143: 2003| [47] [Yuuri]
144: 2006| [45] ["So Captain Kasasagi... please..."]
145: 2014| [47] [Yuuri]
146: 2017| [45] ["Please let me know your mind...!"]
147: 2022| [45] [Yuuri said that and turned her palm towards Watase--]
148: 2131| [47] [Watase]
149: 2134| [45] ["GAAAAAAAAAAGH!"]
150: 2200| [45] [--A strange image spread out right before him.]
151: 2205| [45] [That sight overlapped with Yuuri.]
152: 2213| [47] [Watase]
153: 2216| [45] ["Aah, aah..."]
154: 2224| [47] [Watase]
155: 2227| [45] ["U-UWAAAAAAAAAAAH!"]
156: 2289| [47] [Watase]
157: 2292| [45] ["H... huh...!?"]
158: 2297| [45] [That was right: Yuuri had indeed said all that.]
159: 2302| [45] [He'd completely forgotten about that encounter with her even though it'd only happened about an hour ago.]
160: 2310| [47] [Watase]
161: 2313| [45] ["Wh-why did I...!?"]
162: 2318| [45] [He thought about it, then suddenly gasped after a few seconds.]
163: 2323| [47] [Watase]
164: 2324| [45] [(Could it be that my memory impairment...)]
165: 2329| [47] [Watase]
166: 2330| [45] [(... isn't actually healing with time...)]
167: 2335| [47] [Watase]
168: 2336| [45] [(... but only getting worse instead...!?)]
169: 2341| [45] [Watase shuddered at that thought.]
170: 2346| [45] [But that wasn't the only thing that horrified him.]
171: 2351| [45] [There was also the fact Watase had felt a clear "fear" for Yuuri in that memory he'd just recovered.]
172: 2356| [47] [Watase]
173: 2357| [45] [(Wh-why would I ever be scared of Yuuri...!?)]
174: 2362| [45] [Just then, even more incomprehensible words passed through Watase's brain as if to only confuse him further.]
175: 2400| [85] [　%N　%N　%N　%N　%N]
176: 2404| [47] [--The t***********************ous--]
177: 2481| [85] [　%N　%N　%N　%N　%N]
178: 2485| [47] [--The tes***ubj******re*******ous--]
179: 2562| [85] [　%N　%N　%N　%N　%N]
180: 2566| [47] [--The test subje****are*****erous--]
181: 2643| [85] [　%N　%N　%N　%N　%N]
182: 2647| [47] [--The test subjects are dangerous--]
183: 2746| [47] [Watase]
184: 2747| [45] [(Wh... what the hell was that!? What the hell were those words!?)]
185: 2752| [47] [Watase]
186: 2753| [45] [(I don't know them! I've never heard those words before!!)]
187: 2758| [45] [Watase drowned out those words along with the unpleasant feelings he felt.]
188: 2802| [45] [Now fearing the darkness and seeking light, he opened the door to the stairwell.]
189: 2944| [45] [But when faint light shone in from the outside--]
190: 2949| [45] [Watase felt a horrible shiver down his spine.]
191: 3032| [47] [Watase]
192: 3035| [45] ["..."]
193: 3046| [45] [He got the feeling that in the shadow of the debris of the emergency staircase,]
194: 3051| [45] [a blind spot that he hadn't paid attention to when climbing...]
195: 3056| [45] [--"Something" was hiding.]
196: 3065| [47] [Watase]
197: 3068| [45] ["... Who's there?"]
198: 3073| [45] [His heartbeat skyrocketed.]
199: 3082| [47] [Watase]
200: 3085| [45] ["Who's there!?"]
201: 3090| [45] [It appeared to be lying on the floor.]
202: 3099| [47] [Watase]
203: 3102| [45] ["...!?"]
204: 3124| [45] [Watase timidly peeked behind the shadow of the debris--]
205: 3129| [45] [And found himself face to face with an unbelievable sight.]
206: 3200| [47] [Watase]
207: 3203| [45] ["... No..."]
208: 3208| [45] [Watase's voice sounded empty.]
209: 3213| [45] [A small body lying on the ground.]
210: 3265| [45] [Eyes that had lost all light.]
211: 3270| [45] [Watase saw all of that.]
212: 3334| [47] [Watase]
213: 3337| [45] ["... Yuuri?"]
214: 3342| [45] [She didn't respond even after he'd called her name.]
215: 3347| [45] [Her body didn't twitch.]
216: 3352| [45] [A single streak of dark red blood adorned her pale face.]
217: 3357| [45] [That blood had long since gone dry.]
218: 3365| [47] [Watase]
219: 3368| [45] ["--!!"]
220: 3373| [45] [Watase ran over to her.]
221: 3378| [45] [All the fear he'd been feeling a short time ago vanished in an instant.]
222: 3386| [47] [Watase]
223: 3389| [45] ["Yuuri! Yuuri!"]
224: 3394| [45] [He sat Yuuri up as he shouted her name.]
225: 3399| [45] [But her head dangled feebly.]
226: 3404| [45] [She wasn't breathing. Her body had gone cold.]
227: 3409| [45] [That was, without a doubt...]
228: 3414| [45] [Yuuri's corpse.]
229: 3422| [47] [Watase]
230: 3425| [45] ["It can't be... why...?"]
231: 3433| [47] [Watase]
232: 3436| [45] ["Why did something like this have to happen...!?"]
233: 3441| [45] [There was no one who could answer that question.]
234: 3446| [45] [Watase instinctively held Yuuri's ice-cold body close to his chest.]
235: 3451| [45] [And at that moment-- memories of her passed through his head.]
236: 3566| [85] [{Don't stop! Save her!}]
237: 3567| [86] [Auditory Hallucination]
238: 3568| [86] [{Don't stop! Save her!}]
239: 3596| [45] [He'd heard that voice in his head when he'd first seen her.]
240: 3601| [45] [It was at that moment that Watase had decided to do everything he could to protect her.]
241: 3678| [47] [Watase]
242: 3681| [45] ["So then, what's your name, missy?"]
243: 3742| [47] [Yuuri]
244: 3745| [45] ["!?"]
245: 3750| [45] [But she was wary of him at first, preventing them from reaching a mutual understanding.]
246: 3810| [45] [Yet despite that, she started opening her heart to him little by little.]
247: 3815| [45] [Watase acted all in accordance with his desire to keep her safe.]
248: 3823| [47] [Yuuri]
249: 3826| [45] ["It... it feels like you're always worrying about me..."]
250: 3834| [47] [Yuuri]
251: 3837| [45] ["Why is that...?"]
252: 3845| [47] [Watase]
253: 3848| [45] ["But when I first met you, I felt this mysterious yet powerful desire to save you."]
254: 3853| [45] [Those had been Watase's honest feelings.]
255: 3898| [45] [--Thus, when the factory's ceiling collapsed--]
256: 3903| [45] [Watase acted without a moment's hesitation.]
257: 3911| [47] [Yuuri]
258: 3914| [45] ["... C-Captain Kasasagi...!"]
259: 3922| [47] [Watase]
260: 3925| [45] ["Don't worry, Yuuri... I'll save you. You can bet on that."]
261: 3930| [45] [He kept trying to protect her no matter what was thrown his way.]
262: 3935| [45] [He'd tried to escape the facility so he could get her out to safety.]
263: 3979| [45] [--But she'd run away.]
264: 3984| [45] [Then Watase had let her out of his sight because of some incomprehensible fear he'd felt for her.]
265: 3989| [45] [And now, he'd finally found her again--]
266: 4034| [45] [Only to discover that the Yuuri he'd last seen was gone forever.]
267: 4039| [47] [Watase]
268: 4040| [45] [(... Why...?)]
269: 4045| [47] [Watase]
270: 4046| [45] [(Just when she finally started opening up to me a little...!)]
271: 4051| [45] [Fierce regret raged within him.]
272: 4056| [45] [Sorrow then filled his heart.]
273: 4067| [45] [The sound of a watch's hands ticking filled the otherwise silent room.]
274: 4072| [45] [And thus, before she could ever tell Watase anything about what she'd meant back then,%Nthe source of his fear for her, and what she'd been feeling about him the whole time--]
275: 4077| [45] [Yuuri had fallen into eternal silence.]
