  0:   60| [45] [--And then--]
202: 1711| [47] [Watase]
203: 1712| [45] [(Huh...!? I've heard that story somewhere before...)]
204: 1717| [45] [Watase thought about it-- and then remembered.]
205: 1722| [45] [Wataru had told him about it back when she was still alive.]
206: 1791| [47] [Wataru]
207: 1794| [45] ["--Well, the thing is, there've been these BC-related incidents happening from time to time in other countries."]
208: 1799| [45] [And when they were talking--]
209: 1861| [45] [--Watase had seen a blonde woman in the PRC.]
210: 1911| [47] [Watase]
211: 1912| [45] [(No way... Was that woman... Communicator A!?)]
212: 1917| [45] [His memory was fuzzy because it'd happened so long ago, but he had a feeling he was right.%NThe timeframe matched up and everything.]
213: 1922| [45] [The man continued as Watase frowned.]
214: 1930| [47] [???]
215: 1933| [45] ["... In other words, A was simply malice incarnate-- a woman who, on a whim, tried to massacre every person in the city."]
216: 1941| [47] [???]
217: 1944| [45] ["She was pursued by the French authorities, but before they could catch her, she fled to Japan and was sheltered by the PRC."]
218: 1952| [47] [???]
219: 1955| [45] ["Luckily for her, the PRC developed her BC abilities... without ever realizing the true danger they possessed."]
220: 1963| [47] [Watase]
221: 1966| [45] ["What was so dangerous about them?"]
222: 1974| [47] [???]
223: 1977| [45] ["You don't know? BC-- telepathy, that is, isn't just the ability to send your voice to a faraway person."]
224: 1985| [47] [???]
225: 1988| [45] ["You can also send your feelings to others with it."]
226: 1996| [47] [???]
227: 1999| [45] ["In other words, powerful BC could very well change other people's thoughts."]
228: 2007| [47] [Watase]
229: 2010| [45] ["Ah...!"]
230: 2018| [47] [???]
231: 2021| [45] ["So what do you think would happen if someone filled with as much malice as A were to indiscriminately let her thoughts loose on everyone around her?"]
232: 2029| [47] [???]
233: 2032| [45] ["Those thoughts would bring out the 'malice' that lurks in the hearts of every man."]
234: 2040| [47] [???]
235: 2043| [45] ["Her malice would spread to everyone around her like a virulent disease."]
236: 2051| [47] [???]
237: 2054| [45] ["... Now you understand just how dangerous it is, don't you?"]
238: 2077| [47] [Watase]
239: 2080| [45] ["...!"]
240: 2085| [45] [Watase was rendered speechless.]
241: 2090| [45] [He just silently continued to listen to the man.]
242: 2098| [47] [???]
243: 2101| [45] ["The researchers at the PRC raised an ordinary criminal into a bona-fide monster."]
244: 2109| [47] [???]
245: 2112| [45] ["The researchers realized how dangerous A was far too late and set up surveillance to keep her from wandering out into the city--"]
246: 2120| [47] [???]
247: 2123| [45] ["But on September 16th, 2014, A escaped from the facility."]
248: 2131| [47] [Watase]
249: 2134| [45] ["Escaped... then you mean she...!"]
250: 2267| [47] [???]
251: 2270| [45] ["Yes, A spread her malice-laced thoughts all throughout the city that night."]
252: 2278| [47] [???]
253: 2281| [45] ["Those thoughts influenced the minds of the people of Rokumei City in some way."]
254: 2289| [47] [???]
255: 2292| [45] ["This caused the already high levels of malice held by would-be criminals to spike through the roof--"]
256: 2424| [47] [???]
257: 2427| [45] ["And led them to setting the city on fire."]
258: 2435| [47] [???]
259: 2438| [45] ["This is the truth behind the 'Great Rokumei City Arson'."]
260: 2443| [45] [The man declared all of that in a clear voice.]
261: 2517| [47] [Watase]
262: 2518| [45] [(... It can't be...!?)]
263: 2523| [45] [Watase noticed that his hands had started shaking.]
264: 2528| [47] [Watase]
265: 2529| [45] [(He's saying a single woman became the trigger behind the incident...!?)]
266: 2564| [45] [The story was sudden and difficult to believe, but the man spoke in an unwaveringly serious voice, leaving no room for doubt.]
267: 2569| [45] [Watase remained silent as the man continued.]
268: 2577| [47] [???]
269: 2580| [45] ["... This was a scandal for the PRC, and consequently, a scandal for the Rokumei City government, the ones managing the PRC."]
270: 2588| [47] [???]
271: 2591| [45] ["But they won't admit to that."]
272: 2599| [47] [???]
273: 2602| [45] ["Rokumei City hid the truth behind the incident along with the existence of A."]
274: 2610| [47] [???]
275: 2613| [45] ["A was taken back to the PRC in absolute secrecy and confined in a basement of sorts again."]
276: 2670| [47] [???]
277: 2673| [45] ["In the meantime, LABO was constructed on the outskirts of the city. Once it was completed,%NA was transferred from the PRC to LABO."]
278: 2681| [47] [Watase]
279: 2684| [45] ["Wha... why LABO?"]
280: 2692| [47] [Watase]
281: 2695| [45] ["That's a nuclear research facility, isn't it? Why would they send a Communicator there--?"]
282: 2703| [47] [???]
283: 2706| [45] ["No, LABO is no nuclear research facility. It's actually a BC research facility."]
284: 2714| [47] [Watase]
285: 2717| [45] ["Impossible! I never heard anything about that!"]
286: 2735| [47] [???]
287: 2738| [45] ["Of course not. It's this city's biggest secret."]
288: 2746| [47] [???]
289: 2749| [45] ["But don't you think it's strange? There are many hurdles you have to overcome to create a new nuclear reactor."]
290: 2757| [47] [???]
291: 2760| [45] ["You have to clear strict construction standards and legal problems, then make the necessary arrangements with the city council-- yet all of those conditions were cleared quickly and LABO was built."]
292: 2768| [47] [???]
293: 2771| [45] ["Why was LABO able to easily overcome those hurdles and get built in the first place?"]
294: 2779| [47] [???]
295: 2782| [45] ["The answer is simple: it's because LABO doesn't actually have a nuclear reactor. Because it's a BC research facility, not a nuclear research facility."]
296: 2805| [47] [Watase]
297: 2808| [45] ["...!"]
298: 2813| [45] [--The "common sense" Watase had thought to be true up until this point was gradually being rewritten.]
299: 2818| [45] [The man waited a moment for Watase to respond, then continued.]
300: 2826| [47] [???]
301: 2829| [45] ["But the one problem that stood in their way was the sentiments of the townspeople."]
302: 2837| [47] [???]
303: 2840| [45] ["Their antipathy towards nuclear power was overwhelming, as you'd expect."]
304: 2848| [47] [???]
305: 2851| [45] ["But the city explained to the civilians that 'the implementation of truly safe nuclear power is essential to Japan now that our natural resources are drying up'--"]
306: 2859| [47] [???]
307: 2862| [45] ["Which led to the townspeople finally accepting their decision."]
308: 2867| [45] [Watase remembered the turmoil of that time.]
309: 2872| [45] [Watase had been 18 years old at the time, but as he had just enrolled in firefighting school, he hadn't had much of a reaction to all the fuss other than "well, guess the city's gotta do what it's gotta do".]
310: 2880| [47] [???]
311: 2883| [45] ["... But that series of events was all a cover."]
312: 2891| [47] [???]
313: 2894| [45] ["Everyone was opposed to 'nuclear power', but no one suspected that LABO was actually a%N'BC research facility'."]
314: 2902| [47] [???]
315: 2905| [45] ["And they used the dangers and confidentiality of nuclear power research as a pretext to successfully keep the townspeople far away from LABO."]
316: 2913| [47] [Watase]
317: 2916| [45] ["So you mean the guys behind Rokumei City even used the townspeople's feelings of opposition to their advantage...!?"]
318: 2924| [47] [Watase]
319: 2927| [45] ["That's something no person should be allowed to do!"]
320: 2935| [47] [???]
321: 2938| [45] ["That is of trivial importance to the people of LABO. Their only moral code is to take the best possible actions for their research."]
322: 2946| [47] [Watase]
323: 2949| [45] ["No way..."]
324: 2957| [47] [???]
325: 2960| [45] ["At any rate, LABO was then completed."]
326: 2968| [47] [???]
327: 2971| [45] ["And it's no ordinary research facility either. It's also a facility for keeping dangerous Communicators like A locked up."]
328: 2979| [47] [???]
329: 2982| [45] ["There's a residential area of sorts deep beneath LABO. That's where they confined A."]
330: 2990| [47] [Watase]
331: 2993| [45] ["W... wait! Wasn't A put on trial?"]
332: 3001| [47] [Watase]
333: 3004| [45] ["Why would Rokumei City shelter A after all she did!?"]
334: 3012| [47] [???]
335: 3015| [45] ["It's obvious."]
336: 3023| [47] [???]
337: 3026| [45] ["It was so that they could keep on using A as a lab rat after she had caused that huge incident!"]
338: 3034| [47] [Watase]
339: 3037| [45] ["What!?"]
340: 3045| [47] [???]
341: 3048| [45] ["The Rokumei City government and the PRC would be forced to take responsibility were the truth behind the incident to ever come to light."]
342: 3056| [47] [???]
343: 3059| [45] ["So the people behind Rokumei City figured they should cover the whole incident up and continue the research in another location."]
344: 3067| [47] [???]
345: 3070| [45] ["Thus Communicator A came to be known as 'Subject A' from that day onwards and participated in LABO's BC ability research and development."]
346: 3078| [47] [???]
347: 3081| [45] ["Meanwhile, with the PRC having served its purpose, it was turned into a mere dummy facility."]
348: 3089| [47] [???]
349: 3092| [45] ["The results of the BC research secretly conducted at LABO are published through the PRC."]
350: 3100| [47] [???]
351: 3103| [45] ["That way, no one would suspect LABO was a BC research center. And thus, their perfect cover-up system was completed."]
352: 3111| [47] [???]
353: 3114| [45] ["Both LABO and the PRC are government managed facilities. Trace them back to their source and you'll find that they're all closely connected, under the jurisdiction of Rokumei City."]
354: 3119| [47] [Watase]
355: 3120| [45] ["--..."]
356: 3125| [45] [Watase thought things over as calmly as possible, despite the agitation causing his insides to tremble.]
357: 3130| [45] [He wanted to make sure there weren't any inconsistencies in what the man was saying.]
358: 3138| [47] [Watase]
359: 3141| [45] ["... No, hold on..."]
360: 3149| [47] [Watase]
361: 3152| [45] ["Is that really all there is to it? When you think about it normally, wouldn't someone in on the whole thing have tried to stop that whole chain of events?"]
362: 3160| [47] [???]
363: 3163| [45] ["They didn't. You see, back then, Rokumei City was all about focusing their efforts into BC research."]
364: 3171| [47] [???]
365: 3174| [45] ["I think you remember this too, but Japan was showing signs of being in an economic and industrial deadlock back in those days."]
366: 3182| [47] [???]
367: 3185| [45] ["And then new 'technology' known as BC showed up right there and then."]
368: 3193| [47] [???]
369: 3196| [45] ["The guys behind Rokumei City bet on that possibility and pressed forward with their BC technological development, even if it meant pushing every obstacle in their way aside."]
370: 3204| [47] [Watase]
371: 3207| [45] ["What did they have to gain from that...!?"]
372: 3215| [47] [???]
373: 3218| [45] ["All of their advanced technology has the potential to earn them riches beyond your wildest dreams."]
374: 3226| [47] [???]
375: 3229| [45] ["BC is genuinely new technology that no one else in the world has invested in."]
376: 3237| [47] [???]
377: 3240| [45] ["If Japan beat the rest of the world to the punch in its research, that'd put them in the top of that field."]
378: 3248| [47] [???]
379: 3251| [45] ["The fact is that telepathy can be applied to the field of psychiatry..."]
380: 3259| [47] [???]
381: 3262| [45] ["... while empathy has nearly countless potential uses. It could be used for secret intelligence gathering in all sorts of fields, like industry, politics, and the military."]
382: 3270| [47] [???]
383: 3273| [45] ["Thus, those involved built a system based on their new interests and grew obsessed with doing whatever it took to protect those interests, even if it meant covering up anything inconvenient for them."]
384: 3281| [47] [???]
385: 3284| [45] ["And you're yet another victim of those efforts.."]
386: 3292| [47] [Watase]
387: 3295| [45] ["I am!?"]
388: 3303| [47] [???]
389: 3306| [45] ["118 people died in the Great Rokumei City Arson."]
390: 3314| [47] [???]
391: 3317| [45] ["The bereaved families of the victims were given courteous patronage and granted assistance with their lives, moving on to college, and finding jobs."]
392: 3325| [47] [???]
393: 3328| [45] ["There are many others like you who were given homes in public housing and became civil servants."]
394: 3336| [47] [???]
395: 3339| [45] ["But don't you find that strange? Why would a simple local government go so far in taking the bereaved families of the victims into consideration?"]
396: 3347| [47] [???]
397: 3350| [45] ["Their goal was to take the bereaved families under the city's wing and keep a close eye on how they developed from there."]
398: 3358| [47] [Watase]
399: 3361| [45] ["That... that can't be...!"]
400: 3369| [47] [???]
401: 3372| [45] ["Having trouble believing it? Well, I don't blame you. Then I'll send you some documents we've obtained."]
402: 3380| [47] [???]
403: 3383| [45] ["Take a look at them and decide for yourself if what I'm saying is true."]
404: 3388| [45] [An e-mail with an attachment was sent to the PDA right after the man said that.]
405: 3393| [47] [Watase]
406: 3394| [45] [(...?)]
407: 3405| [45] [Watase opened the e-mail and checked the contents of the file.]
408: 3410| [45] [They were various documents that supported the man's claims.]
409: 3453| [45] ["A photo of LABO's interior"--]
410: 3458| [45] [This showed that LABO was no nuclear power research center.]
411: 3463| [45] ["A photo of an e-mail sent from LABO to the PRC"--]
412: 3468| [45] [This e-mail proved that a "BC insulator" that LABO had developed was publicly announced as something from the PRC.]
413: 3473| [45] ["Subject A's Data"--]
414: 3478| [45] [A lot of the data in this one had been deleted, but what remained did confirm that LABO had indeed confined a Communicator called that.]
415: 3483| [45] [All sorts of other documents were there, each one supporting the idea that what the man had said was true.]
416: 3526| [45] [So when he finished reading all of it-- Watase muttered in a stunned voice.]
417: 3534| [47] [Watase]
418: 3537| [45] ["... Is what you're telling me... really true...!?"]
419: 3545| [47] [???]
420: 3548| [45] ["It is. Though it must not be easy to believe, nor is it something you would want to believe."]
421: 3556| [47] [???]
422: 3559| [45] ["But think back on how abnormal this city is. They control information and conduct surveillance on their townspeople without batting an eye, right?"]
423: 3567| [47] [???]
424: 3570| [45] ["Anything's possible in this city, no matter how unbelievable it may sound."]
425: 3575| [45] [Watase was taken aback at those words.]
426: 3580| [45] [The city had grown to do all sorts of things that would normally be considered a violation of human rights on the supposed grounds that Rokumei City was a "government designated top secret city".]
427: 3634| [45] [Such as setting up surveillance cameras all over the city.]
428: 3686| [45] [The city gates that controlled the coming and going of townspeople.]
429: 3691| [45] [The citizen database that only certain people were allowed to access...]
430: 3706| [45] [The townspeople had been opposed to the creation of every single one of them.]
431: 3711| [45] [But their complaints eventually died down, and the security cameras and so on were implemented little by little--]
432: 3716| [45] [And before they knew it, all those things had become like air to the townspeople.]
433: 3721| [45] [No, the townspeople had simply "gotten used" to those abnormalities.]
434: 3741| [47] [Watase]
435: 3742| [45] [(...)]
436: 3747| [45] [Watase felt chills run through him when it hit him just how strange the whole thing was.]
437: 3752| [45] [Since it wasn't directly related to them, no one had thought about it seriously.]
438: 3757| [45] [And thus all sorts of things that couldn't be undone had gone forward without him even noticing it.]
439: 3765| [47] [Watase]
440: 3768| [45] ["... So what are you saying...!?"]
441: 3776| [47] [Watase]
442: 3779| [45] ["My family... died because of that monster built up by the Rokumei City government and the PRC..."]
443: 3787| [47] [Watase]
444: 3790| [45] ["Yet at the time, the Rokumei City government hid their crimes and never took responsibility..."]
445: 3799| [47] [Watase]
446: 3802| [45] ["And... I received money from that very same government and lived a comfortable life up until today without knowing a damn thing...!?"]
447: 3810| [47] [???]
448: 3813| [45] ["Unfortunately, that's exactly it."]
449: 3821| [47] [???]
450: 3824| [45] ["You were raised by the government responsible for your family's deaths and have been working for them as a civil servant."]
451: 3904| [47] [Watase]
452: 3907| [45] ["--!!"]
453: 3912| [45] [Watase let out a wordless scream.]
454: 3917| [45] [His blood boiled and a deep red filled his vision.]
455: 3925| [47] [Watase]
456: 3928| [45] ["F-f... fuck that!!"]
457: 3936| [47] [Watase]
458: 3939| [45] ["What happened to Subject A!? Is she still living in LABO!?"]
459: 3947| [47] [???]
460: 3950| [45] ["No, she died."]
461: 3958| [47] [Watase]
462: 3961| [45] ["W... what...!?"]
463: 3969| [47] [???]
464: 3972| [45] ["After causing that incident, A was used by LABO as a human test subject-- and then died there just a year after she'd been confined."]
465: 3980| [47] [???]
466: 3983| [45] ["She probably died a cruel death. In the end, A too was nothing more than a victim of Rokumei City's wrongdoings."]
467: 3991| [47] [Watase]
468: 3994| [45] ["..."]
469: 3999| [45] [A sense of emptiness filled Watase's body.]
470: 4004| [45] [Having immediately lost the target of his hatred-- he switched it over to a new one.]
471: 4012| [47] [Watase]
472: 4015| [45] ["What happened with the Rokumei City government... after that?"]
473: 4023| [47] [Watase]
474: 4026| [45] ["What happened with LABO after they lost their valuable test subject due to A's death?"]
475: 4064| [47] [???]
476: 4067| [45] ["They abducted new test subjects and used them to continue their BC research."]
477: 4072| [45] [A floral scent filled the air yet again at that moment.]
478: 4080| [47] [???]
479: 4083| [45] ["Out of all the Communicators who live in Rokumei City-- those who possess particularly superb abilities are confined in LABO and made into test subjects."]
480: 4091| [47] [???]
481: 4094| [45] ["And so more monsters like A have been growing in number one by one."]
482: 4102| [47] [Watase]
483: 4105| [45] ["Why would they ever do something like that!?"]
484: 4113| [47] [???]
485: 4116| [45] ["One of their goals is, naturally, to study BC."]
486: 4124| [47] [???]
487: 4127| [45] ["And the other one... is to create a kind of biological weapon."]
488: 4135| [47] [Watase]
489: 4138| [45] ["Did you say... a biological weapon!?"]
490: 4146| [47] [???]
491: 4149| [45] ["The incident with A was merely an accident, but if you look at it from another angle, you'll find that Communicators who have become monsters can be used in interesting ways."]
492: 4157| [47] [???]
493: 4160| [45] ["For example, let's say you send one of them into the capital of an enemy nation."]
494: 4168| [47] [???]
495: 4171| [45] ["What do you think would happen next?"]
496: 4179| [47] [Watase]
497: 4182| [45] ["They'd amplify the malice of the city's residents... leading to mass chaos and destruction...?"]
498: 4190| [47] [???]
499: 4193| [45] ["Precisely. They could intentionally cause the same thing that happened in Rokumei City 15 years ago."]
500: 4201| [47] [???]
501: 4204| [45] ["If left alone for a few days, arson and crimes would spread through the whole city, criminals would run rampant, and public order would likely be impossible to restore."]
502: 4212| [47] [???]
503: 4215| [45] ["But the attacked party wouldn't even realize that they'd been attacked."]
504: 4223| [47] [???]
505: 4226| [45] ["For the core concept behind this biological weapon is that it devastates people's minds."]
506: 4234| [47] [???]
507: 4237| [45] ["A weapon that only damages a country's citizens without actually damaging the country itself. Truly a weapon of the new era."]
508: 4245| [47] [Watase]
509: 4248| [45] ["But isn't Rokumei City just a local government!? What would drive them to do that!?"]
510: 4256| [47] [???]
511: 4259| [45] ["The truth is, the Rokumei City government has this intimate relationship with a certain foreign company."]
512: 4267| [47] [???]
