  0:   64| [45] [――夏彦がその記憶を覗き込むと――]
 43:  485| [47] [宇喜多]
 44:  486| [45] [（ぼくが、被験体たちを……この檻から救い出してやる）]
 45:  491| [45] [その日から、宇喜多の戦いが始まった。]
 46:  546| [45] [敵はラボだけではない。鹿鳴市もグルだ。]
 47:  551| [45] [１人の力ではどうにもならないと判断した宇喜多は、協力者を探した。]
 48:  556| [45] [だが警察もマスコミも役に立ちそうにない。]
 49:  605| [45] [行き詰っていた宇喜多に、声をかけてきたのは――]
 50:  610| [45] [国内最大の反ＢＣテロ組織、『Ｑ』だった。]
 51:  615| [45] [彼らはラボに恨みがあるらしく、宇喜多と利害が一致していた。]
 52:  620| [45] [テロ組織に加入するのはやや気が咎めたが、宇喜多は止む無く彼らの力を借りる事にした。]
 53:  689| [45] [――そしてその後、渡瀬と出会い――]
 54:  694| [45] [共にラボと戦う事を誓った。]
 55:  720| [47] [渡瀬]
 56:  723| [45] [「……俺も及ばずながら、あんたに協力する」]
 57:  731| [47] [宇喜多]
 58:  734| [45] [「……感謝の極みだ」]
 59:  739| [45] [宇喜多はようやく出会えた仲間と、がっしりと握手した。]
 60:  794| [45] [そして渡瀬と共に、テロの計画を練り……。]
 61:  799| [45] [９月１６日、ついに実行に移した。]
 62:  856| [45] [――消火器に偽装した爆弾を爆発させ、火災を起こし、レスキュー隊を呼び――]
 63:  861| [45] [そしてその混乱に乗じて、被験体を救出する。]
 64:  866| [45] [入念に準備しただけあり、計画は順調に進んだ。]
 65:  871| [45] [……そう、全ては順調に進んでいるはずだったのだ。]
 66:  876| [45] [Ｚｅｒｏエリアに降りた渡瀬たちが、戻ってくるまでは。]
 67:  881| [45] [――渡瀬たちは、２名いるはずの被験体のうち、『被験体Ｎ』という少女のみを連れてきた。]
 68:  886| [45] [『被験体ＹⅡ』の姿はなかったという。だが、それだけならまだいい。]
 69:  891| [45] [……問題は渡瀬たちが、地下で幹部研究員を殺害してきた事だった……！]
 70:  963| [47] [宇喜多]
 71:  966| [45] [「隊長さん、話が違うじゃないか！」]
 72:  974| [47] [宇喜多]
 73:  977| [45] [「人的被害は出さないんじゃなかったのか！？」]
 74: 1003| [47] [渡瀬]
 75: 1006| [45] [「い、いや……あれは、事故だったんだ」]
 76: 1014| [47] [宇喜多]
 77: 1017| [45] [「事故！？　事故で２人とも死んだというのかね！？」]
 78: 1022| [45] [宇喜多がそう言って渡瀬に掴み掛ろうとした時。]
 79: 1080| [47] [宇喜多]
 80: 1083| [45] [「っ！」]
 81: 1088| [45] [後頭部に衝撃が走った。]
 82: 1093| [45] [渡瀬が銃の台座で、宇喜多を殴ったのだ。]
 83: 1108| [47] [宇喜多]
 84: 1111| [45] [「な、ぜ……」]
 85: 1116| [45] [『裏切られたのか』という悔しさが、宇喜多の心を満たす。]
 86: 1185| [47] [渡瀬]
 87: 1188| [45] [「……すまない、宇喜多さん」]
 88: 1196| [47] [渡瀬]
 89: 1199| [45] [「俺たちは……もう引き返すことができないんだ」]
 90: 1204| [45] [薄れゆく意識の中、宇喜多は渡瀬のそんな声を聞いた気がした……。]
 91: 1213| [45] [――しばらく後、宇喜多は目を覚ました。]
 92: 1218| [45] [その直後に渡瀬と再会したが――]
 93: 1350| [45] [なぜか渡瀬は、同僚の女性レスキュー隊員２名と、高校教師、そして素性の知れない少女と一緒に行動していた。]
 94: 1355| [45] [わけがわからず問いただす宇喜多に対し、彼は奇妙な事を言った。]
 95: 1381| [47] [渡瀬]
 96: 1384| [45] [「実は少し前に、頭を強く打ったらしく……記憶が混濁してるんだ……」]
 97: 1392| [47] [宇喜多]
 98: 1395| [45] [「記憶が混濁してる……だと！？」]
 99: 1567| [45] [宇喜多は怪訝に思った。]
100: 1599| [45] [なぜ彼がそんな事を言い出したのかわからない。]
101: 1604| [45] [他の人々の手前、テロ計画の事を隠すため、嘘をついてごまかしているのだろうか。]
102: 1609| [47] [宇喜多]
103: 1610| [45] [（……いずれにせよ、隊長さんは危険だ……！）]
104: 1643| [47] [宇喜多]
105: 1644| [45] [（被験体たちを彼の手から護らなければ……！）]
106: 1649| [45] [被験体がどんな姿をしているのかはわからない。]
107: 1681| [45] [だが渡瀬が連れてきた『ユウリ』という少女が、『被験体ＹⅡ』である可能性もある。]
108: 1735| [45] [さらには偶然ラボ内に閉じ込められてしまった夏彦たちも護らなければならない。]
109: 1754| [47] [宇喜多]
110: 1755| [45] [（気を抜くな……まだ計画は続いている）]
111: 1760| [47] [宇喜多]
112: 1761| [45] [（隊長さんが裏切ったのだとしても、ぼくは必ず……彼らを救い出してみせる）]
113: 1789| [45] [――その記憶を見終えた夏彦は、驚いていた。]
114: 1794| [47] [夏彦]
115: 1795| [45] [（……おじさんはぼくらを護るために、ずっと行動していたのか）]
116: 1800| [47] [夏彦]
117: 1801| [45] [（渡瀬の真意もわからず、警戒を固めながら……！）]
118: 1806| [45] [ともかくそれが宇喜多の『動機』であり、『意思』のようだった。]
119: 1811| [47] [夏彦]
120: 1812| [45] [（じゃあ、この先の記憶は……？）]
121: 1863| [45] [そう思って、さらに記憶を読み進めていくと――]
122: 1868| [45] [どこかから花の香りが漂ってきた。]
123: 1876| [47] [夏彦]
124: 1877| [45] [（ッ！　花の香り……！）]
125: 1882| [47] [夏彦]
126: 1883| [45] [（ここからだ！　ここからおじさんの記憶は歪められているんだ！）]
127: 1894| [45] [その瞬間、夏彦の意識は引き締まった。]
128: 1946| [45] [頭の中で、悠里の声が響く。]
129: 1970| [47] [悠里]
130: 1973| [45] [《ひこりん！　この先の記憶を、『花の香りがした記憶』で検索しよう！》]
131: 1978| [47] [夏彦]
132: 1979| [45] [（あぁ！）]
133: 1984| [47] [悠里]
134: 1987| [45] [《そして思い出して。ここから先、何が起きたのかを》]
135: 2011| [47] [悠里]
136: 2014| [45] [《宇喜多さんがどういう気持ちでいたのかを……》]
137: 2038| [47] [悠里]
138: 2041| [45] [《ひこりんの想い次第で、その記憶は正しい形に修復されていくはず》]
139: 2046| [47] [悠里]
140: 2049| [45] [《そうして宇喜多さんを、元に戻してあげて》]
141: 2067| [45] [夏彦はその決意を胸に、再び記憶検索を行った。]
142: 2119| [45] [追加する条件は――『花の香りのする記憶』。]
