  0:   61| [45] [――ラボの真実を知った、あの夜から――]
 28:  324| [45] [どことなく不安を感じつつも、宇喜多は電話に出た。]
 29:  332| [47] [宇喜多]
 30:  335| [45] [「……もしもし」]
 31:  340| [47] [？？]
 32:  343| [45] [「発言者Ｕさんだね？」]
 33:  366| [47] [宇喜多]
 34:  369| [45] [「なっ……！」]
 35:  377| [47] [宇喜多]
 36:  380| [45] [「だ、誰だね君は！？　いや、それよりどうして僕の事を！？」]
 37:  385| [45] [宇喜多はネットフォーラムへの参加に際し、身元がばれないように細心の注意を払ったはずだった。]
 38:  390| [47] [宇喜多]
 39:  391| [45] [（なのに、こうして電話がかかってきたということは――！？）]
 40:  396| [45] [すると電話の相手は、宇喜多の焦りを見透かしたように、笑みを含んだ声で言う。]
 41:  401| [47] [？？]
 42:  404| [45] [「いや待ってくれ。私の話をする前に、君の話をしたい」]
 43:  412| [47] [宇喜多]
 44:  415| [45] [「僕の……？」]
 45:  420| [47] [？？]
 46:  423| [45] [「君の発言がどうにも気になってね。もっと踏み込んだ議論がしたいのだが――」]
 47:  428| [47] [？？]
 48:  431| [45] [「少々込み入った話になるんだ。場所を変えて話さないかね？」]
 49:  439| [47] [宇喜多]
 50:  442| [45] [「これから……直接会おうというのか？」]
 51:  447| [47] [？？]
 52:  450| [45] [「そんなところだ。なのでこれから私が指定する場所に、１人で来てほしい」]
 53:  455| [47] [？？]
 54:  458| [45] [「もちろん断るのも君の自由だがね」]
 55:  465| [45] [宇喜多は不思議とその声に、逆らう事ができなかった。]
 56:  532| [45] [――指定されたその場所は、１４年前の『鹿鳴市同時多発火災』で焼け落ちた旧鹿鳴市立病院跡だった。]
 57:  537| [47] [宇喜多]
 58:  538| [45] [（もしこれがラボ側の罠だったとしたら……僕は消されるかもしれないな）]
 59:  550| [45] [警戒しながらそこに踏み込んだのだが、人の気配は全くしなかった。]
 60:  558| [47] [宇喜多]
 61:  561| [45] [「おい！　誰かいないのかね！」]
 62:  566| [45] [張り上げた宇喜多の声が、虚しく廃墟にこだまする。]
 63:  572| [45] [やはり罠かもしれないと、宇喜多が逃げ出そうとした時――]
 64:  577| [45] [床の片隅に、何か光るものが落ちているのが見えた。]
 65:  585| [47] [宇喜多]
 66:  588| [45] [「あれは……？」]
 67:  601| [45] [歩み寄って拾い上げると、それはＰＤＡだった。]
 68:  606| [45] [『通信中』という文字が、ディスプレイに大きく表示されている。]
 69:  613| [45] [宇喜多が恐る恐るそれを耳に当てると……先ほどの男の声が聞こえた。]
 70:  624| [47] [？？]
 71:  627| [45] [「良かった。来てくれたようだな」]
 72:  635| [47] [宇喜多]
 73:  638| [45] [「……これはどういう事だね？　まさか人を呼び出しておいて、自分は姿を現さないつもりかね？」]
 74:  643| [47] [？？]
 75:  646| [45] [「実はすまないが、直接会うのは無理なんだ。私は鹿鳴市に入れない身分なのでね」]
 76:  651| [47] [？？]
 77:  654| [45] [「なのでＰＤＡを用意し、私の友人にそこに届けてもらった」]
 78:  662| [47] [宇喜多]
 79:  665| [45] [「なに？　なんでわざわざそんな回りくどい事を……」]
 80:  673| [47] [宇喜多]
 81:  676| [45] [「どのみち直接会わないなら、先ほどの電話で、そのまま話せばよかったじゃないか？」]
 82:  681| [47] [？？]
 83:  684| [45] [「おや、知らないのかね？　鹿鳴市において、あらゆる電話は――」]
 84:  689| [47] [？？]
 85:  692| [45] [「盗聴されているという事を」]
 86:  715| [47] [宇喜多]
 87:  718| [45] [「なっ！」]
 88:  723| [45] [宇喜多は息を呑んだ。]
 89:  728| [45] [確かにそんな噂を聞いた事はあるものの、たちの悪いジョークだと思っていたのに――]
 90:  733| [47] [？？]
 91:  736| [45] [「市内で取り交わされる膨大な通話音声。それは鹿鳴市が用意した、音声分析システムにかけられる」]
 92:  741| [47] [？？]
 93:  744| [45] [「そして不穏なキーワードが含まれている音声があったら、自動でピックアップし、保安課に通知されるんだ」]
 94:  749| [47] [？？]
 95:  752| [45] [「そう、例えば――『あなた方は鹿鳴市の事を許せますか？』などという発言などはね」]
 96:  760| [47] [宇喜多]
 97:  763| [45] [「で、では、この会話も盗聴されて……？」]
 98:  768| [47] [？？]
 99:  771| [45] [「いや、このＰＤＡは中継局を挟まず、直接通信するデジタル無線機だ」]
100:  776| [47] [？？]
101:  779| [45] [「信号は暗号化されているし、盗聴される心配はない」]
102:  787| [47] [宇喜多]
103:  790| [45] [「……っ」]
104:  795| [45] [話しているうちに、宇喜多の背筋は冷えてきた。]
105:  800| [45] [盗聴の件にも驚愕したが、この通話の相手の用意周到さが、不気味に思えてきたのだ。]
106:  805| [47] [？？]
107:  808| [45] [「ともかく安心してくれたまえ。このＰＤＡでなら、思うさま我々のしたい話ができる」]
108:  816| [47] [宇喜多]
109:  819| [45] [「い、いや、その前に……聞かせてくれ」]
110:  827| [47] [宇喜多]
111:  830| [45] [「君はいったい何者なんだ？」]
112:  835| [47] [？？]
113:  838| [45] [「私か。私は――」]
114:  843| [45] [宇喜多の問いに、男は答えた。]
115:  848| [47] [？？]
116:  851| [45] [「『Ｑ』と言えば、おわかりいただけるかな？」]
117:  859| [47] [宇喜多]
118:  862| [45] [「Ｑ！？　あのコミュニケーターを眼の敵にしている、テロリスト集団の事か！？」]
119:  867| [47] [Ｑ]
120:  870| [45] [「いや。我々はテロリストなどではない」]
121:  875| [47] [Ｑ]
122:  878| [45] [「それについては、きちんと話させてもらうつもりだが――その前に、私は君に提案したい」]
123:  883| [47] [Ｑ]
124:  886| [45] [「君はもう承知しているかと思うが、君が相手にしようとしているものは個人で戦うには巨大過ぎる」]
125:  891| [47] [Ｑ]
126:  894| [45] [「そこでどうだろう？　君の目的のために、我々を利用してみては」]
127:  902| [47] [宇喜多]
128:  905| [45] [「ば、馬鹿な！　僕の目的は、ラボに囚われているコミュニケーターを救う事だ！」]
129:  913| [47] [宇喜多]
130:  916| [45] [「コミュニケーターを憎んでいるあんた方の手を借りるわけには――」]
131:  921| [47] [Ｑ]
132:  924| [45] [「いや。我々が憎んでいるのはコミュニケーターなどではない」]
133:  932| [47] [宇喜多]
134:  935| [45] [「え、なんだと……？」]
135:  940| [47] [Ｑ]
136:  943| [45] [「我々は確かにコミュニケーターを嫌っている。だが我々が最も憎んでいるのは、鹿鳴市だ」]
137:  951| [47] [宇喜多]
138:  954| [45] [「なぜ、鹿鳴市を？」]
139:  959| [47] [Ｑ]
140:  962| [45] [「Ｑはかつて、テロ組織ではなかった。単なる善意の市民団体だったのだ」]
141:  967| [47] [Ｑ]
142:  970| [45] [「その頃我々は、世に訴えかけた。『人に心を読まれたくない、そう思うのは当然の権利のはずだ』と」]
143:  975| [47] [Ｑ]
144:  978| [45] [「だがそれがまずかったらしい。そこに目をつけた鹿鳴市の連中が、我々をテロ組織に仕立て上げたのだよ」]
145: 1029| [45] [――宇喜多はＱがテロリスト集団になった、その契機を聞かされた。]
146: 1034| [45] [２０１４年９月１６日、『Ａ』というコミュニケーターによって、鹿鳴市同時多発火災が引き起こされたこと。]
147: 1039| [45] [だがその事実は隠蔽され、事件は全てＱのせいにされてしまったこと。]
148: 1044| [45] [その後、Ａはラボに幽閉され――１年後、ラボの中で没したこと。]
149: 1049| [45] [その話を聞き終えた時、宇喜多の中で全ての情報が１つに繋がった。]
150: 1054| [47] [宇喜多]
151: 1055| [45] [（そうか……だからラボは、Ａと同等の力を持つ強力なコミュニケーターを、ラボの地下に幽閉して……！）]
152: 1060| [45] [Ａと同格のコミュニケーターを被験体にできれば、ラボの研究は大幅に飛躍するだろう。]
153: 1065| [45] [故にこれまでラボは、多大な成果を上げる事ができたのだ。]
154: 1107| [47] [宇喜多]
155: 1110| [45] [「……つまり鹿鳴市同時多発火災の真犯人は、コミュニケーターＡと、その悪意に感染した１５人の男女という事か……」]
156: 1115| [47] [Ｑ]
157: 1118| [45] [「ああ。そしてこの１５人は、我々とはなんの関係もない。たまたま街に居合わせた、一般人たちだ」]
158: 1123| [47] [Ｑ]
159: 1126| [45] [「だが事件の真相は、鹿鳴市によって隠蔽された。すると事件のつじつまが合わなくなる」]
160: 1131| [47] [Ｑ]
161: 1134| [45] [「『無関係な男女１５名が、偶然同じ夜に放火事件を起こした』――そんな荒唐無稽な話、誰も信じるわけがない」]
162: 1139| [47] [Ｑ]
163: 1142| [45] [「そこで鹿鳴市の連中は、つじつまを合わせるため、スケープゴートを用意する事にした。それが我々の団体だった」]
164: 1147| [47] [Ｑ]
165: 1150| [45] [「我々は『コミュニケーターを憎むあまりに、街中に火を放った過激派』というレッテルを貼られ――」]
166: 1155| [47] [Ｑ]
167: 1158| [45] [「１５名の真犯人と一緒くたに、同時多発火災の犯人という事にされた」]
168: 1163| [47] [Ｑ]
169: 1166| [45] [「そして我々は投獄された。そこから出てきた頃には、我々の団体は消滅していた。元のメンバーも散り散りになった」]
170: 1171| [47] [Ｑ]
171: 1174| [45] [「後から無実を訴えても、誰も信じてくれない。このまま我々の声は、消えて行くかと思われたが……我々は諦めなかった」]
172: 1179| [47] [Ｑ]
173: 1182| [45] [「数年後、散り散りになったメンバーを集め、現在の組織を再結成したのだ」]
174: 1187| [47] [Ｑ]
175: 1190| [45] [「鹿鳴市が我々をテロ組織だというのなら、その嘘を真実に変えてやろうと思った」]
176: 1195| [47] [Ｑ]
177: 1198| [45] [「そのためには、我々は手段を選ばない……！　たとえ、武器を取る事になろうともだ」]
178: 1206| [47] [宇喜多]
179: 1209| [45] [「なぜそこまでして？　自分たちの無実を証明するためか？」]
180: 1214| [47] [Ｑ]
181: 1217| [45] [「それだけではない、断じて違う。我らはこの社会を護るために、この道を選んだのだ」]
182: 1225| [47] [宇喜多]
183: 1228| [45] [「この社会のため……だと？」]
184: 1233| [47] [Ｑ]
185: 1236| [45] [「……鹿鳴市同時多発火災の真相から鑑みても、ＢＣという能力は極めて危険なものだ」]
186: 1241| [47] [Ｑ]
187: 1244| [45] [「本来、人類が扱うには、あまりにもリスクの大きな力なのだよ」]
188: 1267| [47] [宇喜多]
189: 1270| [45] [「っ……！」]
190: 1275| [45] [宇喜多は息を呑む。]
191: 1280| [45] [それは奇しくも、かつて宇喜多が尊敬していた女性が口にした言葉だった。]
192: 1285| [47] [Ｑ]
193: 1288| [45] [「君ももうわかるだろう？　ＢＣは決して、世に知られているほど安全なものではないと」]
194: 1296| [47] [宇喜多]
195: 1299| [45] [「あ、ああ……」]
196: 1304| [47] [Ｑ]
197: 1307| [45] [「だが真実の姿は一般人には知られることなく、良い面だけが強調されている」]
198: 1312| [47] [Ｑ]
199: 1315| [45] [「たとえ問題が生じても、秘密裏に処理され、隠蔽され、あるいは偽りに塗り固められた形で公表される」]
200: 1320| [47] [Ｑ]
201: 1323| [45] [「我々が真に許せないのは、そこなのだ……！」]
202: 1328| [47] [Ｑ]
203: 1331| [45] [「一部の人間が社会の動向を左右し、その裏で個人の尊厳は踏みにじられ、そして顧みられる事さえない」]
204: 1336| [47] [Ｑ]
205: 1339| [45] [「それが当たり前だというのなら、社会の仕組みだと言うのなら――」]
206: 1344| [47] [Ｑ]
207: 1347| [45] [「その仕組みから外れてでも、異を唱えねばならないのではないか？」]
208: 1352| [47] [Ｑ]
209: 1355| [45] [「身をもって、この欺瞞に満ちた社会に、厳然たる問いを突きつけなければならないのではないか！？」]
210: 1360| [45] [男の一言一言が、宇喜多の心を打つ。]
211: 1365| [45] [それは被験体の存在を知って以来、宇喜多がずっと思ってきた事だったからだ。]
212: 1370| [47] [Ｑ]
213: 1373| [45] [「……改めて尋ねよう。君は何をしたい？」]
214: 1378| [47] [Ｑ]
215: 1381| [45] [「答えてくれたまえ、君が何をするべきなのかを」]
216: 1386| [45] [宇喜多はまるで誘われるように、その問いに答えていた。]
217: 1394| [47] [宇喜多]
218: 1397| [45] [「僕は……救いたい」]
219: 1405| [47] [宇喜多]
220: 1408| [45] [「どんな手段を使っても、ラボに囚われている被験体を救いたい」]
221: 1416| [47] [宇喜多]
222: 1419| [45] [「断じてあんな研究など、続けさせるわけにはいかないんだ……！」]
223: 1424| [45] [それは宇喜多の、心の底からの言葉だった。]
224: 1429| [45] [Ｑの男も、待ちかねたように答える。]
225: 1434| [47] [Ｑ]
226: 1437| [45] [「……そう。そして我々はラボと鹿鳴市の欺瞞を暴きたい」]
227: 1442| [47] [Ｑ]
228: 1445| [45] [「どうだね？　利害が一致していると思わないかね？」]
229: 1453| [47] [宇喜多]
230: 1456| [45] [「それは、確かにそうかもしれないが……」]
231: 1461| [47] [Ｑ]
232: 1464| [45] [「我々は君の道具だ。必要なものは全てこちらで用意しよう」]
233: 1469| [47] [Ｑ]
234: 1472| [45] [「あとは、君に実行の意思があるかどうか――それだけだ」]
235: 1477| [45] [実行の意思はある。宇喜多はＱに向かって言った。]
236: 1485| [47] [宇喜多]
237: 1488| [45] [「わかった。君たちの協力を受け入れよう」]
238: 1496| [47] [宇喜多]
239: 1499| [45] [「だがこれだけは約束してくれ。被験体を救い出した後、絶対に危害を加えないと」]
240: 1504| [47] [Ｑ]
241: 1507| [45] [「約束しよう。我々は当然の権利を主張できる世の中に戻したい。それが目的なのだから」]
242: 1512| [45] [こうして宇喜多は、Ｑに入ることを決めた。]
243: 1565| [45] [――それから宇喜多は、計画に必要な情報を得るため、ラボ内を暗躍した。]
244: 1570| [45] [時には上級研究員のＰＣに、ハッキングを仕掛ける事もあった。]
245: 1575| [45] [かなり綱渡りの行動だが、警戒に警戒を重ね、時間をかけ、少しずつ情報を収集していく。]
246: 1634| [47] [宇喜多]
247: 1635| [45] [（……この文書によると、被験体は１人じゃないらしい……！）]
248: 1640| [47] [宇喜多]
249: 1641| [45] [（被験体Ｎと、被験体Ｙ、被験体ＹⅡという子もいるのか）]
250: 1646| [47] [宇喜多]
251: 1647| [45] [（ラボ内で生まれた被験体もいれば、どこかから拉致された子も……）]
252: 1658| [47] [宇喜多]
253: 1659| [45] [（しかもその内１人は、すでに『破棄』されたって……死んでしまったって事か……！）]
254: 1664| [47] [宇喜多]
255: 1665| [45] [（許せない……残り２名の被験体は、必ず救ってやる……！）]
256: 1718| [47] [宇喜多]
257: 1719| [45] [（『ケースＮ』……どうやらこれは、被験体の脱走を阻止するコードのようだな）]
258: 1724| [47] [宇喜多]
259: 1725| [45] [（その仕様は２０２１年以降、より厳しく修正されたのか……どうやってこれをかいくぐる？）]
260: 1778| [47] [宇喜多]
261: 1779| [45] [（これだ……この防災システムの穴をつく事ができれば……！）]
262: 1784| [47] [宇喜多]
263: 1785| [45] [（だが、それは僕１人では――……）]
264: 1836| [45] [――やがて情報が充実すると共に、計画の骨子が見えてきた。]
265: 1841| [45] [宇喜多は約１年の歳月と、命を賭けて練ったその計画を、Ｑに報告した。]
266: 1894| [47] [宇喜多]
267: 1897| [45] [「――つまり、施設内で人為的な事故を起こし、その隙に被験体を救出するという計画だ」]
268: 1902| [47] [Ｑ]
269: 1905| [45] [「素晴しい！　それなら厳重な警備を乗り越えられそうだな」]
270: 1913| [47] [宇喜多]
271: 1916| [45] [「だがむろんこの計画は、僕１人では成し得ない。消防官か何かの協力が不可欠だ」]
272: 1921| [47] [Ｑ]
273: 1924| [45] [「わかった。では同志の勧誘は、我々に任せておきたまえ」]
274: 1932| [47] [宇喜多]
275: 1935| [45] [「いや、可能性のありそうな人間をピックアップしてくれるだけでいい。仲間は自分で選びたい」]
276: 1940| [47] [Ｑ]
277: 1943| [45] [「……それは我々の事を、まだ完全には信用していないという事かね？」]
278: 1951| [47] [宇喜多]
279: 1954| [45] [「当然じゃないか。僕はあんたの顔も名前も知らないんだぞ」]
280: 1959| [47] [Ｑ]
281: 1962| [45] [「確かにな……いいだろう。では早急に、こちらで調査を進めておこう」]
282: 1967| [47] [Ｑ]
283: 1970| [45] [「なお言うまでもないが、同志候補と接触する時は、盗聴に注意してくれたまえ」]
284: 1975| [47] [Ｑ]
285: 1978| [45] [「例のデジタル無線をもう１つ用意するので、それを使うんだ」]
286: 1983| [45] [その点は宇喜多も、彼の言う通りにした。]
287: 2036| [45] [それから１週間後の夕方――。]
288: 2041| [45] [宇喜多が仕事から帰ると、自宅の郵便受けにＰＤＡが差し込まれていた。]
289: 2046| [45] [連絡用のデジタル無線だろう。]
290: 2057| [45] [データフォルダを開いてみると、『同志候補』のデータが入っていた。]
291: 2062| [47] [宇喜多]
292: 2063| [45] [（ほう、特別高度救助隊『シリウス』隊長・笠鷺渡瀬か……）]
293: 2068| [45] [その資料には、彼の住所・電話番号から、生い立ちまでもが詳細に書かれている。]
294: 2073| [45] [そして驚くべき事に、彼を説得するために必要なポイントさえも。]
295: 2081| [47] [宇喜多]
296: 2084| [45] [「しかしこれ……どうやって調べたんだ……？」]
297: 2090| [47] [宇喜多]
298: 2091| [45] [（いったい何者なんだ？　Ｑを名乗るあの男は）]
299: 2096| [45] [態度を見る限り、Ｑのメンバーだという事は嘘ではないだろう。]
300: 2101| [45] [だが常にこちらの心中を見透かしたように喋る彼に、宇喜多は薄気味悪さを感じるようになっていた。]
301: 2106| [47] [宇喜多]
302: 2107| [45] [（頼りにはなるが、決して心を許していい相手ではない気がする……）]
303: 2112| [45] [だからこそ宇喜多は、真の意味で仲間と呼べる者を、自分で選びたかったのだ。]
304: 2123| [45] [宇喜多は深呼吸をし、それから自分のＰＤＡに、渡瀬の電話番号を打ち込んだ。]
305: 2153| [47] [宇喜多]
306: 2156| [45] [「笠鷺渡瀬さんだね？」]
307: 2164| [47] [渡瀬]
308: 2167| [45] [「えっと……どちらさんですか？」]
309: 2175| [47] [宇喜多]
310: 2178| [45] [「名乗るほどの者じゃない。実は君にぜひ教えたい事があってね」]
311: 2183| [45] [そしてＱが用意した資料に従い、宇喜多は静かに語り出した。]
312: 2188| [45] [仲間を誘う言葉を……。]
