  0:   70| [45] [――夏彦が自失状態に陥ってからというもの――]
 36:  659| [47] [夏彦]
 37:  660| [45] [「……」]
 38:  709| [45] [ましろを取り巻く世界は変わりゆくのに、夏彦の時間は止まったままで……。]
 39:  760| [47] [ましろ]
 40:  763| [45] [「……あのてがみのことね、けっきょくことわったよ」]
 41:  768| [47] [ましろ]
 42:  771| [45] [「だってなんかそういうの、私にはよくわかんなくてさ……」]
 43:  776| [47] [ましろ]
 44:  779| [45] [「……すきとか、そんなのって……」]
 45:  784| [47] [夏彦]
 46:  785| [45] [「……」]
 47:  836| [45] [だからましろも夏彦に合わせ、変化を起こさないように努めた。]
 48:  901| [45] [――そうして瞬く間に、３ヶ月が過ぎ……。]
 49:  906| [45] [その日もましろは、夏彦の病室を訪れていた。]
 50:  960| [47] [ましろ]
 51:  963| [45] [「――今日は学校でさ、男子たちに『夏彦はまだたいいんしないの？』ってきかれたよ」]
 52:  968| [47] [ましろ]
 53:  971| [45] [「はかせがおみまいをゆるしてくれるの、私だけだもんね」]
 54:  976| [47] [ましろ]
 55:  979| [45] [「３ヶ月もあえないと、みんなほんきでしんぱいみたい。夏彦ってやっぱり、にんきものだね」]
 56:  984| [47] [夏彦]
 57:  985| [45] [「……」]
 58:  990| [45] [いつものように、返事はない。]
 59:  995| [47] [ましろ]
 60:  998| [45] [「……夏彦のたいいんを、みんなまってるんだよ」]
 61: 1003| [47] [夏彦]
 62: 1004| [45] [「……」]
 63: 1009| [45] [何度話しかけても、返事はなかった。]
 64: 1061| [47] [ましろ]
 65: 1062| [45] [「……」]
 66: 1116| [47] [夏彦]
 67: 1117| [45] [「……」]
 68: 1122| [45] [やがて――]
 69: 1127| [47] [ましろ]
 70: 1130| [45] [「……ねぇ」]
 71: 1135| [47] [ましろ]
 72: 1138| [45] [「……なんかこたえてよ、夏彦……！」]
 73: 1143| [45] [心の奥から搾り出されるような声が、病室に響いた。]
 74: 1237| [47] [夏彦]
 75: 1238| [45] [「……」]
 76: 1243| [47] [ましろ]
 77: 1246| [45] [「私もまってるよ……夏彦がもどってくるのを……」]
 78: 1305| [47] [ましろ]
 79: 1308| [45] [「悠里がいなくなっちゃったから……ひとりで、ずっと……」]
 80: 1313| [45] [自分の声が震えている事に、ましろは気付いた。]
 81: 1318| [45] [いつの間にか、視界が滲んでいる。]
 82: 1323| [47] [ましろ]
 83: 1326| [45] [「……夏彦……」]
 84: 1331| [45] [ましろは夏彦の頬に触れた。]
 85: 1416| [45] [手のひらから彼の体温が、伝わってくる。]
 86: 1421| [45] [――温かいのに。血が通っているのに。]
 87: 1426| [45] [ここに確かに彼は存在するのに、言葉を交わすことができない。]
 88: 1431| [45] [こうして触れていても、彼の心はとても遠く、どこかうかがい知れない場所にあって――]
 89: 1436| [47] [ましろ]
 90: 1439| [45] [「……夏彦……」]
 91: 1444| [45] [ましろは彼の唇に触れる。]
 92: 1449| [45] [彼の髪をかき上げる。]
 93: 1466| [45] [そしてその唇に、自分の唇を重ねようとして――……]
 94: 1473| [45] [やめた。]
 95: 1478| [47] [ましろ]
 96: 1479| [45] [（……なにしてんの、私は……）]
 97: 1484| [45] [童話じゃないのだ。そんな事をしても夏彦が目覚めるわけがない。]
 98: 1489| [45] [何をしても彼は目覚めない。]
 99: 1494| [45] [答えを期待せず、ましろは呟く。]
100: 1499| [47] [ましろ]
101: 1502| [45] [「……ねぇ、夏彦」]
102: 1507| [47] [ましろ]
103: 1510| [45] [「私、さびしいよ……まえみたいに、夏彦とあそびたいよ」]
104: 1515| [45] [そう呟くと、また涙が出た。]
105: 1523| [45] [ここに彼は存在するのに、言葉を交わす事ができない。]
106: 1528| [45] [彼が何を思っているのか、うかがい知る事ができない。]
107: 1533| [45] [この狭い病室で、ましろは独り呟く。]
108: 1538| [47] [ましろ]
109: 1541| [45] [「……さびしいよ、夏彦……」]
110: 1546| [47] [ましろ]
111: 1549| [45] [「……まえみたいに、夏彦とあそびたいよ」]
112: 1554| [47] [ましろ]
113: 1557| [45] [「つまんないことで、けんかしたりしたいよ……！」]
114: 1562| [45] [ましろはもはや、答えを期待してはいなかった。]
115: 1568| [45] [静寂に満ちた病室に、ましろのすすり泣く声が響く。]
116: 1614| [45] [――だが、その時――]
117: 1619| [47] [夏彦]
118: 1620| [45] [「……」]
119: 1625| [47] [夏彦]
120: 1628| [45] [「……ぅ……」]
121: 1633| [45] [待ち望んでいた声が聞こえた。]
122: 1687| [47] [ましろ]
123: 1690| [45] [「――え？」]
124: 1695| [45] [ましろは息を呑んだ。]
125: 1714| [45] [信じられない思いで、夏彦を見る。]
126: 1719| [47] [夏彦]
127: 1722| [45] [「……っ、ぁ……？」]
128: 1727| [45] [夏彦が戸惑うように、視線を動かす。]
129: 1732| [45] [その目には、光が戻っていた。]
130: 1737| [45] [やがて夏彦は、ましろに目を止め――]
131: 1742| [47] [夏彦]
132: 1745| [45] [「……ま……ましろ……？」]
133: 1750| [45] [彼女の名を呼んだ。]
134: 1755| [47] [ましろ]
135: 1758| [45] [「――――な」]
136: 1763| [47] [ましろ]
137: 1766| [45] [「夏彦ッ！」]
138: 1771| [45] [思わず声を上げると、夏彦はびくんと身じろぎした。]
139: 1782| [47] [夏彦]
140: 1785| [45] [「え、な、なに……？　っていうか、ここは……？」]
141: 1790| [45] [夏彦はここが病院だともわかっていないようだ。]
142: 1795| [45] [ましろは夏彦の手を握って答える。]
143: 1800| [47] [ましろ]
144: 1803| [45] [「病院だよ！　おぼえてない！？」]
145: 1808| [47] [夏彦]
146: 1811| [45] [「あ……そ、そうか……」]
147: 1816| [47] [夏彦]
148: 1819| [45] [「ぼく、悠里といっしょに、ラボで火事にあって……」]
149: 1824| [47] [ましろ]
150: 1827| [45] [「うん、うん……！」]
151: 1832| [45] [徐々に事の顛末を、思い出してきたらしい。]
152: 1837| [45] [ましろは溢れそうな言葉を抑えながら、彼にそっと語りかけた。]
153: 1842| [47] [ましろ]
154: 1845| [45] [「夏彦、あれからずっとにゅういんしてたんだよ？」]
155: 1850| [47] [ましろ]
156: 1853| [45] [「私、なんかいもおみまいに来てたんだから……」]
157: 1909| [47] [夏彦]
158: 1912| [45] [「そ、そうか……ありがとう」]
159: 1917| [47] [ましろ]
160: 1920| [45] [「いいんだよそんなの。夏彦がもどってきてくれただけで……」]
161: 1976| [47] [夏彦]
162: 1979| [45] [「ごめん……しんぱいさせちゃったんだな」]
163: 1984| [45] [夏彦が申し訳なさそうに言う。]
164: 1989| [45] [ましろは涙を拭い、笑って見せた。]
165: 1994| [47] [ましろ]
166: 1997| [45] [「いいっていいって」]
167: 2002| [47] [ましろ]
168: 2005| [45] [「そんなことより、はかせにれんらくしなきゃ。夏彦が目をさましたってさ！」]
169: 2059| [47] [夏彦]
170: 2062| [45] [「そうだな、それに――」]
171: 2068| [45] [夏彦は笑みを返し、それから言った。]
172: 2073| [47] [夏彦]
173: 2076| [45] [「悠里もしんぱいしてるだろうからな」]
174: 2081| [45] [――その瞬間、病室の空気が凍りついた。]
175: 2086| [47] [ましろ]
176: 2089| [45] [「……え？」]
177: 2094| [47] [夏彦]
178: 2097| [45] [「悠里だよ。いえでまってるはずだからさ」]
179: 2102| [47] [ましろ]
180: 2105| [45] [「な、夏彦……？」]
181: 2116| [45] [不吉な予感が、ざわざわと湧き上がってくる。]
182: 2121| [45] [かすれた声で、ましろは問いを返した。]
183: 2126| [47] [ましろ]
184: 2129| [45] [「どうして、そんなことを……」]
185: 2183| [47] [夏彦]
186: 2186| [45] [「いや、おもいだしたんだよ。びょういんにはこばれたときのこと」]
187: 2191| [47] [夏彦]
188: 2194| [45] [「ぼくはけむりをいっぱいすって、死んじゃいそうだったけど……悠里はぶじだったはずだろ？」]
189: 2248| [47] [夏彦]
190: 2251| [45] [「だからにゅういんもしなくてすむって、母さんが言ってたもん」]
191: 2256| [47] [ましろ]
192: 2259| [45] [「……！」]
193: 2264| [45] [――そんな記憶はありえない。]
194: 2269| [45] [夏彦は悠里の死を知ったから、心を閉ざしてしまったというのに。]
195: 2274| [45] [だがその話を、彼は心から信じているようだ。]
196: 2279| [47] [ましろ]
197: 2282| [45] [「あ、あの、夏彦……？　まさかわすれたの？」]
198: 2336| [47] [夏彦]
199: 2339| [45] [「ん？　なにを？」]
200: 2344| [47] [ましろ]
201: 2347| [45] [「悠里はね、もうね……」]
202: 2352| [47] [ましろ]
203: 2355| [45] [「し……死んじゃったんだよ……？」]
204: 2409| [47] [夏彦]
205: 2412| [45] [「――？」]
206: 2417| [45] [夏彦が虚ろな目で、ましろを見た。]
207: 2422| [47] [夏彦]
208: 2425| [45] [「シンジャッタってなに？」]
209: 2430| [47] [ましろ]
210: 2433| [45] [「え……だから、その火事で……」]
211: 2438| [47] [ましろ]
212: 2441| [45] [「悠里は、けむりをすって……死んじゃったの……」]
213: 2446| [45] [ましろがそう繰り返した時、]
214: 2502| [47] [夏彦]
215: 2505| [45] [「……うっ！」]
216: 2510| [45] [夏彦が急に顔をしかめた。]
217: 2515| [47] [ましろ]
218: 2518| [45] [「な、夏彦！？　どうしたの！？」]
219: 2523| [47] [夏彦]
220: 2526| [45] [「な、なんか、きゅうに頭が……！」]
221: 2531| [47] [夏彦]
222: 2534| [45] [「うぅぅう……！　いたいよぅ……！」]
223: 2539| [47] [ましろ]
224: 2542| [45] [「夏彦！　だいじょうぶ、夏彦！？」]
225: 2547| [45] [夏彦はしばらく苦しんでいたが――]
226: 2552| [45] [やがて治まったらしく、表情を緩めた。]
227: 2608| [47] [夏彦]
228: 2611| [45] [「あ……いたくなくなってきた……」]
229: 2616| [47] [ましろ]
230: 2619| [45] [「そ、そう、よかった……」]
231: 2624| [47] [夏彦]
232: 2627| [45] [「なんだったんだろ、いまの……？」]
233: 2632| [45] [夏彦が首を傾げる。]
234: 2686| [47] [ましろ]
235: 2687| [45] [「……」]
236: 2692| [45] [ましろは何も答えたくなかった。]
237: 2697| [45] [夏彦の訴えたものが、ただの頭痛ではない――そんな予感がしたからだ。]
238: 2702| [45] [正体不明の恐怖を感じ、ましろの体が震える。]
239: 2793| [47] [夏彦]
240: 2796| [45] [「……まぁいいや。それより母さんたちにれんらくしなくちゃな」]
241: 2801| [47] [ましろ]
242: 2804| [45] [「え……！？」]
243: 2809| [47] [夏彦]
244: 2812| [45] [「ぼくが目をさましたことを、おしえなきゃだろ？　それに……」]
245: 2817| [47] [夏彦]
246: 2820| [45] [「『悠里も、しんぱいしてるだろうしさ』」]
247: 2825| [45] [――その言葉を聞いた時、ましろはようやく悟った。]
248: 2830| [45] [夏彦がまだ、現実に戻ってきていない事を。]
249: 2835| [45] [彼が心の平衡を失ってしまった事を……！]
250: 2848| [47] [ましろ]
251: 2851| [45] [「……夏彦」]
252: 2856| [45] [ましろは彼の名を呼んだ。]
253: 2861| [45] [姿かたちは同じでも、変わり果ててしまった彼の名を。]
254: 2866| [45] [さきほど拭った涙が、また滲んでくる。]
255: 2912| [47] [夏彦]
256: 2915| [45] [「……？」]
257: 2920| [45] [そんなましろを、夏彦は不思議そうに見た。]
258: 2925| [47] [夏彦]
259: 2928| [45] [「……ましろ、どうして泣いてるの？」]
260: 2934| [45] [――――――]
261: 2939| [45] [――――]
262: 2944| [45] [――]
263: 3152| [45] [――それらの記憶の一部は、本当にあった事ではなかったかもしれない。]
264: 3157| [45] [夏彦の覚えている出来事が真実なのか……]
265: 3162| [45] [いま見たましろの記憶こそが真実なのか……]
266: 3167| [45] [今となっては確認する術はない。]
267: 3172| [45] [ただましろの心の中で、夏彦への想いが強くなると共に――]
268: 3177| [45] [彼女が自ら封じていた記憶が、新たに１つ浮かび上がってきた……。]
