  0:   53| [45] [――それは今から、４年半前。]
 72:  986| [45] [「大きな問題……と言いますと？」]
 73:  991| [45] [宇喜多の問いに、天川博士は静かに答えた。]
 74: 1017| [47] [美夜子]
 75: 1020| [45] [「……ＢＣ能力には未だ不明の点が多く、放置していては危険なのよ」]
 76: 1028| [47] [美夜子]
 77: 1031| [45] [「世間には秘匿されているけれど、実は高レベルのコミュニケーターがＢＣを濫用した場合、精神が崩壊する恐れがあるの」]
 78: 1039| [47] [宇喜多]
 79: 1042| [45] [「えっ……！？　そ、それは本当ですか！？」]
 80: 1068| [47] [美夜子]
 81: 1071| [45] [「ええ。事実、かつて私の知人のコミュニケーターは、ＢＣ能力濫用が原因で心が壊れてしまったわ」]
 82: 1079| [47] [美夜子]
 83: 1082| [45] [「だから私は、二度とそんな事が起きないよう、ＢＣの謎を解き明かそうとしているのよ」]
 84: 1090| [47] [宇喜多]
 85: 1093| [45] [「で、では……博士が寝食を忘れて研究に没頭しているのは、全てコミュニケーターたちの今後の平穏のためで……」]
 86: 1101| [47] [宇喜多]
 87: 1104| [45] [「あなたはコミュニケーターの未来を切り開くために、人生を捧げているのですか？」]
 88: 1130| [47] [美夜子]
 89: 1133| [45] [「そんな大層なものではないわ」]
 90: 1141| [47] [美夜子]
 91: 1144| [45] [「だけど何か問題があれば、それを科学の力で解決したい。そう思うのが、科学者というものでしょう？」]
 92: 1170| [47] [美夜子]
 93: 1173| [45] [「今は誰にも語れないこの研究が、いつか実を結び、コミュニケーターと社会のためになると……私はそう信じてるだけよ」]
 94: 1178| [45] [天川博士の言葉が、宇喜多の胸に突き刺さる。]
 95: 1183| [45] [考えてみれば宇喜多は、世間に認められたい一心で、研究に従事してきた人間だった。]
 96: 1188| [45] [だが天川博士は違う。おそらくコミュニケーターを救いたいという信念が、彼女を今の地位まで押し上げたのだろう。]
 97: 1193| [45] [その事に気付いたとたん、自分が急に恥ずかしくなった。]
 98: 1201| [47] [宇喜多]
 99: 1204| [45] [「……ありがとうございます、天川博士。おかげで眼が覚めました」]
100: 1230| [47] [美夜子]
101: 1233| [45] [「それは良かったわ。私もあなたと話す事で、少し眠気が取れたような気がするわ」]
102: 1238| [45] [宇喜多が言いたかったのは、そういう事ではなかったのだが……]
103: 1276| [45] [宇喜多は部屋を出て行く博士の後ろ姿に、清らかな光を見たような気がした。]
104: 1381| [45] [――それから宇喜多は変わった。寝る間も惜しんで研究に打ち込んだ。]
105: 1386| [45] [取り組んだのは、ＢＣ絶縁体の改良に関する研究。]
106: 1391| [47] [宇喜多]
107: 1392| [45] [（良質な絶縁体が普及すれば、コミュニケーターと一般人の軋轢も、より少なくなるはずだ……）]
108: 1397| [45] [そう思った宇喜多は、エネルギー吸収率が高く、かつ安価に絶縁体を生産する技術を追い求め、一定の成果を上げた。]
109: 1402| [45] [そして１年半の月日が流れた、ある日の事――]
110: 1470| [45] [――いつかのように資料室で、宇喜多は天川博士と遭遇した。]
111: 1475| [45] [彼女は宇喜多を見るなり、微笑んで言う。]
112: 1501| [47] [美夜子]
113: 1504| [45] [「宇喜多さん。あなた、あれからずいぶん頑張ったのね」]
114: 1512| [47] [宇喜多]
115: 1515| [45] [「は……？」]
116: 1541| [47] [美夜子]
117: 1544| [45] [「おめでとう。今回の人事で、あなたの『ジュニアフェロー』昇格が決まったのよ」]
118: 1552| [47] [宇喜多]
119: 1555| [45] [「ほ……本当ですか？」]
120: 1563| [47] [美夜子]
121: 1566| [45] [「ええ。明日からあなたには、私が直接指揮する研究チームに入ってもらうわ。よろしくね」]
122: 1574| [47] [宇喜多]
123: 1577| [45] [「――はい！　よろしくお願いします！」]
124: 1582| [45] [これからは憧れの天川博士と共に、研究ができる。]
125: 1587| [45] [そう思うと、宇喜多の心は打ち震えた。]
