  0:   68| [45] [――シリウスの一員となってから、毎日は飛ぶように過ぎていった。]
 49:  777| [45] [気になるのは、入隊したての洵の事だが、彼女の心の強さを風見は信じている。]
 50:  782| [47] [風見]
 51:  783| [45] [（今回もいつも通りに、可能な限り人を助けて、そして全員生きて帰る）]
 52:  788| [47] [風見]
 53:  789| [45] [（それが私たちの仕事……！）]
 54:  861| [45] [風見はそう決意を固め、仲間たちと共にラボ内に突入した。]
 55:  868| [45] [――風見は洵と組み、地上フロアの捜索を行った。]
 56:  873| [45] [空気ボンベ・ロープ・エンジンカッターなど、最低限の装備を身につけて。]
 57:  878| [45] [だが担当区域を捜索しているさなか、渡瀬・堂島・桧山との通信が断絶した。]
 58:  883| [45] [理由はわからないが、渡瀬たちは地下に降りたらしい。さらに風見たちも要救助者を発見し、地下に降りる。]
 59:  888| [45] [だが要救助者を見失い、さらに防護服を破損させてしまい……]
 60:  899| [45] [果ては『ケースＮ』が発令され、風見たちは地下に閉じ込められてしまった。]
 61:  959| [47] [自動放送]
 62:  962| [45] [「――ただいま、『ケースＮ』が発生しました」]
 63:  967| [47] [自動放送]
 64:  970| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
 65:  975| [47] [自動放送]
 66:  978| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
 67: 1095| [45] [だが風見はそれでも諦めず、人命救助を続行する。]
 68: 1118| [45] [今では彼女にとって、もう１人の妹となった、洵と力を合わせて。]
 69: 1184| [45] [――それから風見たちは、レベル２のセキュリティカードを２枚見つけた。]
 70: 1189| [45] [それを使い、施設内の消火をしながら、脱出口と要救助者を探す。]
 71: 1194| [45] [だがそのどちらも見つからないまま、第２エリア、第１エリアの捜索を終えようとした時――]
 72: 1260| [47] [洵]
 73: 1263| [45] [「……あ！　あれは――」]
 74: 1268| [47] [風見]
 75: 1271| [45] [「まさか、隊長！？」]
 76: 1276| [45] [第１エリアの廊下で、倒れている渡瀬と再会した。]
 77: 1282| [45] [３人のレスキュー隊員の奮闘が始まる……。]
 78: 1313| [45] [――と、その時ふと――]
 79: 1318| [45] [どこかで、花の香りが漂った。]
 80: 1323| [47] [夏彦]
 81: 1324| [45] [（花の香り……！）]
 82: 1329| [47] [夏彦]
 83: 1330| [45] [（ここか……この先が改竄された記憶か！）]
 84: 1335| [47] [夏彦]
 85: 1336| [45] [（この記憶を修復すれば、橘さんも元に戻るはず……！）]
 86: 1399| [47] [悠里]
 87: 1402| [45] [《ひこりん……いよいよ最後だよ。頑張ろう》]
 88: 1407| [47] [夏彦]
 89: 1408| [45] [（あぁ……！）]
 90: 1413| [45] [夏彦はそう答え、再び記憶検索を行った。]
 91: 1418| [45] [追加する条件は――『花の香りのする記憶』。]
