  0:   65| [45] [――黒田と比嘉、そして堂島の死体を見て以降――]
 65:  944| [45] [「それでもオレは、先生のことを信じるよ」]
 66:  949| [47] [恵那]
 67:  952| [45] [「えっ……」]
 68:  984| [47] [渡瀬]
 69:  987| [45] [「リスク抜きの『信義』なんて、嘘っぱちだろ」]
 70:  995| [47] [渡瀬]
 71:  998| [45] [「自分だけ安全なところにいて『信じる』だの『信じない』だの、そんなのはなんの力も持たない言葉だ」]
 72: 1006| [47] [渡瀬]
 73: 1009| [45] [「だからこれからも先生が疑われれば、無条件に信じるし、庇う」]
 74: 1035| [47] [渡瀬]
 75: 1038| [45] [「……きっと先生の親父さんも、そうするはずだよ」]
 76: 1043| [47] [恵那]
 77: 1046| [45] [「っ……！」]
 78: 1051| [45] [その言葉が、恵那の心を打った。]
 79: 1056| [45] [それは人間の悪意と言うのを考慮に入れていない、お人良しの考えだ。]
 80: 1061| [45] [だが――ふと生前の父の言葉が、胸に蘇る。]
 81: 1066| [45] [『人間にとって一番大切なのは、信じる心なんだ』と。]
 82: 1071| [45] [あるいは渡瀬なら父と同様、その信念を貫けるかもしれない。]
 83: 1076| [45] [ほんのわずかながら、そんな気がし始めていた。]
 84: 1081| [47] [恵那]
 85: 1082| [45] [（……もし隊長さんがテロリストではなくて、正義のレスキュー隊員だったなら……）]
 86: 1087| [45] [その時は彼は恵那にとって、最も信頼できるパートナーになり得るだろう。]
 87: 1092| [47] [恵那]
 88: 1093| [45] [（……その時は、私も心を開こう）]
 89: 1098| [47] [恵那]
 90: 1099| [45] [（誰に対しても閉ざしてきた、私の本当の心を……）]
 91: 1104| [45] [恵那は渡瀬の顔を見つめ、密かにそう誓った。]
