  0:   90| [45] [――病院跡で、渡瀬に真実を語った男の名は、宇喜多佳司と言った。]
243: 3268| [45] [「ＷＸ粒子増幅器というのは、要するにＢＣの効果を増進する素粒子を撒き散らす機械なんだよ」]
244: 3294| [47] [宇喜多]
245: 3297| [45] [「そんなものが暴走している時に、被験体が脱走したらどうなる？」]
246: 3323| [47] [宇喜多]
247: 3326| [45] [「ＢＣを使って、外の人間に助けを求めかねん。下手すれば街中の人間が、被験体のテレパシーを受け取る可能性もある」]
248: 3334| [47] [渡瀬]
249: 3337| [45] [「なるほど……隔壁が開かなくなる理由はわかった。これもまた隠蔽工作の一環か」]
250: 3345| [47] [渡瀬]
251: 3348| [45] [「だが、それがどう警備員の対処法に繋がるんだ？」]
252: 3374| [47] [宇喜多]
253: 3377| [45] [「うむ、それを踏まえた上で、我々がすべき事を説明するとだ……」]
254: 3385| [47] [宇喜多]
255: 3388| [45] [「まず施設内で火災を起こし、職員と警備員を外に避難させる。この時点では、まだ被験体の救出は行わない」]
256: 3396| [47] [宇喜多]
257: 3399| [45] [「だが全ての職員・警備員が避難した後、ＷＸ粒子増幅器を暴走させ、ケースＮを発令させれば――」]
258: 3425| [47] [宇喜多]
259: 3428| [45] [「施設の中には、誰も入れなくなる」]
260: 3436| [47] [渡瀬]
261: 3439| [45] [「そこまではいいアイディアだ。だがそれじゃ俺たちも外に出られなくなるだろう？」]
262: 3465| [47] [宇喜多]
263: 3468| [45] [「いいや。隔壁が閉鎖されても、１つだけ外に脱出できる場所があるんだよ」]
264: 3476| [47] [渡瀬]
265: 3479| [45] [「なに！？　それはどこだ！？」]
266: 3505| [47] [宇喜多]
267: 3508| [45] [「ＷＸ粒子増幅器の、冷却水用のパイプさ」]
268: 3519| [45] [宇喜多はそう言って、またＰＤＡを操作した。]
269: 3566| [45] [すると画面に、ＷＸ粒子増幅器のマニュアルが表示された。]
270: 3638| [47] [宇喜多]
271: 3641| [45] [「ＷＸ粒子増幅器を冷却するための水は、鹿鳴湖から取っているんだ」]
272: 3649| [47] [宇喜多]
273: 3652| [45] [「冷却水用の取水・排水パイプは、直径１ｍ。なんとか人が通れる大きさだ」]
274: 3660| [47] [宇喜多]
275: 3663| [45] [「パイプ内は高温の水が、高速で循環しているが――」]
276: 3680| [47] [宇喜多]
277: 3683| [45] [「冷却水の『濾過機構』を破壊すれば、自動的に水流が止まる仕組みになっている」]
278: 3691| [47] [渡瀬]
279: 3694| [45] [「いや待て。取水パイプに穴を開けたら、ラボ全体が水没するんじゃないか？」]
280: 3699| [45] [渡瀬は図面を指差して言った。]
281: 3716| [47] [渡瀬]
282: 3719| [45] [「この図を見ると『取水パイプ』は、鹿鳴湖の水位より下に位置してる」]
283: 3727| [47] [渡瀬]
284: 3730| [45] [「もし取水パイプに穴を開けてしまったら、水流が止まっていても、一気に水が溢れ出して……ラボは水没しちまうぞ」]
285: 3747| [47] [宇喜多]
286: 3750| [45] [「そう、だから排水パイプに穴を開けるのさ」]
287: 3767| [47] [宇喜多]
288: 3770| [45] [「排水パイプには、パイプ内に巨大なポンプがある。それが通行の邪魔をするわけだが――」]
289: 3797| [47] [宇喜多]
290: 3800| [45] [「これを君に、破壊して欲しいんだよ」]
291: 3805| [45] [宇喜多はにやりと笑って、そう言った。]
292: 3813| [47] [渡瀬]
293: 3816| [45] [「破壊……だと？　どうやって？」]
294: 3842| [47] [宇喜多]
295: 3845| [45] [「まずポンプを破壊するにあたって、邪魔なのはパイプ内の水だ」]
296: 3853| [47] [宇喜多]
297: 3856| [45] [「だがこれは水流を止めた上で、パイプの下部に穴を開けてしまえば――」]
298: 3864| [47] [渡瀬]
299: 3867| [45] [「……あ、そうか！　脱水できるな！」]
300: 3875| [47] [宇喜多]
301: 3878| [45] [「そうだろう？」]
302: 3896| [45] [排水パイプの出口は、鹿鳴湖の水位の上にある。]
303: 3901| [45] [取水パイプとは違って、こちらに穴を開けても、溢れ出す水の量はたかが知れている。]
304: 3909| [47] [宇喜多]
305: 3912| [45] [「で、水を抜いた後、ポンプをどうやって破壊するかだが――」]
306: 3939| [47] [宇喜多]
307: 3942| [45] [「ここは君からのアイディアを募りたい」]
308: 3950| [47] [宇喜多]
309: 3953| [45] [「レスキューの特殊装備の中に、ポンプを破壊できるようなものはないか？」]
310: 3961| [47] [渡瀬]
311: 3964| [45] [「うーむ、ポンプを破壊できる特殊装備か……」]
312: 3969| [45] [渡瀬はしばし考え、すぐに答えを出した。]
313: 3977| [47] [渡瀬]
314: 3980| [45] [「……そうだな、削岩機を使えばいいだろう」]
315: 4006| [47] [宇喜多]
316: 4009| [45] [「削岩機？」]
317: 4017| [47] [渡瀬]
318: 4020| [45] [「岩盤をぶち破る道具さ。崩れた瓦礫の向こうの人を助ける時とかに使うんだ」]
319: 4028| [47] [渡瀬]
320: 4031| [45] [「これなら火災に乗じて地下に持ち込んでも、さほど怪しまれないだろう」]
321: 4057| [47] [宇喜多]
322: 4060| [45] [「うむ、良さそうだな……！　だがそれでポンプを破壊するとして、どのくらい時間がかかりそうだ？」]
323: 4068| [47] [渡瀬]
324: 4071| [45] [「まぁ、ぶっ続けで作業して……ざっと３時間ってところだろうな」]
325: 4079| [47] [渡瀬]
326: 4082| [45] [「だが、ケースＮが発令されたら、隔壁は１２時間ほど閉まりっぱなしになるんだろ？」]
327: 4090| [47] [渡瀬]
328: 4093| [45] [「だったら多少時間がかかっても、何の問題もない」]
329: 4119| [47] [宇喜多]
330: 4122| [45] [「……！」]
331: 4130| [47] [渡瀬]
332: 4133| [45] [「俺たちは隔壁が閉まった後で、じっくりポンプを破壊して……そして被験体と一緒に、鹿鳴湖まで逃げればいい」]
333: 4141| [47] [渡瀬]
334: 4144| [45] [「マヌケなラボの職員たちは、建物の外でひたすら隔壁が開くのを待つ。そして隔壁が開いた頃には――」]
335: 4152| [47] [渡瀬]
336: 4155| [45] [「もう施設内には誰もいない。もぬけの殻ってワケさ」]
337: 4182| [47] [宇喜多]
338: 4185| [45] [「素晴しい！　完璧な計画だ！」]
339: 4190| [45] [宇喜多が力強い笑みを浮かべる。]
340: 4195| [45] [渡瀬は満足して、宇喜多に笑みを返した。]
341: 4203| [47] [渡瀬]
342: 4206| [45] [「よし、じゃあこの線でいこう！　これから忙しくなるぞ！」]
343: 4232| [47] [宇喜多]
344: 4235| [45] [「あぁ！　計画の実現のために、準備しなきゃいかん事が山ほどある！」]
345: 4243| [47] [渡瀬]
346: 4246| [45] [「そもそも大前提として、施設内で火災を起こす方法も考えなきゃならんしな」]
347: 4254| [47] [宇喜多]
348: 4257| [45] [「そっちは僕がＱのメンバーに連絡して、燃焼剤入りの爆弾などを入手してもらおう」]
349: 4265| [47] [渡瀬]
350: 4268| [45] [「すまねぇ、助かるぜ」]
351: 4273| [45] [そうして渡瀬たちの計画は、大きく動き始めた。]
352: 4326| [45] [――宇喜多はＱのメンバーに連絡を取り、計画のあらましを語った。]
353: 4331| [45] [するとＱからは、即座に回答があった。]
354: 4336| [45] [『良い計画だ。我々もその計画に同意し、可能な限り支援する』]
355: 4341| [45] [その回答が来てからは、渡瀬と宇喜多は、市の内外にいるＱのメンバーたちと協力して、計画を進める事になった。]
356: 4346| [45] [まず火災を起こす方法については、次のような回答が来た。]
357: 4351| [45] [『我々が燃焼剤入りの時限爆弾を１００個用意する。それをラボ内に設置し、同時に爆発させろ』]
358: 4424| [47] [渡瀬]
359: 4427| [45] [「ありがたい事だ。問題は設置する方法についてだが……」]
360: 4453| [47] [宇喜多]
361: 4456| [45] [「難しいな。その辺に爆弾が落ちてたら、すぐ騒ぎになるだろう」]
362: 4464| [47] [渡瀬]
363: 4467| [45] [「では他の物に偽装して持ちこむのはどうだ？　一見爆弾だとわからないようなものに」]
364: 4475| [47] [渡瀬]
365: 4478| [45] [「例えば、そう……消火器とか」]
366: 4504| [47] [宇喜多]
367: 4507| [45] [「消火器？」]
368: 4561| [47] [渡瀬]
369: 4564| [45] [「うちの隊はラボの防災指導を行っている」]
370: 4572| [47] [渡瀬]
371: 4575| [45] [「で、２年に１度、古くなった消火器を一斉に入れ替える機会があるんだよ」]
372: 4583| [47] [渡瀬]
373: 4586| [45] [「その時に、爆弾を仕込んだ消火器と入れ替えれば――」]
374: 4594| [47] [宇喜多]
375: 4597| [45] [「なるほど！　あっという間にラボの全域に、爆弾を設置できるな！」]
376: 4630| [47] [宇喜多]
377: 4633| [45] [「しかも消火器なら、誰かが中身を覗きこんだりする心配もない！　偽装にはもってこいだ！」]
378: 4641| [47] [渡瀬]
379: 4644| [45] [「よし、じゃあこれでいこう」]
380: 4652| [47] [渡瀬]
381: 4655| [45] [「次の消火器入れ替えは、来年の９月だ。その日を境に、ラボは消火器の形をした爆弾だらけになるぜ」]
382: 4708| [45] [――他にもＱからは、様々な司令が来た。]
383: 4713| [45] [『我々の意向としては、鹿鳴市の悪事の象徴たるラボを、物理的に破壊したい』]
384: 4718| [45] [『そうしてこそ、我々の無念を、世に知らしめる事ができる』]
385: 4723| [45] [『ラボの建屋そのものを吹き飛ばす、強力な時限爆弾を用意するので、それを施設内に仕掛けてくれ』]
386: 4796| [47] [渡瀬]
387: 4799| [45] [「うーむ、『強力な時限爆弾』とやらを仕掛けるのは簡単だが……巻き込まれて死ぬ人が出るのは避けたいな」]
388: 4825| [47] [宇喜多]
389: 4828| [45] [「だが爆破する事には、大きなメリットもあるぞ」]
390: 4854| [47] [宇喜多]
391: 4857| [45] [「施設全体を吹き飛ばすほどの爆発を起こせば、外で待機しているラボの連中は、被験体も僕らも死んだものと思うだろう？」]
392: 4865| [47] [渡瀬]
393: 4868| [45] [「なるほど、追手の目を欺けるな……だが１つだけ重要な問題がある」]
394: 4876| [47] [渡瀬]
395: 4879| [45] [「確かＺｅｒｏエリアに降りるためには、幹部研究員２名を気絶させて連れて行かなきゃならないんだよな」]
396: 4887| [47] [渡瀬]
397: 4890| [45] [「この２人はどうしたって、ケースＮ発令後も施設内に残るハメになる。すると爆発に巻き込まれちまうぞ」]
398: 4916| [47] [宇喜多]
399: 4919| [45] [「そうだったな……」]
400: 4927| [47] [渡瀬]
401: 4930| [45] [「かといって脱出時に連れて行くのは、リスクが大きいのでやりたくない。タイトな脱出計画だからな」]
402: 4956| [47] [宇喜多]
403: 4959| [45] [「……よし、じゃあこうしよう」]
404: 4985| [47] [宇喜多]
405: 4988| [45] [「『強力な時限爆弾』の爆発時刻を、隔壁が開く１分後にするんだ」]
406: 4996| [47] [宇喜多]
407: 4999| [45] [「そうすればその２名も、ギリギリ逃げる事ができる」]
408: 5007| [47] [渡瀬]
409: 5010| [45] [「隔壁が開く時間を、前もって知る事ができるのか？」]
410: 5036| [47] [宇喜多]
411: 5039| [45] [「『ＢｒａｉｎＣｅｌｌ』のモニターには、隔壁開放予想時刻が表示されるんだ」]
412: 5047| [47] [宇喜多]
413: 5050| [45] [「それを確認し、爆弾の爆破時刻を、開放時刻の１分後にセットするんだよ」]
414: 5076| [47] [宇喜多]
415: 5079| [45] [「……正直、苦肉の策だが」]
416: 5087| [47] [渡瀬]
417: 5090| [45] [「それは仕方がないさ。『人を殺さず、テロを成し遂げる』なんて無茶な事をやろうとしてるんだ」]
418: 5116| [47] [宇喜多]
419: 5119| [45] [「しかし考えてしまうな……僕らは甘いのだろうか？」]
420: 5127| [47] [渡瀬]
421: 5130| [45] [「いや、正しいさ。人を殺してしまったら、俺たちもラボの連中と同じ、人間のクズに堕ちちまうからな」]
422: 5156| [47] [宇喜多]
423: 5159| [45] [「……あぁ、そうだな！」]
424: 5183| [45] [――夏彦はそのやりとりを聞いて、戦慄していた。]
425: 5188| [47] [夏彦]
426: 5189| [45] [（『ラボの建屋そのものを吹き飛ばす、強力な時限爆弾』だって！？）]
427: 5194| [47] [夏彦]
428: 5195| [45] [（そんなものがラボの中には、仕掛けられてるっていうのか！？）]
429: 5250| [45] [しかもそれは、隔壁が開く１分後に爆発すると言う。]
430: 5255| [47] [夏彦]
431: 5256| [45] [（渡瀬たち、なんて事を……！）]
432: 5273| [45] [その一方で、やや気になる事もある。]
433: 5278| [47] [夏彦]
434: 5279| [45] [（だけど……なんか妙だな。『人が死ぬのは避けたいな』って……）]
435: 5284| [47] [夏彦]
436: 5285| [45] [（おじさんの言う通り、テロリストにしては、ところどころ甘いような……）]
437: 5290| [47] [夏彦]
438: 5291| [45] [（コミュニケーターは『怪物』だけど、『人間』はなるべく殺したくないって思ってるのか？）]
439: 5296| [47] [夏彦]
440: 5297| [45] [（渡瀬にとって、コミュニケーターと人間ははっきり別種の存在なのか……？）]
441: 5302| [45] [やや奇妙に思ったが、夏彦は記憶を読み進めた。]
442: 5406| [45] [――かくして計画は大詰めを迎えていた。]
443: 5411| [45] [そしてＱから送られてきた、第３の指示は――]
444: 5416| [45] [『決行者が２人だけでは心もとない。我々としては、あと２名ほど増やしたい』]
