  0:   53| [45] [――それは渡瀬が、あの廃病院跡で――]
 50: 1068| [47] [宇喜多]
 51: 1071| [45] [「２０１４年２月、Ａの故郷フランスで起きたある事件について、地元のゴシップ誌が取り上げた記事だ」]
 52: 1079| [47] [宇喜多]
 53: 1082| [45] [「当時かの国ではコミュニケーターへの差別が激しく、特に強力な能力を持つＡは、周囲の人々にひどく疎まれていたらしい」]
 54: 1090| [47] [宇喜多]
 55: 1093| [45] [「特に激しい拒否反応を見せたのが、地元の新興宗教団体――」]
 56: 1101| [47] [宇喜多]
 57: 1104| [45] [「彼らにとって、理解不能の能力を持つＡは、悪魔の手先にでも見えたのだろう」]
 58: 1112| [47] [宇喜多]
 59: 1115| [45] [「そして起きたのがこの事件だ。Ａの家が焼き討ちにあったんだよ」]
 60: 1124| [47] [渡瀬]
 61: 1127| [45] [「……ひどいな」]
 62: 1136| [47] [宇喜多]
 63: 1139| [45] [「あぁ。だが本当にひどいのはここからだ」]
 64: 1147| [47] [宇喜多]
 65: 1150| [45] [「これは僕の推察だが……Ａは超心研に入った後、恐らくそこで……」]
 66: 1158| [47] [宇喜多]
 67: 1161| [45] [「幽閉され、人体実験の被験体にされた」]
 68: 1169| [47] [渡瀬]
 69: 1172| [45] [「なに！？」]
 70: 1180| [47] [宇喜多]
 71: 1183| [45] [「当時の超心研の業績を見るに、その可能性が高いんだよ」]
 72: 1191| [47] [宇喜多]
 73: 1194| [45] [「迫害から逃げて辿り着いた日本で、さらなる受難に遭い……Ａの中の悪意は、さらに増幅された」]
 74: 1202| [47] [宇喜多]
 75: 1205| [45] [「にも関わらず、超心研はＡの能力をさらに開発したんだ……その危険性も認識せずにね」]
 76: 1213| [47] [渡瀬]
 77: 1216| [45] [「何が危険だって言うんだ？」]
 78: 1224| [47] [宇喜多]
 79: 1227| [45] [「知らないのかね？　ＢＣ――テレパシーは、ただ遠くの人間に声を届ける能力じゃない」]
 80: 1235| [47] [宇喜多]
 81: 1238| [45] [「『感情をも他人に伝える事ができる』んだ」]
 82: 1246| [47] [宇喜多]
 83: 1249| [45] [「つまり強力なＢＣは、他人の思考をも変えかねないという事だよ」]
 84: 1257| [47] [宇喜多]
 85: 1260| [45] [「悪意の塊となった彼女の思考が、周囲に無差別に垂れ流されたらどうなる？」]
 86: 1268| [47] [宇喜多]
 87: 1271| [45] [「その思考に反応し、人々の心の中の『悪意』が刺激される」]
 88: 1279| [47] [宇喜多]
 89: 1282| [45] [「まるでウィルスのように、彼女が抱えた悪意が、周囲のあらゆる人に伝染していくんだ」]
 90: 1290| [47] [宇喜多]
 91: 1293| [45] [「……これがどれだけ危険な事であるか、君にもわかるだろう？」]
 92: 1316| [47] [渡瀬]
 93: 1319| [45] [「……！」]
 94: 1324| [45] [渡瀬は言葉を失っていた。]
 95: 1329| [45] [ただ無言で、男の声に耳を傾ける。]
 96: 1337| [47] [宇喜多]
 97: 1340| [45] [「……だが、悪いのはＡではない。何も考えず、彼女の能力を開発してしまった超心研に多大な非がある」]
 98: 1348| [47] [宇喜多]
 99: 1351| [45] [「超心研の研究者たちは、ただの哀れな女性を、怪物に育て上げてしまったんだ」]
100: 1359| [47] [宇喜多]
101: 1362| [45] [「遅まきながらＡの危険性に気が付いた研究者たちは、彼女が街の外に出ないよう監視していたが――」]
102: 1370| [47] [宇喜多]
103: 1373| [45] [「２０１４年９月１６日、Ａは施設から脱走した」]
104: 1381| [47] [渡瀬]
105: 1384| [45] [「脱走って……そんな事したら……！」]
106: 1517| [47] [宇喜多]
107: 1520| [45] [「そう、あの夜Ａの悪意に満ちた思考は、街中に垂れ流されんだ」]
108: 1528| [47] [宇喜多]
109: 1531| [45] [「そして街に住む人々の心にも、何らかの影響を与えた」]
110: 1539| [47] [宇喜多]
111: 1542| [45] [「とりわけ悪意を多く抱えた、犯罪者予備軍と呼べる人々は、悪意を爆発的に増幅され――」]
112: 1674| [47] [宇喜多]
113: 1677| [45] [「街に、火を放った」]
114: 1685| [47] [宇喜多]
115: 1688| [45] [「これが『鹿鳴市同時多発火災』の真相だ」]
116: 1693| [45] [男ははっきりと言い切った。]
117: 1732| [47] [渡瀬]
118: 1733| [45] [（……そんな……！？）]
119: 1738| [47] [渡瀬]
120: 1739| [45] [（鹿鳴市が、超心研が、そんな事をしていたなんて……！）]
121: 1773| [45] [――その記憶を見終えた夏彦は、息を呑んだ。]
122: 1828| [47] [夏彦]
123: 1829| [45] [（鹿鳴市同時多発火災の原因は、やっぱりコミュニケーターＡに違いはなかったけど……）]
124: 1834| [47] [夏彦]
125: 1835| [45] [（彼女は『最悪の犯罪者』なんかじゃなかったのか！）]
126: 1887| [47] [夏彦]
127: 1888| [45] [（Ａが悪意の塊になったのは、人々の迫害と、超心研のせい！？）]
128: 1940| [47] [夏彦]
129: 1941| [45] [（いや、超心研の運営母体、鹿鳴市の仕業でもあるのか……！）]
130: 1958| [45] [だとしたら渡瀬の憎悪は、コミュニケーターＡよりむしろ、超心研や鹿鳴市に向けられるべきだ。]
131: 1963| [47] [夏彦]
132: 1964| [45] [（……この修復をした事で、渡瀬のぼくらに対する憎悪が、少しでも減ればいいけど……）]
133: 1969| [45] [夏彦はそう思いつつ、その記憶を離れた……。]
134: 1996| [45] [――この記憶の修復は、終了していた。]
135: 2002| [45] [夏彦は安堵し、その記憶を離れた……。]
136: 2032| [47] [宇喜多]
137: 2035| [45] [「……Ａが強力なコミュニケーターであると同時に、最悪の犯罪者だったという事だ」]
138: 2040| [45] [男がそう言うと、ＰＤＡの画面が切り替わった。]
139: 2118| [45] [それは外国語で書かれた、雑誌か何かの記事のようだった。]
140: 2126| [47] [渡瀬]
141: 2129| [45] [「……これは？」]
142: 2137| [47] [宇喜多]
143: 2140| [45] [「２０１４年２月、Ａの故郷フランスで起きたある事件について、地元のゴシップ誌が取り上げた記事だ」]
144: 2148| [47] [宇喜多]
145: 2151| [45] [「強力な能力を持つＡは、周囲の人々に疎まれていた」]
146: 2159| [47] [宇喜多]
147: 2162| [45] [「そしてＡは、自分を疎む者を皆殺しにするため……街に火を放ったんだよ」]
148: 2170| [47] [宇喜多]
149: 2173| [45] [「……つまりＡは、ふとした事で街の人々を皆殺しにしようとする、悪意の塊のような女だったんだ」]
150: 2181| [47] [宇喜多]
151: 2184| [45] [「彼女はフランス当局に追われたが、捕まる前に日本に逃げ、超心研に匿われた」]
152: 2192| [47] [宇喜多]
153: 2195| [45] [「それを幸いに、超心研は彼女のＢＣ能力を開発してしまった……その真の危険性も認識せずにね」]
154: 2203| [47] [渡瀬]
155: 2206| [45] [「何が危険だって言うんだ？」]
156: 2214| [47] [宇喜多]
157: 2217| [45] [「知らないのかね？　ＢＣ――テレパシーは、ただ遠くの人間に声を届ける能力じゃない」]
158: 2225| [47] [宇喜多]
159: 2228| [45] [「『感情をも他人に伝える事ができる』んだ」]
160: 2236| [47] [宇喜多]
161: 2239| [45] [「つまり強力なＢＣは、他人の思考をも変えかねないという事だよ」]
162: 2247| [47] [渡瀬]
163: 2250| [45] [「あっ……！」]
164: 2258| [47] [宇喜多]
165: 2261| [45] [「悪意に満ちた彼女の思考が、周囲に無差別に垂れ流されたらどうなる？」]
166: 2269| [47] [宇喜多]
167: 2272| [45] [「その思考に反応し、人々の心の中の『悪意』が刺激される」]
168: 2280| [47] [宇喜多]
169: 2283| [45] [「まるでウィルスのように、彼女が抱えた悪意が、周囲のあらゆる人に伝染していくんだ」]
170: 2291| [47] [宇喜多]
171: 2294| [45] [「……これがどれだけ危険な事であるか、君にもわかるだろう？」]
172: 2317| [47] [渡瀬]
173: 2320| [45] [「……！」]
174: 2325| [45] [渡瀬は言葉を失っていた。]
175: 2330| [45] [ただ無言で、男の声に耳を傾ける。]
176: 2338| [47] [宇喜多]
177: 2341| [45] [「超心研の研究者たちは、ただの犯罪者を、正真正銘の怪物に育て上げてしまったんだ」]
178: 2349| [47] [宇喜多]
179: 2352| [45] [「遅まきながらＡの危険性に気が付いた研究者たちは、彼女が街の外に出ないよう監視していたが――」]
180: 2360| [47] [宇喜多]
181: 2363| [45] [「２０１４年９月１６日、Ａは施設から脱走した」]
182: 2371| [47] [渡瀬]
183: 2374| [45] [「脱走って……そんな事したら……！」]
184: 2507| [47] [宇喜多]
185: 2510| [45] [「そう、あの夜、Ａの悪意に満ちた思考は、街中に垂れ流されんだ」]
186: 2518| [47] [宇喜多]
187: 2521| [45] [「そして街に住む人々の心にも、何らかの影響を与えた」]
188: 2529| [47] [宇喜多]
189: 2532| [45] [「とりわけ悪意を多く抱えた、犯罪者予備軍と呼べる人々は、悪意を爆発的に増幅され――」]
190: 2664| [47] [宇喜多]
191: 2667| [45] [「街に、火を放った」]
192: 2675| [47] [宇喜多]
193: 2678| [45] [「これが『鹿鳴市同時多発火災』の真相だ」]
194: 2683| [45] [男ははっきりと言い切った。]
195: 2722| [47] [渡瀬]
196: 2723| [45] [（……そんな……！？）]
197: 2728| [47] [渡瀬]
198: 2729| [45] [（たった１人の女が、あの事件の引き金になったっていうのか……！？）]
199: 2777| [45] [――その記憶は、以前見たものと、何も変わっていなかった。]
200: 2782| [47] [夏彦]
201: 2783| [45] [（修復に失敗したのか……）]
202: 2788| [47] [夏彦]
203: 2789| [45] [（もっとコミュニケーターに対する好意を、強力に与えなければダメなのか？）]
204: 2794| [47] [夏彦]
205: 2795| [45] [（渡瀬がコミュニケーターだと思っている人に対して、最大限の好意を……）]
206: 2800| [45] [夏彦はそう思いつつ、ひとまずその記憶を離れた……。]
