  0:   53| [45] [――そして、運命の日がやってきた。]
142: 1858| [45] [「悠里ちゃん、悪いけどここに隠れていて！」]
143: 1866| [47] [美夜子]
144: 1869| [45] [「ここは少々の爆発や火災にも耐えられるように設計されている！　絶対安全だから！」]
145: 1877| [47] [悠里]
146: 1880| [45] [「は、はい！」]
147: 1906| [47] [美夜子]
148: 1909| [45] [「私はなにが起きているのか調べてくるわ！　夏彦の事もあるし――」]
149: 1917| [47] [美夜子]
150: 1920| [45] [「いい？　おとなしく待っているのよ！？」]
151: 1928| [47] [悠里]
152: 1931| [45] [「わかりました、気をつけて！」]
153: 1971| [45] [博士はうなずき、シェルターを出ていった。]
154: 1982| [45] [――悠里はそこに取り残された。]
155: 1987| [45] [爆発音はなおも続いている。]
156: 1992| [47] [悠里]
157: 1993| [45] [（ひこりんが来てるって……どうして、よりによってこんな時に……！）]
158: 1998| [45] [夏彦たちの事が心配だったが、ここから出るわけにもいかない。]
159: 2003| [47] [悠里]
160: 2004| [45] [（せめて、安否が確認できれば……）]
161: 2009| [45] [その方法について考えているうち――悠里は閃いた。]
162: 2014| [47] [悠里]
163: 2015| [45] [（そうか、ＢＣで！）]
164: 2022| [45] [センシズシンパシーを使えば、夏彦の様子を確かめる事ができる。]
165: 2027| [45] [しかも今は避難モードにより、ＢＣ絶縁体が施されたセキュリティゲートは開放されている。]
166: 2032| [45] [ならば離れたエリアにいてもＢＣが使えるはずだ。]
167: 2096| [45] [悠里は精神を集中し――夏彦にセンシズシンパシーを試みた。]
168: 2272| [45] [だが夏彦と感覚が同調した瞬間、激しい頭痛が走った。]
169: 2280| [47] [夏彦]
170: 2283| [45] [「くっ！」]
171: 2288| [47] [悠里]
172: 2289| [45] [（ッ！）]
173: 2294| [45] [夏彦が感じた痛みを、悠里も感じていた。]
174: 2299| [45] [傍らの娘たちが、心配げに覗き込む。]
175: 2325| [47] [サリュ]
176: 2328| [45] [「夏彦、また頭痛！？」]
177: 2336| [47] [夏彦]
178: 2339| [45] [「ぎ……ぐ、ぅうぅううッ……！」]
179: 2365| [47] [ましろ]
180: 2368| [45] [「大丈夫夏彦！？　しっかりして！」]
181: 2402| [47] [夏彦]
182: 2405| [45] [「……ッ」]
183: 2410| [47] [悠里]
184: 2411| [45] [（こ、この頭痛は……！）]
185: 2416| [45] [悠里はその頭痛の正体を知っていた。]
186: 2421| [45] [夏彦の精神が崩壊しかける時に、いつも発生する痛み――！]
187: 2487| [45] [そう思った時、すぐ近くで爆発音が聞こえた。]
188: 2492| [47] [悠里]
189: 2493| [45] [（！？）]
190: 2585| [45] [とっさに夏彦がましろたちを庇う。]
191: 2672| [45] [一瞬遅れて熱風が吹きぬけ、夏彦たちは弾き飛ばされた。]
192: 2806| [47] [夏彦]
193: 2809| [45] [「くッ……！」]
194: 2817| [47] [夏彦]
195: 2820| [45] [「だ、大丈夫か２人とも！？」]
196: 2825| [45] [折り重なるように倒れた夏彦たちは、よろよろと身を起こす。]
197: 2859| [47] [サリュ]
198: 2862| [45] [「……う、ん……」]
199: 2896| [47] [ましろ]
200: 2899| [45] [「だ、大丈夫……！」]
201: 2904| [45] [２人はうめいたが、どうやら怪我はないようだ。]
202: 2909| [47] [悠里]
203: 2910| [45] [（よかった……！）]
204: 2964| [45] [そう思う悠里をよそに、夏彦たちは出口を探して駆け出した。]
205: 3018| [45] [夏彦たちの目的はわからない。]
206: 3023| [45] [だが悠里の望みは、ただ１つだった。]
207: 3028| [47] [悠里]
208: 3029| [45] [（一刻も早くひこりんたちに、ここから逃げてもらわなきゃ……！）]
209: 3093| [45] [悠里はさらに精神を集中し、テレパシーを放った。]
210: 3182| [45] [――聴覚だけではなく、視覚にまで働きかける、強力なテレパシーを――！]
211: 3400| [47] [夏彦]
212: 3403| [45] [「えっ……！」]
213: 3411| [47] [夏彦]
214: 3414| [45] [「――悠里！？」]
215: 3419| [45] [夏彦は絶句し、立ち止まった。]
216: 3424| [45] [その目には間違いなく、悠里の姿が見えているようだ。]
217: 3451| [47] [悠里]
218: 3454| [45] [《……ひこりん……》]
219: 3462| [47] [悠里]
220: 3465| [45] [《どうして来てしまったの……！？》]
221: 3473| [47] [夏彦]
222: 3476| [45] [「悠里こそ、どうしてここに！？」]
223: 3484| [47] [夏彦]
224: 3487| [45] [「家から出られたのか！？」]
225: 3492| [45] [会話は問題なく成立していた。その事に安堵し、同時に思う。]
226: 3497| [47] [悠里]
227: 3498| [45] [（まず、ひこりんがラボに来た理由を探って――それに応じて、帰ってもらう方法を考えよう！）]
228: 3601| [45] [悠里は即座に、夏彦の記憶を覗き込んだ。]
229: 3941| [45] [夏彦が体験した、ここ数日の記憶が見える。]
230: 4279| [45] [交通事故の現場に出くわした事。サリュと出会った事。]
231: 4618| [45] [ましろからテロの話を聞き、それを阻止するために、ラボにやってきた事――。]
232: 4995| [45] [しかし夏彦たちはあと一歩間に合わず、テロが発生してしまったのだ。]
233: 5000| [45] [その時間に壊れて止まった時計が、ひどく印象に残った。]
234: 5121| [45] [――経緯の全てを把握した悠里は、感嘆と驚きとが混じった声で呟く。]
235: 5129| [47] [悠里]
236: 5132| [45] [「そういう事だったの……」]
237: 5137| [45] [その言葉はＢＣにより、夏彦にも伝わった。]
238: 5184| [47] [悠里]
239: 5185| [45] [（どうしよう……！）]
240: 5190| [45] [全てを理解した上で、悠里は迷っていた。]
241: 5195| [45] [まずすべき事は、夏彦たちをここから無事に逃がす事だろう。]
242: 5200| [45] [だが、それと同じくらい重要な事がある。]
243: 5205| [47] [悠里]
244: 5206| [45] [（ひこりんが記憶を、取り戻そうとしてる！）]
245: 5211| [45] [先ほどから夏彦は、度重なる記憶の混乱にさいなまれていた。]
246: 5216| [45] [博士の言っていた『真実を知る準備』など皆無のままで。]
247: 5221| [45] [だがこの状況下でパニック障害や自失状態に陥ったら、夏彦は確実に命を落とすだろう。]
248: 5226| [45] [つい先ほどにも、爆発に巻き込まれかけていたのだ。]
249: 5231| [47] [悠里]
250: 5232| [45] [（もしかすると、ましろんたちまで巻き添えになっちゃう……！？）]
251: 5336| [45] [そしてここから無事に脱出できたとしても、夏彦はいずれ９年前の記憶を取り戻す。]
252: 5341| [45] [記憶が戻ったら夏彦は、再び精神が崩壊する。]
253: 5346| [45] [全てにおいて逼迫したこの状況下で――悠里がとるべき手段は、ただ１つだった。]
254: 5351| [47] [悠里]
255: 5352| [45] [（だったら、わたしが今から……）]
256: 5357| [47] [悠里]
257: 5358| [45] [（ひこりんの記憶を操作して、真実に耐えられる強さを……！）]
258: 5363| [45] [どのくらい時間が残されているかはわからない。]
259: 5368| [45] [しかも夏彦たちを脱出口に導きながら、それをやらなければならない。]
260: 5373| [45] [だが、道はそれしかないのだ。]
261: 5427| [47] [悠里]
262: 5428| [45] [（今のひこりんには、支えてくれる人がいる）]
263: 5494| [47] [悠里]
264: 5495| [45] [（ましろんと優衣ちゃんがいれば、きっとひこりんは真実に耐えられる！）]
265: 5500| [45] [真実を受け入れさせ、自分の呪縛を解くために――]
266: 5592| [47] [悠里]
267: 5595| [45] [「わたしはひこりんの時間を、何度でも巻き戻すよ……！」]
