  0:   64| [45] [――ラボへの潜入捜査を、翌日に控えた日曜日――]
 39:  402| [45] [「『あなたがたは、白く塗った墓に似ている』」]
 40:  407| [47] [黒田]
 41:  410| [45] [「『外側は美しく見えるが、内側は死者の骨や、あらゆる穢れに満ちているのだ』ってヤツだよ」]
 42:  415| [47] [恵那]
 43:  418| [45] [「なんですか、それは？」]
 44:  423| [47] [黒田]
 45:  426| [45] [「『マタイによる福音』だよ。昔の人はいい事言うね」]
 46:  431| [47] [恵那]
 47:  434| [45] [「クリスチャンだったとは存じませんでした。……似合いませんね」]
 48:  439| [47] [黒田]
 49:  442| [45] [「人は見かけによらないってこった。人だけじゃない、なんだってそうさ」]
 50:  447| [47] [黒田]
 51:  450| [45] [「故にだ、椿山。この街の本質を見極めたかったら、見聞きするもの全てを疑ってかかれ」]
 52:  455| [47] [恵那]
 53:  458| [45] [「っ……」]
 54:  463| [47] [黒田]
 55:  466| [45] [「調査の基本は『疑うこと』なんだ。悲しい事にな」]
 56:  524| [45] [その言葉の意味は、２年半もこの仕事をしていれば、自然と理解できた。]
 57:  529| [45] [もっとも恵那の父親は生前、黒田とは逆の意見を言っていた。]
 58:  534| [45] [『人間にとって一番大切なのは、信じる心なんだ』と。]
 59:  539| [45] [そして父は最後まで、その信念を貫いた。]
 60:  544| [45] [人間の善性を信じ、超科局の研究員たちを信じ、怪物と化したコミュニケーターＡでさえも、いつか治ると信じ……そして死んだ。]
 61:  549| [47] [恵那]
 62:  550| [45] [（でも、お父さん……今はもう、信じるだけでは、まっとうに生き抜く事さえできない時代なのかもしれないわ）]
 63:  555| [45] [――鹿鳴市の外では、今なおコミュニケーターへの差別は絶えていない。]
 64:  560| [45] [一方で鹿鳴市の中では、人権を無視した事が平然と行われている。]
 65:  565| [45] [この街はコミュニケーターにとって、ゆりかごであると同時に牢獄でもあるのだ。]
 66:  570| [45] [だが人はゆりかごの中で一生を終える事はできないし、牢獄で死ぬために生まれるわけでもない。]
 67:  575| [47] [恵那]
 68:  576| [45] [（こんな悪意に満ちた時代も、いつかは終わる日が来るのかしら……）]
 69:  581| [45] [いや、終わると信じたい。]
 70:  586| [45] [たとえ理想論に過ぎないとしても、理想すら捨てたら、この世界を本当に愛せなくなってしまう。]
 71:  591| [45] [恵那がそう思った時――不意に、恵那の頭の中で声が響いた。]
 72:  649| [85] [《先生、緊急事態です！》]
 73:  650| [86] [？？]
 74:  651| [86] [《先生、緊急事態です！》]
 75:  668| [85] [《こちらは鳥羽ましろです！]
 76:  670| [85] [　学校内にいたら、通用口のところまで来てください！》]
 77:  671| [86] [ましろ]
 78:  672| [86] [《こちらは鳥羽ましろです！　学校内にいたら、通用口のところまで来てください！》]
 79:  715| [47] [恵那]
 80:  718| [45] [「え……鳥羽さん！？」]
 81:  754| [45] [生徒たちは誰もいないと思っていたので、恵那は驚いた。]
 82:  759| [47] [恵那]
 83:  760| [45] [（なにかしら、緊急事態って……）]
 84:  765| [45] [恵那は訝しく思いつつも、通用口に向かった。]
 85:  809| [45] [――通用口にはましろと、それから夏彦とサリュがいた。]
 86:  814| [45] [ＢＣルームに移動して詳しい話を聞くと、彼女たちは恵那に意外な事を言った。]
 87:  819| [45] [『この街に、Ｑの連中が侵入している』]
 88:  824| [45] [『そして夏彦たちも、それに少しばかり巻き込まれている』と……。]
 89:  934| [47] [恵那]
 90:  937| [45] [「……そう、そんな事が……」]
 91:  945| [47] [ましろ]
 92:  948| [45] [「先生、信じてくれますか！？」]
 93:  953| [47] [恵那]
 94:  956| [45] [「ええ。生徒の言う事ですもの、信じるわよ」]
 95:  961| [45] [信じないわけがなかった。]
 96:  966| [45] [近頃市内で、Ｑによる破壊活動が行われている事は、恵那もすでに耳にしている。]
 97:  971| [45] [比嘉も以前、言っていた。]
 98: 1025| [47] [比嘉]
 99: 1028| [45] [「――政令指定機密都市で、Ｑがテロを起こした例はほとんどないが……」]
100: 1033| [47] [比嘉]
101: 1036| [45] [「結成直後から、奴らが機密都市を狙い続けてきたのは確かだ」]
102: 1041| [47] [比嘉]
103: 1044| [45] [「そして９年前の春にこの鹿鳴市で、１度だけ小規模な破壊活動を行った」]
104: 1049| [47] [比嘉]
105: 1052| [45] [「それからこの市のセキュリティは跳ね上がり、都市ゲートや監視カメラの設置も行われたんだ」]
106: 1100| [45] [それでもＱの連中は、再びこの街にやってきたらしい。]
107: 1105| [45] [ただコミュニケーターを憎む一心で。]
108: 1110| [45] [ラボの禍々しさともまた違う、もう１つの悪意の形がそこにあった。]
109: 1115| [47] [恵那]
110: 1116| [45] [（私の生徒たちが、そんなものに巻き込まれるなんて……！）]
111: 1121| [47] [恵那]
112: 1124| [45] [「……あなたたちはこの事件に関わるべきじゃないと思うわ」]
113: 1180| [47] [夏彦]
114: 1183| [45] [「そんな……！　なんでですか！？」]
115: 1188| [45] [夏彦たちは、恵那の言葉を受け入れはしなかった。]
116: 1193| [45] [何も知らないが故に湧き出してくる、純粋な正義感に従っているのだろう。]
117: 1198| [45] [それが眩しく見えると共に、ひどく彼らが心配になった。]
118: 1203| [47] [恵那]
119: 1206| [45] [「……そうね、それじゃ納得してもらうためにも……特別授業をしてあげましょうか」]
120: 1211| [45] [そして恵那は語り始めた。]
121: 1216| [45] [夏彦たちに贈る、最後の授業を――]
