  0:  134| [55] [√After Chapter5]
156: 1631| [45] [そこまで考えが至ったところで、渡瀬ははっと我に返った。]
157: 1639| [47] [渡瀬]
158: 1642| [45] [「いや、しかし……そんな事は考えたくない」]
159: 1668| [47] [恵那]
160: 1671| [45] [「え？」]
161: 1679| [47] [渡瀬]
162: 1682| [45] [「おっさんが事故発生当時に何かを企み、不審な動きをしていたとしても――」]
163: 1690| [47] [渡瀬]
164: 1693| [45] [「オレが彼を拘束するために、第３エリアに閉じ込めたなんて、そんな事はレスキュー隊の仕事じゃないだろう」]
165: 1701| [47] [恵那]
166: 1704| [45] [「……レスキュー隊の仕事じゃないって？」]
167: 1712| [47] [渡瀬]
168: 1715| [45] [「そうさ。レスキューってのは、人の命を救うのが仕事だ」]
169: 1723| [47] [渡瀬]
170: 1726| [45] [「火災が起きてる施設内に、意図的に人を閉じ込めるなんて、そんな事はあっちゃいけない」]
171: 1734| [47] [渡瀬]
172: 1737| [45] [「記憶を失っていても、それくらいはわかってる」]
173: 1763| [47] [恵那]
174: 1766| [45] [「……っ」]
175: 1776| [55] [√After Chapter5]
176: 1782| [45] [恵那はしばらくまじまじと、渡瀬の顔を見た後――呆れたようにため息をついた。]
177: 1808| [47] [恵那]
178: 1811| [45] [「……隊長さん、お人良し過ぎるわよ」]
179: 1819| [47] [渡瀬]
180: 1822| [45] [「ふん、なんとでも言えばいいさ」]
181: 1830| [47] [渡瀬]
182: 1833| [45] [「だが仮にだ、おっさんが何かを企んでいたとしても、オレはおっさんがピンチになったら助けるぜ」]
183: 1859| [47] [恵那]
184: 1862| [45] [「……シンプルね。それがあなたのレスキュー精神ってわけ？」]
185: 1870| [47] [渡瀬]
186: 1873| [45] [「あぁ。先生には悪いが、人を疑うよりこっちの方が性分に合ってそうだ」]
187: 1881| [47] [渡瀬]
188: 1884| [45] [「先生もそろそろ、他人を疑うのをやめた方がいいんじゃないか？」]
189: 1892| [47] [渡瀬]
190: 1895| [45] [「このひどい状況下で何よりも大切なのは、チームワークだと……オレは思うぞ」]
191: 1900| [45] [渡瀬がためらいがちに言うと、恵那は一瞬黙り込んだが――すぐに諦めたように言った。]
192: 1926| [47] [恵那]
193: 1929| [45] [「……わかったわよ。ごめんなさい、ちょっと疑心暗鬼になりすぎてたみたい」]
194: 1937| [47] [渡瀬]
195: 1940| [45] [「よし、それじゃ考えが改まったところで……」]
196: 1948| [47] [渡瀬]
197: 1951| [45] [「このまま分断されっぱなしじゃまずい。おっさんを追いかけよう」]
198: 1977| [47] [恵那]
199: 1980| [45] [「もう動けるの？」]
200: 1988| [47] [渡瀬]
201: 1991| [45] [「大丈夫、もう回復した。行こうぜ先生」]
202: 2017| [47] [恵那]
203: 2020| [45] [「えぇ……っていうか本当にタフね、あなた」]
204: 2025| [45] [渡瀬たちはそう言いながら、宇喜多が向かったという第１エリア方面に走った。]
205: 2168| [45] [だが第１エリアに行き、そこを一巡りしても、宇喜多の姿はなかった。]
206: 2230| [47] [恵那]
207: 2233| [45] [「宇喜多さんは、もう第２エリアに行ったみたいね……」]
208: 2241| [47] [恵那]
209: 2244| [45] [「時間がもったいないわ。私たちも先に進みましょう」]
210: 2259| [47] [渡瀬]
211: 2262| [45] [「そうだな」]
212: 2267| [45] [恵那の意見に渡瀬は頷き、第２エリアに向かった。]
213: 2276| [45] [恵那のその意見を、渡瀬は退けた。]
214: 2284| [47] [渡瀬]
215: 2287| [45] [「いや、一応オレたちも軽く、このエリアの捜索をしておこう」]
216: 2313| [47] [恵那]
217: 2316| [45] [「え？　宇喜多さんがここにいないという事は、捜索は終わってるって事でしょう？」]
218: 2324| [47] [渡瀬]
219: 2327| [45] [「見落としがあるかもしれないじゃないか」]
220: 2353| [47] [恵那]
221: 2356| [45] [「……まぁ、あなたがそういうなら別にいいけど……」]
222: 2399| [45] [渋々承諾する恵那と共に、渡瀬は第１エリアの捜索を行う。]
223: 2404| [45] [しかし地下１階と２階をくまなく巡っても、何も見つからなかった。]
224: 2472| [47] [恵那]
225: 2475| [45] [「……ねぇ、やっぱり早く先に進みましょうよ。ここにはもう何もないわ」]
226: 2483| [47] [渡瀬]
227: 2486| [45] [「うーむ……確かにそうみたいだな」]
228: 2491| [45] [渡瀬もようやくそれを理解し、第２エリアに向かった。]
