  0:   64| [45] [――その夜、夏彦は鹿鳴市立病院からラボに移送されてきた。]
 67:  987| [45] [するとすぐに、その情景は霞み――……。]
 68: 1076| [47] [夏彦]
 69: 1079| [45] [「おまえ、『ことの―――』だろ？」]
 70: 1132| [47] [夏彦]
 71: 1135| [45] [「――え、『――――――』だ――」]
 72: 1146| [47] [夏彦]
 73: 1147| [45] [「―――、『――――――』―――」]
 74: 1222| [47] [夏彦]
 75: 1223| [45] [「―――――――――――――――」]
 76: 1285| [45] [消えた。]
 77: 1356| [47] [夏彦]
 78: 1359| [45] [《ッ！！》]
 79: 1364| [45] [すると同時に、夏彦の悲鳴のようなものが響いた。]
 80: 1369| [45] [自失状態であっても、記憶消去によるダメージを感じているのだろう。]
 81: 1374| [47] [悠里]
 82: 1375| [45] [（ごめんねひこりん、ごめんね……！）]
 83: 1486| [45] [悠里は心を鬼にして、次の記憶に意識を移す。]
 84: 1491| [45] [するとまた別の情景が浮かんできた。]
 85: 1634| [47] [夏彦]
 86: 1637| [45] [「悠里はおおきくなったら、なにになるの？」]
 87: 1642| [45] [それは２人が出会ってから、大分経った頃の記憶だった。]
 88: 1647| [45] [『あぁ、こんな事もあったな』と悠里は思い出す。]
 89: 1673| [47] [悠里]
 90: 1676| [45] [「おおきくなったら？」]
 91: 1684| [47] [夏彦]
 92: 1687| [45] [「ぼくはいろいろなりたいものがあって、まよってるんだけどさ」]
 93: 1713| [47] [悠里]
 94: 1716| [45] [「うーん、わたしはね……」]
 95: 1742| [47] [悠里]
 96: 1745| [45] [「ひこりんのおよめさんになりたいな」]
 97: 1768| [47] [夏彦]
 98: 1771| [45] [「なっ……」]
 99: 1798| [47] [悠里]
100: 1801| [45] [「だめ？　ひこりん、わたしのこときらい？」]
101: 1809| [47] [夏彦]
102: 1812| [45] [「き、きらいじゃないよ……だけど……」]
103: 1817| [45] [それは他愛もない、幼子だけが交わせる会話だった。]
104: 1839| [47] [悠里]
105: 1840| [45] [（あはは、ひこりんてれてたんだね。かわいーなぁ）]
106: 1845| [45] [悠里もなんだか照れてしまう。]
107: 1850| [45] [だけどこの記憶も、あってはならないものだ。]
108: 1855| [45] [悠里はそれが消えることを願う。]
109: 2075| [45] [すると夏彦の脳内から、また１つ悠里の記憶が消滅した。]
110: 2123| [47] [悠里]
111: 2124| [45] [（よし、これでふたつめ……）]
112: 2129| [45] [順調にその作業は進んでいた。]
113: 2134| [45] [なのに悠里の胸は、ひどく痛む。]
114: 2154| [47] [悠里]
115: 2155| [45] [（……っ）]
116: 2160| [45] [記憶を１つ消すたびに、自分の心に風穴が開くように感じられた。]
117: 2165| [45] [削除されたのは、自分の記憶ではないのに。]
118: 2170| [47] [悠里]
119: 2171| [45] [（まだまだあるんだから……がんばらなきゃ……）]
120: 2285| [45] [悠里は自分を奮い立たせ、作業を続ける。]
121: 2429| [47] [夏彦]
122: 2432| [45] [「いやー、おもしろかったね！」]
123: 2440| [47] [悠里]
124: 2443| [45] [「うん、さいごまでよんじゃったね！」]
125: 2798| [47] [悠里]
126: 2801| [45] [「このしゃしん、夏彦くんのおかあさん？」]
127: 2809| [47] [夏彦]
128: 2812| [45] [「え、あ、うん」]
129: 3152| [47] [悠里]
130: 3155| [45] [「わたしね、コミュニケーターでよかったとおもうことが、ひとつあるよ」]
131: 3163| [47] [夏彦]
132: 3166| [45] [「え？」]
133: 3213| [47] [悠里]
134: 3216| [45] [「それはね、夏彦くんにあえたこと」]
135: 3224| [47] [悠里]
136: 3227| [45] [「コミュニケーターじゃなかったら、このまちにひっこしてこられなかったもんね」]
137: 3597| [45] [――次々に浮かぶ情景を、次々に消していく。]
138: 3602| [45] [何度も何度も、夏彦の中にいる自分を殺していく。]
139: 3607| [45] [その数だけ、夏彦は激痛に苦しみ――]
140: 3612| [45] [悠里の胸の痛みも、少しずつ増していく。]
141: 3617| [45] [それでもやがて、ほとんどの記憶が消えていった。]
142: 3622| [45] [ほんの数ヶ月前、２人でラボにやってきた時の記憶も消した。]
143: 3627| [47] [悠里]
144: 3628| [45] [（のこりはあと１つだけ……）]
145: 3633| [47] [悠里]
146: 3634| [45] [（あと１つで、ひこりんのこころから、わたしは消える……）]
147: 3746| [45] [悠里は胸の痛みに耐え、彼の記憶を覗き込んだ。]
148: 3882| [47] [悠里]
149: 3883| [45] [（――っ……）]
150: 3888| [45] [だがその情景を見た時、悠里は息を呑んだ。]
151: 3893| [45] [目の前に広がったのは、満天の星空。]
152: 3898| [45] [懐かしい夏の夜、２人で見た天の川。]
153: 3922| [47] [悠里]
154: 3925| [45] [「……星、きれいだね」]
155: 3933| [47] [夏彦]
156: 3936| [45] [「……うん」]
157: 3941| [45] [悠里の言葉に、夏彦が答える。]
158: 3946| [45] [悠里のそばには夏彦がいた。彼のそばには彼女がいた。]
159: 4039| [45] [夏彦は悠里の手を握って言う。]
160: 4047| [47] [夏彦]
161: 4050| [45] [「……ねぇ、悠里」]
162: 4058| [47] [悠里]
163: 4061| [45] [「え？」]
164: 4069| [47] [夏彦]
165: 4072| [45] [「ぼく、きょうのことわすれないよ」]
166: 4080| [47] [夏彦]
167: 4083| [45] [「悠里といっしょに星をみたこと、きっとわすれない」]
168: 4128| [45] [夏彦はそう言った。]
169: 4150| [45] [悠里が念じるだけで、この記憶は闇に溶ける。]
170: 4155| [45] [そうする事で、全ては綺麗に片付くのに――]
171: 4160| [45] [悠里は念じる事ができなかった。]
172: 4330| [47] [悠里]
173: 4333| [45] [「……わたしも……」]
174: 4341| [47] [悠里]
175: 4344| [45] [「……わたしもわすれたくないよ、ひこりん」]
176: 4352| [47] [夏彦]
177: 4355| [45] [「え？」]
178: 4360| [45] [夏彦の記憶の中で、悠里は涙を流していた。]
179: 4365| [45] [そんな記憶はないはずなのに――悠里の卓越した能力は、ほぼ無意識のまま、彼の記憶を改竄し始めていた。]
180: 4373| [47] [夏彦]
181: 4376| [45] [「ど、どうしたんだ悠里？」]
182: 4384| [47] [悠里]
183: 4387| [45] [「わたし、消えたくなんかない……」]
184: 4392| [45] [それは心の奥に押し込めていた想い。]
185: 4397| [45] [悠里の本当の気持ちだった。]
186: 4446| [47] [悠里]
187: 4449| [45] [「……おねがい、ひこりん……」]
188: 4457| [47] [悠里]
189: 4460| [45] [「わたしをわすれないで……！」]
190: 4637| [45] [――夏彦にそう告げて、悠里は現実に戻ってきた。]
191: 4642| [45] [現実の悠里もまた、涙を流していた。]
192: 4647| [45] [滲む視界の中、天川博士が悠里の顔を覗きこむ。]
193: 4673| [47] [美夜子]
194: 4676| [45] [「悠里ちゃん……？」]
195: 4702| [47] [美夜子]
196: 4705| [45] [「どうしたの、何か問題が？」]
197: 4754| [45] [悠里は目をぎゅっと瞑り、搾り出すように答えた。]
198: 4762| [47] [悠里]
199: 4765| [45] [「……ごめんなさい、はかせ」]
200: 4773| [47] [悠里]
201: 4776| [45] [「わたしにはできません……！」]
202: 4828| [47] [美夜子]
203: 4831| [45] [「！？」]
204: 4839| [47] [美夜子]
205: 4842| [45] [「悠里ちゃん、あなた一体何を！？」]
206: 4847| [45] [博士が悠里を止めようとする。]
207: 4857| [45] [だがそれより早く――]
208: 4862| [45] [悠里は再び、センシズシンパシーを使った。]
209: 5010| [45] [そこにはただ１つしか、悠里の記憶は残っていなかった。]
210: 5015| [45] [だが消えた記憶は全て、悠里の胸の中にある。]
211: 5020| [45] [２人は同じ想い出を持っているのだから。]
212: 5025| [45] [――ならば、やる事は１つだ。]
213: 5269| [47] [夏彦]
214: 5270| [45] [「――――――――――――――」]
215: 5460| [47] [夏彦]
216: 5463| [45] [「なぁなぁ、なんで泣いてるの？」]
217: 5468| [45] [悠里は消えてしまった記憶を、己の知識を元に再構築した。]
218: 5473| [45] [さらに他の記憶群を、次々に修復していく。]
219: 5885| [47] [悠里]
220: 5888| [45] [「ひこりんのおよめさんになりたいな」]
221: 6300| [47] [悠里]
222: 6303| [45] [「うん、さいごまでよんじゃったね！」]
223: 6715| [47] [悠里]
224: 6718| [45] [「このしゃしん、夏彦くんのおかあさん？」]
225: 7116| [47] [悠里]
226: 7119| [45] [「わたしね、コミュニケーターでよかったとおもうことが、ひとつあるよ」]
227: 7166| [47] [悠里]
228: 7169| [45] [「それはね、夏彦くんにあえたこと」]
229: 7286| [45] [――瞬く間に、夏彦の記憶が修復されていく。]
230: 7341| [45] [だがこうすれば、夏彦は再び悠里の死を知る事になる。]
231: 7346| [45] [そうしてまた自分を責め、心が壊れてしまうだろう。]
232: 7398| [45] [だから悠里は決意した。]
233: 7403| [47] [悠里]
234: 7404| [45] [（『もういないわたし』を『いまそこにいるわたし』にするしかない……！）]
235: 7517| [45] [そして悠里は、あの夜の記憶に潜った。]
236: 7522| [45] [３ヶ月前、夏彦が悠里の死を知った時の記憶に――]
237: 7666| [47] [美夜子]
238: 7669| [45] [「――夏彦、落ち着いて聞いて……」]
239: 7695| [47] [美夜子]
240: 7698| [45] [「悠里ちゃんは……」]
241: 7706| [47] [美夜子]
242: 7709| [45] [「……昨夜、息を引き取ったわ……」]
243: 7717| [47] [夏彦]
244: 7720| [45] [「……え？」]
245: 7728| [47] [夏彦]
246: 7731| [45] [「…………そんな」]
247: 7739| [47] [夏彦]
248: 7742| [45] [「どうして、悠里が……！」]
249: 7764| [45] [――現実では、夏彦はこのあと絶叫していた。]
250: 7769| [45] [そして恐らくその瞬間から、心の平衡を失ったのだ。]
251: 7774| [47] [悠里]
252: 7775| [45] [（だから、このおもいでを――かえちゃえばいいんだ！）]
253: 7780| [45] [悠里はそう念じた。]
254: 7785| [45] [この記憶を、別の記憶に差し替えようと――！]
255: 7827| [45] [――すると夏彦は、涙を堪えて叫んだ。]
256: 7835| [47] [夏彦]
257: 7838| [45] [「うそだっ！　悠里がしんだわけない！」]
258: 7892| [45] [彼はベッドから飛び降り、駆け出した。]
259: 7897| [45] [廊下に出て、悠里を探す。]
260: 7905| [47] [夏彦]
261: 7908| [45] [「悠里っ！　いるんだろ、でてきてくれ！」]
262: 7913| [45] [あたりの病室に呼びかけても、答えはない。]
263: 7924| [45] [夏彦は悠里を探して、病院を飛び出した。]
264: 7976| [45] [あてどなく街をさまよう。]
265: 8029| [45] [だがどこにも、彼女はいない。]
266: 8082| [45] [悠里の自宅にも、２人が出逢った公園にも、思い出の秘密基地にも。]
267: 8138| [47] [夏彦]
268: 8141| [45] [「悠里……悠里……！」]
269: 8146| [45] [探し疲れて、夏彦が最後に向かったのは――]
270: 8157| [45] [夏彦自身の、家だった。]
271: 8215| [45] [家の中は闇に沈んでいた。]
272: 8220| [45] [うつろな声で、夏彦は声をかける。]
273: 8228| [47] [夏彦]
274: 8231| [45] [「……悠里」]
275: 8236| [45] [無論、答えを期待しての事ではない。]
276: 8241| [45] [なのにその時、部屋の薄闇の彼方から――]
277: 8283| [47] [悠里]
278: 8286| [45] [「ひこりん」]
279: 8291| [45] [悠里の声が返ってきた。]
280: 8299| [47] [夏彦]
281: 8302| [45] [「悠里っ！？」]
282: 8326| [45] [夏彦は悠里に駆け寄った。]
283: 8334| [47] [夏彦]
284: 8337| [45] [「よかった……いきてたんだね……」]
285: 8363| [47] [悠里]
286: 8366| [45] [「ふふ、わたしがしんだとおもってたの？」]
287: 8374| [47] [夏彦]
288: 8377| [45] [「だってお母さんが、へんなこというから……」]
289: 8403| [47] [悠里]
290: 8406| [45] [「しんでなんかいないよ」]
291: 8411| [45] [悠里は夏彦に微笑みかける。]
292: 8437| [47] [悠里]
293: 8440| [45] [「ねぇひこりん。わたしはいつでも、ここにいるよ」]
294: 8448| [47] [悠里]
295: 8451| [45] [「ひこりんとずっと、いっしょにいるよ」]
296: 8477| [47] [悠里]
297: 8480| [45] [「だから、わすれないで。どうかわたしのことを」]
298: 8485| [45] [それは現実には語られなかった言葉。]
299: 8490| [45] [しかし悠里と夏彦が望んだ言葉。]
300: 8495| [45] [たとえ虚構であろうと、その言葉は夏彦の心に染み渡り――]
301: 8519| [45] [――そして真実を、駆逐した。]
302: 8527| [47] [夏彦]
303: 8530| [45] [「わすれるもんか」]
304: 8698| [45] [――全てを終えた悠里は、現実に帰ってきた。]
305: 8703| [45] [博士が虚ろな声で呟く。]
306: 8729| [47] [美夜子]
307: 8732| [45] [「悠里ちゃん……」]
308: 8740| [47] [悠里]
309: 8743| [45] [「はかせ、ごめんなさい……わたしには、できませんでした」]
310: 8748| [45] [悠里は本当に申し訳なく思った。]
311: 8753| [45] [自分のした事は、恐らく許される事ではないが――]
312: 8779| [47] [美夜子]
313: 8782| [45] [「……それでいいわ」]
314: 8787| [45] [博士の声は優しくて、だからこそ悠里の胸は痛む。]
315: 8813| [47] [美夜子]
316: 8816| [45] [「夏彦が目覚める前に、行きましょう……」]
317: 8824| [47] [悠里]
318: 8827| [45] [「……はい」]
319: 8832| [45] [悠里たちは、そっと実験室を去った。]
320: 8893| [45] [――夏彦を残して。]
321: 8921| [47] [夏彦]
322: 8922| [45] [（……！）]
323: 8927| [45] [夏彦は愕然としていた。]
324: 8932| [45] [それが夏彦の身に起きた事の全貌だった。]
325: 8937| [45] [ましろの記憶に潜ってさえ、知りえなかった事実の記録。]
326: 8942| [47] [夏彦]
327: 8943| [45] [（ぼくが自失状態から目覚めることができたのは、悠里のおかげ……！）]
328: 8948| [47] [夏彦]
329: 8949| [45] [（で、でもその結果、どうなったんだ……！？）]
330: 8954| [45] [むろん自分がこれからどうなったのかは、夏彦自身よく理解している。]
331: 8959| [45] [だがそれでも全てを確認するために、彼はさらに悠里の記憶を追った。]
