  0:  113| [55] [√Double Chapter2]
 58:  858| [45] [「……仕方がなかったんだ。悠里を護るためには……」]
 59:  885| [47] [少女]
 60:  888| [45] [「そんな……」]
 61:  896| [47] [少女]
 62:  899| [45] [「ひこりん、あんまりだよ……」]
 63:  925| [47] [少年]
 64:  928| [45] [「でも、どうしようもないだろ！？　こいつには悪いけど、やっぱりこうするしか……！」]
 65:  933| [47] [少女]
 66:  934| [45] [「……」]
 67:  939| [45] [悲痛な表情で俯く少女と、苦い表情の少年。その２人を見て、男は混乱した。]
 68:  944| [45] [少年と少女が、何を言い争っているのかわからない。]
 69:  949| [45] [隊長さんとは自分のことなのだろうか。]
 70:  954| [47] [男]
 71:  955| [45] [（って、え……？）]
 72:  960| [47] [男]
 73:  961| [45] [（オレは……あれ？　オレは……）]
 74:  969| [47] [男]
 75:  972| [45] [「オレは、誰なんだ！？」]
 76:  977| [45] [自分の記憶がない事に気付き、思わず声を上げたが、２人は答えてくれない。]
 77: 1003| [47] [少年]
 78: 1006| [45] [「……とにかく、渡瀬の記憶は、あの被験体Ｎという女の子に操作されて……」]
 79: 1014| [47] [少年]
 80: 1017| [45] [「悪意を凄まじく増幅させられていたらしい」]
 81: 1043| [47] [少年]
 82: 1046| [45] [「ひょっとしたら、みんなも渡瀬同様、あの悪意にとらわれてるのかもしれない……」]
 83: 1072| [47] [少女]
 84: 1075| [45] [「洵さんとか、橘さんも？」]
 85: 1101| [47] [少年]
 86: 1104| [45] [「あぁ、多分」]
 87: 1130| [47] [少年]
 88: 1133| [45] [「危険だけど……皆の悪意を、どうにかしなきゃ……」]
 89: 1138| [45] [２人は男に構わず、わけのわからない会話を続けている。]
 90: 1143| [45] [何か異様な事が起こっているということだけは、おぼろげながらに理解できるのだが……。]
 91: 1148| [45] [様々な疑問が脳内を駆け巡る中、男は質問を繰り返した。]
 92: 1156| [47] [男]
 93: 1159| [45] [「お、おい、答えてくれ！　君たちは誰だ？　オレは誰なんだ！？」]
 94: 1185| [47] [少女]
 95: 1188| [45] [「それは……」]
 96: 1196| [47] [男]
 97: 1199| [45] [「ここはどこだ！　一体、何が起こってるんだ！？　頼む！　答えてくれ！」]
 98: 1237| [47] [少女]
 99: 1238| [45] [「……」]
100: 1243| [47] [少年]
101: 1244| [45] [「……」]
102: 1249| [45] [その問いに、２人は黙り込んだ。]
103: 1254| [45] [少年が意を決したように、男に言う。]
104: 1280| [47] [少年]
105: 1283| [45] [「……お前はここで待っていろ」]
106: 1291| [47] [男]
107: 1294| [45] [「え？　ま、待ってろって……」]
108: 1320| [47] [少年]
109: 1323| [45] [「外に出ると、危険なんだ！　ここから動くなよ！」]
110: 1346| [47] [男]
111: 1349| [45] [「っ……！」]
112: 1354| [45] [少年の迫力に押され、男は思わずうなずく。]
113: 1359| [45] [すると少年は、少女に向けて続けた。]
114: 1385| [47] [少年]
115: 1388| [45] [「行こう、悠里」]
116: 1414| [47] [少女]
117: 1417| [45] [「う、うん……」]
118: 1424| [45] [２人はそう言って、部屋の出口らしき鉄扉に歩み寄る。]
119: 1483| [45] [そして少女が扉のそばにあった、パネルに何か打ち込むと――]
120: 1517| [45] [よろよろと、その部屋を出て行ってしまった。]
121: 1641| [45] [………………。]
122: 1646| [45] [……それからしばらく、男はその部屋でおとなしく待った。]
123: 1685| [45] [だが、少年たちは戻ってこない。]
124: 1690| [47] [男]
125: 1691| [45] [（なんだ……？　どこに行ったんだ？）]
126: 1697| [45] [男は不安を感じ、部屋を出ようとした。]
127: 1708| [45] [――だが、部屋を出てすぐのところに、なぜかいきなり壁があった。]
128: 1716| [47] [男]
129: 1719| [45] [「なっ……なんだこれ？」]
130: 1730| [45] [男は壁を叩いてみたが、びくともしない。]
131: 1735| [47] [男]
132: 1736| [45] [（どういう事なんだ……あの２人は、どうやってここから出たんだ？）]
133: 1741| [45] [男はやむなく、部屋に戻った。]
134: 1762| [47] [男]
135: 1763| [45] [（まずはあの壁をなんとかしなければ……）]
136: 1768| [45] [壁を壊す道具を探して、室内を見渡すと――]
137: 1843| [45] [扉のそばにあったパネルが、目に入った。]
138: 1848| [47] [男]
139: 1849| [45] [（そういえばあの少女が、部屋を出る前に、このパネルを何か操作していた……）]
140: 1854| [47] [男]
141: 1855| [45] [（これがあの扉を開く鍵なのか？）]
142: 1873| [45] [男はそう思い、パネルを叩いてみた。]
143: 1884| [45] [だが適当に押してみても、ブザーがなるだけだ。]
144: 1889| [45] [壁が開く気配はない。]
145: 1975| [45] [――何度か試してみたが、やがて男は諦めた。]
146: 1983| [47] [男]
147: 1986| [45] [「くそ、闇雲に押しても無駄か……」]
148: 1994| [47] [男]
149: 1997| [45] [「……言われた通りにするしかないみたいだな」]
150: 2011| [45] [男は大人しく、少年たちの帰りを待つことにした。]
151: 2016| [45] [自分が何者かも解らない不安と戦いながら。]
152: 2120| [45] […………………]
153: 2125| [45] [……しかし……]
154: 2165| [45] [……いくら待っても、少年たちは帰ってこなかった。]
155: 2170| [45] [もう閉じ込められてから、随分時間が経っている。]
156: 2175| [45] [何が起きたのだろう。何が起きていたのだろう。]
157: 2183| [47] [男]
158: 2186| [45] [「いくらなんでも遅すぎる……」]
159: 2194| [47] [男]
160: 2197| [45] [「大丈夫なんだろうか、彼らは……」]
161: 2202| [45] [そう言いながら、男が時計に目を移す。]
162: 2209| [45] [時刻は『１８時１７分』を指していた。]
163: 2214| [47] [男]
164: 2215| [45] [（あれ？　この数字は、何か……）]
165: 2222| [45] [男がそう思った瞬間――]
166: 2247| [45] [不意に下方から、轟音が響いた。]
167: 2252| [47] [男]
168: 2253| [45] [（ッ！？）]
169: 2288| [47] [男]
170: 2289| [45] [（な、なんだ！？）]
171: 2294| [45] [音と振動が急速に激しくなっていく。]
172: 2299| [45] [逃げようと思った瞬間、目の前の扉がひしゃげ、]
173: 2439| [45] [爆炎が室内になだれ込んできた。]
174: 2444| [47] [男]
175: 2445| [45] [（なんで炎が――……）]
176: 2450| [45] [そう考える間もなく、男は炎に焼き尽くされた。]
177: 2593| [85] [　%N　%N　%N]
178: 2596| [45] [√D バッドエンド1【抹消されし観察者】]
179: 2599| [85] [　]
180: 2602| [45] [渡瀬の記憶を消してしまった場合の結末。]
181: 2605| [85] [　]
182: 2608| [45] [このエンディング直前に入力できるセンシズで、渡瀬と夏彦と悠里――３人の適切なバランスが設定できれば、この結末は回避できたかもしれない。]
