  0:  120| [55] [√Before Chapter 6]
130: 1833| [45] ["Yeah. I thought Communicators only had low ability levels back then. They knew that some people could use a bit of telepathy and that was it..."]
131: 1868| [47] [Ena]
132: 1871| [45] ["The espers probably didn't think it was that big a deal. But not everyone else believed that, necessarily."]
133: 1876| [45] [Ena frowned as she spoke.]
134: 1902| [47] [Ena]
135: 1905| [45] ["At first, only a small minority of people displayed intense rejection of Communicators."]
136: 1913| [47] [Ena]
137: 1916| [45] ["There was an incident in France in February 2014. Men obsessed with some delusion set fire to a village a Communicator lived in."]
138: 1924| [47] [Natsuhiko]
139: 1927| [45] ["Fire...!?"]
140: 1960| [47] [Mashiro]
141: 1963| [45] ["That's terrible! Why!?"]
142: 1998| [47] [Ena]
143: 2001| [45] ["According to the arsonists, it was 'because Communicators are abominations possessed by impure spirits.'"]
144: 2034| [47] [Salyu]
145: 2037| [45] ["Impure spirits? What's that supposed to mean?"]
146: 2072| [47] [Ena]
147: 2075| [45] ["Apparently there's this story in the Bible."]
148: 2083| [47] [Ena]
149: 2086| [45] ["--By the shore of the Sea of Galilee, there was a man possessed by impure spirits."]
150: 2094| [47] [Ena]
151: 2097| [45] ["He dwelled by the tombs and would often hear the spirits' voice and suffer."]
152: 2105| [47] [Ena]
153: 2108| [45] ["When asked for his name, the man replied,"]
154: 2116| [47] [Ena]
155: 2119| [45] ["'My name is Legion. For we are many.'"]
156: 2127| [47] [Ena]
157: 2130| [45] ["The impure spirits were eventually exorcised from the man's body and instead they entered a nearby herd of pigs."]
158: 2138| [47] [Ena]
159: 2141| [45] ["Upon which, the pigs began to run like mad and fell into the lake one by one, where they drowned..."]
160: 2149| [47] [Natsuhiko]
161: 2152| [45] ["... That's quite an ominous story. What's up with that?"]
162: 2160| [47] [Ena]
163: 2163| [45] ["I don't know. The significance behind that story has always been a subject of discussion among religious scholars, apparently."]
164: 2189| [47] [Ena]
165: 2192| [45] ["But this is what the arsonists thought:"]
166: 2200| [47] [Ena]
167: 2203| [45] ["'Communicators hear voices that we do not. Those are the voices of impure spirits.'"]
168: 2211| [47] [Ena]
169: 2214| [45] ["'They are abominations possessed by impure spirits. And therefore, they must be punished by God.'"]
170: 2247| [47] [Mashiro]
171: 2250| [45] ["No way...!"]
172: 2258| [47] [Natsuhiko]
173: 2261| [45] ["... That's crazy."]
174: 2296| [47] [Ena]
175: 2299| [45] ["Indeed. I think so too."]
176: 2325| [47] [Ena]
177: 2328| [45] ["Of course, those arsonists were punished and fortunately, there were no casualties. Thus the incident was soon forgotten."]
178: 2336| [47] [Ena]
179: 2339| [45] ["But in retrospect, that was the beginning. The start of the antagonism between Communicators and ordinary people."]
180: 2344| [45] [Ena's expression remained unchanged.]
181: 2349| [45] [But her voice gradually grew more stern.]
182: 2357| [47] [Ena]
183: 2360| [45] ["Communicators were targeted by normal people for the sole fact that they were Communicators-- and those incidents only increased in frequency afterwards."]
184: 2368| [47] [Ena]
185: 2371| [45] ["In April that same year, a young American Communicator was lynched in Brooklyn."]
186: 2379| [47] [Ena]
187: 2382| [45] ["The following month, an entire apartment building was burned to the ground in China."]
188: 2390| [47] [Ena]
189: 2393| [45] ["In June, it was Germany. In July, Italy and America."]
190: 2401| [47] [Ena]
191: 2404| [45] ["In August, it was Germany, France, and Austria.%NIn September, it was Russia, France, America, and China..."]
192: 2412| [47] [Ena]
193: 2415| [45] ["I had my hands full just counting all of the similar incidents."]
194: 2441| [47] [Ena]
195: 2444| [45] ["Did you know it's happened in this very town too? The 'Great Rokumei City Arson'..."]
196: 2477| [47] [Mashiro]
197: 2480| [45] ["I-I know about that!"]
198: 2515| [47] [Ena]
199: 2518| [45] ["Yes, you're a good learner, Ms. Toba. It's not a very well talked about incident nowadays."]
200: 2523| [45] [Ena spoke with a smile.]
201: 2528| [45] [But it was a smile tinged with sadness.]
202: 2554| [47] [Ena]
203: 2557| [45] ["... These problems never happened back when Communicators were extremely few in number and BC was dismissed as the occult."]
204: 2565| [47] [Ena]
205: 2568| [45] ["I do believe there were Communicators before that, but at best, the options available to them were to become leaders of new age religions, to work as TV talents--"]
206: 2576| [47] [Ena]
207: 2579| [45] ["Or to hide their abilities as most of them did, and live in secret."]
208: 2587| [47] [Ena]
209: 2590| [45] ["But as Communicators started appearing more and more and their numbers rapidly grew,%Nthe situation instantly intensified."]
210: 2598| [47] [Ena]
211: 2601| [45] ["It was as if all of the sudden a new breed of humans was born, and many people feared the demise of the old human race."]
212: 2609| [47] [Ena]
213: 2612| [45] ["It would've been fine if BC were something you could just learn if you put in the effort,%Nbut since BC aptitude is genetic and decided upon birth, well..."]
214: 2617| [45] [Ena trailed off at that, allowing silence to fill the classroom.]
215: 2622| [45] [Even though the room temperature wasn't that cold, Natsuhiko felt his spine chill.]
216: 2627| [45] [A strange fear sank into his heart.]
217: 2632| [45] [Ena continued.]
218: 2658| [47] [Ena]
219: 2661| [45] ["... That antagonism eventually turned into fear. And that fear gave birth to terrorism."]
220: 2687| [47] [Ena]
221: 2690| [45] ["Terrorism is derived from the Latin word 'terror', after all."]
222: 2698| [47] [Ena]
223: 2701| [45] ["People resort to terrorism either when they fear others or when they want others to fear them."]
224: 2727| [47] [Ena]
225: 2730| [45] ["It's a sad, but inevitable course of events."]
226: 2738| [47] [Natsuhiko]
227: 2741| [45] ["I... I don't believe it..."]
228: 2774| [47] [Mashiro]
229: 2777| [45] ["But aren't we at peace now...!?"]
230: 2812| [47] [Ena]
231: 2815| [45] ["It took an extraordinary international effort to build that peace. And of course, Japan was part of that effort."]
232: 2823| [47] [Ena]
233: 2826| [45] ["Two years after the Great Rokumei City Arson, the 'BC Law' was enacted to protect Communicators."]
234: 2834| [47] [Ena]
235: 2837| [45] ["And at the same time, six cities in Japan were established as 'government designated top secret cities', protective wards for Communicators, beginning here with Rokumei City."]
236: 2845| [47] [Ena]
237: 2848| [45] ["Communicators throughout the country were moved into these government designated top secret cities."]
238: 2856| [47] [Natsuhiko]
239: 2859| [45] ["They were moved...? You mean they had no choice?"]
240: 2885| [47] [Ena]
241: 2888| [45] ["No, it was at its core, voluntary. But Communicators living in the countryside received insistent advice from the government to move."]
242: 2896| [47] [Ena]
243: 2899| [45] ["Of course, the government reimbursed the full amount to move and even provided anything from occupation and housing referrals to large reserve funds on a case by case basis."]
244: 2907| [47] [Natsuhiko]
245: 2910| [45] ["Why would the government go that far?"]
246: 2936| [47] [Ena]
247: 2939| [45] ["To preserve public order. Nothing more. They wanted to defuse the antagonism between Communicators and ordinary people."]
248: 2947| [47] [Ena]
249: 2950| [45] ["The urgent matter at hand was to establish the idea that 'Communicators all live in government designated top secret cities' as common sense."]
250: 2958| [47] [Ena]
251: 2961| [45] ["By segregating the Communicators, the ordinary people would be able to rest peacefully."]
252: 2987| [47] [Ena]
253: 2990| [45] ["The migration went over smoothly, and friction was minimized."]
254: 2998| [47] [Ena]
255: 3001| [45] ["And so, with all its Communicators gathered in one spot, Japan was able to get its BC research organized for undisturbed progression, and thus became an advanced BC nation."]
256: 3009| [47] [Ena]
257: 3012| [45] ["... So basically, this town isn't merely a research city."]
258: 3020| [47] [Ena]
259: 3023| [45] ["It's a national fortress established by the state to protect Communicators like you."]
260: 3031| [47] [Natsuhiko]
261: 3034| [45] ["...!"]
262: 3039| [45] [When he heard the story to its end, Natsuhiko finally understood the truth behind this town.]
263: 3044| [45] [Why this town had such strong public order.]
264: 3049| [45] [Why the city was so vigilant against criminal activity, to the point of installing surveillance cameras and city gates.]
265: 3054| [45] [He heard that it was all to protect the local research facilities from industrial espionage, but--]
266: 3059| [47] [Natsuhiko]
267: 3060| [45] [(Were they actually trying to protect the Communicators...? No, "the public order of society" itself?)]
268: 3065| [45] [Ena continued as the kids were left speechless.]
269: 3091| [47] [Ena]
270: 3094| [45] ["... But the more society's systems strengthened, the more crafty the terrorists became."]
271: 3120| [47] [Ena]
272: 3123| [45] ["And Q was the most crafty and vindictive organization of them all."]
273: 3131| [47] [Ena]
274: 3134| [45] ["You may know this already, but they have successfully carried out terrorism in the past."]
275: 3160| [47] [Ena]
276: 3163| [45] ["As of yet, there haven't been any cases of them targeting government designated top secret cities, but I don't for a moment think your story is a joke, kids."]
277: 3168| [45] [Ena quietly sighed.]
278: 3173| [45] [It appeared that the reason she honestly believed their story was because it was a possibility she had feared from the start.]
279: 3206| [47] [Salyu]
280: 3209| [45] ["... I understand that Q is a dangerous organization."]
281: 3235| [47] [Salyu]
282: 3238| [45] ["But why hasn't the police arrested them?"]
283: 3264| [47] [Ena]
284: 3267| [45] ["That's because for the most part, Q's members consist of 'ordinary people' who happen to be in the area of the operation."]
285: 3284| [47] [Natsuhiko]
286: 3287| [45] ["Ordinary people?"]
287: 3295| [47] [Ena]
288: 3298| [45] ["Unlike extremist groups and town guerrillas of the past, Q doesn't make grandiose claims of its existence."]
289: 3306| [47] [Ena]
290: 3309| [45] ["And of course, they don't have any sort of hideout where they practice armed combat or anything."]
291: 3317| [47] [Ena]
292: 3320| [45] ["They merely use their proprietary network to search for ordinary people who dislike Communicators and then they slowly convince those people to join their cause."]
293: 3328| [47] [Natsuhiko]
294: 3331| [45] ["But if the terrorists solicit, won't they get caught right away...?"]
295: 3357| [47] [Ena]
296: 3360| [45] ["No. When they solicit like-minded people, they use various different names for camouflage."]
297: 3368| [47] [Ena]
298: 3371| [45] ["Bland names like 'The Association for Consideration of Relations with Communicators'."]
299: 3379| [47] [Ena]
300: 3382| [45] ["But once they join those camouflage organizations, the members themselves don't realize that they've actually joined Q."]
301: 3408| [47] [Ena]
302: 3411| [45] ["The majority of its own members don't understand the truth of the organization. The name Q itself is nothing more than a designation given for convenience."]
303: 3419| [47] [Ena]
304: 3422| [45] ["That's why it's hard for the police to make arrests."]
305: 3430| [47] [Natsuhiko]
306: 3433| [45] ["... Is that how it works?"]
307: 3438| [45] [That seemed to be the reason why Natsuhiko hadn't even heard of the name Q until just a few days ago.]
308: 3443| [45] [Because Q was a unique kind of terrorist organization-- one whose very structure was ambiguous.]
309: 3476| [47] [Mashiro]
310: 3479| [45] ["But Q's top brass are working solely to commit terrorism though, right?"]
311: 3505| [47] [Ena]
312: 3508| [45] ["Of course. The top brass have been pulling off terrorist acts for years by going through their countless subordinate members and selecting the ones most suitable to take the fall as the perpetrators."]
313: 3516| [47] [Ena]
314: 3519| [45] ["Oftentimes they choose staff members with connections to the target buildings to be the perpetrators."]
315: 3527| [47] [Ena]
316: 3530| [45] ["The use of such sleeper agents increases the success rate of their terrorist acts."]
317: 3556| [47] [Ena]
318: 3559| [45] ["What supports their unity and belief is a hatred of the unknown."]
319: 3567| [47] [Ena]
320: 3570| [45] ["The mere thought that 'they're not like us' is enough to incite them to hate others, ostracize them, injure them, and finally set towns ablaze. Their mentality is abnormal...!"]
321: 3578| [47] [Natsuhiko]
322: 3581| [45] ["There are people like that in the world...!?"]
323: 3662| [45] [Natsuhiko's very core shuddered to hear the entire story.]
324: 3667| [45] [Not once in his life did he expect there to be people who hated Communicators like him to that extent.]
325: 3672| [47] [Natsuhiko]
326: 3673| [45] [(We've never even met. We've never even done anything wrong...!)]
327: 3678| [45] [--That was when Natsuhiko first knew.]
328: 3683| [45] [That the world was full of malice.]
329: 3688| [45] [A peaceful life was not a given, but rather something narrowly established on a precarious balance.]
330: 3693| [45] [As the kids cast their eyes downward at this newfound truth, Ena spoke to them gently.]
331: 3755| [47] [Ena]
332: 3758| [45] ["... I'm sorry. It must be a shock."]
333: 3766| [47] [Ena]
334: 3769| [45] ["The ugly truth of society and the existence of genuine malice should be things left for you to find out when you grow up."]
335: 3777| [47] [Ena]
336: 3780| [45] ["That's why the school doesn't teach those things. It would give needless anxiety to the students and surely spread the seeds of antagonism, too."]
337: 3788| [47] [Ena]
338: 3791| [45] ["This town polices information and filters the internet... Though, honestly, if you looked into it, you could still find out about Q's existence and whatnot."]
339: 3796| [45] [That did seem like an obvious decision on the school's part.]
340: 3801| [45] [If the school instilled the fear of ordinary people into the minds of all the Communicators who attended, then the cycle of antagonism would never end.]
341: 3827| [47] [Ena]
342: 3830| [45] ["... But you know, I thought that you three would be able to accept that truth calmly."]
343: 3838| [47] [Ena]
344: 3841| [45] ["Ms. Toba, the most diligent of the class. Ms. Sannomiya, the wisest of the class.%NAnd Mr. Tenkawa, the one with the highest aptitude in the class..."]
345: 3849| [47] [Ena]
346: 3852| [45] ["You're a mismatched trio, but that's why the three of you together can come to terms with this truth, right?"]
347: 3860| [47] [Natsuhiko]
348: 3863| [45] ["O... of course!"]
349: 3890| [47] [Mashiro]
350: 3893| [45] ["Yeah! We're not the type to lose heart to some dumb malice like that or whatever!"]
351: 3921| [47] [Salyu]
352: 3924| [45] ["I've promised that even in the off chance something does happen, I will protect these two."]
353: 3950| [47] [Ena]
354: 3953| [45] ["I see. I'm glad I told you then. So..."]
355: 3958| [45] [Ena smiled sweetly-- and then she spoke clearly and distinctly.]
356: 3984| [47] [Ena]
357: 3987| [45] ["Leave the rest up to the adults. You kids should behave and just stay put."]
358: 4028| [47] [Natsuhiko]
359: 4031| [45] ["... Huh?"]
360: 4057| [47] [Ena]
361: 4060| [45] ["I heard from the security department and the police after yesterday's bomb threat."]
362: 4068| [47] [Ena]
363: 4071| [45] ["They're already considering the possibility of terrorism. That's why the city's under martial law."]
364: 4079| [47] [Ena]
365: 4082| [45] ["If terrorism happens in this city now, it could shatter a system ten-odd years in the making."]
366: 4108| [47] [Ena]
367: 4111| [45] ["It might be harsh of me to say this, but it'll just be a hindrance for kids to be moving back and forth."]
368: 4119| [47] [Ena]
369: 4122| [45] ["I'm sure the security department thinks so too, which is why they're trying to take you into protective custody."]
370: 4130| [47] [Natsuhiko]
371: 4133| [45] ["But... you're telling us to just sit back and do nothing?"]
372: 4159| [47] [Mashiro]
373: 4162| [45] ["We can't! The whole city could be in danger! Are you just going to watch as it happens, Ms. Ena!?"]
374: 4188| [47] [Ena]
375: 4191| [45] ["... I know. But I'm not just going to watch."]
376: 4199| [47] [Ena]
377: 4202| [45] ["This town's so beautiful, it just makes you want to protect it."]
378: 4274| [47] [Ena]
379: 4277| [45] ["Even if there really is a hole in its perfect surveillance system... the town is precious to its townspeople."]
380: 4282| [45] [As she spoke, Ena glanced at the classroom door.]
381: 4308| [47] [Ena]
382: 4311| [45] ["But even so, you three need to head home now. And if the security department people show up, you should follow their instructions."]
383: 4319| [47] [Ena]
384: 4322| [45] ["That's the number one thing you three should do for now."]
385: 4327| [47] [Natsuhiko]
386: 4328| [45] ["..."]
387: 4342| [45] [Natsuhiko felt irritated.]
388: 4347| [45] [He could tell Ena was worried about both them and the city.]
389: 4352| [45] [And yet in the end, her opinion still didn't mesh with theirs?]
390: 4357| [47] [Natsuhiko]
391: 4358| [45] [(Dammit, we need to persuade her somehow...! There has to be some way we can convince her.)]
392: 4366| [45] [Natsuhiko felt a little lonely.]
393: 4371| [45] [Ena acknowledged what they had to say, but in the end, she still treated them like children.]
394: 4376| [45] [Regardless of their student-teacher relationship--]
395: 4381| [45] [Her way of thinking sided with the adults, the security department, if anything.]
396: 4386| [47] [Natsuhiko]
397: 4387| [45] [(Dammit... Is there nothing we can do?)]
398: 4392| [47] [Natsuhiko]
399: 4393| [45] [(Is there no way we can get Prof. Tsubakiyama on our side...!?)]
400: 4398| [45] [As soon as Natsuhiko pondered that question, Mashiro suddenly spoke up.]
401: 4424| [47] [Mashiro]
402: 4427| [45] ["I... I understand, Ms. Ena. We'll do as you say."]
403: 4435| [47] [Natsuhiko]
404: 4438| [45] ["Huh?"]
405: 4443| [45] [Natsuhiko was surprised, but Ena spoke in relief.]
406: 4469| [47] [Ena]
407: 4472| [45] ["Thank you. It makes me happy as a teacher to have such obedient students."]
408: 4498| [47] [Mashiro]
409: 4501| [45] ["It's... it's because I've always respected you, Ms. Ena."]
410: 4527| [47] [Mashiro]
411: 4530| [45] ["Okay, Natsuhiko. Salyu. Let's go."]
412: 4538| [47] [Natsuhiko]
413: 4541| [45] ["No, hold on a second Mashiro. It's a little too sudden for you to just say---"]
414: 4567| [47] [Mashiro]
415: 4570| [45] ["Just come."]
416: 4575| [45] [At around the same time Mashiro said that, she used telepathy.]
417: 4634| [85] [{Don't say anything, guys.]
418: 4636| [85] [I'll explain the situation once we're outside. Let's just run away for now.}]
419: 4637| [86] [Mashiro]
420: 4638| [86] [{Don't say anything, guys. I'll explain the situation once we're outside. Let's just run away for now.}]
421: 4674| [45] [As soon as Natsuhiko heard that message, he couldn't stop himself from raising his voice.]
422: 4682| [47] [Natsuhiko]
423: 4685| [45] ["Run away!? ... From what?"]
424: 4746| [47] [Mashiro]
425: 4749| [45] ["!!"]
426: 4775| [47] [Ena]
427: 4778| [45] ["Huh?"]
428: 4783| [45] [Ena gave a stern expression for a second. Mashiro got flustered and waved her hand.]
429: 4809| [47] [Mashiro]
430: 4812| [45] ["N-nothing!"]
431: 4838| [47] [Mashiro]
432: 4841| [45] ["C'mon, let's go, guys!"]
433: 4849| [47] [Natsuhiko]
434: 4852| [45] ["R-right."]
435: 4878| [47] [Salyu]
436: 4881| [45] ["... Roger."]
437: 4886| [45] [Before Natsuhiko and Salyu could understand what was going on, Mashiro led them out.]
438: 4891| [47] [Ena]
439: 4892| [45] ["..."]
440: 4897| [45] [They left Ena alone with a dubious expression on her face--]
441: 4906| [47] [Natsuhiko]
442: 4909| [45] ["!?"]
443: 4914| [45] [What exactly did she mean by "run away"?]
444: 4919| [45] [Natsuhiko was bewildered, but one look at Mashiro's tense expression stopped him from asking her.]
445: 4927| [47] [Natsuhiko]
446: 4930| [45] ["Y-yeah, okay..."]
447: 4956| [47] [Salyu]
448: 4959| [45] ["... Roger."]
449: 4964| [45] [Mashiro nodded and then spoke to Ena.]
450: 4990| [47] [Mashiro]
451: 4993| [45] ["Okay, if you'll excuse us, Ms. Ena."]
452: 5019| [47] [Ena]
453: 5022| [45] ["I'm sorry I couldn't be more helpful."]
454: 5027| [45] [They left Ena alone in the classroom with an apologetic look on her face.]
455: 5155| [47] [Natsuhiko]
456: 5158| [45] ["Hey, Mashiro, what did you mean by 'run away'?"]
457: 5184| [47] [Mashiro]
458: 5187| [45] ["Shh!"]
459: 5192| [45] [Mashiro shushed him and answered with telepathy.]
460: 5249| [85] [{We can't trust Ms. Ena.}]
461: 5250| [86] [Mashiro]
462: 5251| [86] [{We can't trust Ms. Ena.}]
463: 5266| [85] [{... She's not opening her heart to us.}]
464: 5267| [86] [Mashiro]
465: 5268| [86] [{... She's not opening her heart to us.}]
466: 5299| [47] [Natsuhiko]
467: 5302| [45] ["!?"]
468: 5345| [47] [Salyu]
469: 5348| [45] ["What does that mean?"]
470: 5405| [85] [{When she finished talking, Ms. Ena seemed oddly obstinate, didn't she?}]
471: 5406| [86] [Mashiro]
472: 5407| [86] [{When she finished talking, Ms. Ena seemed oddly obstinate, didn't she?}]
473: 5442| [85] [{So I tried to see if I could use empathy on her,]
474: 5444| [85] [but...}]
475: 5445| [86] [Mashiro]
476: 5446| [86] [{So I tried to see if I could use empathy on her, but...}]
477: 5481| [85] [{I couldn't hear her mental voice at all. That's proof she isn't opening her heart.}]
478: 5482| [86] [Mashiro]
479: 5483| [86] [{I couldn't hear her mental voice at all. That's proof she isn't opening her heart.}]
480: 5511| [45] [Mashiro's eyes were blurred with sadness.]
481: 5519| [47] [Natsuhiko]
482: 5522| [45] ["... No way..."]
483: 5527| [45] [The smile he saw on Ena's face just now flickered in the back of Natsuhiko's head.]
484: 5532| [45] [It was such a kind smile by appearances, and yet--]
485: 5537| [47] [Natsuhiko]
486: 5538| [45] [(Did Prof. Tsubakiyama not actually trust us...?)]
487: 5543| [45] [He couldn't understand why not. But he could smell danger somewhere.]
488: 5618| [85] [{If we stay here too long, she could call the security department on us...}]
489: 5619| [86] [Mashiro]
490: 5620| [86] [{If we stay here too long, she could call the security department on us...}]
491: 5635| [85] [{Let's get out of here calmly, but quickly.}]
492: 5636| [86] [Mashiro]
493: 5637| [86] [{Let's get out of here calmly, but quickly.}]
494: 5668| [47] [Natsuhiko]
495: 5671| [45] ["... Yeah."]
496: 5676| [45] [The kids walked down the hallway trying to look as casual as they could.]
497: 5681| [45] [Nimbly passing through surveillance camera dead spots all the while.]
498: 5707| [47] [Salyu]
499: 5710| [45] ["... So, where do we go next?"]
500: 5736| [47] [Mashiro]
501: 5739| [45] ["We're in a tight spot, huh... Since we can't find Mr. Ukita, we're out of adults we can trust."]
502: 5747| [47] [Natsuhiko]
503: 5750| [45] ["Hmm..."]
504: 5755| [45] [Natsuhiko pondered Mashiro's observation.]
505: 5760| [45] [And he noticed that he did have one person in mind.]
506: 5786| [47] [Mashiro]
507: 5789| [45] ["... What's up, Natsuhiko? Did you think of someone?"]
508: 5797| [47] [Natsuhiko]
509: 5800| [45] ["Well, kinda... But we're barely acquainted, though."]
510: 5826| [47] [Salyu]
511: 5829| [45] ["Who?"]
512: 5837| [47] [Natsuhiko]
