  0:   97| [55] [√Current Chapter3]
 68: 1265| [47] [夏彦]
 69: 1266| [45] [（おい、頼む！　先生を止めてくれ！）]
 70: 1376| [45] [強烈な睡魔を振り切って、夏彦の意識が覚醒する。]
 71: 1381| [45] [音が、光が、五感が息を吹き返す。]
 72: 1386| [45] [――それと同時に、渡瀬も動いていた。]
 73: 1394| [47] [渡瀬]
 74: 1397| [45] [「いや、待て先生！　それは危険だ！」]
 75: 1423| [47] [恵那]
 76: 1426| [45] [「え？」]
 77: 1434| [47] [渡瀬]
 78: 1437| [45] [「あいつらは銃の一件で、先生に対してもかなり疑心を抱いている」]
 79: 1445| [47] [渡瀬]
 80: 1448| [45] [「いま出ていったら、何されるかわからないぞ」]
 81: 1474| [47] [恵那]
 82: 1477| [45] [「でも……だったらどうすればいいのよ？」]
 83: 1482| [45] [部屋の扉を開きかけていた、恵那の動きが止まる。]
 84: 1487| [47] [夏彦]
 85: 1488| [45] [（ふぅ……良かった……）]
 86: 1493| [45] [だが、夏彦が気を抜いたとたん――]
 87: 1661| [47] [夏彦]
 88: 1662| [45] [（く、そ……！）]
 89: 1667| [45] [再び、睡魔が絡みついてくる。]
 90: 1672| [45] [夏彦は自分が消えてしまわぬように、必死で現実にしがみついた。]
 91: 1677| [45] [そして…………。]
 92: 1702| [45] [『思いついたよ、全てを解決する方法を』]
 93: 1707| [45] [もやは会話の流れはわからない。だが渡瀬は確かにそう言った。]
 94: 1712| [47] [夏彦]
 95: 1713| [45] [（なん、だよ……全てを解決する、方法って……？）]
 96: 1718| [45] [――その直後。]
 97: 1785| [47] [恵那]
 98: 1788| [45] [「ぐっ！」]
 99: 1849| [47] [恵那]
100: 1852| [45] [「かはっ……！　ど、どうして……！？」]
101: 1857| [47] [夏彦]
102: 1858| [45] [（――――ッ！）]
103: 1863| [45] [恵那のうめき声が、夏彦の意識を再び現実へと引き戻す。]
104: 1961| [47] [渡瀬]
105: 1964| [45] [「……悪いけど、ここで少し眠っていてくれ」]
106: 2037| [45] [気付けば渡瀬の眼の前に、気を失った恵那が横たえられていた。]
107: 2045| [47] [夏彦]
108: 2048| [45] [《な……何をしてるんだ！》]
109: 2053| [45] [だが渡瀬は、その場から立ち去ると、]
110: 2119| [45] [――外からその研究室の、開閉ボタンを破壊した。]
