  0:   60| [45] [――渡瀬のレスキュー隊員としての生活は続く。]
160: 1385| [45] [「Ａの本名は、アリス・アンフラメ。今から１５年前に、フランスからこの鹿鳴市に渡ってきたコミュニケーターだ」]
161: 1393| [47] [？？]
162: 1396| [45] [「当時、鹿鳴市は、国内外からコミュニケーターの誘致を行っていた」]
163: 1404| [47] [？？]
164: 1407| [45] [「勃興したばかりのＢＣ研究を進めるために、様々な実験・研究の対象となる人材が必要だったのだ」]
165: 1412| [45] [渡瀬も覚えている。]
166: 1417| [45] [確かにあの頃、鹿鳴市はそのような事をやっていた。]
167: 1425| [47] [？？]
168: 1428| [45] [「それでフランスから呼ばれたのが、Ａだ」]
169: 1436| [47] [？？]
170: 1439| [45] [「Ａは世界で最初に発見された、適性度Ｓのコミュニケーターだった。だから鹿鳴市の目に止まったのだろう」]
171: 1447| [47] [？？]
172: 1450| [45] [「Ａは超心研に迎え入れられ、ＢＣ能力の研究・開発のための被験体となった」]
173: 1458| [47] [？？]
174: 1461| [45] [「当時はまだ『ＢＣとは遠くの人に声を届けたり、人の心を読んだりする能力』という事くらいしかわかってなかったが――」]
175: 1469| [47] [？？]
176: 1472| [45] [「超心研はＡを被験体として、テレパシーやエンパシーの発生原理について解明した」]
177: 1480| [47] [？？]
178: 1483| [45] [「またＡも各種の実験を通じ、己のＢＣ能力を開発・強化された」]
179: 1491| [47] [？？]
180: 1494| [45] [「テレパシーとエンパシーを自在に使いこなせるようになり、効果範囲も広がり、その力は際限なく強くなっていった」]
181: 1502| [47] [？？]
182: 1505| [45] [「もっともそれだけなら、何の問題もない」]
183: 1513| [47] [？？]
184: 1516| [45] [「問題は……Ａがその心に、深い『悪意』を抱えていたという事だ」]
185: 1524| [47] [渡瀬]
186: 1527| [45] [「悪意……？」]
187: 1535| [47] [？？]
188: 1538| [45] [「あぁ。恨み、憎しみ、怒りといった、諸々の負の感情。そしてそれらが転じた、他者への悪意――」]
189: 1546| [47] [？？]
190: 1549| [45] [「それで心が満たされてしまうほど、Ａの人生は悲惨だったんだよ」]
191: 1554| [45] [男がそう言うと、ＰＤＡの画面が切り替わった。]
192: 1632| [45] [それは外国語で書かれた、雑誌か何かの記事のようだった。]
193: 1640| [47] [渡瀬]
194: 1643| [45] [「……これは？」]
195: 1651| [47] [？？]
196: 1654| [45] [「２０１４年２月、Ａの故郷フランスで起きたある事件について、地元のゴシップ誌が取り上げた記事だ」]
197: 1662| [47] [？？]
198: 1665| [45] [「当時かの国ではコミュニケーターへの差別が激しく、特に強力な能力を持つＡは、周囲の人々にひどく疎まれていたらしい」]
199: 1673| [47] [？？]
200: 1676| [45] [「特に激しい拒否反応を見せたのが、地元の新興宗教団体――」]
201: 1684| [47] [？？]
202: 1687| [45] [「彼らにとって、理解不能の能力を持つＡは、悪魔の手先にでも見えたのだろう」]
203: 1695| [47] [？？]
204: 1698| [45] [「そして起きたのがこの事件だ。Ａの家が焼き討ちにあったんだよ」]
205: 1707| [47] [渡瀬]
206: 1710| [45] [「……ひどいな」]
207: 1719| [47] [？？]
208: 1722| [45] [「あぁ。だが本当にひどいのはここからだ」]
209: 1730| [47] [？？]
210: 1733| [45] [「これは僕の推察だが……Ａは超心研に入った後、恐らくそこで……」]
211: 1741| [47] [？？]
212: 1744| [45] [「幽閉され、人体実験の被験体にされた」]
213: 1752| [47] [渡瀬]
214: 1755| [45] [「なに！？」]
215: 1763| [47] [？？]
216: 1766| [45] [「当時の超心研の業績を見るに、その可能性が高いんだよ」]
217: 1774| [47] [？？]
218: 1777| [45] [「迫害から逃げて辿り着いた日本で、さらなる受難に遭い……Ａの中の悪意は、さらに増幅された」]
219: 1785| [47] [？？]
220: 1788| [45] [「にも関わらず、超心研はＡの能力をさらに開発したんだ……その危険性も認識せずにね」]
221: 1796| [47] [渡瀬]
222: 1799| [45] [「何が危険だって言うんだ？」]
223: 1807| [47] [？？]
224: 1810| [45] [「知らないのかね？　ＢＣ――テレパシーは、ただ遠くの人間に声を届ける能力じゃない」]
225: 1818| [47] [？？]
226: 1821| [45] [「『感情をも他人に伝える事ができる』んだ」]
227: 1829| [47] [？？]
228: 1832| [45] [「つまり強力なＢＣは、他人の思考をも変えかねないという事だよ」]
229: 1840| [47] [？？]
230: 1843| [45] [「悪意の塊となった彼女の思考が、周囲に無差別に垂れ流されたらどうなる？」]
231: 1851| [47] [？？]
232: 1854| [45] [「その思考に反応し、人々の心の中の『悪意』が刺激される」]
233: 1862| [47] [？？]
234: 1865| [45] [「まるでウィルスのように、彼女が抱えた悪意が、周囲のあらゆる人に伝染していくんだ」]
235: 1873| [47] [？？]
236: 1876| [45] [「……これがどれだけ危険な事であるか、君にもわかるだろう？」]
237: 1899| [47] [渡瀬]
238: 1902| [45] [「……！」]
239: 1907| [45] [渡瀬は言葉を失っていた。]
240: 1912| [45] [ただ無言で、男の声に耳を傾ける。]
241: 1920| [47] [？？]
242: 1923| [45] [「……だが、悪いのはＡではない。何も考えず、彼女の能力を開発してしまった超心研に多大な非がある」]
243: 1931| [47] [？？]
244: 1934| [45] [「超心研の研究者たちは、ただの哀れな女性を、怪物に育て上げてしまったんだ」]
245: 1942| [47] [？？]
246: 1945| [45] [「遅まきながらＡの危険性に気が付いた研究者たちは、彼女が街の外に出ないよう監視していたが――」]
247: 1953| [47] [？？]
248: 1956| [45] [「２０１４年９月１６日、Ａは施設から脱走した」]
249: 1964| [47] [渡瀬]
250: 1967| [45] [「脱走って……そんな事したら……！」]
251: 2101| [47] [？？]
252: 2104| [45] [「そう、あの夜Ａの悪意に満ちた思考は、街中に垂れ流されんだ」]
253: 2112| [47] [？？]
254: 2115| [45] [「そして街に住む人々の心にも、何らかの影響を与えた」]
255: 2123| [47] [？？]
256: 2126| [45] [「とりわけ悪意を多く抱えた、犯罪者予備軍と呼べる人々は、悪意を爆発的に増幅され――」]
257: 2258| [47] [？？]
258: 2261| [45] [「街に、火を放った」]
259: 2269| [47] [？？]
260: 2272| [45] [「これが『鹿鳴市同時多発火災』の真相だ」]
261: 2277| [45] [男ははっきりと言い切った。]
262: 2351| [47] [渡瀬]
263: 2352| [45] [（……そんな……！？）]
264: 2357| [45] [渡瀬は自分の手が震え始めているのに気がついた。]
265: 2362| [47] [渡瀬]
266: 2363| [45] [（鹿鳴市が、超心研が、そんな事をしていたなんて……！）]
267: 2368| [45] [にわかには信じられないような話だが、男の口調はよどみなく、真に迫っていて、異論を挟む余地がない。]
268: 2373| [45] [黙り込む渡瀬に、男は続ける。]
269: 2381| [47] [？？]
270: 2384| [45] [「……これは超心研の不祥事、ひいては超心研を運営している鹿鳴市の不祥事だ」]
271: 2392| [47] [？？]
272: 2395| [45] [「だが連中は、それを認めようとはしなかった」]
273: 2403| [47] [？？]
274: 2406| [45] [「事件の真相は、鹿鳴市によって、Ａの存在ごと隠蔽される事になった」]
275: 2414| [47] [？？]
276: 2417| [45] [「Ａは極秘に超心研に連れ戻され、またも地下室に幽閉されたんだ」]
277: 2474| [47] [？？]
278: 2477| [45] [「その一方で、街外れにラボが建設された。そしてそれが完成すると同時に、Ａの身柄は超心研からラボに移送されたのさ」]
279: 2485| [47] [渡瀬]
280: 2488| [45] [「なっ……どうしてラボに？」]
281: 2496| [47] [渡瀬]
282: 2499| [45] [「ラボは原子力研究所だろ？　なんでコミュニケーターが、そんなところに移送されて――」]
283: 2507| [47] [？？]
284: 2510| [45] [「いや、ラボは原子力研究所などではない。ＢＣの研究所なのだよ」]
285: 2518| [47] [渡瀬]
286: 2521| [45] [「バカな！　そんな話、聞いた事もない！」]
287: 2539| [47] [？？]
288: 2542| [45] [「当然だ。この街最大の秘密だからな」]
289: 2550| [47] [？？]
290: 2553| [45] [「だがおかしいと思った事はないかね？　新規の原子炉を建造するには、越えなければならない様々なハードルがある」]
291: 2561| [47] [？？]
292: 2564| [45] [「厳しい建設基準のクリア、法的な問題、市議会への根回し――それらをスピーディに解決し、ラボの建設はなされた」]
293: 2572| [47] [？？]
294: 2575| [45] [「なぜそのハードルを軽々と越えて、ラボは建設されたか？」]
295: 2583| [47] [？？]
296: 2586| [45] [「答えはラボが、本当は原子炉など抱えていないから。原子力研究所ではなく、ＢＣの研究所だからだ」]
297: 2609| [47] [渡瀬]
298: 2612| [45] [「……っ！」]
299: 2617| [45] [――徐々に渡瀬の中の『常識』が塗り替えられていく。]
300: 2622| [45] [男は渡瀬からの反論が返ってこないことを確認し、続けた。]
301: 2630| [47] [？？]
302: 2633| [45] [「それでも立ちはだかった唯一の問題は、市民の感情だ」]
303: 2641| [47] [？？]
304: 2644| [45] [「当然ながら、人々の原子力に対する抵抗感は、凄まじかったからね」]
305: 2652| [47] [？？]
306: 2655| [45] [「しかし市は人々に、『真に安全な原子力利用の実現は、資源が枯渇しつつある日本にとって必要不可欠だ』と説明し――」]
307: 2663| [47] [？？]
308: 2666| [45] [「市民たちも最終的には、それを受け入れた」]
309: 2671| [45] [渡瀬もその時の騒動は覚えている。]
310: 2676| [45] [当時渡瀬は１８歳だったが、消防学校に入ったばかりという事もあり、『まぁ仕方ないか』くらいの反応しかしなかった。]
311: 2684| [47] [？？]
312: 2687| [45] [「……だがその流れの全てが、隠れ蓑だったのさ」]
313: 2695| [47] [？？]
314: 2698| [45] [「誰もが『原子力』に対しては反発したが、ラボが『ＢＣの研究所』だなどとは、誰ひとり疑わなかった」]
315: 2706| [47] [？？]
316: 2709| [45] [「そして原子力研究の危険性と機密性を盾に、市民たちをラボから遠ざけることに成功したのだよ」]
317: 2717| [47] [渡瀬]
318: 2720| [45] [「じゃあ、鹿鳴市の連中は、人々の反発感情さえも利用したのか……！？」]
319: 2728| [47] [渡瀬]
320: 2731| [45] [「それは人間として、許されない事だろう！」]
321: 2739| [47] [？？]
322: 2742| [45] [「ラボの連中にとっては、それは瑣末な事さ。『研究のために、よりよい方法を取る』。それだけが彼らの行動規範だ」]
323: 2750| [47] [渡瀬]
324: 2753| [45] [「そんな……」]
325: 2761| [47] [？？]
326: 2764| [45] [「ともあれ、そうしてラボは完成した」]
327: 2772| [47] [？？]
328: 2775| [45] [「しかもただの研究施設ではない。Ａのような危険なコミュニケーターを幽閉するための施設でもある」]
329: 2783| [47] [？？]
330: 2786| [45] [「ラボの地下深くには居住区があるんだ。そこにＡは閉じ込められたんだよ」]
331: 2794| [47] [渡瀬]
332: 2797| [45] [「ま……待て！　Ａは法で裁かれなかったのか？」]
333: 2805| [47] [渡瀬]
334: 2808| [45] [「なぜそうまでして、鹿鳴市はＡを匿ったんだ！？」]
335: 2816| [47] [？？]
336: 2819| [45] [「決まっているさ」]
337: 2827| [47] [？？]
338: 2830| [45] [「鹿鳴市が、それだけの事件を起こしたＡを、なおも研究材料にしようとしたからだ！」]
339: 2838| [47] [渡瀬]
340: 2841| [45] [「なに！？」]
341: 2849| [47] [？？]
342: 2852| [45] [「事件の真相が明るみになれば、鹿鳴市も超心研も責任を取らされる」]
343: 2860| [47] [？？]
344: 2863| [45] [「だったら事件を丸ごと闇に葬り、別の場所でまた研究を進めればいい……鹿鳴市の連中は、そう考えたんだ」]
345: 2871| [47] [？？]
346: 2874| [45] [「その日からコミュニケーターＡは、『被験体Ａ』と呼ばれるようになり、ラボ内でＢＣ能力の研究開発に参加した」]
347: 2882| [47] [？？]
348: 2885| [45] [「一方役目を終えた超心研は、単なるダミー施設となった」]
349: 2893| [47] [？？]
350: 2896| [45] [「ラボ内で密かに行われたＢＣ研究の成果は、超心研を通じて発表される」]
351: 2904| [47] [？？]
352: 2907| [45] [「そうすれば誰もラボが、ＢＣ研究所だなんて思わない。こうして完璧な隠蔽体制が完成したんだ」]
353: 2915| [47] [？？]
354: 2918| [45] [「ラボも超心研も、どちらも市営施設だ。元をたどれば全ては鹿鳴市の傘下にあり、緊密に連携しているのさ」]
355: 2923| [47] [渡瀬]
356: 2924| [45] [「――……」]
357: 2929| [45] [渡瀬は動揺を覚えつつも、努めて冷静に考えた。]
358: 2934| [45] [男の言葉に妙な点がないかどうかを。]
359: 2942| [47] [渡瀬]
360: 2945| [45] [「……いや、待て……」]
361: 2953| [47] [渡瀬]
362: 2956| [45] [「普通に考えて、そこまでするか？　当事者たちは誰もその流れを止めようとしなかったのか？」]
363: 2964| [47] [？？]
364: 2967| [45] [「しなかったんだよ。当時鹿鳴市は、ＢＣ研究に力を入れようとした矢先だったからね」]
365: 2975| [47] [？？]
366: 2978| [45] [「君も覚えていると思うが、当時の日本は経済的・産業的に、行き詰まりを見せていた」]
367: 2986| [47] [？？]
368: 2989| [45] [「そこに現れた、ＢＣという新技術――」]
369: 2997| [47] [？？]
370: 3000| [45] [「その可能性に賭けた鹿鳴市の連中は、あらゆる障害を排してでも、ＢＣの技術開発を推し進めようとしたのだよ」]
371: 3008| [47] [渡瀬]
372: 3011| [45] [「なんのメリットがあって……！？」]
373: 3019| [47] [？？]
374: 3022| [45] [「あらゆる先進的技術は、巨万の富を生み出す可能性があるからさ」]
375: 3030| [47] [？？]
376: 3033| [45] [「ましてＢＣと言う技術は、世界中の誰もが手をつけていない、正真正銘の新技術」]
377: 3041| [47] [？？]
378: 3044| [45] [「日本が世界に先んじて研究を進めれば、その分野のトップに立てる」]
379: 3052| [47] [？？]
380: 3055| [45] [「事実テレパシーは、精神医学の分野等に応用できるし――」]
381: 3063| [47] [？？]
382: 3066| [45] [「エンパシーに至っては、利用価値は計り知れない。産業・政治・軍事といった、あらゆる分野での諜報活動にね」]
383: 3074| [47] [？？]
384: 3077| [45] [「かくして新たな利権の構造が生まれ、当事者たちはその利権を護る事に狂奔した。都合の悪い事は隠蔽してでも」]
385: 3085| [47] [？？]
386: 3088| [45] [「そして君もまた、その被害にあった１人なのさ」]
387: 3096| [47] [渡瀬]
388: 3099| [45] [「俺が！？」]
389: 3107| [47] [？？]
390: 3110| [45] [「鹿鳴市同時多発火災の際の死者は、１１８名」]
391: 3118| [47] [？？]
392: 3121| [45] [「その被害者遺族たちは、手厚く保護され、生活・進学・就労まで便宜を図られた」]
393: 3129| [47] [？？]
394: 3132| [45] [「住居は公営住宅が与えられ、多くの者は君と同じく公務員となった」]
395: 3140| [47] [？？]
396: 3143| [45] [「しかし奇妙に思った事はないかね？　なぜ単なる地方自治体が、それほどまでに被害者遺族に気を遣うのかと」]
397: 3151| [47] [？？]
398: 3154| [45] [「その目的は被害者遺族を、市の膝元に置き、動向を監視する事だ」]
399: 3162| [47] [渡瀬]
400: 3165| [45] [「ば……バカな……！？」]
401: 3173| [47] [？？]
402: 3176| [45] [「信じられないかね？　まぁそうだろう。では我々が入手した資料を送る」]
403: 3184| [47] [？？]
404: 3187| [45] [「それを見て、僕の言葉が正しいかどうか判断してくれたまえ」]
405: 3192| [45] [男がそう言った直後、ＰＤＡに添付ファイル付きのメールが送られてきた。]
406: 3197| [47] [渡瀬]
407: 3198| [45] [（……？）]
408: 3209| [45] [渡瀬はメールを開き、ファイルの中身を確認する。]
409: 3214| [45] [それは男の話の内容を裏付ける、様々な資料だった。]
410: 3257| [45] [『ラボ内の写真』――]
411: 3262| [45] [それはラボが原子力研究所ではない事を示していた。]
412: 3267| [45] [『ラボから超心研に送られたメールの写し』――]
413: 3272| [45] [それはラボで開発された『ＢＣ絶縁体』を、超心研で開発された物として発表するよう指示するメールだった。]
414: 3277| [45] [『被験体Ａの資料』――]
415: 3282| [45] [こちらは多くのデータが抹消されていたが、かつてラボにそう呼ばれたコミュニケーターが幽閉されていた事は確かなようだ。]
416: 3287| [45] [他にも様々な資料が、男の言葉が真実だという事を裏付けていた。]
417: 3330| [45] [そしてそれを読み終えた渡瀬は――呆然と、呟いた。]
418: 3338| [47] [渡瀬]
419: 3341| [45] [「……本当なのか……あんたの言ってる事は……！」]
420: 3349| [47] [？？]
421: 3352| [45] [「本当だ。信じがたいだろうし、信じたくもないだろうが」]
422: 3360| [47] [？？]
423: 3363| [45] [「だが改めて考えてみたまえ、この街の異常さを。情報統制や人民監視が、平然と行われているじゃないか」]
424: 3371| [47] [？？]
425: 3374| [45] [「こんな街では、どんな信じられない事も起こりうる」]
426: 3379| [45] [そう言われて渡瀬は、はっとした。]
427: 3384| [45] [この街では『政令指定機密都市だから』というお題目の元に、人権を無視したような事が行われているようになっていた。]
428: 3438| [45] [街中に配備された監視カメラ。]
429: 3490| [45] [市民の出入りを管理する都市ゲート。]
430: 3495| [45] [一部の人間だけが閲覧できる住民データベース……。]
431: 3510| [45] [それら１つ１つが作られるごとに、住民たちの反発はあった。]
432: 3515| [45] [しかし反発はいつも、やがては沈静化し、なし崩し的に監視カメラなどは増やされ――]
433: 3520| [45] [そしていつの間にか、住民たちにも浸透した。]
434: 3525| [45] [いや、住民たちはその異常さに『慣れた』のだ。]
435: 3545| [47] [渡瀬]
436: 3546| [45] [（っっっ……）]
437: 3551| [45] [その流れのおかしさに気づいた時、渡瀬は寒気を感じた。]
438: 3556| [45] [自分に直接関係のない事であれば、誰も真剣に考えない。]
439: 3561| [45] [そうして様々な事が、気付かぬうちに、取り返しがつかないほど進行していくのだ。]
440: 3569| [47] [渡瀬]
441: 3572| [45] [「……じゃあ、何か……！？」]
442: 3580| [47] [渡瀬]
443: 3583| [45] [「俺の家族は……鹿鳴市と超心研が作り上げた、怪物のせいで死んで……」]
444: 3591| [47] [渡瀬]
445: 3594| [45] [「なのに当の鹿鳴市は、一切責任を取らず、罪を隠し……」]
446: 3603| [47] [渡瀬]
447: 3606| [45] [「そして俺は、何も知らないまま……その鹿鳴市に金貰って、今日までぬくぬく暮らしてたってわけか……！？」]
448: 3614| [47] [？？]
449: 3617| [45] [「残念ながら、その通りだ」]
450: 3625| [47] [？？]
451: 3628| [45] [「君は家族の仇である鹿鳴市に育てられ、鹿鳴市の公務員として働いているのだよ」]
452: 3708| [47] [渡瀬]
453: 3711| [45] [「――ッ！！」]
454: 3716| [45] [渡瀬は声にならない叫びを上げた。]
455: 3721| [45] [血液が沸騰し、目の前が真っ赤になる。]
456: 3729| [47] [渡瀬]
457: 3732| [45] [「ふ、ざ……ふざけるなッ！！」]
458: 3740| [47] [渡瀬]
459: 3743| [45] [「被験体Ａはどうなったんだ！　奴はラボの中で、今も生きてるのか！？」]
460: 3751| [47] [？？]
461: 3754| [45] [「いや、死んだ」]
462: 3762| [47] [渡瀬]
463: 3765| [45] [「な、に……！？」]
464: 3773| [47] [？？]
