  0:   56| [45] [――ともかく鹿鳴学園の教師『恵那』を救助した洵たちは――]
 79: 1608| [47] [恵那]
 80: 1611| [45] [「なんであなた、女なのにレスキュー隊員なんてやってんの？」]
 81: 1619| [47] [洵]
 82: 1622| [45] [「……！」]
 83: 1627| [45] [その言葉に、洵の胸はざわついた。]
 84: 1632| [45] [凪沙の死の後、洵はわき目も降らず、レスキュー隊員を目指してきた。]
 85: 1637| [45] [周囲が呆れるほどの努力を重ね、ようやくそれを実現した。]
 86: 1642| [47] [洵]
 87: 1643| [45] [（でも、確かになんか……マトモな人生ではなかったかもしれないけど……）]
 88: 1648| [45] [嫌な気持ちが、胸中から湧き上がる。]
 89: 1653| [45] [洵がその思いのたけをぶちまけようとした時――]
 90: 1686| [47] [渡瀬]
 91: 1689| [45] [「ど、どうした！？」]
 92: 1722| [47] [風見]
 93: 1725| [45] [「守部、なにを騒いでいるのですか！？」]
 94: 1730| [45] [そこに渡瀬たちが駆けつけてきた。]
 95: 1737| [45] [――すんでのところで、恵那との決定的な衝突は避けられたが――]
 96: 1742| [45] [洵の心に、恵那への静かな怒りが渦巻き始めた。]
 97: 1794| [45] [――その記憶を見終えた夏彦は、思った。]
 98: 1799| [47] [夏彦]
 99: 1800| [45] [（洵さんの自信が、ちょっとぐらついてる感じが……）]
100: 1805| [47] [夏彦]
101: 1806| [45] [（感情を調整して、元に戻さなきゃ！）]
