  0:  134| [55] [√After Chapter 4]
 88: 1209| [45] ["Lieutenant! Stop it already!"]
 89: 1235| [47] [Kazami]
 90: 1238| [45] ["!"]
 91: 1243| [45] [Kazami finally stopped moving at the sound of Jun's cry.]
 92: 1251| [47] [Watase]
 93: 1254| [45] ["... Tachibana..."]
 94: 1259| [45] [He couldn't say any more.]
 95: 1264| [45] [Kazami quietly turned around towards Watase and spoke.]
 96: 1290| [47] [Kazami]
 97: 1293| [45] ["I did everything within my power..."]
 98: 1301| [47] [Kazami]
 99: 1304| [45] ["... But she's... dead."]
100: 1309| [45] [Kazami muttered that.]
101: 1369| [45] [Her face seemed absolutely devoid of life.]
102: 1374| [45] [The rest of the group chose that moment to speak up in terrified voices.]
103: 1430| [47] [Yuuri]
104: 1433| [45] ["U-um, Lieutenant Tachibana...?"]
105: 1441| [47] [Ena]
106: 1444| [45] ["Er... are you okay?"]
107: 1452| [47] [Kazami]
108: 1455| [45] ["I apologize for causing you all concern. I'm all right now."]
109: 1460| [45] [Her tone of voice and the look on her face were the same as always-- and full of a harshness that wouldn't accept any further questions.]
110: 1503| [47] [Watase]
111: 1504| [45] [(What the hell just happened...?)]
112: 1509| [45] [Kazami had clearly been acting strange.]
113: 1514| [45] [But her attitude made it clear that she would reject any questions regarding the reason for her actions.]
114: 1519| [45] [However, there was one thing they all knew for sure.]
115: 1524| [47] [Watase]
116: 1525| [45] [(There's been... yet another victim...!)]
117: 1530| [45] [The group left the room, their hearts full of melancholy.]
118: 1536| [45] [They left the girl's body where it was--]
119: 1546| [86] [Kazami]
120: 1547| [86] ["... Um, hello?"]
121: 1557| [85] ["... Um, hello?"]
