  0:  109| [55] [√Current Chapter 2]
 87: 1804| [45] ["And yet you turned your backs on him the moment the AD disappeared? What kind of sane person does that?"]
 88: 1809| [47] [Natsuhiko]
 89: 1810| [45] [(!! No, Professor! If you stick up for Watase in this situation--!)]
 90: 1815| [45] [Jun and Ukita glared at Ena.]
 91: 1841| [47] [Jun]
 92: 1844| [45] ["Why are -you- on the Captain's side after hearing everything we've just said? I mean, you barely know the guy, right?"]
 93: 1870| [47] [Jun]
 94: 1873| [45] ["Unless... the two of you are in cahoots or something?"]
 95: 1899| [47] [Ukita]
 96: 1902| [45] ["I see, now I get it. I always did think you were acting strange...!"]
 97: 1928| [47] [Ukita]
 98: 1931| [45] ["Now I finally understand! You two are planning to just save yourselves and leave the rest of us to die!"]
 99: 1939| [47] [Ukita]
100: 1942| [45] ["You were the ones who hid the AD, weren't you!? All so you could have it all to yourselves!"]
101: 2060| [45] [Jun and Ukita sidled up to Watase and Ena, prompting Natsuhiko to shout a warning to Watase.]
102: 2127| [47] [Natsuhiko]
103: 2130| [45] [{It's too dangerous... take Prof. Tsubakiyama and run!}]
104: 2210| [47] [Watase]
105: 2213| [45] ["!"]
106: 2218| [45] [Heeding Natsuhiko, Watase took Ena's hand and ran.]
107: 2311| [47] [Jun]
108: 2314| [45] ["Trying to run!?"]
109: 2322| [47] [Ukita]
110: 2325| [45] ["Not good! Hold them down!"]
111: 2373| [45] [And with those voices at their backs, Watase and Ena fled.]
