  0:   81| [55] [√Current Chapter 3]
134: 1906| [47] [Kazami]
135: 1909| [45] ["Watase... I'm so sorry, Watase..."]
136: 1935| [47] [Kazami]
137: 1938| [45] ["This is the only thing... I can do for you now..."]
138: 2005| [45] [With one look into her eyes, Natsuhiko was convinced.]
139: 2153| [47] [Natsuhiko]
140: 2154| [45] [(Sh-she's the same! She's the same as Mr. Ukita and Jun!)]
141: 2159| [45] [At that moment, Watase quickly thrust Kazami away.]
142: 2250| [47] [Kazami]
143: 2253| [45] ["Kyah!"]
144: 2258| [45] [She fell on the staircase with the fire extinguisher still in hand.]
145: 2312| [45] [Watase took that opportunity to carry Natsuhiko's body down to the second basement level and rush out of the stairwell.]
146: 2365| [47] [Watase]
147: 2368| [45] ["Dammit! What the hell's going on!?"]
148: 2373| [45] [Thoughts raced through Natsuhiko as Watase shouted that.]
149: 2378| [47] [Natsuhiko]
150: 2379| [45] [(What in the world's going on!?)]
151: 2384| [47] [Natsuhiko]
152: 2385| [45] [(--Why's everyone acting crazy all of a sudden!? Even Ms. Tachibana!?)]
153: 2390| [45] [Something suspicious was happening. But Natsuhiko didn't know what.]
