  0:  136| [45] [――夏彦が、鹿鳴学園高等部に進学したばかりの頃。]
102: 1384| [45] [「ってあれ！？　あ、油はどこ！？」]
103: 1392| [47] [夏彦]
104: 1395| [45] [「え、あ、どこだろ？　キッチンの事は、家政婦さん任せだったから……」]
105: 1409| [47] [ましろ]
106: 1412| [45] [「ここかな？　いや、ここ？」]
107: 1423| [45] [ましろはそう言いながら、キッチンの戸棚を探る。]
108: 1433| [45] [だがそうしているうちに、鍋が煙を上げ始めた。]
109: 1441| [47] [夏彦]
110: 1444| [45] [「ま、ましろ！　鍋から煙が！」]
111: 1452| [47] [ましろ]
112: 1455| [45] [「え、あ、あわわわ！　温度下げなきゃ！」]
113: 1481| [47] [ましろ]
114: 1484| [45] [「ってあれ！？　温度どうやって下げんのこれ！？」]
115: 1492| [47] [夏彦]
116: 1495| [45] [「ど、どうだろう！？　そのボタンじゃないか！？」]
117: 1521| [47] [ましろ]
118: 1524| [45] [「了解！　それじゃぽちっとな！」]
119: 1639| [47] [ましろ]
120: 1642| [45] [「……うぉおおお！？　煙がどんどん強くなっていく！？」]
121: 1650| [47] [夏彦]
122: 1653| [45] [「それは温度アップか！　じゃあそっちのボタンだ！」]
123: 1710| [45] [――そのようにして、騒動は続く。]
124: 1788| [47] [ましろ]
125: 1791| [45] [「……ふぅ、なんだかんだでシチューはできたよ。あとはじっくりコトコト煮込むだけ」]
126: 1799| [47] [夏彦]
127: 1802| [45] [「一時はどうなる事かと思ったな……でも美味そうな、いい匂いだ」]
128: 1828| [47] [ましろ]
129: 1831| [45] [「でっしょー？　さぁて、お次はサラダです」]
130: 1839| [47] [ましろ]
131: 1842| [45] [「これは簡単だね、失敗しようがないよ」]
132: 1875| [45] [ましろは手際よく、野菜を切っていく。]
133: 1880| [45] [いつも母親の手伝いをしているというだけあって、包丁さばきは確かだ。]
134: 1885| [45] [数分後には、３人分の色鮮やかなサラダが、皿の上に出来上がっていた。]
135: 1911| [47] [ましろ]
136: 1914| [45] [「よっし、ＯＫ！　夏彦に悠里、どうよこれ！？」]
137: 1922| [47] [夏彦]
138: 1925| [45] [「おお、見事なもんだ。なぁ悠里？」]
139: 1930| [45] [――。]
140: 1956| [47] [ましろ]
141: 1959| [45] [「ふふふ、褒めすぎだよ悠里」]
142: 1985| [47] [ましろ]
143: 1988| [45] [「さて、あとはドレッシングをかけるだけだね。ドレッシングは何があるのかな？」]
144: 2021| [45] [ましろがそう言って、冷蔵庫を開けた時――彼女の顔が、ふと凍りついた。]
145: 2082| [47] [ましろ]
146: 2085| [45] [「な、何もない！？　ドレッシング使わないのこの家！？」]
147: 2093| [47] [夏彦]
148: 2096| [45] [「え！？　あ、違う、切らしてたんだ……ごめん、気づかなかった」]
149: 2122| [47] [ましろ]
150: 2125| [45] [「どどどどどうしよう！　それは予想だにしてなかったよ！」]
151: 2133| [47] [夏彦]
152: 2136| [45] [「落ち着けましろ、焦りすぎだ！　ぼくがコンビニで買ってくるから待ってろ！」]
153: 2162| [47] [ましろ]
154: 2165| [45] [「お、お願い！」]
155: 2234| [45] [夏彦はコンビニにダッシュした。]
156: 2239| [45] [ドレッシングを買い込み、素早く家に戻る。]
157: 2305| [47] [夏彦]
158: 2308| [45] [「ましろ、ドレッシング買って来たぞ！　そっちの首尾はどうだ！？」]
159: 2334| [47] [ましろ]
160: 2337| [45] [「オムレツに取り掛かり中、もう２人分出来ました！」]
161: 2342| [45] [そう答えるましろの傍らには、美しい紡錘型のオムレツが２皿並んでいた。]
162: 2350| [47] [夏彦]
163: 2353| [45] [「おー、凄いな！　これも見事なもんだ！」]
164: 2379| [47] [ましろ]
165: 2382| [45] [「オムレツには自信あるんだよね～。目ーつぶったって作れるよ」]
166: 2408| [47] [ましろ]
167: 2411| [45] [「いま３枚目が出来るから、待ってて」]
168: 2444| [45] [ましろはフライパンを手にウィンクする。]
169: 2449| [45] [そして手首をとんとんと叩き、フライパンの端に卵を寄せた。]
170: 2475| [47] [ましろ]
171: 2478| [45] [「さぁオムレツ作りのハイライト、フライパン返しですよ～」]
172: 2486| [47] [夏彦]
173: 2489| [45] [「それって、卵を空中に放って裏返すやつか！？　できるのかましろ！？」]
174: 2515| [47] [ましろ]
175: 2518| [45] [「慣れればそんなに難しくないんだよ。ま、見てなって」]
176: 2541| [45] [ましろはそう言って、フライパンを握り締める。]
177: 2563| [45] [そしてひょいっと卵を、空中に放り投げ――]
178: 2624| [47] [ましろ]
179: 2627| [45] [「へっきし！」]
180: 2632| [45] [放り投げたところで、思い切りくしゃみをした。]
181: 2640| [47] [夏彦]
182: 2643| [45] [「お約束か！」]
183: 2669| [47] [ましろ]
184: 2672| [45] [「い、いやその、さっきの煙が鼻に……！」]
185: 2715| [47] [ましろ]
186: 2718| [45] [「って、あ！」]
187: 2723| [45] [３枚目のオムレツは、フライパンから投げ出され、電磁調理器の上に落ちていた。]
188: 2746| [45] [せっかくの綺麗な紡錘型も、完全に潰れてしまっている。]
189: 2754| [47] [夏彦]
190: 2757| [45] [「……ましろ、卵って、まだ残ってたっけ……？」]
191: 2765| [47] [ましろ]
192: 2768| [45] [「うぅん……これで最後……」]
193: 2776| [47] [夏彦]
194: 2779| [45] [「……そうか」]
195: 2784| [45] [ましろががっくりと肩を落とす。]
196: 2789| [45] [その姿を見ていると、先ほどクラスメートの女子に言われた言葉が脳裏をよぎった。]
197: 2794| [45] [夏彦は彼女に歩み寄り、その肩を優しく叩く。]
198: 2821| [47] [夏彦]
199: 2824| [45] [「……ましろ、そんな気を落とすなよ。ぼくは潰れてても平気だよ」]
200: 2850| [47] [ましろ]
201: 2853| [45] [「え！？　こんな調理器の上に落ちたやつ、汚いよ！？」]
202: 2861| [47] [夏彦]
203: 2864| [45] [「いつも綺麗に掃除してたし、大丈夫だよ」]
204: 2872| [47] [夏彦]
205: 2875| [45] [「それにせっかくましろが、初めて作ってくれた手料理だ。全部ちゃんと平らげたいしさ」]
206: 2901| [47] [ましろ]
207: 2904| [45] [「っ……！」]
208: 2930| [47] [ましろ]
209: 2933| [45] [「……その気持ちは嬉しいけど……潰れた料理を人に出すのは、私としてはちょっと……」]
210: 2941| [47] [夏彦]
211: 2944| [45] [「え、そういうもんか？」]
212: 2970| [47] [ましろ]
213: 2973| [45] [「そういうもんだよ。だから潰れたのは捨てとくね」]
214: 2999| [47] [ましろ]
215: 3002| [45] [「でも……ありがと、夏彦」]
216: 3007| [45] [ましろはそう言って、潰れたオムレツを片付けた。]
217: 3059| [45] [――その後夏彦たちは、すでに出来ていた２皿分のオムレツを、３人分に切り分けた。]
218: 3064| [45] [そしてシチューやサラダと共にテーブルに並べ、それぞれの席に着く。]
219: 3134| [47] [ましろ]
220: 3137| [45] [「よし！　紆余曲折ありましたけど、ようやく完成しました！」]
221: 3145| [47] [夏彦]
222: 3148| [45] [「おー、美味そうじゃないか！」]
223: 3174| [47] [ましろ]
224: 3177| [45] [「それじゃ皆さん、手を合わせて――」]
225: 3185| [47] [夏彦]
226: 3188| [45] [「いただきます」]
227: 3221| [45] [夏彦はそう言って、食事に手をつけた。]
228: 3226| [45] [まず、シチューを一口食べる。]
229: 3231| [45] [いつも家政婦が作ってくれた料理とは、風味が若干違っていたが、それでもなかなかの美味だった。]
230: 3236| [45] [しかしましろは一口食べるなり、見る間に顔を曇らせる。]
231: 3262| [47] [ましろ]
232: 3265| [45] [「あ、あれ……？　なんかどことなく、焦げっぽい味が……」]
233: 3273| [47] [夏彦]
234: 3276| [45] [「え、そうか？」]
235: 3284| [47] [ましろ]
236: 3287| [45] [「火にかけすぎて、焦がしちゃったのかな！？　じゃあオムレツは……！？」]
237: 3320| [45] [ましろは慌ててオムレツに口をつける。夏彦も同じく、オムレツを食べる。]
238: 3325| [45] [すると彼女はさらに、顔を曇らせた。]
239: 3351| [47] [ましろ]
240: 3354| [45] [「あああ……中、ちょっと固まっちゃってる……！　ふわふわトロトロじゃない……！」]
241: 3362| [47] [ましろ]
242: 3365| [45] [「ガスコンロと電磁調理器で、火の通り方が違ったんだ……！」]
243: 3370| [45] [ましろは泣きそうな顔をしていた。]
244: 3375| [45] [夏彦はそこに、優しく声をかける。]
245: 3383| [47] [夏彦]
246: 3386| [45] [「安心してくれましろ、どっちも美味しいよ」]
247: 3412| [47] [ましろ]
248: 3415| [45] [「ほ、ホントに……？」]
249: 3423| [47] [夏彦]
250: 3426| [45] [「ホントホント。あの家政婦さんより料理上手いと思うよ」]
251: 3434| [47] [ましろ]
252: 3437| [45] [「そ、そう……なら、よかったけど……」]
253: 3445| [47] [夏彦]
254: 3448| [45] [「ありがとうな、ましろ。いい夕食だよ」]
255: 3456| [47] [夏彦]
256: 3459| [45] [「これから毎日こんな料理が食べられるなんて、楽しみになってきたな」]
257: 3485| [47] [ましろ]
258: 3488| [45] [「っ……」]
259: 3514| [47] [ましろ]
260: 3517| [45] [「そだね、私も楽しみになってきたよ。明日からもっと頑張るね！」]
261: 3525| [47] [夏彦]
262: 3528| [45] [「おー、期待させてもらうよ」]
263: 3551| [45] [２人はそう言って、笑みを交わす。]
264: 3556| [45] [穏やかで親密な時間が、ゆっくりと流れていた……。]
265: 3796| [45] [――彼の記憶を遡るうちに――]
266: 3801| [45] [やがて夏彦の脳の片隅から、ある情報エネルギーの塊が立ち上ってきた。]
267: 3806| [45] [そしてそのエネルギーは、形となり……]
268: 3811| [45] [夏彦も自覚していない、無意識下の情報として、そこに顕現した。]
