  0:  139| [55] [√After Chapter3]
179: 2945| [45] [プロキオンの数値は『３０９０ｍＳｖ』――。]
180: 2950| [45] [それはＡＤがなければ、人体に甚大な影響を及ぼしかねない数値だった。]
181: 2955| [45] [そんな中、洵が恐る恐る口を開く。]
182: 2981| [47] [洵]
183: 2984| [45] [「それで、その……最後のＡＤは誰が使う？」]
184: 2989| [45] [するとそれに、宇喜多が迷わず即答した。]
185: 3015| [47] [宇喜多]
186: 3018| [45] [「ユウリくんに使おう」]
187: 3044| [47] [恵那]
188: 3047| [45] [「……そうね。この中で一番か弱いのは彼女だから」]
189: 3052| [45] [すると、その時――]
190: 3166| [47] [ユウリ]
191: 3169| [45] [「あれ……？　ここ、どこ……？」]
192: 3174| [45] [ユウリが眠りから目覚め、きょろきょろと周囲を見回した。]
193: 3182| [47] [渡瀬]
194: 3185| [45] [「ガスを吸って倒れたんだよ。だがもう大丈夫だ。消火システムもちゃんと起動させたしな」]
195: 3211| [47] [ユウリ]
196: 3214| [45] [「そう、だったんですか……」]
197: 3219| [45] [まだ頭がはっきりしないのか、ユウリの反応がどうも頼りない。]
198: 3224| [47] [渡瀬]
199: 3225| [45] [（――もしかして、ユウリにも放射線の影響が出ているんじゃ！？）]
200: 3230| [45] [不安に思い、渡瀬はユウリの腕を取った。]
201: 3255| [47] [渡瀬]
202: 3258| [45] [「詳しい説明は後だ。それより先にＡＤを打った方がいい」]
203: 3284| [47] [ユウリ]
204: 3287| [45] [「え……？」]
205: 3292| [45] [渡瀬の言葉を聞き、ユウリが戸惑いの声を上げる。]
206: 3297| [45] [そして、渡瀬が取り出したＡＤを眼にしたとたん――]
207: 3358| [47] [ユウリ]
208: 3361| [45] [「い、いやあ！」]
209: 3387| [45] [――ユウリは手で、ＡＤを弾き飛ばしていた。]
210: 3402| [47] [渡瀬]
211: 3405| [45] [「あ……」]
212: 3410| [45] [見るとＡＤが鉄パイプに当たり、粉々に砕け散っている。]
213: 3415| [45] [それは渡瀬たちがユウリのために投与を譲った、貴重な最後の１本だった。]
214: 3423| [47] [渡瀬]
215: 3426| [45] [「――ユウリ、お前っ！」]
216: 3431| [45] [頭にカッと血がのぼる。]
217: 3436| [45] [そして思わず手を上げた――その時。]
218: 3494| [85] [《やめろぉっ！》]
219: 3495| [86] [幻聴]
220: 3496| [86] [《やめろぉっ！》]
221: 3597| [47] [渡瀬]
222: 3600| [45] [「！！」]
223: 3605| [45] [突如襲いかかってきた頭痛に、渡瀬は身をよじった。]
224: 3613| [47] [渡瀬]
225: 3616| [45] [「ぐぅぅぅ……」]
226: 3621| [45] [急速に視界が暗くなる。]
227: 3673| [47] [渡瀬]
228: 3674| [45] [（こ……これは……）]
229: 3679| [47] [渡瀬]
230: 3680| [45] [（まさか、ＡＤが切れた……せい、なのか……？）]
231: 3685| [45] [そこで意識は闇に落ち―――………]
232: 3690| [45] [――……]
233: 3695| [45] [―…]
234: 3754| [45] [――]
235: 3759| [45] [――――]
236: 3764| [45] [――――――意識は果ての無い闇にあった。]
237: 3769| [45] [だがそれを認識できるようになった時、]
238: 3774| [45] [闇は闇でなくなった。]
239: 3837| [47] [渡瀬]
240: 3840| [45] [「うぅ……」]
241: 3845| [45] [目を覚ますと、そこはエンジンルームの中だった。]
242: 3850| [45] [ぼんやりする頭を振りながら、腕時計に視線を落とす。]
243: 3855| [45] [時刻は『１２：５６』――。]
244: 3860| [45] [あれから１時間半もの時が流れていた。]
245: 3865| [47] [渡瀬]
246: 3866| [45] [（みんなは……？）]
247: 3871| [45] [周囲を見回しても、エンジンルームに渡瀬１人しかいない。]
248: 3876| [45] [ふと見ると、床にＰＤＡが置いてある。]
249: 3881| [45] [画面に『先に行きます』という、簡潔なメッセージが残されている。]
250: 3887| [45] [そして、その横には１本のＡＤが――。]
251: 3895| [47] [渡瀬]
252: 3898| [45] [「そうか……あの後、ちゃんとＡＤが見つかったんだな……」]
253: 3903| [45] [頭痛もなければ、肌の違和感もない。]
254: 3908| [45] [おそらく気を失っている間に、誰かがＡＤを投与してくれたのだろう。]
255: 3916| [47] [渡瀬]
256: 3919| [45] [「さて……オレも行くか」]
257: 3924| [45] [風見たちの居場所はわからないが、とにかくじっとしてはいられない。]
258: 3929| [45] [渡瀬は残されていたＡＤをポケットにしまうと、]
259: 3934| [45] [ハシゴを降り、風見たちを探しに行った。]
260: 3978| [45] [廊下に出ると、空気はすでに正常に戻っているようだった。]
261: 3986| [47] [渡瀬]
262: 3989| [45] [「……とりあえず、監視ルームに行ってみるか……」]
263: 3994| [45] [ラボ内を闇雲に動き回るより、監視カメラの映像をチェックした方が確実だろう。]
264: 3999| [45] [そう判断し、内周棟側へ足を向ける。]
265: 4043| [45] [そして、消火システムにより鎮火された連絡通路を抜け――]
266: 4087| [45] [第３エリア内周棟・地下１階に辿り着いた時。]
267: 4113| [45] [――凄まじい轟音が、ビリビリと空気を震わせた。]
268: 4121| [47] [渡瀬]
269: 4124| [45] [「なっ――爆発っ！？」]
270: 4129| [45] [戦慄が、背筋を這い上がる。]
271: 4134| [47] [渡瀬]
272: 4135| [45] [（どういうことだ！？　ラボの火災は、もう収まったんじゃなかったのか！？）]
273: 4140| [45] [ありえない事が起こっている。ひどい胸騒ぎがした。]
274: 4145| [45] [渡瀬は事態を確認するため、全速力で通路を駆けた。]
275: 4244| [45] [すると前方――階段室の辺りで、土煙が立っているのがわかる。]
276: 4250| [47] [渡瀬]
277: 4251| [45] [（っ！！）]
278: 4256| [45] [階段室の防火扉は、内から外へひしゃげていた。]
279: 4264| [47] [渡瀬]
280: 4267| [45] [「な、何でこんな事に！？」]
281: 4272| [45] [渡瀬はわけもわからぬまま、階段室に飛び込んだ。]
282: 4361| [45] [暗い。立ちこめる粉塵で、嫌になるほど埃っぽい。]
283: 4375| [45] [だが暗闇に目を凝らすと、次第にその惨状が明らかになってくる。]
284: 4380| [45] [非常階段は地下２階部分が、跡形もなく吹き飛ばされていた。]
285: 4385| [45] [そして――崩れた階段の縁に、何かが横たわっている。]
286: 4390| [47] [渡瀬]
287: 4391| [45] [（何だ、アレは……？）]
288: 4396| [45] [だがその辺りの闇は濃く、輪郭すらもはっきりしない。]
289: 4407| [45] [見るには――そこまで行くしかない。]
290: 4412| [47] [渡瀬]
291: 4413| [45] [「……」]
292: 4418| [45] [渡瀬はごくりと唾を飲み込んだ。]
293: 4423| [45] [そして崩れかけた階段を、１歩１歩降りて行く。]
294: 4428| [45] [ほんの十数段しかないというのに、やけに遠く感じた。]
295: 4433| [45] [近づけば近づくほど、全身にじっとりと汗が滲む。]
296: 4438| [45] [――引き返せ！]
297: 4443| [45] [渡瀬の本能とも言うべきものが、渡瀬に強くそう命じた。]
298: 4448| [45] [だが渡瀬はその声を無視して、それに近づいた。]
299: 4454| [45] [だんだん闇に目が慣れてくる。それは人のような形をしていた。]
300: 4459| [45] [手があり、頭があり、腕がある。]
301: 4464| [47] [渡瀬]
302: 4465| [45] [（誰だ……？）]
303: 4470| [45] [渡瀬はその場に膝をつき、その人物を確認した。]
304: 4475| [45] [そこに横たわっていたのは――]
305: 4483| [47] [渡瀬]
306: 4486| [45] [「――橘っ！？」]
307: 4491| [45] [一旦そう認識してしまえば、闇の中でも風見の顔がはっきり見えた。]
308: 4499| [47] [渡瀬]
309: 4502| [45] [「おい、橘！　しっかりしろ！」]
310: 4507| [45] [狼狽し、慌てて彼女を抱き起こす。]
311: 4512| [45] [だが、妙に軽い。いや――軽すぎる。]
312: 4517| [45] [そして渡瀬は気づいていた。]
313: 4522| [45] [――下半身がないということに。]
314: 4530| [47] [渡瀬]
315: 4533| [45] [「あ、ああああぁっ！」]
316: 4538| [45] [渡瀬はとっさにそれを探した。]
317: 4543| [45] [だがどこにも見当たらない。]
318: 4549| [45] [風見の垂れ下がった内臓から、血が地下２階へ滴り落ちていく。]
319: 4557| [47] [渡瀬]
320: 4560| [45] [「ぉ、ぉ、ぉぉおおおおおおおあああああっ！」]
321: 4565| [45] [獣のような咆哮が、渡瀬の口からもれ出した。]
322: 4570| [45] [それは怒りとも悲しみとも取れない、正体不明の感情だった。]
323: 4575| [45] [――その時。]
324: 4587| [45] [何者かが、渡瀬の背後に現れた。]
325: 4595| [47] [渡瀬]
326: 4598| [45] [「ッ！！」]
327: 4603| [45] [渡瀬はとっさにふり返ろうとした――が、もう遅い。]
328: 4672| [45] [突き飛ばされた。おそらく足で。]
329: 4680| [47] [渡瀬]
330: 4683| [45] [「っ！！！？？？」]
331: 4688| [45] [気づけば、暗闇の中にいた。]
332: 4693| [45] [半身を失った風見を抱き締めたまま、真っ逆さまに落ちていく。]
333: 4698| [45] [――その直後、]
334: 4710| [45] [脳天が地面に激突した。]
335: 4715| [45] [頭蓋骨が割れ、何かがそこから流れ出す。]
336: 4723| [47] [渡瀬]
337: 4726| [45] [「……う、あ…………」]
338: 4731| [45] [口から奇妙な声がもれた。]
339: 4736| [45] [そして暗闇の中で、渡瀬が最後に眼にしたのは――]
340: 4741| [45] [――彼と一緒に横たわる、風見の虚ろな顔だった……。]
341: 4829| [85] [　%N　%N　%N]
342: 4832| [45] [√A バッドエンド5【勇気なき者】]
343: 4835| [85] [　]
344: 4838| [45] [臆病になるあまり、%NＡＤを捜索するタイミングが遅すぎた場合の結末。]
345: 4841| [85] [　]
346: 4844| [45] [このエンディング直前に入力できるセンシズで、渡瀬よりも他の５人を高く設定したら、この結末は回避できたかもしれない。]
