  0:  136| [45] [――それは夏彦と美夜子の仲がこじれる、ずっと前の出来事。]
 57:  722| [45] [母の言葉は難しくて、理解できない事も多かったが、母がかつて辛い日々を送っていた事はなんとなくわかった。]
 58:  730| [47] [夏彦]
 59:  733| [45] [「……お母さん、たいへんだったんだね……」]
 60:  759| [47] [美夜子]
 61:  762| [45] [「学問は好きだったし、英才教育を施してくれた事にはある程度感謝しているけど、それでもちょっとね……」]
 62:  788| [47] [美夜子]
 63:  791| [45] [「でもね、その家から私を救い出してくれたのが、あの人だったの」]
 64:  799| [47] [夏彦]
 65:  802| [45] [「お父さんが？」]
 66:  810| [47] [美夜子]
 67:  813| [45] [「私はその頃には、既にいくつかの論文を発表していたのだけれど、それに興味を持ったあの人が、私に会いに来たの」]
 68:  839| [47] [美夜子]
 69:  842| [45] [「初めて会った時は、そうね……正直、いけすかなかったわ」]
 70:  850| [47] [夏彦]
 71:  853| [45] [「えっ、そうなの！？」]
 72:  879| [47] [美夜子]
 73:  882| [45] [「だってあの人、なんだか軟派な感じがしたんだもの」]
 74:  890| [47] [美夜子]
 75:  893| [45] [「馴れ馴れしいし、呼吸するように冗談言うし……しかもやれ才色兼備だ美少女物理学者だって、無闇に人のこと褒めるし」]
 76:  901| [47] [美夜子]
 77:  904| [45] [「『この人、何しにきたの？　私の論文に興味があって来たんじゃないの？』とか思ってね」]
 78:  912| [47] [夏彦]
 79:  915| [45] [「はー……でもそれ、お父さんらしいね？」]
 80:  941| [47] [美夜子]
 81:  944| [45] [「そうね。困ったことに、それがあの人の素なのよね」]
 82:  949| [45] [母はそう言って、くすくすと笑った。]
 83:  975| [47] [美夜子]
 84:  978| [45] [「ともかくそんな感じで、最初は苦手だったけど……話してるうち、あの人が本気で私の論文に興味がある事がわかったわ」]
 85:  986| [47] [美夜子]
 86:  989| [45] [「あの人は当時としては珍しい、レベル４のコミュニケーターだったからね」]
 87:  997| [47] [美夜子]
 88: 1000| [45] [「自分が生まれつき持っていた能力の謎を、どうにか解明したいって思ってたらしいのよ。物理学的なアプローチ等も含めて」]
 89: 1008| [47] [美夜子]
 90: 1011| [45] [「私もあの人の能力に興味を持ち、解明に協力する事にしたわ」]
 91: 1019| [47] [夏彦]
 92: 1022| [45] [「えっと……つまりお父さんのＢＣの、なぞをとくってこと？」]
 93: 1048| [47] [美夜子]
 94: 1051| [45] [「そう、興味深い研究テーマだったからね」]
 95: 1059| [47] [美夜子]
 96: 1062| [45] [「そうやって二人三脚で研究を進めるうち、私たちは色んな話をするようになった」]
 97: 1070| [47] [美夜子]
 98: 1073| [45] [「その頃はまだ、私は心を許しきってはいなかったけど……それでも少しずつ、家庭の事情を話したりもしたわ」]
 99: 1081| [47] [美夜子]
100: 1084| [45] [「そしたら、あの人、どうしたと思う？　いきなり泣き出したのよ」]
101: 1092| [47] [夏彦]
102: 1095| [45] [「えっ、お父さんないたの？」]
103: 1121| [47] [美夜子]
104: 1124| [45] [「なんだか私に感情移入したらしくてね……あの人は天涯孤独の身だったから、逆に感じ入るところがあったらしくって」]
105: 1132| [47] [美夜子]
106: 1135| [45] [「でもこっちは淡々と話してるのに、いきなり泣かれると混乱するじゃない？」]
107: 1143| [47] [美夜子]
108: 1146| [45] [「……その混乱は、それからしばらく続いたわ」]
109: 1172| [47] [美夜子]
110: 1175| [45] [「私なんかの話に、涙を流したあの人が……その、なんというか……」]
111: 1183| [47] [夏彦]
112: 1186| [45] [「なに？」]
113: 1194| [47] [美夜子]
114: 1197| [45] [「……なんでもないわ」]
115: 1223| [47] [美夜子]
116: 1226| [45] [「いずれにせよ、それから私たちの関係は、少し変わったの。私の心をあの人が、エンパシーで読めるようになるくらいに」]
117: 1234| [47] [美夜子]
118: 1237| [45] [「そうして誰にも語らなかった私の内面を知ると、あの人は笑って言ったわ。『大丈夫だ、俺がきっとなんとかする』って」]
119: 1245| [47] [夏彦]
120: 1248| [45] [「あ、それお父さんのくちぐせだったね？」]
121: 1274| [47] [美夜子]
122: 1277| [45] [「そうだったわね。基本的に向こう見ずな人だったから」]
123: 1285| [47] [美夜子]
124: 1288| [45] [「でもその笑顔を見ると、不思議とあの人に、全てを任せてみたい気持ちになったのよ」]
125: 1296| [47] [夏彦]
126: 1299| [45] [「うんうん、わかる」]
127: 1325| [47] [美夜子]
128: 1328| [45] [「で、それからのゴタゴタは省くけど……最終的にあの人は、私を実家から強引に連れ出すようにして、お嫁さんにしてくれたわ」]
129: 1336| [47] [美夜子]
130: 1339| [45] [「結婚当時、私はまだ１８歳だった……若かったわね、色々な意味で」]
131: 1347| [47] [夏彦]
132: 1350| [45] [「そうだったんだ……なんかお父さん、すごいね」]
133: 1358| [47] [美夜子]
134: 1361| [45] [「そうね……後から考えると、あの人に出会ったところから、私の本当の人生が始まった気がするわ」]
135: 1368| [45] [美夜子はそう言って、夏彦を見つめる。]
136: 1400| [47] [美夜子]
137: 1403| [45] [「……ねぇ、夏彦？　あなたは瞬さんが私に遺してくれた、何より大切な宝物よ」]
138: 1411| [47] [美夜子]
139: 1414| [45] [「私は口下手だから、上手く伝えられるかわからないけど……」]
140: 1422| [47] [美夜子]
141: 1425| [45] [「瞬さんを愛したのとはまた別の意味で、私はあなたを愛してるわ」]
142: 1433| [47] [夏彦]
143: 1436| [45] [「え、ちゃんと伝わるよ？」]
144: 1444| [47] [夏彦]
145: 1447| [45] [「ぼくもお母さん大好きだよ。お父さんも大好きだったけど」]
146: 1455| [47] [美夜子]
147: 1458| [45] [「そうね……私も２人とも、大好きよ」]
148: 1463| [45] [母はそう言って、夏彦を優しく抱き締めた。]
149: 1468| [45] [それから夏彦の手を握って言う。]
150: 1494| [47] [美夜子]
151: 1497| [45] [「それじゃ、帰りましょうか。私たちの家へ」]
152: 1505| [47] [夏彦]
153: 1508| [45] [「うんっ！」]
154: 1514| [45] [夏彦は元気にそう答え、母と共に歩き出した。]
155: 1758| [45] [――彼の記憶を遡るうちに――]
156: 1763| [45] [やがて夏彦の脳の片隅から、ある情報エネルギーの塊が立ち上ってきた。]
157: 1768| [45] [そしてそのエネルギーは、形となり……]
158: 1773| [45] [夏彦も自覚していない、無意識下の情報として、そこに顕現した。]
