  0:   64| [45] [――そうして宇喜多は、渡瀬と言う仲間を得た。]
 29:  443| [45] [――天川博士に、ばったりと出くわした。]
 30:  469| [47] [美夜子]
 31:  472| [45] [「宇喜多さん？　あなたこんな所でいったい何をしているの？」]
 32:  480| [47] [宇喜多]
 33:  483| [45] [「て、天川博士……！」]
 34:  488| [45] [宇喜多は内心どきりとしたが、すぐに表情を取り繕って答えた。]
 35:  496| [47] [宇喜多]
 36:  499| [45] [「なに、知り合いになった警備員と油を売ってただけですよ。なにぶん、すっかり暇な時間が増えましたので」]
 37:  525| [47] [美夜子]
 38:  528| [45] [「……そう」]
 39:  536| [47] [宇喜多]
 40:  539| [45] [「とは言え少し時間を潰しすぎました。そろそろ仕事に戻りますよ。それでは」]
 41:  546| [45] [そう言って早々に立ち去ろうとしたが――]
 42:  554| [47] [美夜子]
 43:  557| [45] [「待って、宇喜多さん」]
 44:  565| [47] [宇喜多]
 45:  568| [45] [「え？」]
 46:  595| [47] [美夜子]
 47:  598| [45] [「……昨日、保安六課から質問を受けたの」]
 48:  606| [47] [美夜子]
 49:  609| [45] [「あなたをなぜチームから外したのか、その理由を聞かれたわ」]
 50:  614| [45] [保安六課――聞きなれない言葉だが、恐らく鹿鳴市保安課にある部署なのだろう。]
 51:  622| [47] [宇喜多]
 52:  625| [45] [「……それで、あなたは何と？」]
 53:  654| [47] [美夜子]
 54:  657| [45] [「何も。ただ『適性・能力ともに不適合のため、チームから外れてもらった』とだけ答えたわ」]
 55:  662| [47] [宇喜多]
 56:  663| [45] [（え……？　どういう事だ？　なぜ博士が、僕をかばうような証言を？）]
 57:  668| [47] [宇喜多]
 58:  669| [45] [（まさか……彼女も本心では、ラボの現状を憂いているのではないのか？）]
 59:  674| [45] [宇喜多はそれを確認するため、もう１度、天川博士にあの質問を投げかけた。]
 60:  682| [47] [宇喜多]
 61:  685| [45] [「……では博士。あの時は答えてもらえませんでしたが、今度は答えていただけませんか？」]
 62:  693| [47] [宇喜多]
 63:  696| [45] [「もし夏彦くんの能力が発現したとしたら、あなたはどうするおつもりなのか」]
 64:  701| [45] [すると天川博士はあの時と同じように沈黙し――そして、細い声で呟いた。]
 65:  727| [47] [美夜子]
 66:  730| [45] [「……幽閉するわ」]
 67:  738| [47] [宇喜多]
 68:  741| [45] [「なっ……！？　あなたはそれでも、母親ですか！？」]
 69:  746| [45] [そう問うと博士は、僕を睨んで声を上げた。]
 70:  772| [47] [美夜子]
 71:  775| [45] [「それでも母親か、ですって……！？　あなたに何がわかるのよ！」]
 72:  783| [47] [宇喜多]
 73:  786| [45] [「っ！」]
 74:  794| [47] [美夜子]
 75:  797| [45] [「私は息子を愛してる。世界中の誰よりかけがえのない存在だわ」]
 76:  823| [47] [美夜子]
 77:  826| [45] [「でもあの子がこれからの人生を平穏に生きていくためには、鹿鳴市もラボも私の研究も、全て必要な事なのよ」]
 78:  852| [47] [美夜子]
 79:  855| [45] [「だから、私は……！」]
 80:  860| [45] [博士はそう言って、辛そうに唇を噛む。まるで自分にそう言い聞かせているようにも見えた。]
 81:  865| [47] [宇喜多]
 82:  866| [45] [（もしかして夏彦くんは……彼女にとって、人質のようなものなのか？）]
 83:  871| [45] [だとしたら宇喜多がこれからしようとしている事は、天川博士の救いにもなるはずだった。]
 84:  876| [45] [いや――そうであってほしいと、宇喜多は願った。]
 85:  884| [47] [宇喜多]
 86:  887| [45] [「……すみません、妙な質問を繰り返して」]
 87:  895| [47] [宇喜多]
 88:  898| [45] [「礼を言い遅れましたが、かばって下さった事は感謝してます」]
 89:  906| [47] [宇喜多]
 90:  909| [45] [「考え方は違っても、やはりあなたは立派な人だ……」]
 91:  935| [47] [美夜子]
 92:  938| [45] [「……宇喜多さん」]
 93:  946| [47] [宇喜多]
 94:  949| [45] [「僕はね、天川博士。もし叶うならば……あなたとまた一緒に、仕事がしたかったですよ」]
 95:  956| [45] [宇喜多はそう言い残し、その場を去った。]
 96:  961| [45] [背中に彼女の視線を感じたが、それを振り切って。]
 97:  966| [47] [宇喜多]
 98:  967| [45] [（……叶うならば、か）]
 99:  972| [47] [宇喜多]
100:  973| [45] [（でも……やはりその夢は、永遠に叶いませんね）]
101:  978| [45] [宇喜多は知ってしまったのだ。このラボの真実を。]
102:  983| [47] [宇喜多]
103:  984| [45] [（僕はもう引き返す事はできないんですよ、博士……）]
104: 1067| [45] [――だがその日の帰り道、異変が起きた。]
105: 1127| [45] [宇喜多の車を、不審な車が追いかけてくる事に気付いたのだ。]
106: 1132| [47] [宇喜多]
107: 1133| [45] [（あの車……ずっと僕の後をつけて来ている……？）]
108: 1138| [45] [車の速度を落としても上げても、尾行者は的確に宇喜多にくっついてきていた。]
109: 1143| [47] [宇喜多]
110: 1144| [45] [（まさかあれが、博士が言っていた、保安六課とかいう連中か？）]
111: 1155| [45] [そう思った時、不意に電話の音が響いた。]
112: 1177| [47] [宇喜多]
113: 1180| [45] [「！！」]
114: 1185| [45] [突如鳴り響いた携帯の音に、宇喜多の心臓が跳ね上がった。]
115: 1196| [45] [宇喜多は慌てて運転をＡＤＳモードに戻し、ＰＤＡに耳を当てる。]
116: 1204| [47] [宇喜多]
117: 1207| [45] [「もしもし」]
118: 1212| [45] [すると受話器から、Ｑの男の声が聞こえた。]
119: 1217| [47] [曽根崎]
120: 1220| [45] [「……どうやら、監視がついたようだな」]
121: 1228| [47] [宇喜多]
122: 1231| [45] [「なっ……なぜあなたがそれを！？」]
123: 1236| [47] [曽根崎]
124: 1239| [45] [「保安課の中に、協力者がいるんだよ。それで連中の動向は多少わかるんだ」]
125: 1244| [47] [曽根崎]
126: 1247| [45] [「それより車に盗聴器が仕掛けられているかもしれないから、返事には注意してくれ。普通の通話を装うんだ」]
127: 1255| [47] [宇喜多]
128: 1258| [45] [「あ、あぁ……！」]
129: 1263| [47] [曽根崎]
130: 1266| [45] [「さて用件を手短に話そう。この大事な時期に、計画の中核である君に監視がついたのは非常にまずい」]
131: 1271| [47] [曽根崎]
132: 1274| [45] [「だが向こうも君がシロかクロか、まだ判断しかねているようだ」]
133: 1279| [47] [曽根崎]
134: 1282| [45] [「そこで監視の目を外すために、君に我々のテロの『被害者』になって頂きたい」]
135: 1290| [47] [宇喜多]
136: 1293| [45] [「え？」]
137: 1298| [47] [曽根崎]
138: 1301| [45] [「我々は明日から、計画の成功率を上げるため、鹿鳴市内の各所で陽動作戦を開始する」]
139: 1306| [47] [曽根崎]
140: 1309| [45] [「君はそのうちの１つに巻き込まれた、善意の一般人を装うんだ」]
141: 1314| [47] [曽根崎]
142: 1317| [45] [「多少の危険は伴うが、了解していただけるかな？」]
143: 1325| [47] [宇喜多]
144: 1328| [45] [「それは……了解だ、まぁなんとかしよう」]
145: 1333| [45] [どのみち危険な状況なのには変わりないのだ。]
146: 1338| [47] [曽根崎]
147: 1341| [45] [「では詳細はＰＤＡに送っておく。自宅にも盗聴器やカメラが設置されている可能性があるので、外で確認するように」]
148: 1352| [45] [その言葉と共に、電話は切れた。]
149: 1363| [45] [バックミラーを確認すると、追跡は変わらず続けられているようだ。]
150: 1368| [47] [宇喜多]
151: 1369| [45] [（ここに来て、難局だな……！）]
152: 1374| [45] [宇喜多はハンドルをきつく握り、バックミラーを睨みつけた。]
153: 1430| [45] [――そして、数日後――]
154: 1435| [45] [宇喜多を『被害者』に偽装する作戦が、実行された。]
155: 1465| [45] [車のＡＤＳとブレーキに細工を施し、わざと交通事故を起こす。]
156: 1470| [45] [それがＱによるものであるように見せかければ、宇喜多の監視も解かれると思ったのだが――]
157: 1513| [47] [宇喜多]
158: 1514| [45] [（ぐ、ぅ……ま、まさか、これほどの事故になるとは……）]
159: 1519| [45] [フレーム全体がぐしゃぐしゃになり、車に閉じ込められてしまったのは、まったく想定外だった。]
160: 1526| [45] [しかも、それだけではなく――]
161: 1543| [45] [漂ってきた刺激臭に、宇喜多の背筋はぞっとした。]
162: 1548| [47] [宇喜多]
163: 1549| [45] [（この匂い――ガ、ガソリン！？）]
164: 1554| [47] [宇喜多]
165: 1555| [45] [（い、いかんッ！）]
166: 1560| [45] [陽動のために引き起こされた事故で炎上死するなどと、そんな馬鹿げた話はない。]
167: 1579| [45] [だが逃げ出そうにも、宇喜多は身じろぎすら満足にできない状態だった。]
168: 1584| [47] [宇喜多]
169: 1585| [45] [（まずい、このままでは本当に――ッ！）]
170: 1590| [45] [――その時。]
171: 1648| [85] [《離れろましろ！！　ガソリンだッ！！》]
172: 1649| [86] [？？]
173: 1650| [86] [《離れろましろ！！　ガソリンだッ！！》]
174: 1696| [47] [宇喜多]
175: 1699| [45] [「っ！？」]
176: 1704| [45] [脳内に響いたその声は、確かに聞き覚えのあるものだった。]
177: 1837| [45] [――その後、駆けつけて来たレスキュー隊員の手によって、宇喜多は無事に救出された。]
178: 1901| [45] [だが先ほどのテレパシーが夏彦のものだと知り、宇喜多は言葉を失った。]
179: 1981| [47] [宇喜多]
180: 1982| [45] [（まさか僕が原因で、夏彦くんがＢＣ能力を発現してしまうなんて――！）]
181: 2036| [45] [そう思った宇喜多は、夏彦に告げた。]
182: 2044| [47] [宇喜多]
183: 2047| [45] [「いいか、良く聞いてくれ。大事な話だ」]
184: 2055| [47] [宇喜多]
185: 2058| [45] [「これから君の周りで、おかしな事が起こるかもしれない」]
186: 2084| [47] [宇喜多]
187: 2087| [45] [「杞憂ならいい。いや……きっと杞憂になるはずだ」]
188: 2092| [45] [それは夏彦への警告であり、自分への戒めでもあった。]
189: 2097| [45] [これでもし自分の計画が失敗したら、ラボと鹿鳴市の悪事は暴かれず、夏彦も幽閉されてしまうだろう。]
190: 2102| [47] [宇喜多]
191: 2103| [45] [（何としても、計画を成功させなければ！）]
192: 2108| [45] [宇喜多は密かに、そう決意した。]
193: 2165| [45] [――その後、数日に渡り、Ｑの陽動作戦は続いた。]
194: 2170| [45] [それでようやく宇喜多につけられていた監視体制も解かれたのだが……。]
195: 2218| [45] [陽動の中には、放火事件や超心研の爆破など被害規模が大きなものもあり、宇喜多は胸を痛めていた。]
196: 2223| [47] [宇喜多]
197: 2224| [45] [（これも計画成功のためには、仕方ないのか……！？）]
198: 2229| [45] [そう思いつつも、流れは止められなかった。]
199: 2284| [45] [――そして計画実行を翌日に控えた、９月１５日――]
200: 2289| [45] [予想外のアクシデントが起きた。]
201: 2294| [45] [夏彦たちが、Ｑのテロ計画について察知してしまったのだ！]
202: 2367| [47] [夏彦]
203: 2370| [45] [「――さっき１人、そのテロリストを捕まえました」]
204: 2375| [45] [そう言う夏彦に、宇喜多は戦慄していた。]
205: 2380| [47] [宇喜多]
206: 2381| [45] [（まさか助けるべき対象が、障害として立ちはだかるなんて……！）]
207: 2386| [45] [宇喜多は内心の動揺を隠しつつ、夏彦たちと『ラボの警備を一層厳しくしてもらう』という約束をし、ひとまずその場を去った。]
208: 2443| [47] [宇喜多]
209: 2444| [45] [（まずい、これはまずいぞ！　彼らを止めねば、計画が――！）]
210: 2455| [45] [宇喜多は車を走らせながら、渡瀬のＰＤＡに連絡した。]
211: 2485| [47] [渡瀬]
212: 2488| [45] [「――はい」]
213: 2496| [47] [宇喜多]
214: 2499| [45] [「隊長さんか！？　すまない、緊急事態だ！」]
215: 2504| [45] [宇喜多が要件を伝えると、渡瀬は固い声で言った。]
216: 2512| [47] [渡瀬]
217: 2515| [45] [「――口を塞ぐのか」]
218: 2523| [47] [宇喜多]
219: 2526| [45] [「止むを得ないだろう……」]
220: 2534| [47] [渡瀬]
221: 2537| [45] [「俺たちに、子どもを殺せと？」]
222: 2545| [47] [宇喜多]
223: 2548| [45] [「そこまではするな。脅しをかけ、縛り上げればいい」]
224: 2556| [47] [宇喜多]
225: 2559| [45] [「……頼むよ、隊長さん。お互い気が進まない話だが……これも彼らのためなんだ」]
226: 2564| [45] [宇喜多はそう言って、通話を切った。]
227: 2670| [45] [ラボの駐車場で、渡瀬からの連絡を待つ。]
228: 2681| [45] [するとやがて、ＰＤＡが鳴った。]
229: 2695| [47] [渡瀬]
230: 2698| [45] [「終わったぜ」]
231: 2706| [47] [宇喜多]
232: 2709| [45] [「まさか怪我を負わせたりしてないだろうな？」]
233: 2717| [47] [渡瀬]
234: 2720| [45] [「心配するな。ちゃんとあんたの言う通りにしたよ」]
235: 2728| [47] [渡瀬]
236: 2731| [45] [「俺だって子供を傷つけたくなんかない」]
237: 2739| [47] [宇喜多]
238: 2742| [45] [「そうか……」]
239: 2747| [45] [やはり渡瀬は、信頼のおける男のようだった。]
240: 2752| [47] [宇喜多]
241: 2753| [45] [（それに引き換え、Ｑの連中……因縁のある超心研を爆破するなんて、まるでただの復讐ではないか？）]
242: 2758| [47] [宇喜多]
243: 2759| [45] [（もし彼らがコミュニケーターに敵意を向けるようなら、僕が何としても被験体たちを護らなければ……！）]
244: 2764| [45] [宇喜多はそう思い、渡瀬に言った。]
245: 2772| [47] [宇喜多]
246: 2775| [45] [「なあ隊長さん、１つ頼みがあるのだが……」]
247: 2783| [47] [渡瀬]
248: 2786| [45] [「なんだ？」]
249: 2794| [47] [宇喜多]
250: 2797| [45] [「改めて約束してくれないか？　どんな事が起こっても、人殺しはしないと」]
251: 2805| [47] [渡瀬]
252: 2808| [45] [「ああ、約束しよう」]
253: 2816| [47] [渡瀬]
254: 2819| [45] [「俺の姉貴の命は、鹿鳴市の思惑のために踏みにじられたんだ。だから俺は、連中と同じ真似は絶対にしない」]
255: 2827| [47] [宇喜多]
256: 2830| [45] [「そうか……ありがとう」]
257: 2842| [45] [宇喜多は電話を切り、ラボの巨影に眼をやった。]
258: 2849| [45] [――決行の時が迫る。]
